"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2013-08-15",103.190002,103.290001,101.769997,102.730003,4359400,87.481575
"2013-08-16",102.82,103.940002,102.699997,103.470001,3469100,88.111748
"2013-08-19",103,105.199997,102.879997,104.720001,3512200,89.176224
"2013-08-20",104.690002,105.080002,104.550003,104.629997,3448900,89.099564
"2013-08-21",104.470001,104.760002,103.599998,103.910004,3645600,88.48645
"2013-08-22",103.879997,105.5,103.879997,105.139999,2857800,89.533867
"2013-08-23",105.5,105.5,104.800003,105.480003,3016100,89.823418
"2013-08-26",105.75,106.519997,105.209999,105.529999,2480400,89.86599
"2013-08-27",104.400002,105.139999,103.059998,103.209999,4376900,87.890343
"2013-08-28",103.099998,103.82,102.57,103.269997,2816300,87.941437
"2013-08-29",103.279999,105.440002,103,104.93,3095400,89.355042
"2013-08-30",104.919998,104.959999,103.599998,103.919998,2723800,88.494957
"2013-09-03",105.129997,105.830002,104.660004,105.010002,3659800,89.423164
"2013-09-04",105.050003,107.120003,104.620003,106.370003,3837500,90.581299
"2013-09-05",106.160004,106.980003,105.669998,106.650002,2590500,90.819733
"2013-09-06",107,107.379997,105.110001,106.07,3265200,90.325836
"2013-09-09",106.580002,107.379997,106.559998,107.190002,2907600,91.279587
"2013-09-10",107.639999,108.449997,107.400002,108.169998,3848000,92.114113
"2013-09-11",108.25,109.230003,107.800003,109.230003,3313700,93.016769
"2013-09-12",109.190002,110.220001,109.139999,109.800003,4766800,93.502167
"2013-09-13",109.93,111.330002,109.559998,111.330002,3503400,94.805084
"2013-09-16",113.730003,115.889999,113.260002,115.669998,7711200,98.500885
"2013-09-17",115.779999,117.480003,115.589996,117.110001,5308300,99.727142
"2013-09-18",117.279999,119.519997,116.550003,118.400002,6330600,100.825668
"2013-09-19",119.220001,120.379997,118.809998,119.040001,5766700,101.370667
"2013-09-20",119.150002,119.220001,116.629997,116.629997,8745400,99.31839
"2013-09-23",117.150002,118.370003,115.800003,117.510002,5450200,100.067772
"2013-09-24",117.190002,119.889999,116.800003,119,5020000,101.336601
"2013-09-25",119.32,119.610001,118.160004,118.510002,3566600,100.919327
"2013-09-26",118.709999,119.5,118.510002,119.379997,2820400,101.660194
"2013-09-27",118.510002,119.169998,117.790001,118.739998,2848900,101.115196
"2013-09-30",117.349998,117.889999,116.370003,117.5,4032900,100.059227
"2013-10-01",117.970001,118.300003,117.080002,117.75,2880700,100.272125
"2013-10-02",117.379997,117.839996,116.279999,117.839996,2871900,100.348785
"2013-10-03",117.349998,117.489998,114.730003,115.239998,4455100,98.134712
"2013-10-04",115.269997,117.260002,115.25,117.199997,3998000,99.803764
"2013-10-07",115.510002,117.169998,115.400002,116.690002,3822000,99.369484
"2013-10-08",116.669998,117.32,115.419998,115.440002,4574000,98.305016
"2013-10-09",115.400002,115.400002,113.339996,114.470001,4722200,97.479004
"2013-10-10",116.099998,119,115.910004,118.900002,5635400,101.25145
"2013-10-11",118.599998,119.400002,117.830002,117.980003,4505500,100.468025
"2013-10-14",117.419998,119.550003,116.690002,119.459999,3617800,101.728302
"2013-10-15",119.419998,119.589996,118.139999,118.18,2749700,100.638329
"2013-10-16",118.779999,120.660004,118.75,120.339996,4036900,102.477699
"2013-10-17",119.809998,122.389999,119.809998,122.290001,4114200,104.13826
"2013-10-18",122.5,122.860001,121.25,122.519997,3924200,104.334114
"2013-10-21",122.690002,122.739998,121.059998,121.470001,3207900,103.43998
"2013-10-22",122,123.800003,121.879997,122.480003,4431200,104.300049
"2013-10-23",126,129.990005,125.900002,129.020004,10766300,109.869324
"2013-10-24",129.009995,129.570007,127.940002,128.979996,4976200,109.835243
"2013-10-25",129.25,131.429993,128.220001,131.190002,5467600,111.717194
"2013-10-28",128.75,130.470001,128.639999,129.880005,4655800,110.601662
"2013-10-29",129.350006,129.880005,128.759995,129.660004,3608700,110.414322
"2013-10-30",129.559998,131.429993,129.020004,129.679993,4122100,110.431335
"2013-10-31",129.839996,131.880005,129.550003,130.5,4931800,111.129623
"2013-11-01",130.899994,133.5,130.899994,133.029999,4582400,113.284103
"2013-11-04",133.75,133.990005,132.460007,132.789993,3915800,113.079704
"2013-11-05",132.029999,133.740005,130.589996,133.570007,4069200,113.74395
"2013-11-06",134.020004,134.580002,132.679993,133.089996,3747700,113.748215
"2013-11-07",133.440002,133.929993,131.350006,131.509995,3826800,112.397835
"2013-11-08",131.279999,133.899994,130.949997,133.490005,4790900,114.090111
"2013-11-11",133.139999,133.330002,132.119995,132.529999,2962200,113.269608
"2013-11-12",132.399994,133.080002,131.970001,132.330002,2851000,113.098686
"2013-11-13",131.919998,133.490005,131.100006,133.169998,3577100,113.816589
"2013-11-14",133.699997,135.380005,133.169998,135.089996,3279600,115.45755
"2013-11-15",135.360001,136.570007,134.539993,136.080002,4495100,116.303711
"2013-11-18",140.25,142,137.770004,138.360001,8158800,118.252357
"2013-11-19",138.5,138.789993,136.699997,136.979996,3954000,117.072906
"2013-11-20",135.800003,135.889999,132.289993,132.449997,8634900,113.201241
