"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2013-09-13",7.54963,7.564444,7.499259,7.531852,253463,6.763006
"2013-09-16",7.585185,7.656296,7.585185,7.611852,254475,6.834841
"2013-09-17",7.573333,7.644444,7.567407,7.638519,357750,6.858786
"2013-09-18",7.626667,7.754074,7.582222,7.724444,451575,6.935938
"2013-09-19",7.745185,7.757037,7.697778,7.733333,292950,6.943922
"2013-09-20",7.765926,7.792593,7.671111,7.677037,1181250,6.893373
"2013-09-23",7.638519,7.677037,7.585185,7.638519,395213,6.858786
"2013-09-24",7.620741,7.712593,7.561481,7.706667,441113,6.919977
"2013-09-25",7.697778,7.733333,7.662222,7.703704,803588,6.917318
"2013-09-26",7.73037,7.854815,7.677037,7.845926,485663,7.045021
"2013-09-27",7.819259,7.893333,7.786667,7.86963,428625,7.066305
"2013-09-30",7.801481,7.893333,7.780741,7.854815,760388,7.053002
"2013-10-01",7.866667,8.053333,7.866667,7.940741,1190700,7.130157
"2013-10-02",7.908148,7.908148,7.783704,7.851852,320963,7.050341
"2013-10-03",7.828148,7.872593,7.754074,7.837037,544388,7.03704
"2013-10-04",7.851852,7.908148,7.822222,7.866667,382050,7.063645
"2013-10-07",7.774815,7.92,7.765926,7.774815,790425,6.981168
"2013-10-08",7.777778,7.81037,7.757037,7.762963,463050,6.970526
"2013-10-09",7.783704,7.860741,7.739259,7.771852,442125,6.978509
"2013-10-10",7.831111,7.955556,7.792593,7.937778,239625,7.127497
"2013-10-11",7.931852,8.035556,7.851852,8.026667,280463,7.207311
"2013-10-14",7.958519,8.071111,7.958519,8.059259,229163,7.236578
"2013-10-15",8.02963,8.062222,8,8.014815,268650,7.196671
"2013-10-16",8.035556,8.145185,8.026667,8.091852,349313,7.265843
"2013-10-17",8.071111,8.21037,8.053333,8.192593,455288,7.356301
"2013-10-18",8.225185,8.281481,8.112593,8.204444,478238,7.366941
"2013-10-21",8.18963,8.272593,8.133333,8.245926,198450,7.40419
"2013-10-22",8.281481,8.34963,8.198519,8.314074,362475,7.465382
"2013-10-23",8.311111,8.551111,8.311111,8.367407,464063,7.513269
"2013-10-24",8.4,8.438519,8.314074,8.325926,476888,7.476022
"2013-10-25",8.311111,8.411852,8.263704,8.376296,446850,7.521252
"2013-10-28",8.346667,8.385185,8.296296,8.358519,389813,7.505291
"2013-10-29",8.379259,8.397037,8.254815,8.334815,393863,7.484004
"2013-10-30",8.355556,8.355556,8.228148,8.231111,256163,7.390887
"2013-10-31",8.251852,8.275556,8.18963,8.18963,339525,7.353639
"2013-11-01",8.171852,8.171852,8.068148,8.148148,479250,7.316391
"2013-11-04",8.142222,8.204444,8.094815,8.127407,773888,7.297769
"2013-11-05",8.065185,8.133333,8.020741,8.026667,581175,7.207311
"2013-11-06",7.991111,8.139259,7.991111,8.115556,629100,7.335869
"2013-11-07",8.100741,8.174815,7.908148,7.92,650363,7.159102
"2013-11-08",7.946667,8.082963,7.893333,7.997037,696938,7.228738
