"dates","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2011-03-18",81.091583,82.109161,80.582794,81.406105,2486408,62.839386
"2011-03-21",82.331177,82.784462,81.507866,81.757629,1109214,63.110718
"2011-03-22",81.655876,82.007401,80.971321,81.285843,760267,62.746544
"2011-03-23",81.073082,82.229416,80.259018,81.914894,1495131,63.232147
"2011-03-24",82.358925,83.135986,81.803886,83.108231,1170507,64.153297
"2011-03-25",83.209991,83.940796,83.080482,83.200737,934200,64.224716
"2011-03-28",83.543015,83.894539,83.154488,83.154488,681138,64.188995
"2011-03-29",83.098984,83.515266,82.405182,83.515266,1233529,64.467499
"2011-03-30",83.709526,83.709526,82.608696,83.432007,1237853,64.819687
"2011-03-31",83.117485,84.033302,83.117485,83.42276,970198,64.812477
"2011-04-01",83.746529,84.468086,83.385757,83.700279,1037111,65.028091
"2011-04-04",84.061058,84.181313,83.320999,83.940796,1100026,65.214958
"2011-04-05",83.737282,85.809433,83.607773,85.309898,1436217,66.278595
"2011-04-06",85.735428,86.031448,84.60685,85.559669,1048678,66.472672
"2011-04-07",85.134132,85.966698,84.190567,84.551338,1081649,65.689293
"2011-04-08",85.134132,85.85569,84.421829,85.115631,990412,66.127678
"2011-04-11",85.171135,85.356155,83.857536,84.357079,678003,65.538353
"2011-04-12",84.088806,84.514336,82.867714,83.052727,973116,64.524979
"2011-04-13",83.515266,83.848289,82.765961,83.330254,1022086,64.740601
"2011-04-14",82.904716,84.024055,82.497688,83.783531,1336981,65.092766
"2011-04-15",84.29232,85.217392,83.681778,84.939873,1811972,65.99115
"2011-04-18",83.894539,84.125809,83.219238,83.728027,916904,65.049667
"2011-04-19",83.950043,85.171135,83.607773,85.161888,1129969,66.163628
"2011-04-20",86.031448,87.224792,86.031448,86.697502,2080060,67.356697
"2011-04-21",86.641998,87.012024,85.77243,86.882515,1093432,67.500404
"2011-04-25",86.595741,87.326546,86.031448,86.984276,1005654,67.579483
"2011-04-26",87.308044,88.186867,87.095284,87.983353,1513400,68.355667
"2011-04-27",88.001846,88.075859,86.336723,87.71508,831397,68.147255
"2011-04-28",87.807587,88.538391,87.372803,88.510635,1060893,68.765335
"2011-04-29",88.769661,88.806664,88.075859,88.362625,916688,68.65033
"2011-05-02",88.806664,88.806664,87.280296,87.668823,865773,68.111328
"2011-05-03",87.557816,87.659576,86.567993,87.289551,897014,67.81665
"2011-05-04",87.345055,87.465309,85.883438,86.114708,1073757,66.903877
"2011-05-05",85.670677,86.604996,84.90287,85.24514,983710,66.228287
"2011-05-06",86.281219,87.049026,85.05088,85.568916,863070,66.479858
"2011-05-09",85.716927,86.975021,85.513412,86.614243,566768,67.291977
"2011-05-10",87.076782,87.955597,86.854767,87.641075,941335,68.089745
"2011-05-11",87.557816,87.724327,85.550415,86.012955,835397,66.824844
"2011-05-12",85.901939,86.096207,84.495834,85.356155,1693387,66.31456
"2011-05-13",85.568916,85.679924,83.76503,83.866791,1055597,65.15744
"2011-05-16",83.533768,85.208138,83.459763,84.061058,860584,65.308372
"2011-05-17",83.91304,84.061058,82.562439,82.802963,1436433,64.330948
"2011-05-18",83.052727,84.588341,82.719704,84.560593,1200126,65.696465
"2011-05-19",84.865868,85.559669,84.199814,85.115631,1012465,66.127678
"2011-05-20",85.161888,85.189636,83.561516,84.431084,725892,65.595856
"2011-05-23",83.256241,84.024055,82.867714,83.839035,967495,65.135872
"2011-05-24",84.264572,84.856613,83.737282,84.22757,949767,65.437759
"2011-05-25",83.76503,85.846436,83.598518,85.494911,1133537,66.422325
"2011-05-26",85.272896,86.0037,84.52359,85.800186,826208,66.659546
"2011-05-27",86.133209,87.095284,85.892693,86.919518,1049435,67.529152
"2011-05-31",87.881592,88.011101,86.827011,87.964844,1625175,68.341293
"2011-06-01",87.816833,87.974098,85.069382,85.198891,1268662,66.192368
"2011-06-02",85.467163,86.151711,84.468086,84.986122,1104458,66.027069
"2011-06-03",83.820534,83.977798,82.849213,82.913971,1436217,64.417191
"2011-06-06",82.747459,83.718781,82.562439,82.89547,1185749,64.402809
"2011-06-07",83.654022,84.625343,82.969475,83.811287,1609717,65.114326
"2011-06-08",83.432007,84.449585,83.052727,83.9963,1448648,65.258064
"2011-06-09",84.440331,86.753006,84.088806,85.70768,1689819,66.587677
"2011-06-10",85.09713,85.753929,84.29232,84.338577,1429731,65.52401
"2011-06-13",84.745605,85.911194,84.384827,85.411659,1444540,66.357689
"2011-06-14",86.558739,86.854767,85.948196,86.271973,1286822,67.026062
"2011-06-15",85.633675,86.114708,83.663277,84.088806,1313631,65.329941
"2011-06-16",84.199814,84.412582,82.710449,83.654022,1784299,64.992165
"2011-06-17",84.458832,84.828865,83.024979,83.293243,2008174,64.71183
"2011-06-20",82.913971,84.634598,82.913971,84.347824,1003925,65.531166
"2011-06-21",85.004623,86.096207,84.699348,85.568916,970089,66.479858
"2011-06-22",85.106384,86.373726,84.90287,86.0037,1137969,66.817635
"2011-06-23",84.579094,86.077705,83.876038,86.012955,1480321,66.824844
"2011-06-24",86.077705,86.438484,85.411659,86.022202,1380545,66.832016
"2011-06-27",85.901939,86.23497,85.226639,86.040703,1633823,66.846382
"2011-06-28",86.364479,87.742828,86.123962,87.733582,1152238,68.161629
"2011-06-29",87.742828,87.872337,86.466232,87.03978,1531777,68.038689
"2011-06-30",87.391304,88.741905,86.993523,88.418129,1506374,69.11615
"2011-07-01",88.316376,89.481964,87.613319,89.222939,1338710,69.745255
"2011-07-05",89.176689,89.546715,88.797409,89.074928,916364,69.629555
"2011-07-06",89.056427,89.685478,88.936172,89.546715,1597718,69.998352
"2011-07-07",90.092506,90.656799,89.648476,90.462532,936578,70.714233
"2011-07-08",89.454208,90.101761,89.000923,89.750229,869016,70.157417
"2011-07-11",88.871414,88.982422,87.752083,88.159111,1256554,68.913658
"2011-07-12",87.613319,88.381126,87.548569,87.641075,1970987,68.508743
"2011-07-13",88.066605,88.399628,87.548569,87.807587,1485726,68.638863
"2011-07-14",87.974098,88.297874,86.669746,86.901016,936362,67.930214
"2011-07-15",87.224792,87.298798,86.373726,87.224792,1009438,68.183327
"2011-07-18",86.771507,86.95652,85.642921,85.957443,882961,67.19265
"2011-07-19",86.410728,87.372803,86.410728,87.141533,923498,68.118225
"2011-07-20",87.56707,87.56707,86.57724,87.076782,650654,68.067619
"2011-07-21",87.428307,88.501389,87.049026,88.260872,1116997,68.993217
"2011-07-22",88.048103,88.048103,84.856613,85.013878,2125570,66.455025
"2011-07-25",84.616096,85.47641,84.024055,84.921371,1396760,66.382729
"2011-07-26",85.032379,85.189636,84.061058,84.153564,1209207,65.782509
"2011-07-27",83.950043,84.088806,82.81221,83.145233,1793055,64.994331
"2011-07-28",83.200737,83.885292,82.312675,82.386681,1023058,64.40139
"2011-07-29",81.276596,83.024979,81.174835,82.081406,1896290,64.16275
"2011-08-01",83.228493,83.358002,80.971321,81.896393,1463890,64.01812
"2011-08-02",81.110085,81.406105,78.825165,78.843666,2362742,61.631794
"2011-08-03",78.862167,80,78.001846,79.907494,2058332,62.463406
