"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2010-07-27",82.169998,82.57,79.559998,80.120003,1089300,68.557625
"2010-07-28",80.099998,80.339996,78,78.529999,1354700,67.197083
"2010-07-29",78.970001,79.550003,77.239998,78.300003,840100,67.000267
"2010-07-30",77.150002,79.400002,76.82,79.010002,851600,67.607834
"2010-08-02",80.580002,82.199997,80.449997,81.639999,1195400,69.858276
"2010-08-03",81.440002,81.510002,79.099998,79.309998,1613400,67.864494
"2010-08-04",82.040001,85.879997,80,85.470001,3270400,73.135551
"2010-08-05",84.870003,86,83.760002,84.290001,1653600,72.125809
"2010-08-06",82.720001,85.839996,82.720001,85.790001,1444900,73.409332
"2010-08-09",86.199997,87.300003,85.93,86.550003,1479100,74.059685
"2010-08-10",85.690002,86.68,84.110001,84.82,916200,72.579346
"2010-08-11",83.190002,83.190002,81.110001,81.769997,1238700,69.969482
"2010-08-12",79.860001,81.449997,79.860001,81.370003,1230700,69.627235
"2010-08-13",81.160004,81.300003,80,80.360001,586300,68.762978
"2010-08-16",79.580002,80.599998,79.230003,79.779999,726300,68.266693
"2010-08-17",80.699997,83.239998,80.629997,82.459999,1061300,70.559921
"2010-08-18",82.129997,83.779999,81.93,83.139999,739700,71.1418
"2010-08-19",82.779999,83.199997,81.449997,82.720001,987100,70.782394
"2010-08-20",81.900002,83.239998,81.150002,83.040001,919900,71.056229
"2010-08-23",83.010002,84,82.269997,82.910004,1040500,70.944977
"2010-08-24",81.580002,81.629997,79.860001,80.550003,942400,68.925575
"2010-08-25",79.790001,81.589996,79.199997,81.349998,512700,69.610107
"2010-08-26",81.610001,81.919998,77.059998,77.139999,1856300,66.007675
"2010-08-27",77.589996,78.5,76.080002,78.220001,1412600,66.931801
"2010-08-30",78.099998,78.18,75.370003,75.459999,1188800,64.570114
"2010-08-31",75.010002,77.040001,74.5,75.739998,1544900,64.809708
"2010-09-01",76.879997,79.220001,76.879997,78.839996,811500,67.462357
"2010-09-02",79.029999,80.519997,78.900002,79.910004,834800,68.377937
"2010-09-03",81.029999,82.199997,80.720001,81.089996,809400,69.387619
"2010-09-07",80.629997,81.199997,79.800003,80.190002,596600,68.617531
"2010-09-08",80.339996,82,80.279999,81.379997,596500,69.635773
"2010-09-09",82.699997,82.830002,81.080002,81.459999,534300,69.704208
"2010-09-10",81.510002,82.25,80.949997,81.540001,644900,69.772667
"2010-09-13",82.589996,83.580002,82.080002,83.330002,515800,71.304382
"2010-09-14",83.080002,85.870003,82.989998,85.099998,1076200,72.818947
"2010-09-15",84.400002,85.93,84.25,85.830002,721100,73.443565
"2010-09-16",85.599998,86.449997,85.449997,86.389999,1062400,73.922768
"2010-09-17",86.529999,87.769997,86.309998,87.669998,1481700,75.018021
"2010-09-20",87.68,89.919998,87.120003,89.82,1059800,76.857773
"2010-09-21",89.809998,90.07,88.449997,89.190002,1114900,76.318726
"2010-09-22",89.129997,89.449997,87.139999,87.830002,1060900,75.154945
"2010-09-23",87.510002,87.790001,85.809998,86.040001,1327600,73.623276
"2010-09-24",87.419998,89.510002,87.419998,89.260002,921800,76.378601
"2010-09-27",89.160004,90.110001,88.790001,89,643600,76.156113
"2010-09-28",89.230003,91.410004,87.949997,91.089996,677400,77.944504
"2010-09-29",91.669998,91.669998,89.860001,90.089996,716900,77.173523
"2010-09-30",90.830002,91.760002,88.989998,89.860001,955700,76.976501
"2010-10-01",90.790001,90.830002,89.339996,90.309998,704800,77.361992
"2010-10-04",90,91.32,89.660004,91.25,1132000,78.167229
"2010-10-05",92.339996,93.370003,91.809998,92.959999,785300,79.632027
"2010-10-06",92.800003,92.989998,90.169998,91.629997,955100,78.492744
"2010-10-07",92.029999,92.629997,90.57,91.080002,1156100,78.021614
"2010-10-08",91.010002,94.160004,90.980003,92.910004,851500,79.589218
"2010-10-11",93.07,94.269997,93.07,93.720001,720200,80.283081
"2010-10-12",93.279999,94,92.620003,93.720001,650400,80.283081
"2010-10-13",94.370003,95.410004,93.669998,94.400002,616800,80.865593
"2010-10-14",94.410004,94.900002,93.239998,94.07,468600,80.582901
"2010-10-15",94.860001,95.660004,93.900002,95.269997,744000,81.610847
"2010-10-18",95.400002,95.980003,94.209999,95.660004,637300,81.944954
"2010-10-19",93.480003,94.870003,92.260002,93.139999,1152700,79.786224
"2010-10-20",92.800003,94.349998,92.730003,93.620003,655700,80.197441
"2010-10-21",94.209999,95.050003,92.349998,93.150002,516700,79.794815
"2010-10-22",93.269997,94.25,93.139999,94.029999,437700,80.548645
"2010-10-25",94.720001,95.779999,94.669998,94.830002,744400,81.233971
"2010-10-26",94.410004,96.919998,93.910004,96.489998,1333900,82.655945
"2010-10-27",95.43,96,92.699997,94.32,1605800,80.797089
"2010-10-28",95.169998,95.169998,92.919998,93.919998,1072600,80.454437
"2010-10-29",94.150002,97.790001,93.970001,96.879997,1548900,82.990036
"2010-11-01",97.330002,97.440002,95.82,96.459999,746600,82.630241
"2010-11-02",97.559998,97.620003,96.580002,97,659700,83.092819
"2010-11-03",96.849998,97.220001,95.160004,96.629997,853400,82.775864
"2010-11-04",97.989998,99.400002,97.010002,99.330002,1251000,85.088768
"2010-11-05",98.889999,100.620003,98.889999,99.620003,769700,85.337166
"2010-11-08",99.5,101.419998,99.379997,101.07,1060300,86.579269
"2010-11-09",101.489998,101.870003,100.190002,100.919998,1446200,86.450813
"2010-11-10",107,109.279999,105.730003,108.279999,4197700,92.755569
"2010-11-11",106.220001,107.139999,104.980003,106.5,1760400,91.230812
"2010-11-12",104.279999,106.260002,102.790001,103.709999,1097700,88.840813
"2010-11-15",104.07,106.589996,103.889999,104.349998,895200,89.389023
"2010-11-16",103.739998,105.129997,101.830002,102.449997,762600,87.761452
"2010-11-17",102.650002,105.75,102.389999,105.419998,1097900,90.305634
"2010-11-18",106.370003,107.150002,106,106.260002,1128400,91.025185
"2010-11-19",106.470001,107.5,105.620003,107.160004,571800,91.796158
"2010-11-22",106.599998,108.019997,106.370003,107.779999,383700,92.327286
"2010-11-23",106.480003,107.139999,105.57,106.559998,965600,91.282166
"2010-11-24",107.830002,109.870003,107.529999,109.82,1111200,94.074799
"2010-11-26",108.940002,110.449997,108.75,109.82,400700,94.074799
"2010-11-29",108.940002,109.050003,106.900002,108.699997,683700,93.115364
"2010-11-30",107.860001,109.910004,107.339996,109.239998,1075300,93.577942
"2010-12-01",111.279999,111.760002,110.209999,110.589996,656700,94.734375
"2010-12-02",110.57,113.209999,110.57,113.050003,810200,96.841713
"2010-12-03",112.949997,113.410004,111.199997,112.120003,766500,96.045021
"2010-12-06",111.940002,112.400002,110.769997,111.25,546800,95.299759
"2010-12-07",112.300003,113.370003,111.779999,111.849998,1165200,95.813721
"2010-12-08",111.730003,113.010002,111.290001,112.760002,516800,96.593262
"2010-12-09",113.480003,113.949997,112.68,113.019997,573300,96.815994
"2010-12-10",112.32,113.099998,111.639999,112.989998,551200,96.790291
"2010-12-13",113.610001,114.010002,111.639999,111.739998,1113000,95.719482
"2010-12-14",111.790001,112.82,111.279999,111.82,685100,95.78804
"2010-12-15",111.419998,112.07,111.18,111.919998,840600,95.873741
"2010-12-16",111.93,113.260002,111.029999,113.260002,654200,97.021576
"2010-12-17",113.040001,114.5,112.699997,114.160004,1325700,97.792542
"2010-12-20",114.290001,114.760002,112.860001,113.589996,859800,97.304276
"2010-12-21",113.870003,115.449997,113.080002,115.32,675700,98.786255
"2010-12-22",115.07,115.129997,113.360001,113.769997,575300,97.458466
"2010-12-23",113.269997,113.790001,110.75,111.650002,1023500,95.642426
"2010-12-27",111.43,113.019997,110.690002,112.82,334800,96.644684
"2010-12-28",112.730003,113.290001,111.5,112.279999,571600,96.182091
"2010-12-29",112.220001,112.419998,111.339996,111.529999,611700,95.624779
"2010-12-30",111.360001,112.769997,111.260002,112.57,361800,96.516495
"2010-12-31",112.510002,112.510002,110.860001,110.919998,326500,95.101776
"2011-01-03",112.080002,112.290001,111.199997,111.690002,854400,95.761932
"2011-01-04",113.489998,114.540001,108.169998,108.360001,2161800,92.906853
"2011-01-05",108.18,109.849998,107.699997,108.300003,1695100,92.855423
"2011-01-06",108.160004,109.139999,107.209999,107.940002,777600,92.54673
"2011-01-07",107.989998,107.989998,105.019997,106.760002,838800,91.535019
"2011-01-10",106.489998,107.940002,105.760002,107.589996,662600,92.246666
"2011-01-11",108.32,108.510002,107.029999,107.75,597700,92.38385
"2011-01-12",108.389999,108.779999,107.699997,108.639999,470200,93.146927
"2011-01-13",108.360001,108.589996,107.800003,108.510002,446700,93.035461
"2011-01-14",108.07,110.300003,107.720001,110.010002,527100,94.321548
"2011-01-18",110.059998,110.860001,108.779999,109.559998,504400,93.935722
"2011-01-19",109.510002,109.510002,105.559998,105.690002,1000900,90.617622
"2011-01-20",105.540001,107,104.110001,105,1292500,90.026009
"2011-01-21",105.389999,105.870003,103.290001,103.949997,908400,89.125763
"2011-01-24",104.309998,105.360001,103.940002,104.75,592500,89.811661
"2011-01-25",104.239998,104.589996,102.330002,104.449997,680800,89.554451
"2011-01-26",105,106.839996,103.379997,106.080002,909700,90.952011
"2011-01-27",106.300003,106.480003,105.379997,105.440002,640100,90.403267
"2011-01-28",105.690002,106.550003,103.400002,103.980003,737000,89.151482
"2011-01-31",104.230003,107.540001,104.120003,107.18,1142000,91.895119
"2011-02-01",107.900002,108.419998,106.599998,106.910004,1217600,91.663658
"2011-02-02",106.620003,107,105.330002,106.82,702400,91.586464
"2011-02-03",106.860001,109.870003,106.860001,108.589996,721500,93.104042
"2011-02-04",108.760002,112.980003,108.589996,112.559998,1545400,96.507881
"2011-02-07",112.660004,115.150002,112.559998,113.839996,870700,97.605354
"2011-02-08",114.25,115.870003,113.870003,115.769997,1132000,99.260124
"2011-02-09",120.410004,128.039993,120.25,125.349998,3488800,107.473923
"2011-02-10",124.510002,127.5,124.059998,126.980003,1612700,108.871468
"2011-02-11",126.239998,127.629997,125.629997,126.870003,663600,108.777161
"2011-02-14",126.870003,128.559998,126.07,126.459999,902000,108.425629
"2011-02-15",125.720001,127.32,124.519997,125.040001,851500,107.20813
"2011-02-16",125.75,126.709999,125.150002,125.559998,488800,107.653961
