"dates","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2013-04-29",57.438641,57.765888,57.029579,57.658905,4756830,47.690975
"2013-04-30",57.960983,58.042793,57.293896,57.451225,6634393,47.519203
"2013-05-01",57.293896,57.677784,57.218376,57.30019,6327239,47.394276
"2013-05-02",57.451225,58.01762,57.451225,57.740719,4329707,47.758636
"2013-05-03",58.357456,58.829453,58.168659,58.596603,4906991,48.466579
"2013-05-06",58.495911,59.049717,58.401508,58.835747,3278584,48.664371
"2013-05-07",58.898678,59.093769,58.697292,59.07489,4015562,48.862167
"2013-05-08",58.999371,59.395847,58.898678,59.395847,4141252,49.127644
"2013-05-09",59.477657,60.157333,59.358086,59.634991,5773314,49.325428
"2013-05-10",59.729389,59.943359,59.515419,59.943359,4018581,49.580505
"2013-05-13",59.804909,59.987411,59.641285,59.754562,3120478,49.424347
"2013-05-14",59.767151,60.396477,59.767151,60.371304,5665580,49.93446
"2013-05-15",60.081814,60.339836,59.65387,60.295784,4834691,50.151684
"2013-05-16",60.106987,60.308369,59.817493,59.893013,4669912,49.816677
"2013-05-17",59.962238,61.302708,59.704216,61.264946,6684287,50.957798
"2013-05-20",61.069855,61.497795,61.006924,61.189426,4171602,50.894985
"2013-05-21",61.397106,61.76841,61.183132,61.390812,4435852,51.062504
"2013-05-22",61.422279,61.787289,60.484581,60.572685,6865275,50.382015
"2013-05-23",60.025173,60.396477,59.741978,60.094398,5197142,49.98418
"2013-05-24",59.78603,59.955948,59.276276,59.811203,4155871,49.748638
"2013-05-28",60.377598,60.805538,60.100693,60.396477,5452018,50.235443
"2013-05-29",60.031467,60.182507,59.666458,59.861549,5039514,49.790508
"2013-05-30",60.062935,60.736313,59.911896,60.390182,5881525,50.230217
"2013-05-31",60.182507,60.799244,59.723095,59.723095,6724648,49.675346
"2013-06-03",59.886723,60.258022,59.162994,59.930775,6942023,49.848091
"2013-06-04",59.735683,60.050346,58.930145,59.332912,5456149,49.350819
"2013-06-05",59.118942,59.175583,58.445564,58.533669,6028348,48.686028
"2013-06-06",58.470737,58.615482,57.797356,58.370045,7386308,48.549946
"2013-06-07",58.980492,59.546886,57.759598,59.471367,7643090,49.465977
"2013-06-10",59.528004,59.672749,59.125237,59.244808,5528926,49.277542
"2013-06-11",58.72876,59.553177,58.451859,58.955318,4175256,49.036736
"2013-06-12",59.534298,59.685337,58.193832,58.325993,4045435,48.513294
"2013-06-13",58.414097,59.446194,58.01762,59.339207,6502506,49.356049
"2013-06-14",59.370674,59.691631,58.93644,59.169289,3552051,49.214714
"2013-06-17",59.767151,60.314663,59.584644,59.773441,4776852,49.717228
"2013-06-18",59.754562,60.679672,59.754562,60.522343,4900635,50.340137
"2013-06-19",60.446823,60.667088,59.269981,59.269981,5412770,49.298477
"2013-06-20",58.678413,58.823158,58.023914,58.118313,5969873,48.340557
"2013-06-21",58.477032,58.558842,57.495281,58.01133,9104017,48.251568
"2013-06-24",57.438641,58.193832,56.828194,57.577091,6127661,47.890381
"2013-06-25",57.979862,58.174953,57.476398,57.759598,5059376,48.042198
"2013-06-26",58.294525,58.766521,57.986156,58.51479,4046706,48.670326
"2013-06-27",58.760227,58.898678,58.344872,58.848331,7018613,48.94775
"2013-06-28",58.665829,59.056011,58.162365,58.489616,7280162,48.649399
"2013-07-01",58.722466,59.930775,58.722466,59.622402,6180416,49.591602
"2013-07-02",59.603523,59.855255,58.835747,59.030838,5872944,49.099564
"2013-07-03",58.873505,59.855255,58.602894,59.616112,2760093,49.586365
"2013-07-05",60.100693,60.811832,60.050346,60.748898,4220225,50.528572
"2013-07-08",61.076149,61.529263,60.918816,61.032097,4596977,50.764126
"2013-07-09",61.529263,62.007553,61.397106,61.686596,5369867,51.308517
"2013-07-10",61.680302,61.736942,61.283825,61.541851,4993909,51.188126
"2013-07-11",62.259281,62.794209,62.190056,62.737572,5937299,52.182678
"2013-07-12",62.687225,63.373192,62.315922,62.825676,7513269,52.255959
"2013-07-15",62.983009,63.247326,62.756451,63.083698,4597454,52.470566
"2013-07-16",63.001888,63.348019,62.838264,62.926369,3660897,52.339714
"2013-07-17",63.448711,63.561989,63.190685,63.473885,3997765,52.795109
"2013-07-18",63.524227,63.864063,63.398365,63.775959,4295067,53.046368
"2013-07-19",63.826305,64.505981,63.687855,64.493393,5198414,53.643093
"2013-07-22",65.154182,65.154182,64.203903,64.260544,4806884,53.449436
"2013-07-23",65.009438,66.494652,64.839523,66.154816,8563598,55.025002
"2013-07-24",66.375076,66.393959,65.298927,66.073006,6645357,54.956959
"2013-07-25",66.129639,66.135933,65.380745,65.947136,5306466,54.852268
"2013-07-26",65.68911,66.117058,65.437386,66.060417,4201475,54.946487
"2013-07-29",65.714287,66.211456,65.657646,66.123344,3684573,54.998821
"2013-07-30",66.393959,66.714912,66.060417,66.438011,4704235,55.260548
"2013-07-31",66.563873,67.054749,66.286972,66.438011,5016632,55.260548
"2013-08-01",66.972939,67.872879,66.972939,67.451225,4789246,56.10331
"2013-08-02",67.37571,67.879166,67.079926,67.822533,5219547,56.412151
"2013-08-05",67.551918,67.577095,67.079926,67.111389,4773992,55.820637
"2013-08-06",66.991821,66.991821,65.934547,66.205162,5281042,55.066879
"2013-08-07",66.016365,66.840782,65.890495,66.727501,3764341,55.501339
"2013-08-08",67.067337,67.438644,66.463181,66.872246,3337536,55.621742
"2013-08-09",66.746384,67.016991,66.066711,66.469475,3030541,55.286739
"2013-08-12",66.16111,66.53241,66.022659,66.419128,3569847,55.244865
"2013-08-13",66.595345,67.583389,66.299561,67.212082,4171920,55.904408
"2013-08-14",66.884834,67.117683,66.03524,66.117058,3411424,55.270458
"2013-08-15",65.424797,65.556953,64.619255,64.814346,4365460,54.181461
"2013-08-16",64.795471,65.273758,64.644432,64.870987,5273097,54.228817
"2013-08-19",64.713654,65.091255,64.524857,64.587791,3532188,53.992077
"2013-08-20",64.587791,64.782883,64.12838,64.443047,4706300,53.871075
"2013-08-21",64.317184,64.493393,63.694145,64.002518,4886175,53.502831
"2013-08-22",64.247955,65.449966,63.97105,64.795471,4295703,54.165688
"2013-08-23",64.820641,65.292641,64.60038,64.694778,4142364,54.081509
"2013-08-26",64.757706,65.122719,64.380112,64.380112,2633291,53.818474
"2013-08-27",63.694145,64.078033,62.743862,62.894901,4898410,52.576916
"2013-08-28",62.800503,63.171806,62.750156,62.920074,3809151,52.597958
"2013-08-29",62.762745,63.492764,62.618,63.222153,3692042,52.850479
"2013-08-30",63.392071,63.429829,62.762745,62.995594,3960583,52.661079
"2013-09-03",63.62492,64.902451,63.618629,64.606674,7362632,54.00787
"2013-09-04",64.468216,65.078667,64.229073,65.047195,4080393,54.37611
"2013-09-05",64.965385,65.531784,64.719948,65.248581,2657920,54.544456
"2013-09-06",65.52549,65.701698,64.304596,64.965385,3883675,54.307732
"2013-09-09",65.160477,65.95343,65.160477,65.752045,3486902,54.965347
"2013-09-10",66.236626,66.966644,66.079292,66.872246,4578068,55.901775
"2013-09-11",67.193207,67.860291,66.972939,67.860291,4959746,56.72773
"2013-09-12",67.841408,68.678413,67.747009,67.860291,5583746,56.72773
"2013-09-13",67.973572,68.212715,67.589676,68.212715,3526150,57.022331
"2013-09-16",68.930145,69.225929,68.628067,69.037132,4480186,57.71151
"2013-09-17",68.974197,70.151039,68.904968,69.471367,5341265,58.074497
"2013-09-18",69.288864,69.911896,68.539963,69.861549,5909014,58.400673
"2013-09-19",70.182503,70.774071,70.069229,70.484581,4917478,58.921513
"2013-09-20",70.484581,70.604156,68.961609,68.961609,9150098,57.648365
"2013-09-23",69.024544,69.754562,68.659531,68.860916,4919385,57.564182
"2013-09-24",68.942734,69.603523,68.659531,69.225929,4004280,57.86932
"2013-09-25",69.137825,69.786026,68.741348,68.760223,3905762,57.48003
"2013-09-26",69.01825,69.465073,68.665825,69.011955,4095330,57.690456
"2013-09-27",68.590309,68.955315,68.156075,68.823158,2934565,57.532635
"2013-09-30",68.508499,68.602898,67.652611,67.853996,5296137,56.722473
"2013-10-01",68.017624,68.269356,66.928886,67.577095,7937532,56.49099
"2013-10-02",67.174324,67.186913,65.796097,66.066711,8905551,55.228374
"2013-10-03",65.972313,66.066711,64.650726,65.254875,6776767,54.549728
"2013-10-04",65.305222,65.840149,65.009438,65.619888,3355174,54.854858
"2013-10-07",65.097549,65.921967,64.820641,65.468849,3438755,54.728611
"2013-10-08",65.456261,65.752045,64.650726,64.669601,3496595,54.060467
"2013-10-09",64.820641,65.066078,64.323471,64.719948,5638725,54.102554
"2013-10-10",65.682816,66.658279,65.437386,66.658279,5433586,55.722908
"2013-10-11",66.50724,67.356827,66.312149,67.344238,5087342,56.296341
"2013-10-14",66.727501,67.382004,66.50724,67.275017,3869692,56.238468
"2013-10-15",67.22467,67.281311,66.563873,66.582756,4306508,55.659771
"2013-10-16",67.029579,67.426056,66.689743,66.979233,5158212,55.991192
"2013-10-17",66.696037,68.06797,66.696037,67.979858,3288436,56.827675
"2013-10-18",68.017624,68.244179,67.37571,67.80365,4303330,56.68037
"2013-10-21",67.904343,67.929512,67.30648,67.728134,4700262,56.617241
"2013-10-22",67.728134,68.319695,66.123344,66.790436,9267366,55.833382
"2013-10-23",66.834488,67.287605,66.494652,66.954056,5401011,55.970165
"2013-10-24",67.558212,67.646317,66.840782,67.37571,4218318,56.322647
"2013-10-25",67.281311,67.671494,67.042168,67.665199,4341943,56.56464
"2013-10-28",67.394585,67.488991,66.651985,66.702332,5218594,55.75972
"2013-10-29",66.721207,66.991821,66.557587,66.972939,3569689,55.985931
"2013-10-30",67.079926,67.482697,66.50724,66.677155,3227895,55.738686
"2013-10-31",66.645691,67.488991,66.538704,66.865952,4709478,55.896507
"2013-11-01",66.991821,67.797356,66.966644,67.658905,3989979,56.559383
"2013-11-04",68.162369,68.244179,67.640022,67.954689,3644689,56.806637
"2013-11-05",67.709251,68.130898,67.155441,67.765892,3638174,56.648804
"2013-11-06",68.112022,68.584015,68.030205,68.388924,5005827,57.169624
"2013-11-07",68.458153,68.766518,67.394585,67.507866,4029704,56.433109
"2013-11-08",67.344238,68.338577,67.205788,68.313408,4688980,57.106514
