"dates","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2012-01-06",100.089996,100.769997,99.870003,100.599998,6775300,77.028755
"2012-01-09",100.879997,100.93,99.510002,99.639999,4433700,76.293686
"2012-01-10",100.239998,100.449997,99.349998,99.699997,5075400,76.33963
"2012-01-11",99.620003,100.110001,99.349998,99.93,4622500,76.515724
"2012-01-12",100.370003,100.650002,100.07,100.57,4022700,77.005783
"2012-01-13",100.18,100.43,99.610001,100.349998,4134800,76.837326
"2012-01-17",100.589996,101.199997,100.050003,100.550003,4555800,76.990486
"2012-01-18",100.900002,101.870003,100.739998,101.559998,4844500,77.763817
"2012-01-19",101.769997,101.800003,100.699997,101.260002,4763300,77.534111
"2012-01-20",101.389999,102.220001,101.269997,101.739998,5630400,77.901634
"2012-01-23",101.709999,101.889999,100.040001,100.949997,6059700,77.296738
"2012-01-24",101.019997,101.019997,98.410004,98.75,11654100,75.612228
"2012-01-25",98.410004,99.510002,98.050003,99.230003,7544000,75.979744
"2012-01-26",99.540001,99.709999,98.690002,99.18,4607100,75.941467
"2012-01-27",98.57,98.940002,98.349998,98.690002,5135000,75.566261
"2012-01-30",98.040001,98.809998,97.699997,98.690002,6104900,75.566261
"2012-01-31",99.040001,99.260002,98.25,99.050003,6574200,75.841911
"2012-02-01",99.459999,99.489998,98.360001,98.400002,6141300,75.344223
"2012-02-02",98.260002,98.82,98.260002,98.620003,3984000,75.51268
"2012-02-03",99.18,100.269997,99.040001,100.010002,5600900,76.577003
"2012-02-06",99.959999,100,99.339996,99.489998,3486600,76.178833
"2012-02-07",99.57,101.18,99.559998,100.910004,6029900,77.266129
"2012-02-08",101.120003,101.290001,99.599998,100.050003,5433600,76.607613
"2012-02-09",100.059998,100.459999,99.699997,99.989998,3608800,76.561691
"2012-02-10",99.519997,99.660004,98.940002,99.470001,3874700,76.163521
"2012-02-13",99.720001,99.919998,99.279999,99.650002,2971100,76.301361
"2012-02-14",99.510002,99.639999,98.949997,99.550003,3520800,76.224785
"2012-02-15",99.660004,99.75,98.309998,98.610001,5260500,75.505058
"2012-02-16",98.360001,99.440002,98.360001,99.260002,3996300,76.002747
"2012-02-17",99.660004,100.25,99.410004,99.989998,4931700,76.561691
"2012-02-21",100.120003,100.75,100,100.489998,4474800,76.944534
"2012-02-22",100.150002,100.75,100.150002,100.660004,3918900,77.074692
"2012-02-23",100.809998,101.040001,100.400002,100.809998,4166500,77.189537
