"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2013-12-17",69.82,69.849998,69.050003,69.059998,4880900,55.278973
"2013-12-18",69.449997,69.599998,68.230003,69.400002,7959500,55.551147
"2013-12-19",68.910004,69.379997,68.720001,69.080002,6962200,55.294998
"2013-12-20",69.110001,70.489998,69.050003,69.879997,8311700,55.935352
"2013-12-23",70.080002,70.75,69.449997,69.559998,4177400,55.679203
"2013-12-24",69.629997,69.980003,69.309998,69.93,1625000,55.975368
"2013-12-26",70,70.440002,69.93,70.190002,2413200,56.183479
"2013-12-27",70.07,70.589996,70.059998,70.389999,1965600,56.343571
"2013-12-30",70.470001,70.639999,69.870003,69.910004,3035400,55.959354
"2013-12-31",69.949997,70.739998,69.75,70.650002,3281300,56.551701
"2014-01-02",70.269997,70.919998,69.529999,69.779999,4351800,55.855289
"2014-01-03",70.080002,70.349998,69.830002,69.959999,3095000,55.999378
"2014-01-06",70.339996,70.809998,70.019997,70.260002,4418300,56.239513
"2014-01-07",70.25,70.489998,69.959999,70.370003,3659500,56.327553
"2014-01-08",70.480003,70.480003,69.519997,69.690002,6405300,55.783249
"2014-01-09",69.809998,69.93,69.129997,69.459999,4078900,55.599144
"2014-01-10",69.620003,69.779999,68.790001,68.870003,4799400,55.126892
"2014-01-13",68.68,68.75,67.480003,67.739998,7244000,54.222382
"2014-01-14",67.830002,68.379997,67.660004,68.32,4783800,54.686638
"2014-01-15",68.370003,68.699997,67.809998,68.080002,4573700,54.494526
"2014-01-16",68.050003,68.07,67.089996,67.830002,5356700,54.29443
"2014-01-17",68.019997,68.290001,67.5,67.510002,4852000,54.038284
"2014-01-21",68.080002,68.269997,67.709999,68.260002,4711800,54.638622
"2014-01-22",68.489998,68.790001,68.050003,68.370003,4100700,54.726665
"2014-01-23",68.050003,68.589996,67.599998,67.849998,4333500,54.310429
"2014-01-24",67.769997,67.769997,66.400002,66.57,6016100,53.285866
"2014-01-27",66.279999,66.599998,65.639999,65.860001,5381000,52.717545
