"dates","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2014-09-17",51.905106,52.386772,51.660675,52.063263,3296809,45.886028
"2014-09-18",52.307693,52.343639,51.969807,52.221424,1837372,46.025417
"2014-09-19",52.444286,52.73185,52.228615,52.465851,4313491,46.240845
"2014-09-22",52.242992,52.25737,51.739758,52.012939,2054785,45.84166
"2014-09-23",51.998562,52.120777,51.538464,51.581596,2065357,45.461506
"2014-09-24",51.63192,52.199856,51.430626,52.070454,2416723,45.892361
"2014-09-25",52.142345,52.271748,51.33717,51.430626,3205838,45.328438
"2014-09-26",51.480949,52.178288,51.358734,52.005753,1971186,45.835339
"2014-09-29",51.660675,52.437096,51.437817,52.235802,2893002,46.038082
"2014-09-30",52.329262,52.451473,51.667866,51.746944,4363011,45.607235
"2014-10-01",51.710999,52.005753,51.114307,51.409058,4238099,45.309425
"2014-10-02",51.437817,51.761322,51.078362,51.416248,3157292,45.315773
"2014-10-03",51.840405,52.358017,51.473759,51.495327,5252416,45.385471
"2014-10-06",51.660675,51.768513,51.286842,51.315601,4215843,45.22707
"2014-10-07",50.941769,50.963337,50.122215,50.129402,8387035,44.18161
"2014-10-08",50.481667,51.761322,50.301941,50.855499,11009070,44.821552
"2014-10-09",50.833931,50.841122,49.575844,49.604603,5514480,43.719074
"2014-10-10",49.755573,50.230049,49.532711,49.827461,6948323,43.915493
"2014-10-13",49.76276,50.14378,48.526241,48.612511,5296789,42.844704
"2014-10-14",48.806614,48.871315,48.360889,48.75629,4914403,42.971424
"2014-10-15",47.785767,48.540619,47.311287,48.332134,6490962,42.856663
"2014-10-16",47.375988,48.979153,47.375988,48.612511,4412808,43.105278
"2014-10-17",49.173256,49.496765,48.864128,49.151688,4036265,43.583374
"2014-10-20",49.029476,49.777138,49.029476,49.698059,2194442,44.067852
"2014-10-21",49.712437,50.431343,49.626167,50.179726,3203056,44.494953
"2014-10-22",50.100647,50.316319,49.604603,49.698059,2753624,44.067852
"2014-10-23",50.050323,50.079079,49.640545,49.784328,2133516,44.144341
"2014-10-24",49.676491,50.258808,49.532711,50.23724,2586704,44.545956
"2014-10-27",50.107838,50.14378,49.813084,50.064701,1974385,44.392948
"2014-10-28",50.38821,50.546371,50.107838,50.47448,2466243,44.756306
"2014-10-29",50.560749,50.589504,49.827461,50.043133,3372758,44.373833
"2014-10-30",49.985622,50.467289,49.899353,50.309132,2917483,44.609703
"2014-10-31",50.726097,51.86916,50.553558,51.639111,8379384,45.789001
"2014-11-03",51.560028,51.646297,51.171818,51.445004,4277047,45.616898
"2014-11-04",51.401871,51.876347,51.301224,51.804459,3248402,45.935619
"2014-11-05",52.1064,52.185478,51.718189,52.077641,2750842,46.177856
"2014-11-06",52.544933,52.73185,52.084831,52.55212,3727741,46.598572
"2014-11-07",52.329262,52.415527,51.68943,52.379581,3368446,46.445595
"2014-11-10",52.602444,53.012222,52.487419,52.674335,3756396,46.706963
"2014-11-11",52.767792,53.040977,52.659958,52.854061,2132959,46.86631
"2014-11-12",52.753414,53.644859,52.724659,53.601727,3970331,47.529282
"2014-11-13",53.637672,54.349388,53.637672,54.198418,5418501,48.058384
"2014-11-14",54.076202,54.133717,53.594536,53.759884,3379017,47.669529
"2014-11-17",53.493889,53.968369,53.134438,53.191948,3078700,47.165928
"2014-11-18",53.191948,53.616104,52.961899,53.335732,3598239,47.293419
"2014-11-19",53.342918,53.407619,52.897198,53.17757,2242988,47.153168
"2014-11-20",53.55859,54.464413,53.551403,54.284687,6258248,48.134872
"2014-11-21",54.931705,55.298347,54.442848,54.536304,5083410,48.35799
"2014-11-24",54.859814,55.111431,54.392525,54.917328,3830675,48.695835
"2014-11-25",54.917328,55.161755,54.56506,54.845436,4484028,48.632088
"2014-11-26",54.95327,55.233646,54.708843,55.176132,3459834,48.925323
"2014-11-28",55.298347,55.765636,55.262402,55.535587,2094011,49.244064
"2014-12-01",54.356579,55.916607,54.349388,55.629044,4344789,49.32692
"2014-12-02",55.657799,56.355141,55.456505,56.333572,5055172,49.951641
"2014-12-03",56.455788,56.484543,55.34148,55.81596,4193865,49.492668
"2014-12-04",55.715313,56.232925,55.276779,55.880661,3092610,49.550045
"2014-12-05",56.132278,56.448597,55.866283,56.29044,2554432,49.913403
"2014-12-08",55.456505,55.823151,54.780731,54.967648,4730652,48.740459
"2014-12-09",54.356579,54.608196,53.918045,54.076202,6214014,47.950001
"2014-12-10",51.150253,52.429909,50.668583,50.704529,14330917,44.960293
"2014-12-11",51.049606,52.451473,50.718906,51.7757,11073751,45.910122
"2014-12-12",52.063263,53.040977,51.941051,52.372395,7858455,46.439213
"2014-12-15",52.501797,52.588066,50.747665,50.776421,7058212,45.024052
"2014-12-16",50.47448,50.934578,49.604603,49.61898,9808497,43.997738
"2014-12-17",49.827461,50.805176,49.748383,50.754852,7527118,45.004925
"2014-12-18",51.24371,51.595974,50.905823,51.574406,6278696,45.731628
"2014-12-19",51.315601,51.948238,50.934578,51.164631,8033164,45.368275
"2014-12-22",51.437817,52.156723,51.214954,52.092018,3439387,46.190605
"2014-12-23",52.120777,52.480228,52.027317,52.250179,2233529,46.330849
"2014-12-24",52.508987,52.544933,52.207047,52.329262,1111548,46.40097
"2014-12-26",52.386772,52.753414,52.235802,52.580875,1448727,46.624084
"2014-12-29",52.55212,53.191948,52.437096,52.882816,2632607,46.891819
"2014-12-30",52.854061,53.040977,52.566498,52.681522,2037120,46.713326
"2014-12-31",52.782169,53.033791,52.322071,52.372395,2141305,46.439213
"2015-01-02",52.796551,52.846874,51.761322,52.012939,2283466,46.12048
"2015-01-05",52.056076,52.278934,50.948959,50.956146,4418651,45.183407
"2015-01-06",51.301224,51.329979,49.877785,50.330696,5004401,44.628815
"2015-01-07",51.020847,52.056076,50.884254,51.998562,4554134,46.107735
"2015-01-08",52.40834,53.040977,52.365204,52.904385,4258268,46.910931
"2015-01-09",52.990654,53.033791,52.322071,52.810928,3687263,46.828075
"2015-01-12",52.588066,52.818115,52.242992,52.415527,3924428,46.477455
"2015-01-13",52.933144,53.019409,51.68943,52.199856,4612417,46.286232
"2015-01-14",51.265278,52.508987,51.171818,51.984184,5022206,46.356743
"2015-01-15",51.861969,52.329262,51.33717,51.365925,5393742,45.805416
"2015-01-16",51.279655,52.127964,50.984901,52.070454,4074656,46.433681
"2015-01-20",52.063263,52.221424,51.00647,51.150253,5162140,45.613091
"2015-01-21",50.891445,51.480949,50.762043,51.401871,3900920,45.837467
"2015-01-22",51.761322,53.292595,51.538464,53.048168,4975746,47.305546
"2015-01-23",53.120056,53.874908,53.019409,53.278217,4535912,47.510696
"2015-01-26",53.048168,53.565781,53.0266,53.371674,3141713,47.594036
"2015-01-27",52.73185,53.199139,52.63839,52.78936,4944031,47.07476
"2015-01-28",53.148815,53.227894,52.350826,52.40834,6663446,46.734993
"2015-01-29",52.228615,53.41481,52.041698,53.393242,4166880,47.613258
"2015-01-30",52.933144,53.062546,51.919483,51.962616,4350770,46.337513
"2015-02-02",52.077641,52.379581,50.682961,52.286125,4317247,46.625992
"2015-02-03",52.760605,53.062546,52.149532,52.918762,4622432,47.190147
"2015-02-04",52.688713,53.342918,52.681522,52.947521,5242540,47.21579
"2015-02-05",52.516174,54.327824,51.840405,54.061825,13024072,48.20948
"2015-02-06",53.846153,53.867722,52.846874,53.148815,6537005,47.395298
"2015-02-09",52.810928,53.350109,52.465851,52.559311,3891323,46.86961
"2015-02-10",52.846874,53.378864,52.516174,53.256649,3254662,47.491467
"2015-02-11",53.364487,53.493889,52.839684,53.191948,3146581,47.433773
"2015-02-12",53.407619,53.846153,52.774982,53.774261,3199578,47.953037
"2015-02-13",53.65205,53.846153,53.364487,53.695183,3667232,47.882523
"2015-02-17",53.544212,54.780731,53.393242,54.672897,5447991,48.754391
"2015-02-18",54.601006,55.197701,54.284687,54.996407,4808687,49.042889
"2015-02-19",55.04673,55.291157,54.615383,55.118622,3266903,49.151863
"2015-02-20",55.132999,55.81596,54.795113,55.736881,5423648,49.703205
"2015-02-23",55.909416,56.29044,55.43494,55.672176,3195266,49.645504
"2015-02-24",55.657799,56.117901,55.413372,55.974117,2801752,49.914757
"2015-02-25",55.974117,56.82243,55.736881,56.764915,3816904,50.619942
"2015-02-26",56.700214,57.153126,56.232925,57.074047,5327252,50.895622
"2015-02-27",56.951832,59.28828,56.67865,58.31057,13631661,51.99828
"2015-03-02",58.231487,59.547089,57.857655,58.806614,4698103,52.440628
"2015-03-03",58.231487,58.677212,57.59166,58.598129,6465924,52.254707
"2015-03-04",57.857655,58.346512,57.347233,57.570091,10754238,51.337963
"2015-03-05",57.562904,58.13084,57.26815,57.886414,4663328,51.620033
"2015-03-06",57.397556,57.721066,56.635513,56.908699,5866682,50.748165
"2015-03-09",56.980591,57.491013,56.937454,57.109993,3303625,50.927677
"2015-03-10",56.772106,56.930267,55.96693,55.988499,4432143,49.927582
"2015-03-11",55.715313,56.211357,54.924515,54.996407,6504038,49.042889
"2015-03-12",55.398994,56.024445,55.168941,55.95974,4022633,49.901932
"2015-03-13",56.319195,56.319195,55.204887,55.722504,3650123,49.690376
"2015-03-16",56.117901,56.412655,55.87347,56.211357,4414756,50.126305
"2015-03-17",56.132278,56.276058,55.909416,55.974117,3957812,49.914757
"2015-03-18",56.0532,57.023724,55.729691,56.750538,3715500,50.607124
"2015-03-19",56.649891,56.930267,56.427032,56.606758,4287758,50.47892
"2015-03-20",56.944645,57.512581,56.700214,56.944645,9703755,50.780216
"2015-03-23",56.9734,57.577282,56.872753,56.987778,4805349,50.818691
"2015-03-24",57.153126,57.771385,57.153126,57.634796,6333362,51.395664
"2015-03-25",57.872036,57.872036,56.872753,56.901508,4799367,50.741749
"2015-03-26",56.455788,56.923077,56.232925,56.470165,3606446,50.357094
"2015-03-27",56.513302,56.843998,56.20417,56.297626,2709390,50.203243
"2015-03-30",56.333572,57.21064,56.333572,57.088425,2802170,50.908428
"2015-03-31",56.944645,57.390366,56.592381,56.592381,3332001,50.466091
"2015-04-01",56.542057,56.714596,56.182602,56.67865,3763907,50.543018
"2015-04-02",56.808052,57.455067,56.419842,57.36161,4933877,51.15205
"2015-04-06",57.124371,57.864845,56.901508,57.318478,3481812,51.113575
"2015-04-07",57.332855,57.433502,56.19698,56.283249,6053354,50.190418
"2015-04-08",56.534866,56.728973,56.017254,56.29044,4377616,50.461105
"2015-04-09",56.103523,56.772106,56.081955,56.73616,5520044,50.860672
"2015-04-10",56.757729,57.59166,56.606758,57.526958,3395570,51.569557
"2015-04-13",57.332855,58.375271,57.045292,58.030193,6024282,52.020679
"2015-04-14",57.692307,57.764198,57.016537,57.239395,3936530,51.311779
"2015-04-15",57.491013,57.828899,57.21064,57.225018,3720369,51.298897
"2015-04-16",57.217831,58.051762,57.059669,57.145939,4174669,51.227993
"2015-04-17",56.764915,57.526958,56.606758,57.332855,5723409,51.395561
"2015-04-20",57.850468,58.468727,57.562904,58.296188,4087314,52.259129
"2015-04-21",58.2243,58.332134,57.721066,58.123653,6560791,52.104465
"2015-04-22",60.035946,61.322788,59.281094,60.416965,17868508,54.160286
"2015-04-23",60.273186,60.704529,59.920921,60.438534,6313749,54.179623
"2015-04-24",60.567936,62.652767,60.445724,62.616821,10596221,56.132324
"2015-04-27",62.616821,62.846874,62.1064,62.264557,5419753,55.81654
"2015-04-28",62.034508,62.717468,61.746944,62.429909,4204158,55.964771
"2015-04-29",62.027317,62.379581,61.861969,62.005753,3999960,55.584545
"2015-04-30",61.86916,62.40834,61.54565,61.797268,3588363,55.397644
"2015-05-01",62.185478,66.132278,62.156723,66.067574,23842714,59.225723
"2015-05-04",66.103523,67.670738,65.406181,65.42775,14124910,58.652161
"2015-05-05",64.924515,65.132996,64.579437,64.694466,6820629,57.994812
"2015-05-06",64.881378,65.003593,63.88929,64.13372,4096773,57.492134
"2015-05-07",64.284683,65.082672,63.939613,64.795113,4677516,58.085037
"2015-05-08",65.420563,65.966927,64.608192,64.615387,6767632,57.923923
"2015-05-11",64.672897,65.075485,64.442848,64.51474,6062813,57.833694
"2015-05-12",64.140907,65.33429,64.04026,64.982025,4013313,58.252583
"2015-05-13",64.795113,65.327103,64.47879,64.629761,2345504,57.936798
"2015-05-14",64.967651,65.233643,64.529114,64.716034,2787703,58.014153
"2015-05-15",65.945366,67.64917,65.492455,67.548523,8643674,60.553322
"2015-05-18",67.433502,68.209923,66.822433,67.282532,5122775,60.314861
"2015-05-19",67.476639,68.260246,67.109993,67.80014,6642442,60.778885
"2015-05-20",68.260246,68.943207,67.68512,68.209923,4932486,61.146217
"2015-05-21",67.958305,68.023003,66.959023,67.17469,4710343,60.218193
"2015-05-22",67.124374,67.160316,65.585907,65.808769,7836616,58.993721
"2015-05-26",65.765633,66.290436,65.204887,65.808769,4183015,58.993721
"2015-05-27",66.520493,66.757729,65.880661,66.125092,4778920,59.277298
"2015-05-28",66.103523,66.276062,65.52121,65.995689,3937086,59.161285
"2015-05-29",65.830338,65.988495,64.550682,64.780731,5159497,58.072147
"2015-06-01",64.601006,65.298347,64.370956,64.89576,3448289,58.175262
"2015-06-02",64.85981,65.255211,64.536308,64.608192,3006368,57.917477
"2015-06-03",65.111427,66.326385,64.701653,65.815964,6914383,59.000179
"2015-06-04",65.240837,65.492455,64.845436,65.075485,3295835,58.336376
"2015-06-05",64.967651,65.528397,64.823868,65.269592,2233668,58.510376
"2015-06-08",65.097054,65.715317,65.017975,65.061104,3706180,58.323479
"2015-06-09",64.967651,65.276779,64.823868,65.125809,2383618,58.381481
"2015-06-10",65.04673,65.966927,65.04673,65.851906,2528977,59.032394
"2015-06-11",66.060387,66.20417,65.564339,65.657799,1651256,58.858387
"2015-06-12",65.463692,65.736877,65.319916,65.499641,3082873,58.71661
"2015-06-15",65.017975,65.449318,64.759163,65.33429,1689091,58.568375
"2015-06-16",65.255211,66.038818,65.255211,66.010063,2982026,59.174171
"2015-06-17",65.844719,65.988495,65.226456,65.63623,2598388,58.839046
"2015-06-18",65.736877,67.095612,65.650612,66.628326,2797162,59.728405
"2015-06-19",66.412651,66.635513,66.304817,66.333572,2845291,59.464176
"2015-06-22",66.58519,67.059669,66.232925,66.441406,3463451,59.560852
"2015-06-23",66.714592,66.772102,66.0532,66.161034,2330203,59.309502
"2015-06-24",66.182602,66.211357,65.758446,65.787201,3475414,58.974396
"2015-06-25",66.024445,66.132278,65.564339,65.693748,3344520,58.89061
"2015-06-26",65.938171,66.901512,65.830338,66.67865,3004421,59.773518
"2015-06-29",65.995689,66.261681,64.299065,64.42128,4646636,57.74992
"2015-06-30",64.982025,65.04673,64.169662,64.759163,3985632,58.052814
"2015-07-01",65.499641,66.427032,65.434937,65.916611,4283167,59.090405
"2015-07-02",66.067574,66.441406,65.233643,65.815964,2807038,59.000179
