"dates","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2010-06-29",110,110.056664,105.936668,108.283333,1725300,108.283333
"2010-06-30",108.513336,109.610001,105.01667,105.206665,1818900,105.206665
"2010-07-01",105.25,105.993332,100.553329,104.023331,2890200,104.023331
"2010-07-02",104.176666,104.779999,102.153336,103.300003,1283400,103.300003
"2010-07-06",104.449997,107.050003,104.099998,104.980003,1310100,104.980003
"2010-07-07",105.316666,107.65667,104.903336,107.40667,1518600,107.40667
"2010-07-08",108.776665,109.48333,106,107.083336,1369200,107.083336
"2010-07-09",107.333336,107.716667,105.576668,106.296669,1890300,106.296669
"2010-07-12",105.910004,106.576668,105.25,105.823334,1407300,105.823334
"2010-07-13",106.683334,110.583336,106.33667,109.873337,1606800,109.873337
"2010-07-14",110.010002,113.683334,110.010002,112.589996,1978800,112.589996
"2010-07-15",112.900002,113.373337,110.743332,111.889999,1480200,111.889999
"2010-07-16",111.82,112.193336,107.986664,108.203331,1686600,108.203331
"2010-07-19",108.666664,109.160004,106.883331,107.693336,1831800,107.693336
"2010-07-20",106.25,108.986664,106,108.696671,2032800,108.696671
"2010-07-21",109.099998,109.980003,104.666664,105.366669,3792600,105.366669
"2010-07-22",102.746666,108.066666,102.269997,105.660004,6439200,105.660004
"2010-07-23",105.316666,111.620003,105.309998,111.456665,2580900,111.456665
"2010-07-26",111.113335,114.863335,111.066666,113.503334,2310600,113.503334
"2010-07-27",114.333336,114.90667,110.699997,111.82,1568100,111.82
"2010-07-28",112.040001,112.639999,109.449997,110.023331,1346700,110.023331
"2010-07-29",111,111.339996,107.426666,109.083336,1164600,109.083336
"2010-07-30",107.716667,111.146667,107.566666,109.456665,1260900,109.456665
"2010-08-02",111.096664,112.706665,110.666664,112.269997,1895400,112.269997
"2010-08-03",112.013336,112.580002,110.98333,111.546669,946500,111.546669
"2010-08-04",111.673332,112.519997,111.306664,111.783333,967500,111.783333
"2010-08-05",111.436668,111.876663,110.136665,111.639999,996900,111.639999
"2010-08-06",110.959999,111.466667,108.709999,110.720001,1001400,110.720001
"2010-08-09",111.010002,111.573334,109.726669,110.473335,972300,110.473335
"2010-08-10",109.083336,109.893333,107.606667,109.209999,1075200,109.209999
"2010-08-11",107.076668,108.43,104.839996,105.666664,1419000,105.666664
"2010-08-12",104.026665,106.706665,103.666664,105.666664,1107600,105.666664
"2010-08-13",105.556664,106.203331,104.699997,105.23333,852900,105.23333
"2010-08-16",103.756668,105.573334,102.896667,103.116669,1288200,103.116669
"2010-08-17",104.416664,105.903336,103.230003,105.639999,1523400,105.639999
"2010-08-18",105.16333,105.839996,104.010002,104.683334,968700,104.683334
"2010-08-19",104.010002,104.33667,101.309998,102.166664,1503300,102.166664
"2010-08-20",101.613335,102.300003,97.333336,97.833336,3235200,97.833336
"2010-08-23",98.083336,99.583336,94.013336,94.313332,3069300,94.313332
"2010-08-24",91.830002,92.59333,88.519997,89.706665,4194600,89.706665
"2010-08-25",90.536667,92.953331,89.849998,92.133331,3617400,92.133331
"2010-08-26",92.75,93.333336,89.32,89.32,2672100,89.32
"2010-08-27",89.666664,91.110001,87.33667,91.023331,2535300,91.023331
"2010-08-30",90.416664,91.220001,88.879997,89.449997,1792800,89.449997
"2010-08-31",88.506668,89.883331,87.540001,88.34333,2019000,88.34333
"2010-09-01",90.403336,91.996666,88.583336,91.353333,1955700,91.353333
"2010-09-02",91.330002,92.550003,90.416664,92.440002,1233600,92.440002
"2010-09-03",93.333336,94.976669,92.666664,93.726669,1387800,93.726669
"2010-09-07",93.013336,94.139999,92.379997,92.673332,1052400,92.673332
"2010-09-08",92.946671,94.550003,92.900002,93.40667,1389000,93.40667
"2010-09-09",94.666664,95.326668,93.40667,94.286667,1645800,94.286667
"2010-09-10",94.603333,94.603333,92.833336,93.34333,1314300,93.34333
"2010-09-13",94.123337,94.536667,92.68,93.120003,1511100,93.120003
"2010-09-14",92.596664,95.883331,92.033333,95.303329,1836300,95.303329
"2010-09-15",93.803329,98.440002,93.803329,97.91333,2464500,97.91333
"2010-09-16",97.82,98.063332,96.419998,97.416664,1247100,97.416664
"2010-09-17",98.176666,100.473335,97.676666,98.589996,2590800,98.589996
"2010-09-20",99.133331,102.480003,99,102.113335,2002800,102.113335
"2010-09-21",103.013336,103.603333,101.286667,101.713333,1956300,101.713333
"2010-09-22",101.556664,103.476669,100.220001,100.400002,1228500,100.400002
"2010-09-23",99.389999,101.26667,99.043335,99.683334,999000,99.683334
"2010-09-24",101.226669,102.066666,100.190002,101.860001,1091400,101.860001
"2010-09-27",99.449997,99.540001,96.073334,96.753334,2957100,96.753334
"2010-09-28",96.76667,97.553329,94.803329,96.676666,2636100,96.676666
"2010-09-29",96.236664,97.956665,95.18,95.660004,1727700,95.660004
"2010-09-30",97.333336,97.333336,94,94.580002,1735500,94.580002
"2010-10-01",95.503334,97.023331,94.756668,96.536667,1605900,96.536667
"2010-10-04",96.199997,96.51667,93.449997,94.416664,1613100,94.416664
"2010-10-05",95.40667,97.919998,94.356667,97.629997,1491600,97.629997
"2010-10-06",97.296669,98.330002,96.246666,97.626663,1369800,97.626663
"2010-10-07",97.833336,97.849998,95.230003,95.720001,1349700,95.720001
"2010-10-08",96.033333,97.046669,95.089996,96.606667,903900,96.606667
"2010-10-11",96.006668,97.816666,96.006668,96.833336,1265400,96.833336
"2010-10-12",96.763336,97.333336,95.333336,95.543335,1567200,95.543335
"2010-10-13",96.003334,96.470001,91.886665,91.900002,3294000,91.900002
"2010-10-14",92.010002,92.133331,90.160004,91.389999,3174000,91.389999
"2010-10-15",92.34333,93.863335,90.416664,93.269997,2715900,93.269997
"2010-10-18",93.333336,95.636665,92.816666,95.196671,2986500,95.196671
"2010-10-19",94.379997,94.379997,91.720001,93.013336,4352700,93.013336
"2010-10-20",87.769997,87.769997,85.033333,86.48333,7987500,86.48333
"2010-10-21",87.493332,87.493332,85.07,85.613335,3410700,85.613335
"2010-10-22",85.613335,89.459999,85.25,88.613335,2716200,88.613335
"2010-10-25",89.769997,89.833336,87.919998,88.599998,1866000,88.599998
"2010-10-26",87.379997,88.93,86.856667,87.976669,1479600,87.976669
"2010-10-27",87,87.333336,85.400002,86.963333,2195100,86.963333
"2010-10-28",87.126663,88.120003,86.746666,87.589996,1089900,87.589996
"2010-10-29",87.293335,88.23333,87.029999,87.650002,1069200,87.650002
"2010-11-01",88.080002,88.91333,86.809998,87.33667,1044300,87.33667
"2010-11-02",87.480003,89.083336,87.360001,88.753334,1000500,88.753334
"2010-11-03",88.916664,90.07,88.190002,89.993332,1261200,89.993332
"2010-11-04",91.589996,92.25,91.333336,91.933334,1673100,91.933334
"2010-11-05",92.300003,93,91.923332,92.756668,914400,92.756668
"2010-11-08",92.253334,92.916664,91.98333,92.366669,861300,92.366669
"2010-11-09",92.693336,93.580002,92.010002,92.653336,1146600,92.653336
"2010-11-10",92.699997,93.286667,90.833336,92.356667,1333200,92.356667
"2010-11-11",91.540001,91.923332,90.003334,91.07,1633800,91.07
"2010-11-12",90.706665,90.776665,88.383331,89.226669,1349100,89.226669
"2010-11-15",89.790001,90.116669,88.333336,89.400002,1050000,89.400002
"2010-11-16",88.566666,89.813332,86.706665,87.519997,1017900,87.519997
"2010-11-17",87.730003,88.666664,87.133331,87.473335,737700,87.473335
"2010-11-18",88.290001,88.916664,86.503334,86.713333,1860600,86.713333
"2010-11-19",86.496666,86.706665,82.01667,82.5,4434000,82.5
"2010-11-22",82.503334,85.489998,82.373337,84.996666,2922300,84.996666
"2010-11-23",83.91333,84.683334,83.43,83.760002,1081500,83.760002
"2010-11-24",84.333336,86.5,84.043335,85.693336,1299300,85.693336
"2010-11-26",85,86.036667,84.253334,84.946671,482700,84.946671
"2010-11-29",84.410004,85.386665,83.466667,84.816666,906600,84.816666
"2010-11-30",83.870003,87.463333,83.529999,86.763336,2125500,86.763336
"2010-12-01",87.146667,89.253334,87.076668,88.769997,1699800,88.769997
"2010-12-02",89.190002,89.910004,89.013336,89.476669,1374600,89.476669
"2010-12-03",89.066666,90.666664,89.066666,90.440002,1200900,90.440002
"2010-12-06",90.333336,90.65667,89.263336,90.063332,1392300,90.063332
"2010-12-07",91,91.323334,86.76667,86.883331,3065400,86.883331
"2010-12-08",87.01667,87.889999,85.949997,86.683334,2815500,86.683334
"2010-12-09",86.866669,87.446671,86.456665,86.833336,1437600,86.833336
"2010-12-10",86.963333,87.330002,86.056664,86.690002,1653300,86.690002
"2010-12-13",86.666664,87.133331,84.416664,84.900002,1949400,84.900002
"2010-12-14",84.996666,87.110001,84.926666,86.666664,1656900,86.666664
"2010-12-15",86.230003,86.830002,84.666664,85.419998,1474200,85.419998
"2010-12-16",85.5,87.846664,85.026665,87.75,1551600,87.75
"2010-12-17",88.166664,89.683334,87.903336,88.58667,3054600,88.58667
"2010-12-20",88.773331,90.293335,88.620003,90.183334,1795200,90.183334
"2010-12-21",90.436668,90.66333,88.083336,88.953331,1425900,88.953331
"2010-12-22",89.23333,89.830002,88.416664,88.669998,636600,88.669998
"2010-12-23",88.423332,88.91333,87.440002,87.739998,514500,87.739998
"2010-12-27",87.650002,88,86.879997,87.446671,523500,87.446671
"2010-12-28",87.379997,87.65667,86.723335,86.866669,441600,86.866669
"2010-12-29",86.833336,87.5,86.099998,86.463333,580200,86.463333
"2010-12-30",86.279999,86.326668,85.529999,85.653336,582000,85.653336
"2010-12-31",85.636665,86.383331,85.006668,85.916664,777000,85.916664
"2011-01-03",87.26667,90.473335,87.26667,89.666664,2061300,89.666664
"2011-01-04",90.473335,90.970001,90.040001,90.566666,1480200,90.566666
"2011-01-05",90.040001,91.666664,89.339996,91.209999,1156500,91.209999
"2011-01-06",91.620003,91.620003,89.166664,89.559998,1021200,89.559998
"2011-01-07",89.443336,89.989998,88.376663,89.133331,981000,89.133331
"2011-01-10",88.856667,90.739998,88.51667,90.526665,771300,90.526665
"2011-01-11",90.860001,94.793335,90.676666,93.66333,2169600,93.66333
"2011-01-12",94.643333,94.933334,92.830002,94.07,1456800,94.07
"2011-01-13",93.996666,93.996666,92.5,93.036667,744000,93.036667
"2011-01-14",93.18,96.316666,93.033333,96.09333,2277000,96.09333
"2011-01-18",96.333336,99.003334,96.153336,98.773331,2155200,98.773331
"2011-01-19",98.863335,98.863335,96.303329,96.816666,2086200,96.816666
"2011-01-20",96.019997,96.973335,94.106667,96.610001,3366900,96.610001
"2011-01-21",107.726669,111.463333,107.226669,108.860001,9600600,108.860001
"2011-01-24",108.826668,111.333336,108.040001,109.330002,2568000,109.330002
"2011-01-25",108.160004,110.616669,107.416664,110.309998,3060300,110.309998
"2011-01-26",109.176666,112.953331,109.116669,112.686668,2544300,112.686668
"2011-01-27",112.583336,112.616669,111.25,111.389999,1842900,111.389999
"2011-01-28",111.796669,111.980003,108.650002,109.309998,1713300,109.309998
"2011-01-31",109.126663,109.790001,107.34333,107.636665,1800300,107.636665
"2011-02-01",108.326668,112.633331,108.110001,110.860001,1820700,110.860001
"2011-02-02",110.443336,110.849998,108.856667,109.263336,1187100,109.263336
"2011-02-03",108.866669,110.426666,108.333336,110.160004,804000,110.160004
"2011-02-04",110.023331,110.900002,109.010002,110.419998,1040700,110.419998
"2011-02-07",109.973335,111.620003,109.666664,111.139999,983400,111.139999
"2011-02-08",111.366669,112.65667,110.83667,111.309998,777600,111.309998
"2011-02-09",111.900002,112.470001,110.739998,111.183334,828600,111.183334
"2011-02-10",110.190002,112.666664,109.690002,112.400002,785700,112.400002
"2011-02-11",111.846664,115.596664,111.34333,115.089996,1252200,115.089996
"2011-02-14",114.953331,114.989998,113.543335,114.769997,677100,114.769997
"2011-02-15",113.876663,114.753334,113.256668,113.730003,658200,113.730003
"2011-02-16",113.730003,114.963333,112.809998,113.330002,727800,113.330002
"2011-02-17",113.330002,113.970001,111.666664,113.66333,945900,113.66333
"2011-02-18",113.660004,114.470001,113.023331,113.639999,997800,113.639999
"2011-02-22",112.550003,113.526665,109.583336,110.370003,1336800,110.370003
"2011-02-23",109.730003,110.643333,107.32,109.046669,1006200,109.046669
"2011-02-24",108.589996,109.503334,108.193336,109.33667,1041600,109.33667
"2011-02-25",109.546669,112.666664,109.403336,111.643333,859200,111.643333
"2011-02-28",111.84333,112.583336,108.66333,109.316666,975600,109.316666
"2011-03-01",110.203331,110.263336,106.199997,106.603333,1601700,106.603333
"2011-03-02",106.303329,107.919998,105.543335,107.603333,995100,107.603333
"2011-03-03",109.169998,110.833336,108.48333,110.573334,998100,110.573334
"2011-03-04",109.876663,110.849998,108.546669,110.68,1048500,110.68
"2011-03-07",110.830002,111.173332,108.563332,109.863335,1598700,109.863335
"2011-03-08",109.553329,111.126663,108.616669,110.576668,1045200,110.576668
