"dates","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2011-05-25",45.955399,45.973278,45.41906,45.571022,1415818,33.445057
"2011-05-26",45.410118,45.767681,45.034683,45.678291,2330238,33.523777
"2011-05-27",45.821316,45.848129,45.124073,45.517387,1615505,33.405704
"2011-05-31",45.749802,45.928581,45.088318,45.276035,1898423,33.228554
"2011-06-01",44.963169,45.133011,44.641365,44.695,3574561,32.802132
"2011-06-02",44.614548,44.757572,43.783222,43.79216,2109520,32.139519
"2011-06-03",43.372028,43.389908,42.710541,42.97871,3782190,31.542538
"2011-06-06",43.041286,43.845795,42.549641,42.567516,2422530,31.240749
"2011-06-07",42.701603,43.184307,42.594334,42.790993,1907260,31.404753
"2011-06-08",42.647968,43.023407,42.218899,42.281471,2096208,31.030819
"2011-06-09",42.415554,42.683723,42.066933,42.531761,1642242,31.214495
"2011-06-10",42.263592,42.630093,41.84346,41.977543,1702204,30.807766
"2011-06-13",41.986485,42.415554,41.593166,41.923908,1535519,30.768396
"2011-06-14",42.335106,42.710541,42.263592,42.504944,1374986,31.194818
"2011-06-15",42.031178,42.281471,41.691498,42.02224,2304396,30.840567
"2011-06-16",42.057995,42.218899,41.637863,41.888153,2327218,30.742153
"2011-06-17",42.18314,42.656906,41.950726,42.120567,2237275,30.912724
"2011-06-20",41.834518,42.335106,41.736191,42.156322,1860723,30.938963
"2011-06-21",42.415554,43.488235,42.27253,43.345211,2226759,31.81151
"2011-06-22",43.211124,43.818977,43.094917,43.139614,1761159,31.66062
"2011-06-23",42.764175,43.577625,42.630093,43.515053,1763508,31.936155
"2011-06-24",43.550808,43.926247,43.237942,43.363091,1474662,31.824619
