"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2012-02-29",57.66,57.700001,56.779999,57.029999,711800,47.141148
"2012-03-01",57.360001,57.360001,56.48,56.48,607300,46.686508
"2012-03-02",56.43,57.290001,56.360001,56.880001,504900,47.017143
"2012-03-05",56.849998,56.849998,56.07,56.5,510000,46.70306
"2012-03-06",56.049999,56.360001,55.34,55.439999,626500,45.826847
"2012-03-07",55.380001,55.919998,55.310001,55.779999,336500,46.107887
"2012-03-08",56.139999,56.389999,55.810001,56.189999,556300,46.446793
"2012-03-09",56.349998,56.529999,56.060001,56.200001,709500,46.455059
"2012-03-12",56.200001,56.490002,55.939999,56.040001,412800,46.322803
"2012-03-13",56.119999,56.540001,55.869999,56.43,579600,46.645168
"2012-03-14",56.369999,56.869999,56.32,56.57,349100,46.760906
"2012-03-15",56.639999,57.220001,56.450001,57.220001,470100,47.298203
"2012-03-16",57.310001,57.419998,57,57.240002,484100,47.314735
"2012-03-19",56.639999,57.279999,56.639999,57.130001,287400,47.480946
"2012-03-20",56.73,57.099998,56.610001,56.950001,457600,47.331345
"2012-03-21",56.939999,57.259998,56.830002,57.099998,512400,47.456013
"2012-03-22",56.720001,56.799999,56.299999,56.639999,611100,47.073711
"2012-03-23",56.630001,57.259998,56.5,57.099998,354200,47.456013
"2012-03-26",57.5,57.91,57.43,57.900002,494400,48.120907
"2012-03-27",57.900002,58.669998,57.869999,58.619999,555400,48.719288
"2012-03-28",58.549999,58.759998,58.119999,58.470001,761900,48.594627
"2012-03-29",57.950001,58.259998,57.700001,58.130001,626400,48.312054
"2012-03-30",58.380001,58.889999,58.09,58.599998,741600,48.702656
"2012-04-02",58.509998,59.700001,58.32,59.610001,621800,49.542088
"2012-04-03",59.610001,59.610001,58.75,59.27,663100,49.259518
"2012-04-04",58.630001,58.950001,58.41,58.66,482200,48.752533
"2012-04-05",58.48,58.830002,58.25,58.59,768800,48.694355
"2012-04-09",57.91,58.130001,57.619999,57.990002,602200,48.195713
"2012-04-10",57.869999,58.029999,56.77,56.790001,751900,47.19836
"2012-04-11",57.439999,57.959999,57.240002,57.509998,1592900,47.796772
"2012-04-12",57.66,58.970001,57.400002,58.529999,693400,48.644485
"2012-04-13",58.349998,58.470001,57.939999,58.009998,479200,48.212322
"2012-04-16",58.360001,58.509998,57.610001,58.32,460200,48.469959
"2012-04-17",58.66,59.189999,58.549999,58.919998,379800,48.96862
"2012-04-18",58.740002,59.310001,58.610001,59.139999,444100,49.151466
"2012-04-19",59.150002,59.369999,58.799999,59.23,794700,49.226273
"2012-04-20",59.360001,59.84,59.259998,59.439999,462300,49.400784
"2012-04-23",58.900002,59.049999,58.540001,58.990002,612500,49.02681
"2012-04-24",59.119999,59.48,59,59.130001,430500,49.14315
"2012-04-25",59.689999,59.759998,59.369999,59.549999,533400,49.492229
"2012-04-26",59.369999,60.330002,59.240002,60.130001,347700,49.974255
"2012-04-27",60.34,60.799999,60.119999,60.540001,496000,50.315018
"2012-04-30",60.400002,60.610001,60,60.209999,620400,50.040737
"2012-05-01",60,60.91,59.889999,60.389999,446500,50.190346
"2012-05-02",60.119999,60.59,59.990002,60.360001,531900,50.165421
"2012-05-03",60.209999,60.66,59.889999,59.98,622300,49.849594
"2012-05-04",59.459999,59.630001,58.599998,58.880001,867000,48.935371
"2012-05-07",58.68,59.66,58.68,59.48,724000,49.434048
"2012-05-08",57.509998,58.77,57.509998,58.669998,1008100,48.760853
"2012-05-09",58.049999,58.900002,57.720001,58.419998,878100,48.553082
"2012-05-10",58.860001,58.860001,58.209999,58.32,768400,48.469959
"2012-05-11",58.07,58.52,57.950001,57.98,638200,48.187389
"2012-05-14",57.459999,57.900002,57.32,57.59,524900,47.863262
"2012-05-15",57.639999,57.77,57.16,57.400002,656200,47.705345
"2012-05-16",57.540001,57.790001,56.73,57.09,957600,47.447697
"2012-05-17",57.040001,57.189999,55.57,55.580002,630500,46.192738
"2012-05-18",56,56.07,55.18,55.400002,856100,46.043137
"2012-05-21",55.5,57.25,55.419998,57.200001,615200,47.539135
"2012-05-22",57.209999,57.470001,56.849998,57.09,502700,47.447697
"2012-05-23",56.669998,57.049999,55.77,56.93,904000,47.314732
"2012-05-24",56.91,57.470001,56.630001,57.34,495900,47.655479
"2012-05-25",57.279999,57.560001,56.880001,57.029999,253900,47.397831
"2012-05-29",57.59,58.169998,57.380001,57.779999,276000,48.021175
"2012-05-30",57.189999,57.369999,56.560001,56.57,559900,47.015526
"2012-05-31",56.549999,56.630001,55.900002,56.380001,707400,46.857632
"2012-06-01",55.639999,55.650002,54.150002,54.349998,1132900,45.170483
"2012-06-04",54.470001,54.540001,53.73,54.310001,597600,45.137241
"2012-06-05",54.029999,54.650002,53.889999,54.509998,357300,45.303452
"2012-06-06",54.959999,55.82,54.959999,55.82,367700,46.392212
"2012-06-07",57.84,57.84,56,56.080002,535600,46.608292
"2012-06-08",55.869999,56.490002,55.529999,56.490002,261900,46.949051
"2012-06-11",56.959999,57.099998,55.849998,55.880001,503700,46.442074
"2012-06-12",56.119999,56.41,55.84,56.41,484800,46.882565
"2012-06-13",56.220001,56.23,55.150002,55.34,470200,45.993279
"2012-06-14",55.450001,55.93,55.200001,55.779999,492200,46.358959
"2012-06-15",56.110001,56.630001,56,56.439999,512100,46.907486
"2012-06-18",56.41,56.77,56.07,56.66,471800,47.090332
"2012-06-19",56.66,57.82,56.66,57.610001,403000,47.879887
"2012-06-20",57.540001,57.540001,56.73,56.990002,548000,47.36459
"2012-06-21",57.099998,57.169998,55.700001,55.779999,564700,46.358959
"2012-06-22",55.689999,55.84,54.950001,55.650002,451300,46.509403
"2012-06-25",54.990002,55,54.240002,54.389999,431400,45.456348
"2012-06-26",54.549999,54.740002,53.939999,54.310001,429300,45.389488
"2012-06-27",54.48,54.610001,54.07,54.299999,338500,45.381126
"2012-06-28",53.919998,54.66,53.77,54.560001,389300,45.598427
"2012-06-29",55.209999,55.560001,54.740002,54.799999,1011600,45.799
"2012-07-02",54.57,55.029999,54.209999,54.34,725200,45.414566
"2012-07-03",54.349998,54.970001,54.16,54.950001,396400,45.924362
"2012-07-05",54.790001,55.34,54.650002,55,518000,45.966148
"2012-07-06",54.509998,54.66,53.84,54.060001,497800,45.180557
"2012-07-09",54.139999,54.419998,53.689999,54.389999,852300,45.456348
"2012-07-10",54.68,55.27,53.619999,53.900002,367000,45.046829
"2012-07-11",53.84,54.240002,53.639999,54.02,365300,45.147129
"2012-07-12",53.540001,54.099998,53.470001,53.830002,429700,44.988338
"2012-07-13",54.060001,55.169998,54.009998,54.580002,414600,45.615147
"2012-07-16",54.740002,54.740002,53.880001,54.169998,298100,45.272484
"2012-07-17",54.439999,54.810001,54.080002,54.790001,253000,45.790657
"2012-07-18",54.540001,54.880001,54.389999,54.869999,221800,45.857513
"2012-07-19",54.939999,55.73,54.91,55.41,296900,46.308815
"2012-07-20",55.080002,55.290001,54.849998,55.07,412200,46.024666
"2012-07-23",54.16,54.259998,53.740002,53.950001,251600,45.088619
"2012-07-24",53.900002,54.029999,53.029999,53.330002,281300,44.570457
"2012-07-25",53.619999,54.060001,53.32,53.860001,449400,45.013416
