"dates","WLTW.Open","WLTW.High","WLTW.Low","WLTW.Close","WLTW.Volume","WLTW.Adjusted"
"2012-06-05",92.450333,93.112579,92.423843,92.980133,156209,77.403282
"2012-06-06",93.192055,95.019867,93.192055,95.019867,240241,79.101311
"2012-06-07",95.788078,96.105957,94.119202,94.251656,416684,78.461815
"2012-06-08",94.145699,94.357613,93.509933,94.278145,147640,78.483856
"2012-06-11",94.728477,94.807945,92.662254,92.715233,533936,77.182785
"2012-06-12",92.741722,93.854301,92.688744,93.827812,192412,78.108978
"2012-06-13",93.536423,94.62252,93.033112,93.37748,282861,77.73407
"2012-06-14",93.668877,94.013245,92.794701,93.006622,224612,77.425323
"2012-06-15",93.37748,93.721855,93.218544,93.721855,160400,78.020767
"2012-06-18",93.589401,94.64901,93.430466,94.039734,322611,78.285378
"2012-06-19",94.172188,95.311256,94.172188,94.807945,297847,78.924873
"2012-06-20",94.940399,95.125832,94.013245,94.62252,232200,78.770531
"2012-06-21",94.834435,95.364235,93.748344,94.225166,177123,78.439728
"2012-06-22",94.384109,95.046356,93.986755,94.834435,321894,78.946953
"2012-06-25",94.145699,94.675499,93.245033,93.721855,304114,78.020767
"2012-06-26",94.066223,94.569534,93.059601,93.483444,313325,77.822289
"2012-06-27",92.82119,93.165565,92.344368,92.874168,240769,77.911171
"2012-06-28",92.82119,94.91391,92.476822,94.754967,350924,79.48896
"2012-06-29",95.761589,96.953644,95.549667,96.662254,358361,81.088966
"2012-07-02",97.218544,97.748344,96.980133,97.403976,247149,81.711159
"2012-07-03",97.695366,97.748344,96.503311,97.483444,100943,81.77784
"2012-07-05",97.192055,98.887421,97.165565,98.834435,392336,82.911179
"2012-07-06",98.145699,98.437088,97.801323,98.437088,479651,82.577858
"2012-07-09",98.490067,98.490067,97.165565,97.562912,171272,81.844513
"2012-07-10",97.456955,98.119202,96.980133,97.218544,212646,81.555618
"2012-07-11",97.033112,97.430466,96.370857,97.08609,227481,81.444527
"2012-07-12",96.317879,97.37748,95.788078,96.715233,182974,81.133415
"2012-07-13",97.112579,98.013245,96.741722,97.748344,223782,82.000061
"2012-07-16",97.695366,97.933777,97.112579,97.112579,208984,81.466721
"2012-07-17",97.456955,98.675499,97.35099,98.145699,362060,82.333382
"2012-07-18",97.907288,99.125832,97.907288,98.463577,355756,82.60009
"2012-07-19",98.701988,99.337746,98.278145,98.410599,353566,82.555626
"2012-07-20",98.145699,98.543045,97.801323,98.145699,380369,82.333382
"2012-07-23",97.08609,98.092712,96.847679,97.933777,335673,82.155617
"2012-07-24",98.543045,98.543045,95.894043,96.55629,332691,81.000084
"2012-07-25",96.5298,97.35099,96.158943,96.847679,245337,81.244492
"2012-07-26",97.562912,98.225166,97.324501,97.536423,356511,81.822281
"2012-07-27",97.774834,99.523178,97.774834,98.860924,543789,82.933372
"2012-07-30",98.701988,98.887421,97.960266,98.145699,615929,82.333382
"2012-07-31",98.887421,99.17881,97.589401,97.960266,834086,82.177864
"2012-08-01",98.807945,98.807945,96.2649,96.370857,504717,80.844505
"2012-08-02",95.390732,95.390732,90.357613,91.099335,1077423,76.42231
"2012-08-03",93.059601,94.966888,92.609268,94.966888,466628,79.666718
"2012-08-06",94.596024,95.152321,93.933777,94.463577,430237,79.244507
"2012-08-07",94.463577,95.311256,93.960266,94.516556,389995,79.288963
"2012-08-08",94.092712,94.64901,93.218544,93.907288,234276,78.777863
"2012-08-09",93.615891,94.437088,93.112579,93.589401,210192,78.511169
"2012-08-10",92.768211,93.960266,92.450333,93.960266,194601,78.822273
"2012-08-13",93.960266,94.092712,93.509933,94.039734,127255,78.888947
"2012-08-14",95.364235,96.158943,94.675499,96.158943,596865,80.66674
"2012-08-15",96.211922,97.139076,96.026489,97.139076,498979,81.488983
"2012-08-16",96.927155,97.668877,96.82119,97.642387,853037,81.911186
"2012-08-17",97.721855,98.066223,97.536423,98.066223,492864,82.266739
"2012-08-20",98.225166,98.225166,97.059601,97.668877,282294,81.933411
"2012-08-21",97.642387,98.251656,97.642387,97.748344,359569,82.000061
"2012-08-22",97.615891,97.801323,96.794701,97.139076,205360,81.488983
"2012-08-23",97.139076,97.721855,96.688744,97.271523,377311,81.600098
"2012-08-24",97.059601,98.119202,97.059601,97.774834,267043,82.022285
"2012-08-27",97.854301,98.172188,97.37748,97.880798,174631,82.111191
"2012-08-28",97.509933,97.933777,97.059601,97.059601,194714,81.422302
"2012-08-29",96.874168,97.37748,96.688744,97.006622,116798,81.377823
"2012-08-30",96.688744,96.874168,95.894043,96.609268,82370,81.044518
"2012-08-31",96.900665,98.91391,96.609268,98.860924,314948,82.933372
"2012-09-04",98.039734,98.701988,97.35099,97.721855,284031,81.977844
"2012-09-05",97.668877,97.960266,97.298012,97.483444,168252,81.77784
"2012-09-06",97.483444,98.251656,97.37748,97.562912,259607,81.844513
"2012-09-07",97.907288,97.907288,96.953644,97.668877,165458,81.933411
"2012-09-10",97.695366,98.092712,97.456955,97.880798,161079,82.111191
"2012-09-11",97.748344,98.410599,96.900665,97.218544,271271,81.555618
"2012-09-12",97.589401,98.304634,97.483444,97.960266,292072,82.177864
"2012-09-13",97.907288,100.344368,97.907288,100.344368,310871,84.177879
"2012-09-14",100.291389,100.503311,97.536423,97.536423,561342,81.822281
"2012-09-17",97.37748,97.960266,97.245033,97.37748,271460,81.688965
"2012-09-18",97.456955,98.066223,95.364235,95.920532,482067,80.466728
"2012-09-19",96.105957,96.847679,95.920532,96.582779,512758,81.022278
"2012-09-20",95.708611,96.609268,95.708611,96.476822,373121,80.933395
"2012-09-21",96.715233,97.271523,96.079468,96.185432,249867,80.688965
"2012-09-24",95.814568,96.847679,95.496689,96.688744,227255,81.111183
"2012-09-25",97.139076,97.35099,96.609268,96.768211,510342,81.177841
"2012-09-26",96,96.5298,95.761589,96.450333,282257,81.513672
"2012-09-27",97.033112,97.509933,96.158943,97.37748,293808,82.297226
"2012-09-28",97.536423,97.880798,96.874168,97.801323,326726,82.655426
"2012-10-01",97.960266,99.655632,97.933777,98.437088,503887,83.192757
"2012-10-02",98.62252,99.019867,98.013245,98.251656,333446,83.036018
"2012-10-03",97.748344,98.384109,96.609268,97.509933,423177,82.409187
"2012-10-04",97.483444,98.410599,97.324501,98.225166,267647,83.013649
"2012-10-05",98.887421,99.629143,98.331123,98.64901,186485,83.371857
"2012-10-08",98.145699,99.072845,97.960266,98.860924,117742,83.550941
"2012-10-09",98.701988,98.887421,97.801323,97.933777,141072,82.767387
"2012-10-10",97.562912,97.668877,96.132446,96.715233,476178,81.737549
"2012-10-11",96,96.82119,96,96.741722,274140,81.759941
"2012-10-12",94.860924,97.615891,94.860924,96.370857,236919,81.446495
"2012-10-15",96.370857,96.768211,95.788078,96.582779,171725,81.625595
"2012-10-16",97.960266,97.960266,96.450333,97.748344,330350,82.61068
"2012-10-17",98.993378,99.125832,95.867554,96.476822,694411,81.536018
"2012-10-18",96.609268,97.192055,95.947021,96.132446,404151,81.245018
"2012-10-19",95.788078,96.185432,94.410599,94.64901,304038,79.991295
"2012-10-22",94.887421,95.099335,93.748344,94.384109,279652,79.767426
"2012-10-23",91.602646,93.960266,91.576157,93.37748,462890,78.916679
"2012-10-24",84.715233,89.245033,84.715233,88,1279649,74.371979
"2012-10-25",88.874168,89.668877,88,88.953644,989767,75.177963
"2012-10-26",89.298012,89.615891,88.2649,88.741722,533747,74.998833
"2012-10-31",88.82119,89.430466,88.158943,89.192055,607435,75.379402
"2012-11-01",89.37748,91.867554,89.37748,90.516556,441297,76.49881
"2012-11-02",90.91391,90.91391,89.642387,90.119202,352207,76.162987
"2012-11-05",90.437088,91.549667,90.198677,91.231789,545336,77.103279
"2012-11-06",91.44371,92.953644,91.44371,92.344368,414457,78.043587
"2012-11-07",91.841057,92,89.589401,90.543045,301962,76.521202
"2012-11-08",90.701988,91.072845,89.907288,89.933777,196375,76.006294
"2012-11-09",89.801323,90.384109,89.430466,89.721855,249301,75.827179
"2012-11-12",90.278145,90.278145,89.430466,89.536423,597545,75.670456
"2012-11-13",89.562912,90.039734,88.953644,89.456955,249527,75.60331
"2012-11-14",89.536423,89.748344,88.635765,88.82119,719439,75.06601
"2012-11-15",88.715233,89.483444,88.291389,89.271523,825026,75.446564
"2012-11-16",89.033112,89.668877,88.82119,89.615891,295431,75.737648
"2012-11-19",89.192055,90.278145,89.139076,90.092712,221970,76.140602
"2012-11-20",90.066223,90.887421,89.827812,90.860924,199773,76.789856
"2012-11-21",90.225166,91.841057,90.225166,91.523178,239486,77.349571
"2012-11-23",91.894043,92.026489,91.576157,91.947021,46583,77.707764
"2012-11-26",91.947021,92.317879,90.834435,91.17881,250622,77.058525
"2012-11-27",91.231789,91.231789,90.092712,90.172188,215024,76.207787
"2012-11-28",89.801323,90.807945,89.562912,90.64901,408379,76.610779
"2012-11-29",90.516556,91.17881,90.331123,90.516556,215515,76.49881
"2012-11-30",90.675499,92.927155,90.62252,92.927155,387315,78.536095
"2012-12-03",91.788078,92.715233,91.284767,91.44371,274140,77.282379
"2012-12-04",91.496689,92.158943,91.390732,91.920532,191090,77.685364
"2012-12-05",92.185432,92.688744,91.814568,92.688744,258097,78.33461
"2012-12-06",91.788078,92.927155,91.788078,92.927155,171574,78.536095
"2012-12-07",92.662254,92.874168,91.046356,91.44371,158776,77.282379
