"dates","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2010-12-27",85.230003,86.599998,84.940002,86.589996,331100,61.668949
"2010-12-28",86.589996,87,86.019997,86.889999,509700,61.882629
"2010-12-29",86.800003,86.800003,85.830002,86.510002,698700,61.968559
"2010-12-30",86.589996,86.849998,86.400002,86.529999,548300,61.982891
"2010-12-31",86.529999,86.980003,86.029999,86.099998,745900,61.674877
"2011-01-03",86.860001,89.32,86.839996,89.18,1505500,63.881145
"2011-01-04",89.470001,89.580002,86.199997,86.5,1907300,61.961411
"2011-01-05",86.18,87.419998,85.940002,87.080002,1074800,62.376881
"2011-01-06",87.099998,87.360001,85.639999,85.870003,1562400,61.510147
"2011-01-07",86.110001,86.730003,84.209999,84.93,1702500,60.836815
"2011-01-10",84.57,85.089996,83.900002,84.68,1387300,60.657726
"2011-01-11",84.82,85.540001,84.120003,84.660004,941800,60.643402
"2011-01-12",85.019997,86.629997,85.010002,86.459999,1344200,61.932774
"2011-01-13",86.599998,87.43,86.209999,87.209999,991100,62.470001
"2011-01-14",87.43,89.5,87.209999,89.470001,1646500,64.08889
"2011-01-18",89.230003,90.970001,89.160004,90.580002,1386400,64.883987
"2011-01-19",90.410004,90.699997,89.389999,89.629997,1517600,64.203491
"2011-01-20",89.550003,90.769997,89.470001,89.949997,1464500,64.432701
"2011-01-21",89.989998,90.290001,89.279999,90.290001,1188800,64.676247
"2011-01-24",90.330002,91.290001,89.949997,90.519997,1068500,64.841003
"2011-01-25",90.110001,91.290001,89.830002,91.260002,1150500,65.371071
"2011-01-26",93.620003,93.800003,91.75,92.330002,1157300,66.13755
"2011-01-27",92.989998,93.760002,92.660004,93.720001,1216600,67.133247
"2011-01-28",93.610001,94.260002,92.440002,92.709999,1117600,66.409721
"2011-01-31",93.029999,94.940002,93.029999,94.370003,987200,67.598808
"2011-02-01",94.919998,95.120003,93.120003,93.769997,1105300,67.169044
"2011-02-02",93.480003,94.260002,93.18,93.410004,957200,66.911163
"2011-02-03",93.400002,94.209999,92.879997,93.980003,816700,67.319466
"2011-02-04",93.870003,94.129997,92.93,93.339996,1047500,66.861008
"2011-02-07",93.760002,94.919998,93.32,94.690002,1201400,67.828056
"2011-02-08",94.760002,95.529999,94.57,94.870003,1196100,67.956985
"2011-02-09",94.32,95,94.18,94.75,1073900,67.871048
"2011-02-10",94.349998,95.779999,94.349998,95.370003,1146600,68.315147
"2011-02-11",95.099998,96.339996,95.059998,95.900002,1040700,68.694801
"2011-02-14",95.900002,96.220001,94.559998,95.370003,653200,68.315147
"2011-02-15",94.830002,96.269997,94.519997,95.470001,938100,68.386795
"2011-02-16",95.910004,96.589996,94.849998,95.209999,792400,68.200516
"2011-02-17",95.019997,95.050003,94.389999,94.510002,804100,67.699097
"2011-02-18",94.25,95.269997,94.139999,94.989998,933500,68.042938
"2011-02-22",94.269997,95.769997,93.879997,94,1392500,67.333763
"2011-02-23",94.129997,94.529999,92.519997,93,1385500,66.617477
"2011-02-24",92.730003,93.779999,92.059998,92.449997,1108700,66.22348
"2011-02-25",93.120003,94.010002,93.040001,93.730003,1468900,67.140381
"2011-02-28",93.989998,96.360001,93.959999,95.919998,1542000,68.709099
"2011-03-01",96.099998,96.150002,93.400002,93.650002,1375300,67.083099
"2011-03-02",93.730003,93.800003,92.080002,92.690002,1127300,66.395416
"2011-03-03",93.620003,94.050003,93.239998,94.019997,1072000,67.348122
"2011-03-04",93.739998,94.040001,92.230003,92.730003,770900,66.42408
"2011-03-07",93.059998,93.559998,91.800003,92.339996,588500,66.144691
"2011-03-08",92.550003,93.82,92.550003,93.370003,983400,66.882515
"2011-03-09",93.32,94,92.68,93.449997,1004300,66.939812
"2011-03-10",92.269997,93.019997,91.440002,91.57,1222400,65.59314
"2011-03-11",91.209999,93.480003,91.07,93.230003,951200,66.782219
"2011-03-14",92.589996,92.860001,91.970001,92.040001,1035600,65.929802
"2011-03-15",89.889999,93.029999,89.82,91.959999,1577100,65.872536
"2011-03-16",91.839996,92.010002,89.93,90.410004,1227800,64.76223
"2011-03-17",91.779999,91.940002,90.730003,91.660004,827200,65.657608
"2011-03-18",92.910004,93.129997,91.480003,91.519997,1535500,65.55732
"2011-03-21",92.559998,93.059998,91.93,92.379997,847100,66.173355
"2011-03-22",92.519997,92.959999,91.870003,92.199997,884400,66.044426
"2011-03-23",92.010002,92.260002,90.010002,91,863600,65.184837
"2011-03-24",91.349998,91.660004,90.239998,91.43,1097500,65.492867
"2011-03-25",91.830002,92.980003,91.519997,92.889999,959000,66.538681
"2011-03-28",93,93.720001,92.879997,93.199997,1222600,66.760742
"2011-03-29",92.779999,93.800003,92.400002,93.519997,1759800,67.351295
"2011-03-30",93.82,94.120003,93.300003,93.940002,1244100,67.65377
"2011-03-31",93.800003,94.949997,93.57,94.849998,776600,68.309128
"2011-04-01",95.529999,96.639999,95.169998,96.540001,1567300,69.526245
"2011-04-04",96.519997,97.040001,96.309998,96.629997,776400,69.591042
"2011-04-05",96.349998,96.980003,96.239998,96.610001,475600,69.576645
"2011-04-06",96.730003,97.050003,95.800003,95.870003,797300,69.043709
"2011-04-07",95.839996,96.050003,94.489998,94.849998,1078800,68.309128
"2011-04-08",95.410004,95.480003,93.699997,93.910004,760100,67.632179
"2011-04-11",94.25,94.919998,94.220001,94.769997,607000,68.251503
"2011-04-12",94.349998,95.110001,94.190002,94.440002,950800,68.013855
