"dates","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2011-06-09",50.330002,50.48,49.189999,49.849998,8241100,42.211834
"2011-06-10",49.869999,50.52,49.869999,50,4770900,42.338863
"2011-06-13",49.990002,50.779999,49.900002,50.09,3858300,42.415066
"2011-06-14",50.509998,50.91,50.450001,50.709999,3277100,42.940071
"2011-06-15",50.279999,51.240002,50.259998,50.720001,3748600,42.948536
"2011-06-16",50.73,50.740002,49.970001,50.119999,4308000,42.440464
"2011-06-17",50.470001,50.669998,50.169998,50.200001,2895300,42.508217
"2011-06-20",50,50.950001,49.889999,50.68,1814400,42.914669
"2011-06-21",50.91,51.900002,50.810001,51.779999,2199300,43.846111
"2011-06-22",51.48,52.169998,51.48,51.939999,2669200,43.981602
"2011-06-23",51.419998,52.580002,51.25,52.490002,3016500,44.447338
"2011-06-24",52.419998,52.52,51.59,51.75,2063300,43.820709
"2011-06-27",51.57,52.080002,51,51.860001,2396900,43.913868
"2011-06-28",51.919998,52.220001,51.900002,52,2695500,44.03241
"2011-06-29",52.240002,52.610001,52.119999,52.27,2681800,44.261036
"2011-06-30",52.540001,52.619999,52.110001,52.330002,2460000,44.311855
"2011-07-01",52.599998,54.360001,52.330002,54.279999,4498100,45.963055
"2011-07-05",54.16,54.389999,53.529999,53.59,2475800,45.378784
"2011-07-06",53.400002,54.380001,53.029999,53.740002,2441400,45.505798
"2011-07-07",54.110001,54.380001,53.549999,53.68,2150700,45.454994
"2011-07-08",53.189999,53.5,52.889999,53.48,1360500,45.285629
"2011-07-11",53.02,53.27,52.889999,53.060001,1881600,44.929985
"2011-07-12",52.91,53.419998,52.720001,52.91,1547800,44.802979
"2011-07-13",53.220001,53.689999,52.990002,53.119999,1331100,44.980812
"2011-07-14",53.150002,53.389999,52,52.32,1737900,44.303379
