"dates","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2012-10-23",92.279999,92.440002,91.389999,91.949997,1222400,71.294319
"2012-10-24",92.089996,94.959999,92.089996,93.919998,2011200,72.821762
"2012-10-25",94.519997,94.730003,92.809998,93.550003,1111700,72.534882
"2012-10-26",92.860001,93.68,92.260002,92.839996,1469000,71.98436
"2012-10-31",94.449997,94.540001,93.029999,93.669998,1171500,72.62793
"2012-11-01",93.769997,94.860001,93.660004,94.190002,1189100,73.031113
"2012-11-02",94.5,94.800003,93.5,93.720001,2363400,72.66671
"2012-11-05",93.489998,94.400002,92.849998,94.099998,1712100,72.961327
"2012-11-06",94.150002,95.919998,93.879997,94.870003,1879700,73.558342
"2012-11-07",92.489998,93.370003,89.379997,91.150002,3714000,70.674019
"2012-11-08",89.269997,90.980003,89.269997,89.919998,1773500,69.720322
"2012-11-09",89.5,90.760002,89.160004,89.980003,1782200,69.766853
"2012-11-12",89.82,90.139999,89.089996,89.809998,1550800,69.635025
"2012-11-13",89.07,91.07,89,90.18,2297200,69.921913
"2012-11-14",90.470001,90.589996,87.879997,88.110001,1932600,68.316917
"2012-11-15",88.019997,88.540001,87.080002,87.580002,1551800,67.905991
"2012-11-16",87.830002,88.75,87.209999,88.459999,1651800,68.588295
"2012-11-19",88.830002,90.5,88.650002,90.480003,2026200,70.15451
"2012-11-20",90.489998,90.580002,89.32,90.18,1516000,69.921913
"2012-11-21",90.5,90.790001,90.309998,90.510002,860300,70.17778
"2012-11-23",90.739998,91.900002,90.669998,91.830002,652300,71.201256
"2012-11-26",92.309998,93.360001,91.75,93.290001,2015200,72.333298
"2012-11-27",93.120003,94,92.730003,93.099998,1824100,72.185959
"2012-11-28",92.550003,93.699997,91.849998,93.699997,1621900,72.651176
"2012-11-29",92.5,93.419998,92.089996,93.040001,2116000,73.035828
"2012-11-30",93.339996,94.099998,93.040001,93.300003,1651400,73.239914
"2012-12-03",93.25,93.43,91.540001,91.550003,1782300,71.866211
"2012-12-04",91.360001,92.300003,91.25,91.480003,2098500,71.811234
"2012-12-05",91.629997,92.080002,90.699997,91.529999,1860800,71.850502
"2012-12-06",91.580002,91.940002,90.800003,91.480003,1678000,71.811234
"2012-12-07",91.580002,92,91.150002,91.900002,1064200,72.140961
"2012-12-10",91.75,92.699997,91.540001,92.410004,1183200,72.541306
"2012-12-11",92.720001,93,91.910004,92,1380400,72.219444
"2012-12-12",92.309998,92.75,91.690002,91.809998,1505100,72.070297
"2012-12-13",91.510002,91.660004,89.809998,89.989998,2434700,70.641602
"2012-12-14",90,90.059998,88.839996,88.959999,1697000,69.833061
"2012-12-17",89.190002,90.779999,88.790001,90.419998,1670700,70.979141
"2012-12-18",90.540001,93.010002,90.400002,92.93,5676100,72.949471
"2012-12-19",92.970001,93.669998,92.190002,92.910004,1932400,72.933784
"2012-12-20",92.5,92.970001,91.900002,92.5,2310500,72.611938
"2012-12-21",91.190002,93.470001,91.169998,93.129997,3926200,73.106483
"2012-12-24",93.150002,93.150002,92.519997,92.769997,656800,72.823891
"2012-12-26",92.769997,93.18,92,92.029999,979700,72.242989
"2012-12-27",92.089996,92.989998,91.720001,92.830002,1733800,72.870972
"2012-12-28",92.279999,92.639999,91.089996,91.339996,1612200,71.701324
"2012-12-31",90.800003,92.400002,89.720001,92.290001,1999200,72.447083
"2013-01-02",93.790001,94.169998,92.580002,93.269997,2245600,73.216385
"2013-01-03",93.519997,94.309998,93.07,93.550003,1828100,73.436165
"2013-01-04",93.93,94,93.07,93.900002,1739300,73.710945
"2013-01-07",93.43,94.360001,93.410004,94.220001,1335700,73.962135
"2013-01-08",93.800003,93.800003,92.459999,92.959999,1340600,72.973022
"2013-01-09",93.169998,94.040001,92.610001,93.989998,1289800,73.781578
