"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2010-09-10",16.709999,17.120001,16.67,17.022499,31392000,15.785966
"2010-09-13",17,17,16.225,16.370001,60549200,15.180864
"2010-09-14",16.407499,16.987499,16.387501,16.780001,39616000,15.561087
"2010-09-15",16.93,17.375,16.9,17.2325,43076400,15.980711
"2010-09-16",17.202499,17.3025,17.014999,17.094999,29800400,15.853203
"2010-09-17",17.192499,17.25,17.047501,17.122499,41961600,15.878699
"2010-09-20",17.125,17.58,17.0175,17.577499,29386800,16.30065
"2010-09-21",17.612499,17.7775,17.379999,17.485001,25300000,16.214865
"2010-09-22",17.52,17.717501,17.487499,17.655001,25826400,16.372517
"2010-09-23",17.512501,17.865,17.475,17.745001,26984000,16.455984
"2010-09-24",17.9375,18.092501,17.84,18.092501,21028800,16.778246
"2010-09-27",18.192499,18.372499,17.975,18.25,20098400,16.924297
"2010-09-28",18.2325,18.4,18.137501,18.317499,29212800,16.986897
"2010-09-29",18.252501,18.625,18.219999,18.602501,27882000,17.251194
"2010-09-30",18.684999,18.7425,18.452499,18.565001,23144000,17.216415
"2010-10-01",18.684999,18.692499,18.2925,18.33,18121600,16.998491
"2010-10-04",18.315001,18.59,18.145,18.309999,23152000,16.97994
"2010-10-05",18.530001,18.747499,18.415001,18.747499,20658000,17.385664
"2010-10-06",18.764999,18.875,18.450001,18.557501,15120800,17.209465
"2010-10-07",18.57,18.6975,18.385,18.4025,9975200,17.065722
"2010-10-08",18.422501,18.512501,18.2925,18.5,9381600,17.156137
"2010-10-11",18.4625,18.6975,18.4575,18.5725,10399200,17.223373
"2010-10-12",18.530001,18.6325,18.389999,18.5625,13899200,17.214104
"2010-10-13",18.6775,19.25,18.575001,19.235001,29848000,17.837744
"2010-10-14",19.165001,19.432501,19.0725,19.2925,21303200,17.891071
"2010-10-15",19.440001,19.475,19.155001,19.4,14348000,17.990763
"2010-10-18",19.377501,19.592501,19.1875,19.59,20168800,18.166964
"2010-10-19",19.4025,19.889999,19.309999,19.387501,28970400,17.979172
"2010-10-20",19.440001,19.9825,19.315001,19.879999,19824000,18.435902
"2010-10-21",19.862499,20.219999,19.645,19.799999,19506400,18.361704
"2010-10-22",19.7875,19.967501,19.6775,19.8225,14815600,18.382576
"2010-10-25",20.002501,20.1775,19.9125,20.157499,16515600,18.693239
"2010-10-26",20.045,20.0825,19.844999,20.0075,15630400,18.554134
"2010-10-27",20.0725,20.15,19.790001,19.98,20665600,18.528629
"2010-10-28",19.834999,19.875,18.83,19.112499,44460800,17.724142
"2010-10-29",19.1,19.6075,19.084999,19.540001,22865200,18.12059
"2010-11-01",19.645,19.695,19.174999,19.33,13677200,17.925842
"2010-11-02",19.540001,19.6675,19.370001,19.605,15381600,18.180872
"2010-11-03",19.6425,19.805,19.5,19.75,14124400,18.315338
"2010-11-04",19.9275,20.025,19.764999,19.997499,20202000,18.544861
"2010-11-05",20.067499,20.1175,19.7875,19.950001,23766400,18.500809
"2010-11-08",19.85,19.9575,19.65,19.6775,12224800,18.248106
"2010-11-09",19.747499,19.875,19.51,19.58,10806400,18.157686
"2010-11-10",19.625,19.827499,19.502501,19.8225,11910800,18.382576
"2010-11-11",19.727501,19.872499,19.51,19.805,9205200,18.366343
"2010-11-12",19.6425,19.702499,19.227501,19.235001,13316000,17.837744
"2010-11-15",19.379999,19.465,19.08,19.09,13310000,17.703279
"2010-11-16",18.889999,19.075001,18.565001,18.747499,20359200,17.385664
"2010-11-17",18.725,19.0875,18.715,18.932501,14880000,17.592407
"2010-11-18",19.067499,19.275,19.0425,19.235001,17200800,17.873497
"2010-11-19",19.200001,19.389999,19.190001,19.262501,10312000,17.899057
"2010-11-22",19.1675,19.245001,18.82,18.865,19955600,17.529688
"2010-11-23",18.75,18.7875,18.627501,18.6625,14625600,17.341524
"2010-11-24",18.877501,19,18.7875,18.955,17354800,17.613323
"2010-11-26",18.825001,18.9475,18.807501,18.870001,4349600,17.534338
"2010-11-29",18.807501,18.807501,18.23,18.547501,21576400,17.234663
"2010-11-30",18.385,18.57,18.3125,18.4625,18542000,17.15568
"2010-12-01",18.735001,18.870001,18.612499,18.805,22343200,17.473934
"2010-12-02",18.8925,19.2675,18.877501,19.25,26758800,17.887442
"2010-12-03",19.182501,19.385,19.055,19.3375,20678400,17.968746
"2010-12-06",19.325001,19.5875,19.2875,19.577499,18351200,18.191753
"2010-12-07",19.747499,19.942499,19.202499,19.219999,25374800,17.859562
"2010-12-08",19.25,19.5375,19.25,19.485001,14308800,18.105804
"2010-12-09",19.5375,19.797501,19.325001,19.780001,14858400,18.379923
"2010-12-10",19.7575,20.059999,19.7575,20.049999,23734800,18.630817
"2010-12-13",20.075001,20.4375,19.875,20.2225,40988400,18.791107
"2010-12-14",20.192499,20.297501,20.0375,20.16,24787600,18.733027
"2010-12-15",20.047501,20.094999,19.1875,19.235001,45802000,17.873497
"2010-12-16",19.295,19.875,16.647499,16.797501,202230800,15.608531
"2010-12-17",17.075001,17.145,16.625,16.725,167890800,15.541167
"2010-12-20",16.875,17.055,16.75,16.997499,64190800,15.794377
"2010-12-21",17.17,17.2125,16.969999,17.012501,43468400,15.808319
"2010-12-22",17.067499,17.192499,17.014999,17.137501,23286800,15.924462
"2010-12-23",17.0825,17.2325,17.065001,17.182501,16600800,15.966284
"2010-12-27",17.17,17.7925,17.1625,17.702499,31037600,16.449476
"2010-12-28",17.84,17.950001,17.625,17.682501,19129600,16.430891
"2010-12-29",17.727501,17.795,17.5825,17.65,12998000,16.40069
"2010-12-30",17.68,17.6875,17.530001,17.5725,11019200,16.328674
"2010-12-31",17.57,17.6175,17.487499,17.594999,11102000,16.349579
"2011-01-03",17.6,17.73,17.547501,17.629999,25710000,16.382113
"2011-01-04",17.7325,17.737499,17.565001,17.65,18138000,16.40069
"2011-01-05",17.709999,18.0825,17.67,18.022499,38512800,16.746819
"2011-01-06",18.182501,18.387501,18.127501,18.2925,28358800,16.997713
"2011-01-07",18.360001,18.387501,18.125,18.24,28248400,16.948931
"2011-01-10",18.174999,18.309999,17.945,17.952499,18202400,16.681772
"2011-01-11",18.012501,18.129999,17.887501,17.969999,20593600,16.698042
"2011-01-12",18,18.157499,17.997499,18.1525,18545200,16.867622
"2011-01-13",18.282499,18.32,17.73,17.785,28109600,16.526136
"2011-01-14",17.817499,17.887501,17.684999,17.780001,25165600,16.521492
"2011-01-18",17.817499,17.8375,17.684999,17.8025,19341600,16.542391
"2011-01-19",17.74,17.76,17.112499,17.280001,42852800,16.056883
"2011-01-20",17.172501,17.885,16.877501,17.672501,81365200,16.421591
"2011-01-21",17.627501,17.75,17.477501,17.5375,24783600,16.296152
"2011-01-24",17.557501,17.9575,17.545,17.9475,22922000,16.677137
"2011-01-25",17.7925,18.094999,17.577499,17.895,30279600,16.628345
