"dates","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2011-11-03",293.793793,299.049042,292.152161,299.049042,5334260,299.049042
"2011-11-04",297.047058,300.170166,296.511505,298.368378,5663930,298.368378
"2011-11-07",296.95697,304.694702,296.411407,304.469482,6708085,304.469482
"2011-11-08",304.80481,307.492493,302.102112,306.476471,6052741,306.476471
"2011-11-09",302.432434,305,299.629639,300.775787,7414578,300.775787
"2011-11-10",303.26828,303.27829,296.07608,297.83783,5731063,297.83783
"2011-11-11",300.950958,306.351349,299.599609,304.479492,7946046,304.479492
"2011-11-14",304.304291,309.349335,304.194183,306.806793,6371023,306.806793
"2011-11-15",306.706696,309.349335,305.555542,308.588593,5346648,308.588593
"2011-11-16",306.346344,309.459473,305.610626,306.041046,5211783,306.041046
"2011-11-17",305.330322,306.451447,298.68869,300.735748,6979613,300.735748
"2011-11-18",301.3013,302.552551,297.17218,297.737732,6568825,297.737732
"2011-11-21",294.174164,294.544556,286.331329,290.760773,5996597,290.760773
"2011-11-22",290.290283,292.777771,287.907898,290.290283,4805789,290.290283
"2011-11-23",287.962952,290.415405,285.340332,285.340332,4646948,285.340332
"2011-11-25",282.877869,287.422424,280.945953,281.781769,3121675,281.781769
"2011-11-28",289.974976,294.704712,288.538544,294.389374,5652142,294.389374
"2011-11-29",294.234222,295.475464,290.955963,291.756744,3659936,291.756744
"2011-11-30",299.274261,300.055054,296.341339,299.994995,6787206,299.994995
"2011-12-01",300.300293,308.308319,299.799805,307.1922,7233959,307.1922
"2011-12-02",308.833832,312.312317,308.438446,310.490479,8163229,310.490479
"2011-12-05",314.134125,316.266266,311.511505,313.138153,6388605,313.138153
"2011-12-06",311.806793,314.624634,310.43042,312.197205,4648347,312.197205
"2011-12-07",311.151154,313.143158,309.359344,312.007019,4510085,312.007019
"2011-12-08",310.830841,314.039032,307.957947,308.333344,4821374,308.333344
"2011-12-09",309.309296,314.879883,308.813812,314.024017,5526868,314.024017
"2011-12-12",311.251251,313.403412,310.455444,313.007996,4363432,313.007996
"2011-12-13",314.694702,318.598602,311.736725,313.128113,8048344,313.128113
"2011-12-14",311.236237,312.472473,306.551544,309.34433,7799593,309.34433
"2011-12-15",311.571564,312.312317,309.654663,310.080078,4812383,310.080078
"2011-12-16",312.472473,314.974976,311.046051,313.293304,8909681,313.293304
"2011-12-19",314.319305,314.564575,310.310303,311.226227,4282713,311.226227
"2011-12-20",314.314301,316.236237,314.309296,315.500488,4771624,315.500488
"2011-12-21",315.320313,316.226227,309.789795,313.223236,4990804,313.223236
"2011-12-22",314.289276,316.181183,313.818817,315.165161,3640955,315.165161
