"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2011-01-04",31.067194,31.067194,30.013174,30.039526,4873197,19.381077
"2011-01-05",29.960474,30.329382,29.855072,30.197628,2552024,19.483084
"2011-01-06",30.27668,30.408432,29.960474,30.197628,2705797,19.483084
"2011-01-07",30.197628,30.35573,29.77602,29.77602,3329202,19.211067
"2011-01-10",29.64427,30.22398,29.565216,30.065876,2741129,19.398083
"2011-01-11",30.171278,30.461132,30.092228,30.250328,3786651,19.517082
"2011-01-12",30.461132,30.461132,30.171278,30.382082,2784733,19.602095
"2011-01-13",30.434784,30.434784,29.69697,29.828722,3462634,19.24507
"2011-01-14",29.828722,30.698286,29.670618,30.619236,3243283,19.755096
"2011-01-18",30.671938,30.85639,30.35573,30.803688,2471228,19.874104
"2011-01-19",30.83004,30.909092,30.30303,30.408432,2634831,19.619093
"2011-01-20",30.27668,30.329382,29.354414,29.380764,4824280,18.956053
"2011-01-21",29.69697,29.77602,28.906456,29.354414,4552937,18.939053
"2011-01-24",29.459816,29.77602,29.22266,29.591568,3080819,19.09207
"2011-01-25",29.538868,30.118576,29.380764,30.039526,4229907,19.381077
"2011-01-26",27.720684,28.458498,27.140976,27.747036,24264737,17.901999
"2011-01-27",27.93149,28.59025,27.615282,28.432148,11227773,18.344015
"2011-01-28",28.458498,28.64295,27.694336,27.799736,11541126,17.935997
"2011-01-31",27.852436,28.06324,27.615282,27.98419,5895077,18.055002
"2011-02-01",28.194992,28.669302,28.089592,28.669302,5635347,18.497032
"2011-02-02",28.353096,28.801054,28.06324,28.616602,3033419,18.46303
"2011-02-03",28.59025,28.801054,28.432148,28.748352,4176018,18.548033
"2011-02-04",28.774704,28.801054,28.484848,28.59025,4278521,18.446026
"2011-02-07",28.748352,28.959158,28.5639,28.669302,3650373,18.497032
"2011-02-08",28.616602,28.827404,28.484848,28.59025,6046801,18.446026
"2011-02-09",28.5112,28.827404,28.326746,28.695652,5952837,18.51403
"2011-02-10",28.432148,28.616602,28.168644,28.5639,4216245,18.429026
"2011-02-11",28.405796,28.985506,28.326746,28.906456,5244045,18.650036
"2011-02-14",28.827404,29.354414,28.537548,29.06456,4131882,18.752045
"2011-02-15",28.985506,29.249012,28.932806,29.16996,3341422,18.820047
"2011-02-16",29.22266,29.960474,29.16996,29.960474,6034164,19.330076
"2011-02-17",29.907772,30.30303,29.72332,29.960474,4756881,19.330076
"2011-02-18",30.013174,30.171278,29.69697,29.828722,2657676,19.24507
"2011-02-22",29.486166,29.617918,28.537548,28.64295,5497779,18.480024
"2011-02-23",28.616602,28.669302,27.826088,28.142292,7096043,18.157009
"2011-02-24",28.194992,28.353096,27.747036,27.957838,4092111,18.038006
"2011-02-25",28.168644,28.326746,27.93149,28.247694,3452919,18.225016
"2011-02-28",28.379448,28.484848,27.93149,28.326746,4311651,18.276022
"2011-03-01",28.274046,28.616602,27.878788,27.98419,5119379,18.055002
"2011-03-02",27.98419,28.274046,27.562582,27.773386,4043990,17.918999
"2011-03-03",28.274046,28.484848,27.957838,28.115942,2954408,18.140009
"2011-03-04",27.93149,28.168644,27.40448,27.641634,3062034,17.833988
"2011-03-07",27.799736,27.93149,27.272726,27.378128,2360794,17.663982
"2011-03-08",27.457182,28.115942,27.299078,27.852436,2231194,17.969994
"2011-03-09",27.720684,28.06324,27.40448,27.615282,3705210,17.816994
"2011-03-10",27.272726,27.457182,27.035572,27.220026,3441154,17.561975
"2011-03-11",27.193676,27.615282,27.140976,27.40448,3343167,17.680988
"2011-03-14",27.114626,27.588934,26.87747,27.220026,3987369,17.561975
"2011-03-15",26.35046,27.009224,26.27141,26.824768,4166151,17.306961
