"dates","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2012-09-19",52.41,53.619999,52.220001,52.5,4732000,35.766773
"2012-09-20",51.880001,52.619999,50.57,52.52,4663800,35.780411
"2012-09-21",52.950001,53.209999,52.130001,52.369999,6893900,35.678204
"2012-09-24",52.43,52.880001,51.57,52.040001,2775600,35.453384
"2012-09-25",52.52,52.689999,50.689999,50.799999,4550800,34.608616
"2012-09-26",50.98,51.18,50.150002,50.959999,3356800,34.717617
"2012-09-27",51.23,52.209999,50.889999,51.880001,2210200,35.344391
"2012-09-28",51.459999,51.790001,50.919998,51.66,2527700,35.1945
"2012-10-01",52.060001,52.75,51.950001,52.200001,2844100,35.562397
"2012-10-02",52.389999,52.91,52.02,52.91,3158200,36.046097
"2012-10-03",52.990002,52.990002,52.099998,52.34,3184600,35.657776
"2012-10-04",52.939999,53.369999,51.93,52,3639300,35.42614
"2012-10-05",52.689999,53.18,52.450001,52.68,3932200,35.889412
"2012-10-08",52.450001,52.5,51.990002,52.380001,1969700,35.685024
"2012-10-09",52.41,52.560001,51.169998,51.220001,3021400,34.894745
"2012-10-10",51.330002,51.459999,50.470001,50.700001,2428500,34.540489
"2012-10-11",51.369999,51.889999,51.310001,51.349998,2672300,34.983315
"2012-10-12",51.25,51.709999,50.580002,50.860001,3602800,34.649487
"2012-10-15",50.919998,51.48,50.619999,51.419998,2848400,35.031002
"2012-10-16",51.959999,55.380001,51.959999,54.360001,9418500,37.033939
"2012-10-17",54.790001,55.759998,54.5,55.740002,4689300,37.97411
"2012-10-18",55.349998,56,54.700001,55.23,3071400,37.626644
"2012-10-19",55,55.09,54,54.330002,3232700,37.013512
"2012-10-22",54.310001,55.549999,53.759998,55.470001,2880900,37.790157
"2012-10-23",54.150002,54.27,52.5,53.029999,4477200,36.127842
"2012-10-24",53.889999,54.759998,53.07,53.830002,4199600,36.672874
"2012-10-25",54.330002,54.57,52.919998,53.400002,3619300,36.379925
"2012-10-26",51.860001,55.630001,50.91,53.75,8962500,36.618359
"2012-10-31",53.810001,54.040001,52.700001,53.389999,4680600,36.3731
"2012-11-01",53.540001,55.25,53.509998,55.049999,5695100,37.504013
"2012-11-02",53.599998,53.75,52.869999,53.060001,10595600,36.1483
"2012-11-05",53.18,53.509998,52.740002,53.41,3529200,36.386738
"2012-11-06",53.689999,54.09,53.259998,53.82,8930300,36.666058
"2012-11-07",53.360001,53.360001,51.919998,52.779999,4930200,35.957531
"2012-11-08",52.810001,53.139999,51.830002,51.919998,2221000,35.371643
"2012-11-09",52.189999,52.189999,50.700001,50.849998,5490700,34.642673
"2012-11-12",51.02,51.200001,50.450001,50.650002,2926400,34.506428
"2012-11-13",49.720001,51.009998,49.110001,50.060001,5199300,34.104469
"2012-11-14",50.68,50.68,49.040001,49.209999,5946300,33.525391
"2012-11-15",46.18,46.610001,44.869999,45.41,6339300,33.052265
"2012-11-16",45.5,47.040001,45.349998,46.869999,6006500,34.114956
"2012-11-19",47.759998,48.110001,47.439999,48,5382700,34.937447
"2012-11-20",48,48.099998,46.950001,47.549999,3610000,34.609917
"2012-11-21",47.689999,48.529999,47.5,47.990002,2726500,34.93018
"2012-11-23",48.400002,50.939999,48.029999,48.619999,1914000,35.388725
"2012-11-26",48.349998,48.599998,47.549999,48,3504500,34.937447
"2012-11-27",47.970001,48.150002,47.330002,47.549999,3792200,34.609917
"2012-11-28",47.07,48.119999,46.860001,48.07,2783100,34.988396
"2012-11-29",48.200001,49.02,48.150002,48.740002,4104000,35.476059
"2012-11-30",49,49.939999,48.779999,49.73,7392200,36.196648
"2012-12-03",49.889999,50.23,48.459999,48.880001,4396200,35.577961
"2012-12-04",48.799999,49.82,48.73,49.759998,4102800,36.218487
"2012-12-05",49,51.849998,48.77,51.849998,19056900,37.739727
"2012-12-06",51.849998,52.150002,51.52,51.900002,5978200,37.776115
"2012-12-07",52.48,53.860001,52.400002,53.810001,5393100,39.166328
"2012-12-10",53.610001,54.740002,53.16,54.369999,4280600,39.57394
