"dates","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2011-03-21",26.923077,26.923077,26.390533,26.735701,4703439,18.322716
"2011-03-22",26.765285,26.83432,26.341223,26.449703,4346612,18.126713
"2011-03-23",26.420118,26.745562,26.242603,26.548323,4254237,18.194296
"2011-03-24",26.745562,26.972387,26.410255,26.923077,3907246,18.451126
"2011-03-25",26.952663,27.465483,26.824457,27.406313,4926012,18.782305
"2011-03-28",27.455622,27.573963,27.169624,27.218935,3561878,18.653889
"2011-03-29",27.218935,28.727812,26.794872,28.500986,10326373,19.532518
"2011-03-30",28.639053,29.635109,28.510847,29.32939,9840769,20.100243
"2011-03-31",29.19132,29.990137,29.142012,29.763313,6225554,20.397619
"2011-04-01",29.881657,30.571993,29.753452,30,6431701,20.559828
"2011-04-04",30.157791,30.177515,29.497042,29.654833,5447411,20.323277
"2011-04-05",29.654833,30.404339,29.615385,30.256411,5471747,20.735558
"2011-04-06",30.512821,30.571993,29.64497,29.921104,3646040,20.505754
"2011-04-07",29.89152,30.039448,29.289942,29.714005,4351987,20.363829
"2011-04-08",29.861933,30.128204,29.378698,29.487179,4547486,20.208382
"2011-04-11",29.477318,29.704142,28.550297,28.570021,6929372,19.579826
"2011-04-12",28.481262,28.688362,28.264299,28.402367,6695746,19.464928
"2011-04-13",28.678501,28.826429,28.313608,28.431953,6319552,19.485203
"2011-04-14",28.264299,28.984221,28.224852,28.846153,6552468,19.769068
"2011-04-15",29.54635,29.832348,29.368835,29.536489,7257806,20.242172
"2011-04-18",29.102564,29.151875,28.560158,28.757397,5303321,19.708237
"2011-04-19",28.767258,29.270218,28.609467,29.142012,3686194,19.971825
"2011-04-20",29.822485,29.990137,29.388559,29.487179,4783849,20.208382
"2011-04-21",29.674557,29.684418,29.260355,29.585798,2890610,20.275961
"2011-04-25",29.54635,29.822485,29.102564,29.132151,4215097,19.965067
"2011-04-26",29.477318,29.980276,29.171598,29.763313,3549000,20.397619
"2011-04-27",29.911243,29.940828,29.19132,29.566074,4795307,20.262447
"2011-04-28",30.10848,31.065088,29.812622,30.059172,9687655,20.600382
"2011-04-29",30.009863,30.739645,29.723866,30.45365,5197257,20.870728
"2011-05-02",31.893492,31.972387,31.351086,31.844181,10326982,21.823698
"2011-05-03",31.686392,31.923077,31.213018,31.597633,4839518,21.65473
"2011-05-04",31.597633,31.765285,31.203156,31.232742,13663042,21.404661
"2011-05-05",31.094675,31.282051,30.690334,30.897436,4777562,21.174864
"2011-05-06",31.311638,31.883629,31.163708,31.331362,6819556,21.472246
"2011-05-09",31.469427,31.854042,31.213018,31.765285,3652935,21.769623
"2011-05-10",31.903353,32.554241,31.804733,32.406311,5743499,22.208939
"2011-05-11",32.357002,32.406311,31.814596,32.149902,5372679,22.033215
"2011-05-12",32.051281,32.110455,31.538462,31.873768,4478230,21.843969
"2011-05-13",31.646942,31.913216,30.91716,30.936884,4952173,21.375847
"2011-05-16",30.91716,31.459566,30.710058,31.015779,4529944,21.430355
"2011-05-17",30.887573,31.390533,30.67061,30.798817,5049213,21.280447
"2011-05-18",30.946747,31.311638,30.729782,31.252464,3325819,21.593901
"2011-05-19",31.429979,31.558186,31.055227,31.232742,3242772,21.580269
"2011-05-20",31.222879,31.222879,30.710058,30.877712,3475789,21.334961
"2011-05-23",30.315582,30.315582,29.566074,29.684418,5718149,20.510454
"2011-05-24",29.930965,30.35503,29.64497,29.694281,4075874,20.517263
"2011-05-25",29.575937,30.098619,29.536489,29.950689,4138438,20.694437
"2011-05-26",29.822485,30.325443,29.694281,30.157791,3269035,20.83753
"2011-05-27",30.374754,30.571993,30.128204,30.483234,2450737,21.062399
"2011-05-31",30.631165,31.015779,30.226824,30.788956,4993950,21.273634
"2011-06-01",30.591717,30.828402,29.635109,29.783037,4806968,20.578598
"2011-06-02",29.773176,30.384615,29.723866,29.89152,4328462,20.653549
