"dates","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2016-03-28",38.796001,38.872002,38.515999,38.616001,543000,35.642361
"2016-03-29",38.664001,39.411999,38.504002,39.391998,1297250,36.358597
"2016-03-30",39.411999,39.728001,39.236,39.411999,991000,36.377064
"2016-03-31",39.264,39.591999,39.256001,39.388,1281750,36.354916
"2016-04-01",39.200001,39.703999,39.015999,39.667999,1265250,36.61335
"2016-04-04",39.608002,39.916,39.040001,39.324001,1710250,36.295837
"2016-04-05",39.172001,39.543999,39.051998,39.264,1994000,36.240456
"2016-04-06",39.307999,39.355999,38.976002,39.276001,1136250,36.251537
"2016-04-07",39.032001,39.096001,38.084,38.220001,1892750,35.276848
"2016-04-08",38.352001,38.540001,38.256001,38.495998,1026500,35.531597
"2016-04-11",38.692001,38.860001,38,38.023998,1457250,35.095947
"2016-04-12",38.155998,38.492001,38.012001,38.403999,1314500,35.446678
"2016-04-13",38.644001,38.716,37.731998,38.015999,1057750,35.088558
"2016-04-14",38,38.419998,37.84,38.091999,1714000,35.15871
"2016-04-15",38.164001,38.428001,37.976002,38.243999,1284750,35.299
"2016-04-18",38.312,38.352001,37.928001,37.964001,1637000,35.040565
"2016-04-19",38.028,38.644001,37.976002,38.644001,2261750,35.668205
"2016-04-20",38.703999,39.144001,38.616001,39.015999,1748750,36.011559
"2016-04-21",38.967999,39.144001,37.48,37.512001,2005500,34.623375
"2016-04-22",37.48,37.543999,37.076,37.299999,2881500,34.427696
"2016-04-25",37.400002,37.624001,37.200001,37.624001,2688000,34.726749
"2016-04-26",37.759998,37.796001,37.256001,37.34,1362000,34.464626
"2016-04-27",37.608002,37.896,37.34,37.792,1235500,34.881817
"2016-04-28",37.624001,38.439999,37.515999,38.164001,1682500,35.225166
"2016-04-29",38.02,38.588001,37.875999,38.528,2047750,35.561138
"2016-05-02",38.683998,38.792,38.088001,38.683998,1335250,35.705124
"2016-05-03",38.416,38.672001,38.195999,38.372002,1106500,35.417156
"2016-05-04",38.276001,38.464001,37.959999,38.327999,998000,35.376534
"2016-05-05",38.332001,38.827999,38.324001,38.408001,1088250,35.450378
"2016-05-06",38.400002,39.012001,38.368,38.908001,965250,35.911873
"2016-05-09",38.956001,39.312,38.908001,39.220001,874000,36.199848
"2016-05-10",39.259998,39.584,39.144001,39.584,915000,36.535816
