"dates","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2011-01-04",70.230003,70.419998,69.449997,70.290001,2362800,55.133385
"2011-01-05",69.959999,70.82,69.839996,70.610001,2379900,55.384388
"2011-01-06",70.440002,71.989998,70.199997,71.389999,2030800,55.996174
"2011-01-07",71.739998,72.300003,71.400002,72.010002,3318200,56.482502
"2011-01-10",71.75,71.75,70.860001,71.18,1910000,55.831448
"2011-01-11",71.449997,71.779999,71.019997,71.25,1902600,55.886372
"2011-01-12",71.519997,71.900002,71.059998,71.160004,1187700,56.14674
"2011-01-13",71.849998,72.150002,71.440002,71.779999,2041300,56.635952
"2011-01-14",71.669998,72.279999,71.220001,72.18,1529000,56.951538
"2011-01-18",72.379997,73.040001,71.610001,72.730003,3287800,57.385517
"2011-01-19",72.160004,72.669998,71.860001,72.669998,2221100,57.33815
"2011-01-20",72.489998,73.470001,72.470001,73.449997,2407700,57.953613
"2011-01-21",73.699997,73.860001,72.879997,72.970001,1884600,57.57489
"2011-01-24",72.459999,73.089996,72.269997,72.739998,1570400,57.393394
"2011-01-25",72.68,74.279999,72.580002,74.169998,2882000,58.52169
"2011-01-26",74.199997,75.190002,72.919998,74.639999,3572900,58.892525
"2011-01-27",74.599998,76.5,74.599998,76.199997,3116400,60.123417
"2011-01-28",76.050003,76.199997,73.849998,74.129997,2331000,58.490131
"2011-01-31",74.25,75.410004,74.160004,75.400002,2152400,59.492199
"2011-02-01",75.489998,76.129997,75.059998,76.029999,1233900,59.989292
"2011-02-02",75.830002,76.75,75.769997,76.080002,1664900,60.028732
"2011-02-03",76.440002,76.440002,75.32,75.660004,1438500,59.697334
"2011-02-04",75.860001,75.980003,75.290001,75.620003,1319900,59.665787
"2011-02-07",75.93,76.489998,75.720001,76.440002,1409500,60.312771
"2011-02-08",77.040001,77.959999,76.639999,77.849998,1981000,61.425266
"2011-02-09",77.580002,78.209999,77.18,77.900002,1711600,61.464748
"2011-02-10",77.889999,77.900002,77.050003,77.260002,2082900,60.959766
"2011-02-11",77.080002,77.720001,76.589996,77.449997,1332100,61.10968
"2011-02-14",77.589996,77.650002,76.5,76.870003,1329800,60.652042
"2011-02-15",76.410004,77.720001,76.080002,77.620003,1864500,61.243824
"2011-02-16",77.699997,77.800003,76.220001,77.050003,1458400,60.794075
"2011-02-17",76.769997,77.510002,76.57,77.300003,962300,60.991329
"2011-02-18",77.849998,78.269997,77.690002,78.110001,1971300,61.630444
"2011-02-22",77.300003,77.339996,75.949997,76.220001,1371300,60.139183
"2011-02-23",76.040001,76.730003,74.889999,75.449997,1683900,59.531631
"2011-02-24",75.540001,76.449997,75.129997,76.110001,1606600,60.052422
"2011-02-25",76.290001,76.800003,75.559998,75.940002,1320000,59.91827
"2011-02-28",76.269997,76.790001,75.93,76.120003,2031200,60.060291
"2011-03-01",76.349998,76.870003,74.900002,75.07,1779500,59.231812
"2011-03-02",74.739998,75.440002,74.18,75.110001,1825200,59.263371
"2011-03-03",75.860001,78.120003,75.860001,77.660004,2069300,61.275391
"2011-03-04",76.129997,76.599998,74.879997,76.32,3654400,60.218079
"2011-03-07",76.419998,77,75.07,75.449997,1941300,59.531631
"2011-03-08",75.540001,76.879997,75.480003,76.559998,1479600,60.407463
"2011-03-09",76.32,77.010002,75.809998,76.980003,1529800,60.73885
"2011-03-10",76.160004,76.290001,75.160004,75.349998,1478000,59.452759
"2011-03-11",75.550003,76.660004,74.370003,76.129997,1899900,60.068169
"2011-03-14",75.43,75.93,74.650002,75.480003,1372500,59.555313
"2011-03-15",73.510002,75.279999,73.309998,74.830002,2311400,59.042458
"2011-03-16",74.769997,74.830002,73.220001,73.75,3142400,58.190315
"2011-03-17",75,75.389999,73.57,73.959999,2936100,58.356014
"2011-03-18",75.150002,75.279999,73.739998,74.379997,4492100,58.687397
"2011-03-21",75.029999,76.440002,74.959999,75.709999,1397800,59.736778
"2011-03-22",75.830002,76.279999,75.669998,76.040001,1375100,59.997162
"2011-03-23",76.029999,76.620003,75.639999,76.230003,1185900,60.147079
"2011-03-24",76.559998,76.980003,76.010002,76.849998,1006600,60.636265
"2011-03-25",76.93,77.139999,76.339996,76.510002,1166500,60.368004
"2011-03-28",76.589996,76.739998,75.720001,75.93,1570100,59.910374
"2011-03-29",75.910004,76.5,75.559998,76.269997,1270900,60.178631
"2011-03-30",76.709999,76.709999,75.519997,76,1876700,59.965614
"2011-03-31",75.830002,76.989998,75.699997,76.559998,1646100,60.407463
"2011-04-01",76.830002,78,76.730003,77.419998,1700300,61.086037
"2011-04-04",74.699997,74.699997,72.120003,73.370003,11382300,57.89048
"2011-04-05",73.25,74.889999,73.019997,74.599998,3090000,58.860958
"2011-04-06",74.68,74.879997,74.099998,74.739998,2022400,59.345325
"2011-04-07",74.660004,75.199997,74.269997,74.949997,1703500,59.512085
"2011-04-08",75.239998,75.370003,74.269997,74.510002,1660000,59.162697
"2011-04-11",74.440002,74.760002,73.559998,73.75,2040800,58.559231
"2011-04-12",73.470001,73.589996,72.629997,72.919998,1756400,57.900215
"2011-04-13",73.32,73.440002,70.980003,71.809998,2997300,57.018829
"2011-04-14",71.440002,71.800003,70.93,71.459999,2316100,56.740936
"2011-04-15",71.809998,72.379997,71.139999,71.879997,1994400,57.074402
"2011-04-18",71.010002,71.190002,70.470001,70.790001,2118100,56.20895
"2011-04-19",71,71.43,70.849998,71.059998,1443000,56.423325
"2011-04-20",71.830002,72.730003,71.279999,72.370003,1424000,57.463478
"2011-04-21",72.860001,72.860001,72.150002,72.25,1058800,57.36821
"2011-04-25",72.349998,72.510002,71.949997,72.139999,944700,57.28088
"2011-04-26",72.559998,73.150002,72.25,72.639999,1800000,57.677876
"2011-04-27",72.919998,73.639999,72.260002,72.720001,1669200,57.741402
"2011-04-28",72.419998,72.550003,70.540001,71.550003,3576700,56.812408
"2011-04-29",71.760002,72.949997,71.730003,72.82,2066900,57.820801
"2011-05-02",73.150002,74.25,73.059998,73.589996,2571000,58.432209
"2011-05-03",73.419998,74.449997,73.169998,74.309998,1884600,59.003899
"2011-05-04",74.400002,74.860001,73.639999,73.709999,2645600,58.527477
"2011-05-05",73.360001,74.589996,73.040001,73.690002,2601600,58.511597
"2011-05-06",74.510002,74.800003,73.93,74.440002,2408900,59.107121
"2011-05-09",74.330002,75.07,74.059998,74.57,1381300,59.21035
"2011-05-10",74.169998,74.800003,73.779999,74.489998,1966500,59.146816
"2011-05-11",74.32,74.970001,74.160004,74.739998,1579000,59.345325
"2011-05-12",74.610001,75.290001,74.330002,74.809998,1155200,59.400909
"2011-05-13",74.739998,74.989998,73.730003,74.370003,1879600,59.051525
"2011-05-16",74.220001,74.629997,73.660004,74.239998,1388300,58.948326
"2011-05-17",73.980003,74.339996,72.860001,73.5,1586500,58.360741
"2011-05-18",73.739998,74.300003,73.269997,74,1403900,58.757748
"2011-05-19",74.529999,74.980003,73.760002,73.879997,2009300,58.662457
"2011-05-20",73.800003,73.889999,72.860001,73.029999,1833400,57.98756
"2011-05-23",72.220001,72.769997,71.379997,71.389999,2498000,56.685349
"2011-05-24",71.540001,71.959999,70.800003,70.949997,2774700,56.335991
"2011-05-25",70.800003,70.800003,70.169998,70.529999,2721300,56.002487
"2011-05-26",70.290001,70.610001,69.830002,70.199997,2005500,55.740456
"2011-05-27",70.529999,71.540001,70.459999,71.260002,2903000,56.582123
"2011-05-31",73.190002,74.68,72.769997,74.220001,5001600,58.932438
"2011-06-01",73.830002,74.139999,71.790001,71.800003,2946500,57.010902
"2011-06-02",71.970001,72.5,71.349998,71.419998,2423400,56.709175
"2011-06-03",70.529999,70.860001,70.040001,70.599998,2751300,56.058071
"2011-06-06",70.410004,71.110001,70.32,70.699997,2139900,56.137466
"2011-06-07",71.050003,71.150002,70.589996,70.660004,2269800,56.105717
"2011-06-08",70.629997,70.849998,70.040001,70.400002,2010400,55.899265
"2011-06-09",70.68,70.940002,70.059998,70.489998,1547100,55.970722
"2011-06-10",70.169998,70.639999,69.199997,69.370003,2812100,55.081421
"2011-06-13",69.690002,69.879997,69.230003,69.639999,1929700,55.295811
"2011-06-14",70.330002,70.82,70.300003,70.440002,1634300,55.931046
"2011-06-15",69.980003,71.07,69.949997,70.849998,3247600,56.256573
"2011-06-16",71.080002,72.050003,70.849998,71.279999,1771800,56.598003
"2011-06-17",71.879997,72.550003,71.480003,71.669998,1672700,56.907658
"2011-06-20",71.269997,72.879997,71.220001,72.769997,1744000,57.781116
"2011-06-21",73.019997,73.739998,73.019997,73.400002,1627800,58.281345
"2011-06-22",73.080002,74.050003,73.010002,73.360001,1842600,58.249584
"2011-06-23",72.459999,73,72,72.900002,2211500,57.884327
"2011-06-24",72.879997,73.199997,72.059998,72.290001,2355400,57.399956
"2011-06-27",72.470001,73.480003,72.199997,73.260002,1644600,58.170177
"2011-06-28",73.459999,74.040001,73.300003,73.739998,1487500,58.551311
"2011-06-29",73.82,73.989998,73.459999,73.900002,1527800,59.054737
"2011-06-30",74.089996,74.980003,73.830002,74.519997,1481300,59.550209
"2011-07-01",74.440002,75.93,74.339996,75.809998,1454400,60.581062
"2011-07-05",75.540001,75.809998,74.419998,74.900002,1883200,59.853901
"2011-07-06",75.029999,75.330002,74.489998,74.629997,1593100,59.638088
