"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2010-11-29",39.604916,39.692715,38.990341,39.56102,3282826,30.627779
"2010-11-30",39.262512,39.499561,39.016682,39.130817,6109596,30.294714
"2010-12-01",39.613697,40.553116,39.613697,40.48288,5911296,31.341484
"2010-12-02",40.544338,41.202808,40.43898,40.9921,5643176,31.735706
"2010-12-03",40.860405,41.044777,40.737488,41.027218,2131639,31.762905
"2010-12-06",40.869183,41.035995,40.737488,40.904301,2236996,31.667736
"2010-12-07",41.255486,41.413521,40.825287,40.834064,4054271,31.613371
"2010-12-08",40.640911,40.834064,40.579456,40.790169,3708356,31.825718
"2010-12-09",40.877964,41.035995,40.65847,40.851624,2389394,31.873663
"2010-12-10",40.956982,41.044777,40.70237,40.851624,2673575,31.873663
"2010-12-13",40.807728,40.92186,40.544338,40.798946,4879476,31.83256
"2010-12-14",40.877964,41.220367,40.816505,41.115013,3703231,32.07917
"2010-12-15",41.106236,41.237926,40.877964,40.913082,3373832,31.92161
"2010-12-16",40.92186,41.308167,40.798946,41.132572,3991739,32.092869
"2010-12-17",41.273048,41.273048,40.877964,41.141354,4829132,32.099724
"2010-12-20",41.21159,41.255486,40.913082,41.062336,3001948,32.038078
"2010-12-21",41.150131,41.264267,40.983318,41.132572,3464382,32.092869
"2010-12-22",41.150131,41.273048,41.079895,41.185249,2093368,32.133976
"2010-12-23",41.237926,41.255486,40.676033,40.842846,1639818,31.866812
"2010-12-27",40.798946,40.965759,40.474098,40.886742,1504619,31.901064
"2010-12-28",41.062336,41.106236,40.676033,40.851624,1766475,31.873663
"2010-12-29",40.965759,41.000877,40.781387,40.798946,2167403,31.83256
"2010-12-30",40.632133,40.913082,40.517998,40.763828,1877983,31.805157
"2010-12-31",40.684811,40.755047,40.395084,40.632133,1680595,31.702404
"2011-01-03",41.044777,41.65057,41.027218,41.308167,3674642,32.229877
"2011-01-04",41.229149,41.38718,41.071114,41.158913,3259818,32.113434
"2011-01-05",41.150131,41.817383,41.097454,41.817383,4345627,32.627174
"2011-01-06",41.738365,42.151009,41.659351,42.142231,3760522,32.88063
"2011-01-07",41.922737,42.317822,41.808605,42.238808,3759611,32.955997
"2011-01-10",41.817383,42.388062,41.694469,42.256367,3442400,32.969688
"2011-01-11",42.309044,42.730465,42.177349,42.449516,3201615,33.12038
"2011-01-12",42.721687,43.028973,42.440739,43.002632,2614688,33.551952
"2011-01-13",42.86216,42.976295,42.300262,42.589993,2438485,33.230003
"2011-01-14",42.607552,42.967514,42.510975,42.800701,1996325,33.394398
"2011-01-18",42.554874,43.134327,42.546093,42.985077,2887251,33.53825
"2011-01-19",42.993855,42.993855,42.669006,42.765583,2186311,33.366989
"2011-01-20",42.791924,43.222126,42.712906,43.099209,3014819,33.6273
"2011-01-21",43.195786,43.239685,42.844601,43.055313,2481312,33.593063
"2011-01-24",43.03775,43.661106,43.03775,43.476734,4189014,33.921852
"2011-01-25",43.248463,43.634766,43.055313,43.625988,2499194,34.038319
"2011-01-26",43.582088,43.634766,42.519753,42.554874,5101695,33.202587
"2011-01-27",41.887623,42.81826,41.852501,42.721687,3825901,33.332745
"2011-01-28",42.835819,43.125549,41.931519,42.045654,3262666,32.805283
"2011-01-31",42.221249,42.265144,41.729588,42.054436,3015161,32.812126
"2011-02-01",42.203686,43.046532,42.203686,42.941177,2395089,33.50399
"2011-02-02",42.721687,43.08165,42.546093,42.941177,2525277,33.50399
"2011-02-03",42.730465,43.10799,42.467075,43.090431,1938122,33.620445
"2011-02-04",43.08165,43.37138,42.774364,43.318703,2252031,33.79855
"2011-02-07",43.309921,43.520634,43.090431,43.450394,2682231,33.901306
"2011-02-08",43.397717,43.520634,43.10799,43.476734,1877072,33.921852
"2011-02-09",43.239685,43.336262,43.011414,43.178226,1813971,33.688946
"2011-02-10",43.195786,43.538193,42.704124,43.529411,2487690,33.962952
"2011-02-11",43.345039,43.678665,43.134327,43.661106,2093938,34.065712
"2011-02-14",43.573311,43.76646,43.32748,43.687447,2052136,34.086254
"2011-02-15",43.494293,43.617207,43.283581,43.503075,1790052,33.942413
"2011-02-16",43.617207,43.669888,43.160667,43.459175,2223328,33.908154
