"dates","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2017-07-27",52.016735,52.543934,51.924686,52.368202,2199039,51.616135
"2017-07-28",53.138077,54.24268,52.417572,53.949791,2641787,53.175007
"2017-07-31",54.192471,54.317993,53.73222,54.175732,2373270,53.397701
"2017-08-01",54.217571,55.004185,53.774059,54.560669,2210392,53.777103
"2017-08-02",54.652721,55.682007,54.644352,55.464436,2166894,54.667889
"2017-08-03",55.523014,55.682007,55.280334,55.673641,1317846,54.874096
"2017-08-04",55.799164,56.23431,55.665272,56.209206,1335652,55.401974
"2017-08-07",56.066944,56.46862,55.832638,56.251045,1752468,55.443207
"2017-08-08",56.04184,56.23431,55.941422,56,1401377,55.195766
"2017-08-09",55.949791,56.050209,55.686192,55.916317,1135131,55.113293
"2017-08-10",55.690376,55.832638,54.820084,54.836819,1240052,54.049294
"2017-08-11",54.912132,55.29707,54.728031,54.895397,842834,54.107033
"2017-08-14",55.313808,55.548119,55.21339,55.439331,591047,54.643154
"2017-08-15",55.397491,55.548119,55.163181,55.330544,711623,54.535931
"2017-08-16",55.48954,55.75732,55.230125,55.355648,771014,54.560677
"2017-08-17",55.121338,55.270294,54.485355,54.527199,652112,53.744118
"2017-08-18",54.351463,54.719666,54.125523,54.418411,1151383,53.636894
"2017-08-21",54.393307,54.828453,54.092049,54.74477,849167,53.958561
"2017-08-22",54.887028,55.230125,54.887028,55.112972,929591,54.321487
"2017-08-23",54.928871,54.97908,54.376568,54.418411,766234,53.693962
"2017-08-24",54.493725,54.677822,54.083683,54.292889,1394924,53.570114
"2017-08-25",54.435146,54.602509,53.640167,54.133892,1682321,53.413235
"2017-08-28",54.351463,54.443516,53.761505,53.966526,833154,53.248093
"2017-08-29",53.774059,54.033474,53.532219,53.941422,2166296,53.223328
"2017-08-30",53.907951,54.343098,53.849373,54.225941,1895390,53.504059
"2017-08-31",54.26778,54.51046,54.133892,54.368202,1545494,53.644424
"2017-09-01",54.602509,54.728031,54.326359,54.476986,972969,53.751751
"2017-09-05",54.384937,55.01255,54.26778,54.46862,1246385,53.743504
"2017-09-06",54.811714,55.221756,54.095398,54.167362,2279821,53.446262
"2017-09-07",54.343098,54.928871,54.075314,54.870293,975837,54.139843
"2017-09-08",54.836819,56.142258,54.794979,55.631798,1332545,54.891201
"2017-09-11",56.050209,56.577408,55.748955,56.50209,1747329,55.749897
"2017-09-12",56.577408,56.970711,56.577408,56.794979,1010851,56.038898
"2017-09-13",56.677822,57.49791,56.51046,57.481171,2264764,56.715954
"2017-09-14",57.196651,57.907951,56.861923,57.899582,2170240,57.128792
"2017-09-15",58.635983,58.753139,57.782429,58.04184,3240482,57.269157
"2017-09-18",58.150627,58.97908,58.008369,58.836819,1579312,58.053555
"2017-09-19",58.836819,59.02092,58.585773,58.644352,1149471,57.863651
"2017-09-20",58.761505,59.129707,58.527199,58.719666,2423819,57.937962
