"dates","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2014-03-13",97.199997,97.730003,95.059998,95.610001,8434600,77.365227
"2014-03-14",95.449997,96.25,95.199997,95.389999,5002000,77.187241
"2014-03-17",95.989998,96.449997,95.550003,95.669998,4697200,77.413773
"2014-03-18",96.120003,96.650002,95.699997,96.410004,4921300,78.012589
"2014-03-19",96.089996,96.720001,95.25,96.040001,5109200,77.713196
"2014-03-20",95.709999,96.239998,95.099998,96.209999,4396000,77.850761
"2014-03-21",97.07,97.629997,96.669998,97.389999,8339700,78.805565
"2014-03-24",97.599998,97.599998,96.419998,96.849998,4808600,78.368622
"2014-03-25",97.360001,99.339996,97.150002,98.589996,9070400,79.776581
"2014-03-26",99.279999,99.599998,97.800003,97.800003,5610200,79.137344
"2014-03-27",97.82,98.889999,97.290001,98.449997,4947700,79.663292
"2014-03-28",98.910004,99.620003,98.779999,99.389999,5821500,80.423912
"2014-03-31",100,100.629997,99.050003,99.370003,5772600,80.407753
"2014-04-01",98.940002,100.080002,98.940002,99.809998,4814300,80.763771
"2014-04-02",100.040001,102.760002,99.879997,102.629997,9358300,83.045631
"2014-04-03",101.919998,103.199997,101.610001,102.550003,8230200,82.980911
"2014-04-04",102.889999,103.379997,101.910004,102.169998,4889200,82.673431
"2014-04-07",101.610001,102.07,100.410004,101.110001,5215100,81.815704
"2014-04-08",100.980003,103.25,100.959999,102.389999,6626900,82.85144
"2014-04-09",102.650002,103.199997,101.849998,102.989998,4062000,83.336967
"2014-04-10",102.910004,103.720001,101.989998,102.260002,4538900,82.746254
"2014-04-11",101.099998,102.099998,100.970001,101.449997,5363900,82.090813
"2014-04-14",102.18,102.830002,100.949997,102.779999,4114100,83.167038
"2014-04-15",102.629997,103.089996,101.260002,102.5,6317900,82.94046
"2014-04-16",102.620003,103.150002,102.209999,102.93,3801400,83.778809
"2014-04-17",103.050003,103.440002,102.599998,102.830002,3556800,83.697418
"2014-04-21",102.900002,102.980003,101.550003,102.639999,3821400,83.54277
"2014-04-22",102.779999,104.139999,102.760002,103.690002,4528500,84.397408
"2014-04-23",103.559998,104.620003,103.18,103.379997,6427400,84.145096
"2014-04-24",106.019997,107.400002,104.790001,105.279999,8849200,85.691574
"2014-04-25",105.029999,105.279999,103.290001,104.690002,5731800,85.211342
"2014-04-28",104.989998,105.419998,103.25,104.260002,4036200,84.861351
"2014-04-29",104.790001,105.5,103.830002,105.300003,4975800,85.707848
"2014-04-30",105.230003,106.239998,104.989998,105.400002,5199300,85.789238
"2014-05-01",105.199997,105.790001,104.629997,105.07,2970800,85.52066
"2014-05-02",104.93,105.580002,104.730003,105.010002,2677000,85.471809
"2014-05-05",104.660004,104.800003,103.809998,104.519997,3166400,85.072983
"2014-05-06",104.209999,104.470001,103.599998,103.870003,2836300,84.543907
"2014-05-07",104.099998,104.660004,103.43,104.620003,3399800,85.154373
"2014-05-08",104.550003,105.019997,104.150002,104.940002,3118400,85.414833
"2014-05-09",104.959999,105.300003,104.300003,105.059998,2761800,85.512505
"2014-05-12",105.709999,106.5,105.650002,106.199997,3664200,86.440384
"2014-05-13",106.5,108.209999,105.82,107.150002,3951500,87.213646
"2014-05-14",106.849998,107.040001,106.300003,106.529999,3082300,86.708984
"2014-05-15",106.489998,106.739998,104.040001,104.989998,5151000,85.455521
"2014-05-16",105.050003,106.050003,104.169998,106.029999,4403300,86.302025
"2014-05-19",105.419998,105.529999,104.720001,105.389999,3924300,85.781113
"2014-05-20",104.790001,104.809998,100.720001,101.559998,9277600,82.663712
"2014-05-21",101.480003,103,101.480003,102.879997,5460200,83.738121
"2014-05-22",102.900002,103.879997,102.510002,103.080002,3112300,83.900917
"2014-05-23",103.150002,104.150002,103.150002,104.029999,2888600,84.674141
"2014-05-27",104.199997,104.480003,103.459999,103.68,3443400,84.389282
"2014-05-28",103.529999,103.860001,102.849998,102.910004,3353300,83.762543
"2014-05-29",103.279999,103.669998,102.559998,103.599998,3071200,84.324142
"2014-05-30",102.900002,102.980003,101.550003,102.230003,5939300,83.209061
"2014-06-02",102.419998,103.940002,102.010002,103.760002,3747000,84.454391
"2014-06-03",103.419998,104.57,103.050003,104.489998,3643600,85.048561
"2014-06-04",104.419998,105.099998,104.07,104.309998,2879900,84.902069
