"dates","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2016-06-24",44.387436,44.764397,43.403141,43.560207,8887517,34.177731
"2016-06-27",43.089005,43.141361,41.685863,42.115185,4473889,33.043953
"2016-06-28",42.544502,42.94241,41.884815,42.86911,5789115,33.63549
"2016-06-29",43.560207,43.801048,43.183247,43.664921,3204025,34.259895
"2016-06-30",43.874348,44.921467,43.874348,44.60733,4774618,34.999313
"2016-07-01",44.753925,45.382198,44.60733,44.900524,2084479,35.229355
"2016-07-05",44.753925,44.753925,43.486912,43.54974,3520321,34.169518
"2016-07-06",43.340313,43.570683,42.795811,43.518326,3560909,34.144871
"2016-07-07",43.518326,43.863873,43.099476,43.696335,3152360,34.28455
"2016-07-08",43.958115,44.848167,42.219894,44.785339,4759816,35.138981
"2016-07-11",44.994762,45.277489,44.848167,44.984295,1666093,35.29509
"2016-07-12",45.277489,45.518326,45.047119,45.13089,3214244,35.410103
"2016-07-13",45.151833,45.455498,44.848167,45.350784,3308884,35.582642
"2016-07-14",45.790577,46.031414,45.361256,45.382198,2038257,35.607281
"2016-07-15",45.528797,45.560207,44.984295,45.225132,3139085,35.484047
"2016-07-18",45.39267,45.403141,45.036648,45.183247,1476526,35.451183
"2016-07-19",45.172775,45.340313,44.994762,45.246075,2122679,35.500488
"2016-07-20",45.068062,45.350784,44.890053,45.267017,3269252,35.686214
"2016-07-21",45.287956,47.832462,45.287956,46.701572,9185954,36.817154
"2016-07-22",46.617802,47.958115,46.429317,47.916229,5151175,37.774719
"2016-07-25",47.895287,47.895287,47.109947,47.298428,2359041,37.287674
"2016-07-26",47.329842,47.874348,47.329842,47.727749,2551092,37.626129
"2016-07-27",47.759163,48.303665,47.696335,47.895287,3130777,37.758209
"2016-07-28",47.675392,47.675392,46.984295,47.54974,1994518,37.485802
"2016-07-29",47.13089,47.905758,47.109947,47.717278,2258862,37.617878
"2016-08-01",47.717278,48.366493,47.340313,47.916229,3112632,37.774719
"2016-08-02",47.759163,47.842934,46.86911,47.13089,2564557,37.155598
"2016-08-03",46.732983,47.068062,46.345551,47.068062,3362937,37.296654
"2016-08-04",47.162304,47.277489,46.481674,46.722511,2056211,37.022842
"2016-08-05",46.984295,47.507854,46.963352,47.455498,1371667,37.603664
"2016-08-08",47.507854,47.780106,47.193718,47.298428,1204160,37.479191
"2016-08-09",47.434555,47.434555,46.628273,46.837696,1299851,37.114113
"2016-08-10",46.795811,46.952881,46.586388,46.785339,1175319,37.072628
"2016-08-11",46.827225,46.921467,46.26178,46.586388,2689185,36.914978
"2016-08-12",46.471203,46.471203,45.643978,45.874348,2451772,36.350758
"2016-08-15",45.905758,46.324608,45.780106,46.230366,1664661,36.632866
"2016-08-16",46.178009,46.376965,45.560207,46.031414,3628905,36.475212
"2016-08-17",45.989529,46.293194,45.623035,46.26178,3280234,36.657757
"2016-08-18",46.26178,47.036648,46.125652,47.026176,3302772,37.26347
"2016-08-19",46.879581,47.340313,46.722511,47.078533,2754698,37.304951
"2016-08-22",46.900524,47.068062,46.293194,46.429317,2831766,36.79052
"2016-08-23",46.649216,47.591621,46.60733,47.246075,6025191,37.43771
"2016-08-24",47.078533,47.277489,45.916229,46.251308,5568796,36.64946
"2016-08-25",46.136127,46.502617,46.062828,46.198952,4102680,36.607979
"2016-08-26",46.198952,46.481674,45.748692,45.759163,3597676,36.259487
"2016-08-29",45.790577,46.492146,45.790577,46.366493,3536652,36.740734
"2016-08-30",46.439793,46.439793,46,46.073299,5932842,36.508411
"2016-08-31",45.884815,46.617802,45.612564,45.73822,4810908,36.242889
"2016-09-01",45.790577,47.13089,45.790577,47.13089,6300422,37.346436
"2016-09-02",47.633507,48.230366,47.455498,47.73822,27850570,37.827686
"2016-09-06",47.66,48.970001,47.25,48.900002,6146400,38.748276
"2016-09-07",48.830002,48.93,47.07,47.220001,10753600,37.417049
"2016-09-08",47.509998,47.98,47.27,47.860001,10999300,37.924191
"2016-09-09",47.580002,47.700001,45.700001,45.700001,12709700,36.212605
"2016-09-12",45.27,46.400002,44.630001,46.099998,13340200,36.529564
"2016-09-13",45.48,45.84,44.439999,44.849998,10513700,35.539059
"2016-09-14",44.919998,44.98,44.369999,44.529999,7276800,35.285496
"2016-09-15",44.490002,44.77,44.209999,44.279999,7445500,35.087399
"2016-09-16",44.470001,44.900002,44.299999,44.549999,8395700,35.301342
"2016-09-19",44.709999,44.759998,43.869999,44.200001,6704300,35.02401
"2016-09-20",44.419998,44.509998,43.77,43.939999,7665800,34.817974
"2016-09-21",44.259998,44.599998,43.970001,44.549999,8083100,35.301342
"2016-09-22",44.93,45.349998,44.82,44.959999,4841300,35.626221
"2016-09-23",44.759998,44.900002,44.389999,44.389999,5536800,35.174564
"2016-09-26",43.990002,44.540001,43.529999,44.290001,4386700,35.095325
"2016-09-27",44.299999,45.049999,43.610001,44.98,9300800,35.642082
"2016-09-28",45.259998,46.369999,45.080002,46.209999,9520000,36.616722
"2016-09-29",46.220001,46.619999,45.75,45.91,7051600,36.379009
"2016-09-30",46.290001,46.790001,45.810001,46.529999,6369000,36.8703
"2016-10-03",46.32,46.860001,46.209999,46.34,4764800,36.719738
"2016-10-04",46.400002,46.529999,45.25,45.470001,4639200,36.03035
"2016-10-05",45.610001,46.439999,45.540001,45.950001,4951100,36.410706
"2016-10-06",45.779999,45.939999,45.349998,45.650002,3797100,36.172993
"2016-10-07",45.790001,45.98,45.240002,45.290001,3851000,35.887718
"2016-10-10",45.450001,45.650002,44.68,44.740002,3736400,35.451904
"2016-10-11",44.32,44.810001,44.02,44.240002,4336900,35.05571
"2016-10-12",44.23,44.439999,44.02,44.189999,3606100,35.016083
"2016-10-13",43.790001,43.93,42.889999,43.490002,5997100,34.461407
"2016-10-14",43.799999,44.299999,43.669998,43.880001,5328600,34.770435
"2016-10-17",43.889999,44.82,43.66,43.740002,10730100,34.659504
"2016-10-18",44.23,44.27,43.849998,43.970001,7937700,34.841763
"2016-10-19",44.189999,44.810001,43.990002,44.380001,4713600,35.166641
"2016-10-20",44.369999,44.580002,44.169998,44.189999,5724800,35.016083
"2016-10-21",43.869999,44.16,43.459999,44.060001,3719000,34.913067
"2016-10-24",44.57,44.720001,44.189999,44.389999,3602000,35.174564
"2016-10-25",44.27,44.349998,43.75,43.91,3972600,34.794212
"2016-10-26",43.720001,44.189999,43.630001,44.09,3890400,34.936852
"2016-10-27",44.220001,44.41,43.84,44.009998,4656700,34.873447
"2016-10-28",43.98,44.200001,43.549999,43.759998,6006900,34.675346
"2016-10-31",39.290001,40.650002,39.16,40.32,16630600,35.793907
"2016-11-01",40.810001,41.580002,40.810001,41.259998,8530700,36.62838
"2016-11-02",41.240002,41.490002,41.080002,41.349998,7198600,36.708282
"2016-11-03",41.490002,41.639999,40.619999,40.810001,4515100,36.228901
"2016-11-04",40.970001,41.18,40.650002,40.880001,5362500,36.29105
"2016-11-07",41.599998,42.029999,41.27,41.57,7389800,36.903587
"2016-11-08",43,44.380001,42.330002,43.939999,12196100,39.007538
"2016-11-09",43.700001,44.380001,42.889999,43.84,10083800,38.918777
"2016-11-10",44.110001,45.310001,44.110001,45.25,9671000,40.170502
"2016-11-11",45.029999,45.27,43.93,44.16,6603700,39.20285
"2016-11-14",44.259998,44.380001,43.27,44.07,6311300,39.122955
"2016-11-15",44.259998,44.599998,44.110001,44.5,5239600,39.504684
"2016-11-16",44.52,44.59,44.200001,44.509998,4424400,39.513561
"2016-11-17",44.669998,45,44.540001,44.740002,4809200,39.717751
"2016-11-18",44.619999,44.860001,44.549999,44.709999,4641800,39.691109
"2016-11-21",44.779999,45.029999,44.639999,44.849998,4570000,39.815392
"2016-11-22",44.93,45.349998,44.759998,45.25,4480000,40.170502
"2016-11-23",45.25,45.639999,45.209999,45.610001,3650900,40.490082
"2016-11-25",45.650002,45.889999,45.529999,45.889999,1412600,40.738644
"2016-11-28",45.73,46.169998,44.959999,44.970001,6220400,39.921925
"2016-11-29",44.919998,45.869999,44.919998,45.380001,5292600,40.2859
"2016-11-30",45.549999,45.82,44.98,44.98,4012900,39.930809
"2016-12-01",45.099998,45.810001,45.099998,45.73,6191800,40.596611
"2016-12-02",45.669998,45.779999,44.98,45.32,4771400,40.232643
"2016-12-05",45.389999,45.91,44.549999,44.630001,6506400,39.620094
"2016-12-06",44.48,44.48,43.41,44.099998,9801800,39.149582
"2016-12-07",44.349998,44.5,43.720001,44.27,6694700,39.30051
"2016-12-08",44.07,44.23,43.529999,43.650002,5674200,38.750103
"2016-12-09",43.68,43.849998,43.509998,43.73,5066900,38.821121
"2016-12-12",43.330002,43.799999,43.259998,43.389999,4725100,38.740768
"2016-12-13",43.650002,43.849998,43.330002,43.439999,5776000,38.785412
"2016-12-14",43.18,43.810001,42.91,42.990002,5263100,38.383633
"2016-12-15",42.98,43.369999,42.380001,42.419998,8167500,37.874702
"2016-12-16",42.48,42.669998,41.950001,42.080002,12472800,37.571136
"2016-12-19",42.09,42.48,41.93,42.310001,4807800,37.776501
"2016-12-20",42.650002,42.950001,42.189999,42.869999,4318100,38.276482
"2016-12-21",43,43.490002,42.799999,42.810001,5183800,38.222912
"2016-12-22",42.799999,43.139999,42.470001,42.610001,3817000,38.044346
"2016-12-23",42.66,42.759998,42.380001,42.5,2422500,37.946129
"2016-12-27",42.450001,42.700001,42.27,42.369999,3172300,37.830059
"2016-12-28",42.529999,42.779999,41.790001,41.860001,4058400,37.374702
"2016-12-29",41.799999,42.09,41.389999,41.68,3151300,37.213993
"2016-12-30",41.799999,42,40.990002,41.189999,4885600,36.776489
"2017-01-03",41.630001,42.540001,41.470001,42.43,9453800,37.883621
"2017-01-04",42.439999,42.59,42.23,42.490002,5106800,37.937202
"2017-01-05",42.459999,42.639999,41.799999,41.939999,5184800,37.446136
"2017-01-06",41.950001,43.150002,41.950001,42.790001,6010100,38.205059
"2017-01-09",42.619999,42.75,42.349998,42.599998,3569900,38.035404
"2017-01-10",42.830002,43.630001,42.630001,43.610001,10411800,38.937195
"2017-01-11",43.66,44.419998,43.59,44.080002,14690600,39.356842
"2017-01-12",44.189999,44.220001,43.080002,43.790001,5546600,39.097916
"2017-01-13",43.759998,44,43.630001,43.66,4865900,38.981842
"2017-01-17",43.509998,43.549999,42.880001,43.110001,4710300,38.49078
"2017-01-18",43.150002,43.380001,42.889999,43.09,3998100,38.472916
"2017-01-19",43.060001,43.200001,42.57,42.869999,3193300,38.276482
"2017-01-20",43.099998,43.48,42.509998,42.900002,5968400,38.303276
"2017-01-23",42.700001,43.27,42.650002,43.240002,4863400,38.606838
"2017-01-24",43.389999,44.189999,43.360001,43.950001,5367000,39.240765
"2017-01-25",44.25,44.610001,43.950001,44.189999,4290800,39.455048
"2017-01-26",44.130001,44.380001,43.82,44.299999,5391400,39.553261
"2017-01-27",44.630001,44.700001,43.630001,43.73,4716800,39.044334
"2017-01-30",43.73,43.799999,43.09,43.77,4153600,39.080055
"2017-01-31",43.59,44.540001,43.09,43.98,9406900,39.267551
"2017-02-01",43.200001,43.32,42.25,42.5,10608800,37.946129
"2017-02-02",42.48,42.57,42.009998,42.299999,7591100,37.767555
"2017-02-03",42.32,42.689999,42.099998,42.66,6130000,38.088989
"2017-02-06",42.59,42.759998,42.009998,42.299999,6650700,37.767555
"2017-02-07",42.52,42.650002,41.009998,41.23,8410600,36.812214
"2017-02-08",41.23,41.34,40.810001,41.009998,7211400,36.615784
"2017-02-09",41.07,41.560001,40.959999,41.310001,5818800,36.883644
"2017-02-10",41.34,42.07,41.169998,41.849998,6262700,37.365772
"2017-02-13",42.029999,42.09,41.599998,41.75,4764400,37.276489
"2017-02-14",41.610001,41.799999,40.950001,41.490002,6170000,37.044346
"2017-02-15",41.349998,41.73,40.630001,41.619999,8504300,37.160423
"2017-02-16",41.619999,41.810001,41.380001,41.68,5549000,37.213993
"2017-02-17",41.580002,42.139999,41.439999,41.91,5994400,37.41935
"2017-02-21",42.080002,42.799999,41.990002,42.630001,6770900,38.062195
"2017-02-22",42.369999,42.490002,41.93,42.169998,4387700,37.651485
"2017-02-23",42.369999,42.369999,41.459999,41.490002,5052300,37.044346
"2017-02-24",41.380001,41.82,41.25,41.82,4854400,37.338993
"2017-02-27",41.720001,42.27,41.709999,42.240002,3628300,37.713997
"2017-02-28",42.169998,42.540001,41.880001,41.939999,7027200,37.446136
"2017-03-01",42.25,42.849998,42.25,42.68,4738100,38.106846
"2017-03-02",42.630001,42.73,42.23,42.27,3384000,37.740768
"2017-03-03",42.200001,42.23,41.84,42.060001,3279100,37.55328
"2017-03-06",41.650002,41.830002,41.470001,41.759998,4173600,37.285427
"2017-03-07",41.639999,41.919998,41.380001,41.470001,3810600,37.026501
"2017-03-08",41.459999,41.619999,41.099998,41.139999,4517200,36.731853
"2017-03-09",41.259998,41.330002,40.439999,40.82,4723600,36.44614
"2017-03-10",41.099998,42.27,40.630001,41.23,5340900,36.812214
"2017-03-13",40.810001,41.259998,40.669998,41.240002,5567600,36.82114
"2017-03-14",41.060001,41.139999,40.720001,40.889999,3517600,36.508644
"2017-03-15",41.119999,42.049999,41.009998,41.93,4746800,37.437199
"2017-03-16",42.139999,42.450001,41.689999,41.77,5082400,37.294353
"2017-03-17",41.959999,42.060001,41.689999,41.970001,7041200,37.472919
"2017-03-20",41.959999,42.450001,41.779999,42.27,5224700,37.966927
"2017-03-21",42.400002,42.57,41.330002,41.380001,7114000,37.167526
"2017-03-22",41.380001,41.900002,41.110001,41.810001,3972400,37.553761
"2017-03-23",41.73,42.07,41.41,41.5,4278700,37.275318
"2017-03-24",41.450001,41.450001,40.790001,41.220001,5944500,37.023827
"2017-03-27",40.830002,41.52,40.66,41.360001,3659000,37.14957
"2017-03-28",41.220001,41.950001,41.099998,41.740002,4177800,37.490887
"2017-03-29",41.73,42.360001,41.59,42.25,3467500,37.948975
"2017-03-30",42.18,42.400002,41.91,42.139999,2944500,37.850159
"2017-03-31",42.150002,42.380001,41.970001,42.119999,3800300,37.832195
"2017-04-03",42.150002,42.27,40.98,41.169998,5869800,36.978912
"2017-04-04",41.09,41.529999,40.950001,41.299999,3164700,37.095684
"2017-04-05",41.509998,41.919998,40.959999,40.98,3276500,36.808254
"2017-04-06",41.02,41.419998,40.889999,41.18,4143900,36.987892
"2017-04-07",41.139999,41.32,40.880001,40.990002,3282500,36.817242
"2017-04-10",41.029999,41.459999,40.93,41.119999,3297800,36.934002
"2017-04-11",41.099998,41.279999,40.98,41.220001,4184800,37.023827
