"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2013-10-02",85.959999,86.459999,84.970001,86.07,2725300,74.225693
"2013-10-03",86.080002,86.459999,85.279999,85.629997,1662000,73.846275
"2013-10-04",85.559998,87.290001,85.360001,87,1982800,75.027748
"2013-10-07",86.040001,87.160004,85.629997,86.82,1910500,74.872498
"2013-10-08",87.040001,87.449997,85.980003,86.099998,2614700,74.251602
"2013-10-09",86.419998,86.480003,84.949997,85.919998,2162300,74.096359
"2013-10-10",86.620003,87.68,86.440002,87.620003,2005800,75.562447
"2013-10-11",86.879997,88.309998,86.800003,87.949997,1764400,75.847
"2013-10-14",87.239998,89.330002,87.129997,88.620003,1608600,76.424812
"2013-10-15",88.519997,89.589996,88.18,88.730003,2721700,76.519669
"2013-10-16",89,90.739998,89,90.230003,2965800,77.813255
"2013-10-17",90,90.639999,89.68,90.57,2231400,78.106468
"2013-10-18",90.769997,91.650002,90.57,91.260002,2761400,78.875702
"2013-10-21",90.599998,91.129997,88.809998,89.589996,3557700,77.43232
"2013-10-22",89.849998,90.599998,89.209999,89.699997,1799200,77.52739
"2013-10-23",89.260002,89.589996,88.089996,88.739998,1981200,76.697655
"2013-10-24",88.730003,90.239998,88.470001,89.769997,2026000,77.587883
"2013-10-25",90.110001,90.529999,89.769997,90.449997,1705600,78.175591
"2013-10-28",90.529999,90.720001,90,90.360001,1757600,78.097839
"2013-10-29",90.550003,91.209999,90.410004,90.849998,1563900,78.521332
"2013-10-30",90.639999,91.18,88.209999,88.93,2157700,76.861893
"2013-10-31",89.110001,89.970001,88.529999,88.800003,1951800,76.749512
"2013-11-01",88.889999,89.699997,88.349998,89.239998,2323200,77.129807
"2013-11-04",89.589996,90.400002,89.25,90.349998,1772800,78.08918
"2013-11-05",90.089996,90.089996,89.019997,89.129997,2527300,77.034721
"2013-11-06",89.5,89.889999,87.730003,88.449997,3189700,76.447006
"2013-11-07",89.370003,91.099998,88.129997,88.589996,4677800,76.568008
"2013-11-08",88.779999,89.900002,88.589996,89.800003,3248100,77.613815
"2013-11-11",90,90.169998,89.419998,89.790001,2142900,77.605179
"2013-11-12",89.839996,90.110001,89.029999,89.709999,3456100,77.536011
"2013-11-13",89.129997,90.889999,88.839996,90.849998,2395500,78.521332
"2013-11-14",90.760002,92.440002,90.419998,92.129997,2914400,79.627625
"2013-11-15",92.260002,92.839996,91.599998,92.5,2634100,79.947411
"2013-11-18",91.419998,93.199997,91.419998,91.989998,2559900,79.506615
"2013-11-19",91.830002,93.220001,91.620003,93.010002,3316900,80.388222
"2013-11-20",93.419998,93.989998,92.779999,93.18,2536700,80.535172
"2013-11-21",93.489998,94.839996,93.489998,93.989998,2546200,81.235214
"2013-11-22",93.989998,94.769997,93.410004,94.419998,2104500,81.606865
"2013-11-25",93.849998,94.07,92.150002,93.239998,2012500,80.58699
"2013-11-26",93.239998,94.550003,92.669998,93.739998,2588600,81.019127
"2013-11-27",93.419998,93.730003,91.510002,92.040001,2586400,79.549843
"2013-11-29",91.940002,92.279999,90.870003,91.489998,1178300,79.074478
"2013-12-02",91.220001,91.849998,90.699997,91.199997,2066800,78.823845
"2013-12-03",91.279999,91.339996,89.900002,90.559998,2843900,78.270691
"2013-12-04",90.650002,91.269997,89.540001,89.889999,2148200,77.691589
"2013-12-05",89.519997,90.82,89.110001,89.839996,2759200,77.648384
"2013-12-06",90.940002,91.050003,88.949997,89.019997,2363400,76.939667
"2013-12-09",89.089996,90.029999,88.239998,88.980003,2662600,76.905098
"2013-12-10",88.550003,89.510002,87.68,87.879997,2483900,75.954369
"2013-12-11",87.879997,88.199997,86.139999,86.419998,2539200,74.692497
"2013-12-12",85.760002,86.480003,85.07,86.029999,3522200,74.355415
"2013-12-13",85.779999,86.5,85.300003,86.160004,2618400,74.467789
"2013-12-16",86.129997,86.839996,85.650002,86.139999,2634300,74.4505
"2013-12-17",85.690002,85.970001,85.239998,85.279999,3413100,73.707199
"2013-12-18",85.349998,86,84.150002,85.870003,2366100,74.217148
"2013-12-19",85.540001,86.800003,85.339996,86.589996,2217500,74.839439
"2013-12-20",86.440002,87.150002,86.410004,86.410004,2967700,74.683861
"2013-12-23",87.040001,87.629997,85.870003,85.959999,2217600,74.294914
"2013-12-24",86.099998,86.480003,85.809998,86.209999,822100,74.510994
"2013-12-26",86.5,86.75,85.900002,86.309998,1232100,74.597412
"2013-12-27",86.389999,87.040001,85.879997,86.68,1501400,74.917198
"2013-12-30",87.160004,87.830002,86.110001,86.160004,1635100,74.467789
"2013-12-31",86.150002,86.419998,85.5,85.940002,2331100,74.277649
"2014-01-02",85.82,85.970001,85.160004,85.480003,2565400,73.880051
"2014-01-03",85.800003,86.730003,85.379997,85.540001,2259400,73.931915
"2014-01-06",85.760002,86.470001,85.120003,86.309998,2316000,74.597412
"2014-01-07",86.419998,87.910004,86.129997,87.900002,2812300,75.971626
"2014-01-08",87.559998,87.580002,86.360001,86.650002,2712800,74.891296
"2014-01-09",86.489998,87,85.43,86.089996,2141900,74.407272
"2014-01-10",85.949997,86.459999,85.639999,86.199997,2389200,74.502335
"2014-01-13",85.949997,86.410004,84.059998,84.290001,2583800,72.85157
"2014-01-14",84.5,85.82,84.5,85.690002,3453700,74.061546
"2014-01-15",85.849998,86.040001,84.260002,84.440002,2970000,72.981163
"2014-01-16",84.25,85.949997,83.75,85.900002,3187600,74.243065
"2014-01-17",85.900002,85.900002,84.279999,84.309998,2859100,73.038887
"2014-01-21",84.779999,85.230003,84.309998,84.489998,2090700,73.194832
"2014-01-22",84.760002,85.220001,83.360001,84.529999,2444800,73.229469
"2014-01-23",84.169998,84.739998,83.230003,83.589996,2154400,72.415138
"2014-01-24",83.400002,83.550003,82.129997,82.419998,3191400,71.401543
"2014-01-27",81.93,82,80.620003,81.18,3540800,70.327316
"2014-01-28",81.019997,82.629997,81,81.989998,2213400,71.029045
"2014-01-29",81.330002,81.910004,80.800003,81.019997,2009800,70.188713
"2014-01-30",81.690002,81.699997,80.669998,81.279999,1453300,70.413948
"2014-01-31",80.300003,80.949997,79.839996,80.260002,2425500,69.530304
"2014-02-03",80.260002,80.629997,78.690002,78.730003,3194400,68.204872
"2014-02-04",79.239998,79.550003,78.459999,78.5,3155300,68.005608
