"dates","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"2010-12-13",22.1,22.18,21.879999,21.985001,657000,21.659883
"2010-12-14",21.924999,22.27,21.82,22.155001,765400,21.827366
"2010-12-15",22.1,22.4,22.1,22.215,966600,21.886475
"2010-12-16",22.285,22.415001,21.715,21.955,2078000,21.630325
"2010-12-17",22.139999,22.455,22.139999,22.360001,1488000,22.029339
"2010-12-20",22.475,22.57,22.24,22.405001,618200,22.073673
"2010-12-21",22.424999,22.610001,22.225,22.6,699000,22.265783
"2010-12-22",22.674999,22.950001,22.594999,22.945,983400,22.605684
"2010-12-23",22.959999,23.045,22.855,22.915001,574800,22.576128
"2010-12-27",22.885,23.084999,22.83,23.065001,511600,22.723906
"2010-12-28",23.115,23.305,23.014999,23.264999,844200,22.920948
"2010-12-29",23.285,23.34,23.094999,23.105,831000,22.763309
"2010-12-30",23.139999,23.389999,23.120001,23.32,693800,22.975136
"2010-12-31",23.32,23.415001,23.105,23.105,628000,22.763309
"2011-01-03",23.27,23.709999,23.27,23.395,1089400,23.04903
"2011-01-04",23.455,23.455,22.785,22.934999,1602800,22.595831
"2011-01-05",22.985001,23.25,22.85,23.09,1407600,22.748537
"2011-01-06",23.190001,23.395,22.945,22.959999,1733400,22.620461
"2011-01-07",23.549999,23.9,23.309999,23.735001,2838200,23.384005
"2011-01-10",23.629999,24,23.440001,23.870001,1291600,23.517002
"2011-01-11",23.905001,24,23.674999,23.754999,1168000,23.4037
"2011-01-12",23.915001,23.924999,23.705,23.76,1177600,23.408634
"2011-01-13",23.709999,23.805,23.48,23.559999,1035200,23.211592
"2011-01-14",23.57,23.695,23.525,23.645,1824800,23.29534
"2011-01-18",23.565001,23.924999,23.389999,23.92,1681000,23.566265
"2011-01-19",23.844999,24.375,23.82,23.855,1436200,23.502237
"2011-01-20",23.790001,23.875,23.245001,23.514999,1057400,23.167259
"2011-01-21",23.629999,23.665001,23.254999,23.290001,765600,22.945587
"2011-01-24",23.334999,23.73,23.24,23.594999,832600,23.246073
"2011-01-25",23.559999,23.76,23.385,23.76,888400,23.408634
"2011-01-26",23.834999,23.955,23.67,23.725,465400,23.374144
"2011-01-27",23.73,23.885,23.66,23.82,534000,23.467741
"2011-01-28",23.834999,23.940001,23.34,23.41,799200,23.063803
"2011-01-31",23.389999,23.855,23.344999,23.620001,968000,23.270702
"2011-02-01",23.635,24.1,23.635,24.01,967400,23.654932
"2011-02-02",23.934999,24.299999,23.84,23.975,826000,23.620451
"2011-02-03",23.924999,24.24,23.719999,24.105,927800,23.748531
"2011-02-04",24.055,24.395,24.030001,24.32,1084600,23.960346
"2011-02-07",24.365,24.43,24.195,24.334999,919000,23.975124
"2011-02-08",24.35,24.754999,24.26,24.715,1311200,24.34951
"2011-02-09",24.594999,24.735001,24.375,24.385,809600,24.024391
"2011-02-10",24.225,24.465,24.225,24.424999,811000,24.073664
"2011-02-11",24.375,24.700001,24.305,24.67,334200,24.315138
"2011-02-14",24.709999,24.85,24.549999,24.83,457400,24.472841
"2011-02-15",24.754999,24.9,24.610001,24.82,583600,24.462994
"2011-02-16",24.875,24.975,24.700001,24.785,545000,24.428488
"2011-02-17",24.73,24.815001,24.615,24.695,429200,24.339783
"2011-02-18",24.725,24.83,24.545,24.700001,895000,24.344709
"2011-02-22",24.514999,24.785,24.200001,24.315001,802200,23.965256
"2011-02-23",24.334999,24.385,23.48,23.575001,1327800,23.235897
"2011-02-24",23.625,23.825001,23.219999,23.465,1230000,23.12748
"2011-02-25",23.6,23.98,23.51,23.98,707800,23.635067
"2011-02-28",24.045,24.165001,23.950001,23.995001,426600,23.649855
"2011-03-01",24.1,24.174999,23.68,23.73,592000,23.388672
"2011-03-02",23.684999,24.215,23.684999,24.01,672600,23.664639
"2011-03-03",24.15,24.405001,24.15,24.305,570800,23.9554
"2011-03-04",24.235001,24.26,24.030001,24.120001,507200,23.77306
"2011-03-07",24.145,24.315001,23.625,23.75,443000,23.408386
"2011-03-08",23.83,24.365,23.77,24.254999,672600,23.906118
"2011-03-09",24.235001,24.275,23.99,24.200001,396400,23.851902
"2011-03-10",23.934999,23.934999,23.379999,23.565001,453600,23.226038
"2011-03-11",23.52,23.754999,23.485001,23.610001,614200,23.270393
"2011-03-14",23.41,23.565001,23.23,23.395,385600,23.058481
"2011-03-15",22.885,23.540001,22.77,23.34,845000,23.004278
"2011-03-16",23.245001,23.389999,22.940001,22.950001,908400,22.619886
"2011-03-17",23.285,23.285,22.92,22.955,420600,22.624813
"2011-03-18",23.045,23.209999,22.84,23.184999,1004600,22.851505
"2011-03-21",23.42,23.625,23.35,23.525,691400,23.186625
"2011-03-22",23.535,23.695,23.385,23.465,399200,23.12748
"2011-03-23",23.434999,23.620001,23.254999,23.545,279200,23.206326
"2011-03-24",23.775,23.775,23.465,23.73,290000,23.388672
"2011-03-25",23.775,24,23.74,23.860001,356600,23.516798
"2011-03-28",23.91,24.125,23.785,23.785,652200,23.442877
"2011-03-29",23.735001,24.225,23.645,24.08,873600,23.733631
"2011-03-30",24.18,24.35,24.08,24.135,789000,23.787836
"2011-03-31",24.18,24.545,24.17,24.459999,1005600,24.108164
"2011-04-01",23.475,25.450001,23.424999,25.27,5690800,24.906519
"2011-04-04",25.115,25.264999,24.709999,24.834999,1637200,24.477772
"2011-04-05",24.76,26.18,24.76,26.040001,2735600,25.665443
"2011-04-06",26.004999,26.004999,25.629999,25.805,1461600,25.433815
"2011-04-07",25.719999,26.23,25.665001,26.09,1111800,25.714722
"2011-04-08",26.205,26.215,25.985001,26.205,702400,25.82806
"2011-04-11",26.195,26.360001,26.08,26.290001,1036600,25.911846
"2011-04-12",26.15,26.299999,25.844999,26.15,813200,25.773851
"2011-04-13",26.25,26.360001,26.055,26.215,584800,25.837921
"2011-04-14",25.74,26.165001,25.459999,25.93,1340600,25.557024
"2011-04-15",25.895,26.15,25.84,26.059999,1203200,25.685158
"2011-04-18",25.795,25.805,25.395,25.684999,836200,25.315542
"2011-04-19",25.799999,26.040001,25.705,25.91,1024400,25.537312
"2011-04-20",26.105,26.139999,25.875,25.945,939000,25.5718
"2011-04-21",26.004999,26.030001,25.875,25.9,902600,25.527451
"2011-04-25",25.945,26.184999,25.775,26.155001,945200,25.778791
"2011-04-26",26.205,26.285,25.834999,25.924999,1111800,25.552095
"2011-04-27",25.985001,26.360001,25.879999,26.344999,937000,25.966047
"2011-04-28",26.309999,26.645,26.219999,26.51,1415000,26.128679
"2011-04-29",26.434999,26.834999,26.334999,26.620001,776000,26.237099
"2011-05-02",26.719999,26.780001,26.455,26.6,834000,26.217382
"2011-05-03",26.535,26.725,26.450001,26.695,1046600,26.311014
"2011-05-04",26.625,26.625,25.955,26.165001,924800,25.788641
"2011-05-05",26.035,26.49,25.965,26.334999,1053200,25.956198
"2011-05-06",26.5,26.5,25.809999,25.825001,1233400,25.453533
"2011-05-09",25.825001,26.205,25.695,26.15,724600,25.773851
"2011-05-10",26.24,26.625,26.084999,26.59,662600,26.207527
"2011-05-11",26.605,26.74,26.24,26.450001,649200,26.069536
"2011-05-12",26.34,26.68,26.215,26.52,1308000,26.138538
"2011-05-13",26.59,26.700001,26.129999,26.225,790400,25.857529
"2011-05-16",26.084999,26.325001,26.004999,26.07,858800,25.704697
"2011-05-17",26,26.059999,25.805,25.91,852200,25.54694
"2011-05-18",25.98,26.629999,25.855,26.455,2230800,26.084301
"2011-05-19",26.5,26.825001,26.215,26.615,1549600,26.242062
"2011-05-20",26.549999,26.674999,26.360001,26.379999,1432200,26.010365
"2011-05-23",26.035,26.075001,25.700001,25.799999,715000,25.438477
"2011-05-24",25.915001,26,25.764999,25.870001,645400,25.507502
"2011-05-25",25.365,25.745001,25.139999,25.41,1514400,25.053947
"2011-05-26",25.385,25.98,25.365,25.92,1560400,25.556803
"2011-05-27",26.045,26.110001,25.809999,25.924999,653800,25.561735
"2011-05-31",26.129999,26.215,25.895,25.98,1104800,25.615959
"2011-06-01",25.98,26,25.549999,25.57,829000,25.21171
"2011-06-02",25.655001,25.82,25.49,25.709999,921000,25.349747
"2011-06-03",25.424999,25.455,24.985001,24.995001,787600,24.644758
"2011-06-06",24.945,25.395,24.934999,25.309999,1369000,24.955349
"2011-06-07",25.415001,25.415001,24.91,24.91,1468200,24.560955
"2011-06-08",24.82,25.344999,24.540001,25.225,2087400,24.871536
"2011-06-09",25.305,25.495001,25.16,25.424999,941600,25.068735
"2011-06-10",25.264999,25.334999,24.565001,24.584999,1366800,24.240507
"2011-06-13",24.684999,24.735001,24.504999,24.530001,760200,24.186279
"2011-06-14",24.719999,24.969999,24.645,24.84,1167600,24.491936
"2011-06-15",24.620001,24.834999,24.389999,24.43,795400,24.087681
"2011-06-16",24.370001,24.535,24.26,24.295,846800,23.954571
"2011-06-17",24.459999,24.684999,24.209999,24.575001,1240000,24.230648
"2011-06-20",24.514999,24.879999,24.504999,24.844999,781000,24.49687
"2011-06-21",24.950001,25.305,24.879999,25.285,782600,24.930698
"2011-06-22",25.205,25.26,24.959999,24.959999,623200,24.610258
"2011-06-23",24.715,25.115,24.665001,25.014999,904800,24.66448
"2011-06-24",25.004999,25.125,24.555,24.594999,587800,24.250366
"2011-06-27",24.625,24.875,24.434999,24.790001,537400,24.442635
"2011-06-28",24.799999,25.004999,24.799999,24.9,824600,24.55109
"2011-06-29",25.040001,25.469999,24.98,25.299999,1494000,24.945492
"2011-06-30",25.395,25.615,25.215,25.5,1099200,25.142683
"2011-07-01",25.559999,25.715,25.459999,25.68,879000,25.320168
"2011-07-05",25.715,25.73,25.415001,25.535,637200,25.177193
"2011-07-06",25.424999,25.84,25.344999,25.815001,631000,25.453272
"2011-07-07",25.965,26.139999,25.92,26.110001,804000,25.744144
"2011-07-08",25.85,26.15,25.735001,26.120001,785800,25.754
"2011-07-11",25.83,25.885,25.535,25.59,670800,25.231426
"2011-07-12",25.48,25.74,25.375,25.530001,890800,25.172268
"2011-07-13",25.620001,25.700001,25.290001,25.334999,1265200,24.979994
"2011-07-14",25.445,25.934999,25.41,25.605,1803800,25.246216
"2011-07-15",25.690001,25.725,25.495001,25.645,979800,25.285652
"2011-07-18",25.540001,25.540001,25.205,25.26,665000,24.906046
"2011-07-19",25.5,25.965,25.5,25.965,962200,25.601175
"2011-07-20",26.004999,26.209999,25.940001,26.065001,948200,25.699768
"2011-07-21",26.145,26.375,26.01,26.1,1301800,25.734276
"2011-07-22",25.764999,25.764999,23.52,24.115,6485400,23.777094
"2011-07-25",24.065001,24.549999,23.870001,24.174999,2143200,23.836252
"2011-07-26",24.215,24.375,24.075001,24.17,1476400,23.831322
"2011-07-27",24,24.094999,23.745001,23.879999,1927200,23.545387
"2011-07-28",23.83,24.23,23.825001,23.9,1263800,23.565104
"2011-07-29",23.605,23.940001,23.379999,23.705,1010400,23.372837
"2011-08-01",23.965,24.035,23.440001,23.684999,1336200,23.353113
"2011-08-02",23.5,23.855,22.975,22.98,667600,22.657999
"2011-08-03",22.959999,23.684999,22.665001,23.655001,1571600,23.32354
"2011-08-04",23.280001,23.615,22.51,22.51,1554400,22.194584
