"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2010-08-06",83.93,85.18,83.339996,84.919998,1126200,64.183594
"2010-08-09",85.43,86.800003,85.199997,86.07,1286600,65.052795
"2010-08-10",85.440002,85.440002,82.269997,82.75,2469400,62.543484
"2010-08-11",81.25,81.25,78.959999,79.269997,2392100,59.913254
"2010-08-12",78.449997,79.610001,77.529999,78.129997,2251000,59.051628
"2010-08-13",77.989998,77.989998,76.43,76.739998,1591700,58.001053
"2010-08-16",76.330002,78.290001,75.629997,77.190002,1956200,58.341175
"2010-08-17",78.269997,80.760002,77.839996,79.43,1799700,60.034199
"2010-08-18",79.400002,80.580002,77.900002,79.980003,1554000,60.449894
"2010-08-19",79.400002,79.870003,76.459999,78.010002,2096500,58.960938
"2010-08-20",77.309998,77.720001,76.099998,77.580002,1641300,58.635937
"2010-08-23",77.699997,80.629997,77.110001,77.709999,3007600,58.734207
"2010-08-24",76.389999,77.300003,74.720001,75.190002,2683900,56.829567
"2010-08-25",74.370003,76.610001,73.610001,76.18,2328400,57.90897
"2010-08-26",76.440002,77.110001,74.410004,74.510002,1568400,56.6395
"2010-08-27",75.260002,75.959999,72.870003,75.580002,1545100,57.452869
"2010-08-30",74.809998,76.580002,74.239998,74.370003,1704600,56.533089
"2010-08-31",73.260002,75.900002,73.260002,74.160004,2192400,56.373451
"2010-09-01",75.5,77.989998,75.25,77.949997,1706300,59.254448
"2010-09-02",78.010002,78.25,76.349998,77.279999,1453000,58.745136
"2010-09-03",78.339996,79.830002,77.699997,79.199997,1396200,60.204643
"2010-09-07",78.43,78.559998,75.650002,75.980003,1830900,57.756931
"2010-09-08",76.139999,77.919998,75.989998,77.470001,1893300,58.889584
"2010-09-09",78.510002,79.019997,75.449997,75.800003,1961100,57.620113
"2010-09-10",75.910004,76.18,72.839996,73.059998,3255200,55.537266
"2010-09-13",74.309998,74.669998,71,71.620003,3540000,54.442638
"2010-09-14",72,73.059998,71.099998,72.32,2472000,54.974751
"2010-09-15",72.080002,72.830002,71.510002,72.769997,2042500,55.316818
"2010-09-16",72.5,73.019997,71.349998,72.57,2340100,55.164803
"2010-09-17",72.919998,74.690002,72.589996,74.489998,2340700,56.624302
"2010-09-20",74.980003,80.029999,74.779999,79.879997,3578300,60.721561
"2010-09-21",80.5,81.610001,78.040001,78.470001,2754000,59.649738
"2010-09-22",78.089996,79.790001,76.540001,76.580002,2585900,58.213039
"2010-09-23",75.360001,78.099998,75.07,75.870003,2043800,57.673336
"2010-09-24",77.330002,79.68,77.059998,79.160004,2109100,60.174232
"2010-09-27",79.470001,79.470001,77.559998,77.720001,1740500,59.079601
"2010-09-28",77.879997,79.279999,76.300003,78.949997,2533500,60.014599
"2010-09-29",78.75,81.800003,78.32,80.75,2407300,61.382893
"2010-09-30",81.699997,82.480003,78.519997,80.959999,3054800,61.542549
"2010-10-01",81.779999,82.260002,79.330002,80.199997,1588900,60.964809
"2010-10-04",79.739998,80.32,78.889999,79.949997,1279500,60.77478
"2010-10-05",80.919998,83.669998,79.860001,83.029999,2220600,63.116077
"2010-10-06",82.830002,83.5,80.93,81.910004,1338800,62.264664
"2010-10-07",82.330002,82.540001,79.5,80.559998,1629900,61.238464
"2010-10-08",80.779999,83.18,80.510002,82.769997,1221700,62.918411
"2010-10-11",82.800003,84.629997,82.800003,83.059998,1769800,63.138844
"2010-10-12",82.959999,84.419998,82.239998,84.269997,1818700,64.05864
"2010-10-13",84.57,87.410004,84.519997,86.650002,2740200,65.867836
"2010-10-14",86.599998,86.900002,83.860001,84.449997,1505000,64.19548
"2010-10-15",85.580002,85.82,83.279999,84.389999,1970200,64.149872
"2010-10-18",84.57,86.970001,83.910004,85.760002,2830500,65.191315
"2010-10-19",84.260002,88.150002,84.220001,85.599998,2226000,65.069664
"2010-10-20",85.809998,85.809998,83.639999,85.089996,3117800,64.681992
"2010-10-21",85.589996,87.470001,84.900002,85.550003,1399000,65.031654
"2010-10-22",85.57,85.910004,84.419998,85.559998,909600,65.039268
"2010-10-25",86.279999,87.440002,84.730003,84.809998,1469400,64.469139
"2010-10-26",84.339996,86.019997,83.709999,84.519997,1410700,64.248703
"2010-10-27",83.279999,83.279999,77.809998,81.040001,5528100,61.603336
"2010-10-28",81.379997,81.379997,77,77,2934300,58.532307
"2010-10-29",77.209999,77.599998,75.330002,75.830002,3085600,57.642925
"2010-11-01",76.25,76.650002,74.43,75.269997,1288300,57.217224
"2010-11-02",75.93,77.650002,74.75,77.220001,1860000,58.699524
"2010-11-03",77.160004,77.980003,76.599998,77.459999,2124700,58.881981
"2010-11-04",78.800003,79.889999,78.209999,79.800003,2003500,60.660748
"2010-11-05",79.949997,80.769997,79.349998,80.07,1830700,60.865993
"2010-11-08",79.540001,79.550003,77.459999,78.470001,2027100,59.649738
"2010-11-09",78.529999,78.900002,76.029999,76.449997,2307200,58.114204
"2010-11-10",76.339996,77.730003,75.919998,77.639999,1367600,59.018799
"2010-11-11",76.760002,77.010002,75.550003,76.129997,1943300,57.87096
"2010-11-12",75.419998,76.400002,73.440002,74.129997,3658500,56.350651
"2010-11-15",74.709999,75.949997,74.620003,75.160004,2323400,57.133602
"2010-11-16",74.610001,75.5,73.620003,74.190002,1942700,56.396244
"2010-11-17",74.089996,74.75,73.790001,74.370003,1113900,56.862659
"2010-11-18",75.230003,77.07,74.489998,76.150002,2282000,58.223621
"2010-11-19",75.980003,77.019997,75.379997,76.620003,1339600,58.582989
"2010-11-22",76.419998,76.650002,75.43,75.639999,1749500,57.833691
"2010-11-23",74.690002,75.080002,73.970001,74.309998,1162800,56.816792
"2010-11-24",75.190002,75.75,74.550003,75.730003,1054100,57.9025
"2010-11-26",74.940002,75.489998,74.5,75,473800,57.344341
"2010-11-29",74.75,75.589996,73.870003,75.129997,1096500,57.443726
"2010-11-30",74.209999,74.370003,72.949997,73,1917400,55.815155
"2010-12-01",74.18,75.989998,73.919998,74.300003,2639300,56.809132
"2010-12-02",74.559998,78.980003,74.470001,78.809998,2805700,60.257442
"2010-12-03",78.089996,80.5,77.580002,80.059998,2297700,61.213173
"2010-12-06",81.400002,83.980003,80.610001,83.75,2775400,64.034515
"2010-12-07",84.860001,85.699997,84.120003,84.540001,2203400,64.638542
"2010-12-08",84.809998,85.059998,82.370003,83.519997,1593200,63.858669
"2010-12-09",84.199997,85.839996,83.519997,85.690002,1717900,65.517815
"2010-12-10",85.980003,85.980003,84.419998,85.739998,1366200,65.556038
"2010-12-13",86.32,86.669998,85.379997,85.580002,1157800,65.433723
"2010-12-14",85.75,89.309998,85.260002,87.949997,3315800,67.245796
"2010-12-15",87.970001,89.360001,86.910004,87.209999,1221800,66.680008
"2010-12-16",87.610001,90.940002,87.610001,89.519997,2061000,68.446205
"2010-12-17",89.970001,90.349998,89,90.080002,1288200,68.874397
"2010-12-20",90.400002,91,88.589996,88.599998,1290400,67.742775
"2010-12-21",89.010002,89.260002,87.959999,88.900002,1367500,67.972176
"2010-12-22",88.879997,90.050003,88.849998,89.919998,751200,68.752052
"2010-12-23",89.43,90.949997,89.25,89.860001,857400,68.706169
"2010-12-27",89.400002,90.800003,89.019997,90.330002,437900,69.065521
"2010-12-28",90.690002,90.779999,89.82,90.309998,455700,69.050232
"2010-12-29",90.309998,91.279999,89.93,90,751200,68.813217
"2010-12-30",90.010002,90.589996,89.559998,89.82,461900,68.675583
"2010-12-31",89.68,89.809998,88.68,88.830002,670100,67.918655
"2011-01-03",89.730003,90.779999,89.419998,90.470001,1107700,69.172577
"2011-01-04",90.379997,90.82,88.279999,89.169998,970400,68.178604
"2011-01-05",88.449997,90.389999,88.099998,89.769997,884100,68.637344
"2011-01-06",89.620003,89.739998,87.300003,87.860001,1506800,67.17701
"2011-01-07",88.050003,89.18,86.360001,87.489998,1231800,66.894104
"2011-01-10",87.400002,88.129997,86.029999,87.900002,994100,67.207596
"2011-01-11",88.459999,88.889999,87.480003,87.790001,789600,67.123474
"2011-01-12",88.440002,89.989998,87.620003,89.690002,1272700,68.576195
"2011-01-13",89.470001,89.639999,87.190002,87.470001,1413900,66.878807
"2011-01-14",87.32,88.349998,87.029999,88.239998,862100,67.467529
"2011-01-18",88.040001,88.209999,86.559998,87.230003,884700,66.695305
"2011-01-19",87.25,87.339996,85.269997,85.970001,1321900,65.731873
"2011-01-20",85.669998,87.32,84.940002,86.589996,1074500,66.205948
"2011-01-21",87.349998,89.690002,87.199997,88.449997,1967300,67.628098
"2011-01-24",88.599998,88.599998,86.68,87.559998,1743400,66.947594
"2011-01-25",87.290001,87.980003,86.510002,87.769997,837000,67.1082
"2011-01-26",88.07,89.739998,87.330002,88.760002,1100300,67.865112
"2011-01-27",88.919998,91.330002,88.32,91.279999,1686900,69.791893
"2011-01-28",91.410004,92.279999,89.620003,89.919998,2311700,68.752052
"2011-01-31",89.959999,90.080002,85.370003,85.5,4324100,65.372551
"2011-02-01",86.18,86.629997,84.940002,85.419998,3523200,65.311386
"2011-02-02",80.510002,84.769997,79.75,83.599998,7449300,63.919842
"2011-02-03",83.150002,85.699997,82.529999,85.68,3417600,65.510185
"2011-02-04",85.730003,86.440002,84.919998,85.970001,1729500,65.731873
"2011-02-07",86.190002,87.32,85.860001,86.400002,1609100,66.060684
"2011-02-08",86.43,86.690002,85.099998,86.07,1127300,65.808372
"2011-02-09",85.919998,86.949997,85.449997,85.800003,1170800,65.601944
"2011-02-10",85.32,87.650002,85.269997,87.089996,1284800,66.588264
"2011-02-11",86.540001,87.099998,85.459999,86.699997,1278700,66.290047
"2011-02-14",86.470001,86.699997,85.370003,85.449997,1181500,65.334328
"2011-02-15",85.199997,85.650002,83.769997,83.93,1506800,64.17215
"2011-02-16",84.050003,84.839996,82.400002,83.220001,2097900,63.629288
"2011-02-17",82.709999,83.830002,82.379997,83.279999,1466900,63.675163
"2011-02-18",83.709999,84.360001,83.120003,83.440002,1908600,63.797516
"2011-02-22",82.68,82.68,81.160004,81.620003,1404600,62.405933
"2011-02-23",81.029999,81.980003,79.5,81.010002,1418000,62.267578
"2011-02-24",81.129997,81.449997,80.190002,80.690002,2257600,62.021618
"2011-02-25",81.089996,81.790001,80.68,81.519997,1372700,62.659588
"2011-02-28",82.080002,82.989998,81.620003,82.5,1630800,63.412857
