"dates","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2012-01-17",74.639999,74.75,73.900002,74.199997,4093200,56.12183
"2012-01-18",74.269997,75.139999,74.089996,74.93,4578400,56.673977
"2012-01-19",74.970001,75.580002,74.970001,75.309998,4714100,56.96138
"2012-01-20",75.309998,75.610001,75,75.419998,5051000,57.044598
"2012-01-23",75.449997,75.489998,74.68,75.129997,3198600,56.825256
"2012-01-24",74.669998,75.089996,74.459999,75,3577700,56.726917
"2012-01-25",74.760002,75.75,74.599998,75.620003,4219800,57.195862
"2012-01-26",75.690002,76.389999,75.559998,75.839996,4011600,57.362255
"2012-01-27",75.889999,76.510002,75.620003,76.040001,4284000,57.513538
"2012-01-30",75.550003,76.410004,75.5,76.150002,4318400,57.596725
"2012-01-31",76.540001,76.93,74.839996,75.650002,6997700,57.218563
"2012-02-01",76.370003,77.18,75.75,76.779999,7305600,58.073231
"2012-02-02",76.980003,77.160004,76.269997,76.379997,3043100,57.770683
"2012-02-03",77.080002,77.339996,76.639999,76.699997,4149200,58.012733
"2012-02-06",76.529999,77.040001,76.529999,76.919998,3922300,58.179119
"2012-02-07",76.559998,77.550003,76.339996,77.290001,5027900,58.458984
"2012-02-08",77.18,77.300003,76.75,76.919998,3262300,58.179119
"2012-02-09",76.849998,77.029999,76.25,76.57,3848700,57.914398
"2012-02-10",76.099998,76.760002,75.970001,76.690002,3620600,58.005173
"2012-02-13",76.959999,77.260002,76.519997,77.160004,3115800,58.360653
"2012-02-14",77.029999,77.220001,76.650002,77.110001,2918600,58.322826
"2012-02-15",77.330002,77.330002,76.360001,76.730003,3424300,58.035427
"2012-02-16",76.199997,76.860001,76.059998,76.760002,3692400,58.492649
"2012-02-17",77.089996,77.290001,75.459999,76.760002,7105100,58.492649
"2012-02-21",76.959999,77.089996,76.059998,76.400002,3652400,58.218311
"2012-02-22",76.290001,76.57,75.809998,75.900002,3284900,57.837303
"2012-02-23",76,76.790001,75.790001,76.639999,3018200,58.401192
"2012-02-24",76.589996,76.779999,76.269997,76.5,3575300,58.294518
"2012-02-27",76.339996,77.139999,75.839996,76.769997,3439000,58.500259
"2012-02-28",76.660004,77.089996,76.449997,76.860001,3209000,58.56884
"2012-02-29",76.860001,77.099998,76.330002,76.989998,4314300,58.667912
"2012-03-01",77.150002,77.260002,76.589996,76.889999,3659700,58.591709
"2012-03-02",76.089996,77,76.089996,76.540001,1992900,58.324986
"2012-03-05",76.540001,76.57,75.93,76.32,2102500,58.157345
"2012-03-06",75.690002,76.220001,75.379997,75.610001,3290300,57.616318
"2012-03-07",75.589996,76.160004,75.57,76,2552500,57.913502
"2012-03-08",76.279999,76.889999,76.040001,76.720001,3405400,58.462162
"2012-03-09",76.919998,77.419998,76.440002,77.160004,2954900,58.797436
"2012-03-12",77.389999,77.790001,77.120003,77.690002,3243400,59.201317
"2012-03-13",77.769997,78.43,77.559998,78.370003,4442600,59.719486
"2012-03-14",78.330002,78.449997,78.010002,78.239998,3453000,59.620422
"2012-03-15",78.25,78.980003,77.900002,78.940002,3956700,60.153847
"2012-03-16",78.93,79.129997,78.400002,78.410004,4612000,59.749977
"2012-03-19",79.629997,81.790001,79.379997,81.110001,11886200,61.807419
"2012-03-20",80.349998,80.720001,79.949997,80.389999,5137500,61.25877
"2012-03-21",80.400002,80.739998,79.959999,80.510002,3846800,61.350212
"2012-03-22",79.720001,80.440002,79.480003,80.279999,3711800,61.174942
"2012-03-23",80.190002,80.25,79.300003,79.709999,4198300,60.740597
"2012-03-26",80.260002,80.839996,80.260002,80.57,3218600,61.395931
"2012-03-27",80.940002,81,80.339996,80.389999,3059400,61.25877
"2012-03-28",80.209999,80.419998,79.449997,80.040001,3656600,60.992046
"2012-03-29",79.739998,80.040001,78.849998,79.849998,3231500,60.847279
"2012-03-30",80.230003,80.800003,80.010002,80.720001,3470100,61.510227
"2012-04-02",80.309998,80.970001,80.120003,80.669998,2979300,61.472118
"2012-04-03",80.790001,80.790001,79.940002,80.519997,2947100,61.357834
"2012-04-04",80.190002,80.370003,79.629997,79.860001,2629600,60.854897
"2012-04-05",79.5,80.25,79.32,80.18,2389200,61.098721
"2012-04-09",79.349998,79.57,78.949997,79.190002,2386200,60.34436
"2012-04-10",78.93,79.050003,78.029999,78.330002,4226800,59.688995
"2012-04-11",78.93,79.489998,78.720001,78.790001,3998400,60.039543
"2012-04-12",78.940002,79.610001,78.739998,79.419998,4016100,60.519604
"2012-04-13",79.290001,79.699997,78.620003,79.559998,3945000,60.626297
"2012-04-16",79.779999,79.879997,79.099998,79.559998,3212400,60.626297
"2012-04-17",79.830002,80.650002,79.769997,80.300003,3541700,61.190182
"2012-04-18",80.099998,80.970001,79.940002,80.489998,3696500,61.334972
"2012-04-19",80.580002,80.639999,79.410004,79.860001,3471400,60.854897
"2012-04-20",79.989998,80.529999,79.290001,80.269997,4216000,61.167305
"2012-04-23",80.059998,80.059998,78.470001,79.029999,4307900,60.222408
"2012-04-24",79.300003,80.139999,79.160004,79.459999,2874800,60.550095
"2012-04-25",79.940002,80.089996,79.43,79.650002,3318200,60.694885
"2012-04-26",77.580002,78.290001,76.559998,78.25,8120500,59.628029
"2012-04-27",78.410004,78.989998,77.970001,78.440002,3788600,59.77282
"2012-04-30",78.25,78.75,77.900002,78.139999,2405100,59.544228
"2012-05-01",78.139999,78.910004,77.959999,78.470001,3313400,59.795685
"2012-05-02",78.269997,78.620003,78.059998,78.419998,4227400,59.75758
"2012-05-03",78.480003,78.639999,78.059998,78.07,3025300,59.490887
"2012-05-04",77.900002,78.25,77.239998,77.730003,3991500,59.231823
"2012-05-07",77.349998,78.370003,77.230003,77.800003,2953900,59.285133
"2012-05-08",77.529999,77.940002,77.410004,77.660004,6463400,59.178436
"2012-05-09",77.199997,77.57,76.709999,77.150002,3984600,58.789833
"2012-05-10",77.470001,77.720001,76.489998,76.610001,2984900,58.812847
"2012-05-11",76.370003,77.080002,76.290001,76.43,2529800,58.674667
"2012-05-14",75.940002,76.849998,75.660004,76.209999,2629700,58.505779
"2012-05-15",76.010002,76.779999,75.860001,76.080002,3022100,58.40596
"2012-05-16",76.330002,76.949997,75.900002,75.919998,3047700,58.283138
"2012-05-17",75.940002,76.129997,74.779999,74.809998,3099300,57.431007
"2012-05-18",75.160004,75.339996,73.860001,74.029999,4986700,56.832211
"2012-05-21",74.290001,74.82,74.029999,74.639999,3667900,57.300495
"2012-05-22",74.589996,75.300003,74.290001,74.760002,3662500,57.39262
"2012-05-23",74.269997,75.199997,73.559998,75,4455500,57.576874
"2012-05-24",75.220001,75.769997,74.57,75.18,3607100,57.715061
"2012-05-25",75.669998,75.669998,74.720001,74.940002,1998600,57.530804
"2012-05-29",75.389999,76.07,75.110001,75.510002,2342900,57.968403
"2012-05-30",75.18,75.470001,74.519997,74.610001,3140700,57.277477
"2012-05-31",74.639999,75.260002,73.610001,74.940002,4673900,57.530804
"2012-06-01",74,74.209999,73.129997,73.25,4813300,56.23341
"2012-06-04",73.360001,73.559998,72.559998,72.989998,3605000,56.033817
"2012-06-05",72.699997,73.050003,72.150002,72.800003,2762400,55.887943
"2012-06-06",73.050003,74.980003,73.050003,74.980003,4085800,57.56152
"2012-06-07",75.470001,76.099998,75.239998,75.470001,3997000,57.937687
"2012-06-08",75.419998,76.650002,75.419998,76.629997,3562900,58.828197
"2012-06-11",77.010002,77.120003,75.709999,75.830002,2316800,58.214066
"2012-06-12",76.150002,76.309998,75.449997,76.190002,3416900,58.490433
"2012-06-13",76.089996,76.809998,75.730003,76.269997,2298500,58.551842
"2012-06-14",76.449997,77.830002,76.339996,77.370003,3693200,59.396309
"2012-06-15",77.989998,78.050003,77.18,77.529999,4579600,59.519131
"2012-06-18",77.410004,78.120003,77.07,77.790001,3083500,59.718723
"2012-06-19",77.650002,78.5,77.650002,78.160004,2814500,60.002781
"2012-06-20",78.309998,78.459999,77.5,78.169998,2577100,60.01046
"2012-06-21",78.489998,78.599998,77.019997,77.099998,3709400,59.189026
"2012-06-22",77.269997,77.940002,76.790001,77.709999,3830200,59.657318
"2012-06-25",77.040001,77.129997,76.099998,76.440002,2557400,58.682343
"2012-06-26",76.43,76.720001,75.620003,76.360001,2309900,58.62093
"2012-06-27",76.300003,76.93,76.300003,76.790001,1942600,58.951027
"2012-06-28",76.559998,77.279999,75.879997,77.110001,2512300,59.196682
"2012-06-29",77.419998,78.760002,77.279999,78.760002,4822400,60.46339
"2012-07-02",78.230003,78.779999,77.610001,78.690002,3584100,60.409653
"2012-07-03",78.510002,79.730003,78.18,79.470001,2817400,61.008446
"2012-07-05",79.300003,80.209999,78.989998,79.910004,3660800,61.346245
"2012-07-06",79.419998,79.879997,78.93,79.370003,3014400,60.931713
"2012-07-09",79.279999,79.57,78.919998,79.199997,2357600,60.801163
"2012-07-10",79.639999,79.669998,78.160004,78.580002,3230600,60.325207
"2012-07-11",78.669998,79.110001,78.32,78.879997,3768800,60.555519
"2012-07-12",78.599998,79.099998,77.879997,78.589996,3637000,60.33289
"2012-07-13",78.5,79.739998,78.5,79.440002,3462400,60.985424
"2012-07-16",79.620003,79.620003,78.949997,79.169998,2634100,60.778152
"2012-07-17",79.440002,79.5,78.360001,79.330002,2981500,60.900993
"2012-07-18",79.010002,80.529999,79,80.209999,3722000,61.57655
"2012-07-19",80.099998,80.400002,79.669998,79.970001,3199200,61.3923
"2012-07-20",79.800003,79.800003,78.339996,78.449997,4664000,60.225407
"2012-07-23",77.82,78.150002,76.389999,77.949997,4214400,59.841545
"2012-07-24",75.239998,76.75,73.510002,74.339996,12643000,57.070194
"2012-07-25",74.269997,74.949997,73.769997,74.269997,4243700,57.016449
"2012-07-26",75.220001,75.709999,74.529999,74.870003,4626400,57.477074
"2012-07-27",75.230003,76.459999,75.099998,76,3446900,58.344547
"2012-07-30",75.93,76.360001,75.589996,76.230003,2770100,58.521149
"2012-07-31",76.089996,76.239998,75.540001,75.610001,2815200,58.045166
"2012-08-01",75.809998,76,74.779999,75.150002,3493000,57.692028
"2012-08-02",74.940002,75.300003,74.07,75,3111800,57.576874
"2012-08-03",75.830002,76.5,75.690002,75.760002,2844400,58.160328
"2012-08-06",75.989998,76.400002,75.589996,75.620003,2104600,58.05283
"2012-08-07",76.029999,76.25,75.790001,76.089996,2156600,58.413647
"2012-08-08",76,76.110001,75.57,75.779999,2261400,58.175667
"2012-08-09",75.68,76.139999,75.32,76.029999,2868400,58.367573
"2012-08-10",75.959999,76.349998,75.610001,76.300003,2222600,58.574867
"2012-08-13",76,76.169998,75.639999,76.150002,1624000,58.459717
"2012-08-14",76.449997,76.529999,75.989998,76.18,2197300,58.482738
"2012-08-15",76.139999,76.809998,75.989998,76.580002,2349200,58.789833
"2012-08-16",76.169998,76.690002,76.040001,76.370003,2153200,59.068249
"2012-08-17",76.690002,76.690002,76.330002,76.489998,1746300,59.161068
"2012-08-20",76.400002,76.720001,76.220001,76.440002,2186100,59.12241
"2012-08-21",76.43,76.879997,75.830002,75.900002,2732700,58.704742
"2012-08-22",75.989998,76.459999,75.709999,76.139999,2142500,58.890373
"2012-08-23",75.980003,76.269997,75.269997,75.68,2312100,58.534584
"2012-08-24",75.529999,75.870003,75.279999,75.720001,2253000,58.565525
"2012-08-27",75.779999,75.949997,75.129997,75.260002,1893300,58.209736
"2012-08-28",75.07,75.190002,74.5,74.589996,2954300,57.691528
"2012-08-29",74.639999,74.720001,74.230003,74.300003,2829800,57.46722
"2012-08-30",73.970001,74.160004,73.739998,73.82,2587000,57.09597
"2012-08-31",74.07,74.349998,73.57,73.809998,2717800,57.088226
"2012-09-04",73.57,73.919998,73.300003,73.699997,4513400,57.003159
"2012-09-05",72.5,72.769997,71.790001,71.940002,10182200,55.641895
"2012-09-06",72.139999,73.059998,71.620003,71.940002,8389000,55.641895
"2012-09-07",72.010002,72.610001,71.879997,72.599998,4799000,56.15237
"2012-09-10",72.239998,73.309998,72.239998,73.050003,4762600,56.500416
"2012-09-11",72.93,73.769997,72.589996,73.540001,3914900,56.879402
"2012-09-12",73.830002,73.93,72.919998,73.639999,3917800,56.956764
"2012-09-13",73.370003,75.25,73.099998,74.730003,4915600,57.799816
"2012-09-14",74.599998,74.639999,73.550003,73.68,6255200,56.987701
"2012-09-17",73.510002,74.5,73.440002,74.230003,4361200,57.413094
"2012-09-18",73.870003,74.269997,73.32,73.510002,3774600,56.856209
"2012-09-19",74.120003,74.870003,73.400002,74.269997,4477700,57.444008
"2012-09-20",73.790001,74.099998,72.360001,72.610001,8127000,56.160103
"2012-09-21",72.330002,72.940002,71.18,71.879997,29326400,55.595493
"2012-09-24",71.779999,72.330002,71.5,72.029999,5919700,55.711494
"2012-09-25",72.25,73.529999,72.029999,72.07,7047400,55.742443
"2012-09-26",72.099998,72.260002,71.690002,71.779999,3928100,55.518135
