"dates","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2010-07-27",7.221667,7.248333,7.156667,7.176667,2046600,7.176667
"2010-07-28",7.166667,7.176667,6.966667,6.976667,5547600,6.976667
"2010-07-29",7.031667,7.108333,6.861667,6.96,5000400,6.96
"2010-07-30",6.92,7.025,6.85,6.981667,6321600,6.981667
"2010-08-02",7.076667,7.076667,6.948333,6.985,5030400,6.985
"2010-08-03",6.983333,7.05,6.93,6.98,7092600,6.98
"2010-08-04",7.018333,7.038333,6.938333,6.951667,5187600,6.951667
"2010-08-05",6.915,6.965,6.801667,6.918333,9221400,6.918333
"2010-08-06",7.31,7.498333,7.208333,7.448333,20833200,7.448333
"2010-08-09",7.458333,7.633333,7.433333,7.573333,8643000,7.573333
"2010-08-10",7.465,7.58,7.418333,7.55,6876600,7.55
"2010-08-11",7.433333,7.5,7.418333,7.435,3838800,7.435
"2010-08-12",7.335,7.488333,7.276667,7.448333,3928200,7.448333
"2010-08-13",7.418333,7.528333,7.373333,7.385,3793800,7.385
"2010-08-16",7.351667,7.415,7.293333,7.395,2449200,7.395
"2010-08-17",7.423333,7.575,7.413333,7.513333,3727800,7.513333
"2010-08-18",7.491667,7.626667,7.468333,7.568333,2461800,7.568333
"2010-08-19",7.558333,7.643333,7.49,7.6,4252200,7.6
"2010-08-20",7.565,7.646667,7.51,7.625,3534000,7.625
"2010-08-23",7.635,7.775,7.605,7.685,4642800,7.685
"2010-08-24",7.595,7.658333,7.515,7.561667,3607800,7.561667
"2010-08-25",7.541667,7.561667,7.405,7.476667,3837600,7.476667
"2010-08-26",7.513333,7.526667,7.436667,7.485,2364600,7.485
"2010-08-27",7.546667,7.666667,7.45,7.63,4591200,7.63
"2010-08-30",7.593333,7.665,7.486667,7.491667,3016800,7.491667
"2010-08-31",7.466667,7.536667,7.44,7.506667,6304800,7.506667
"2010-09-01",7.585,7.655,7.54,7.615,3513000,7.615
"2010-09-02",7.65,7.713333,7.595,7.7,3190800,7.7
"2010-09-03",7.735,7.901667,7.658333,7.878333,6890400,7.878333
"2010-09-07",7.863333,7.975,7.788333,7.925,7395000,7.925
"2010-09-08",7.983333,7.993333,7.758333,7.783333,5934600,7.783333
"2010-09-09",7.801667,7.861667,7.636667,7.705,3770400,7.705
"2010-09-10",7.706667,7.708333,7.621667,7.646667,3839400,7.646667
"2010-09-13",7.671667,7.73,7.648333,7.706667,3157800,7.706667
"2010-09-14",7.706667,7.826667,7.691667,7.735,8812200,7.735
"2010-09-15",7.7,7.763333,7.681667,7.693333,5145000,7.693333
"2010-09-16",7.7,7.75,7.633333,7.643333,4261800,7.643333
"2010-09-17",7.643333,7.643333,7.571667,7.58,7222800,7.58
"2010-09-20",7.605,7.658333,7.563333,7.645,4826400,7.645
"2010-09-21",7.656667,7.656667,7.556667,7.611667,3545400,7.611667
"2010-09-22",7.593333,7.675,7.531667,7.558333,2368200,7.558333
"2010-09-23",7.513333,7.64,7.416667,7.58,3183600,7.58
"2010-09-24",7.658333,7.746667,7.621667,7.71,4518600,7.71
"2010-09-27",7.73,7.898333,7.723333,7.865,6010200,7.865
"2010-09-28",7.898333,7.971667,7.73,7.876667,3188400,7.876667
"2010-09-29",7.841667,7.863333,7.78,7.803333,1953600,7.803333
"2010-09-30",7.81,7.908333,7.743333,7.77,4224000,7.77
"2010-10-01",7.82,7.83,7.656667,7.826667,2878200,7.826667
"2010-10-04",7.828333,7.843333,7.585,7.611667,3511800,7.611667
"2010-10-05",7.668333,7.855,7.668333,7.83,3480600,7.83
"2010-10-06",7.858333,7.953333,7.806667,7.93,4167600,7.93
"2010-10-07",7.926667,7.945,7.715,7.82,3042000,7.82
"2010-10-08",7.868333,7.901667,7.773333,7.865,4183200,7.865
"2010-10-11",7.88,7.935,7.833333,7.893333,2126400,7.893333
"2010-10-12",7.883333,8.06,7.883333,7.976667,4885200,7.976667
"2010-10-13",7.988333,8.138333,7.97,8.086667,5604000,8.086667
"2010-10-14",8.105,8.473333,8.043333,8.455,9428400,8.455
"2010-10-15",8.49,8.541667,8.238333,8.36,8640000,8.36
"2010-10-18",8.343333,8.435,8.305,8.333333,3768600,8.333333
"2010-10-19",8.27,8.351667,8.201667,8.288333,3055200,8.288333
"2010-10-20",8.32,8.518333,8.298333,8.39,4348800,8.39
"2010-10-21",8.423333,8.518333,8.316667,8.381667,2686200,8.381667
"2010-10-22",8.421667,8.806667,8.36,8.613333,6894000,8.613333
"2010-10-25",8.688333,8.725,8.591667,8.598333,2994000,8.598333
"2010-10-26",8.561667,8.603333,8.476667,8.57,3320400,8.57
"2010-10-27",8.501667,8.546667,8.463333,8.483333,3101400,8.483333
"2010-10-28",8.555,8.64,8.53,8.563333,2630400,8.563333
"2010-10-29",8.55,8.586667,8.5,8.535,2794200,8.535
"2010-11-01",8.576667,8.648333,8.536667,8.58,2985600,8.58
"2010-11-02",8.636667,8.693333,8.521667,8.536667,3601800,8.536667
"2010-11-03",8.55,8.613333,8.47,8.548333,4479600,8.548333
"2010-11-04",8.651667,8.663333,8.491667,8.52,5678400,8.52
"2010-11-05",8.47,8.756667,8.371667,8.59,9691800,8.59
"2010-11-08",8.571667,8.585,8.453333,8.495,4503600,8.495
"2010-11-09",8.5,8.535,8.298333,8.341667,5104800,8.341667
"2010-11-10",8.326667,8.376667,8.198333,8.263333,4362000,8.263333
"2010-11-11",8.17,8.328333,8.141667,8.308333,5295600,8.308333
"2010-11-12",8.275,8.4,8.223333,8.358333,3718800,8.358333
"2010-11-15",8.338333,8.353333,8.241667,8.275,2751000,8.275
