"dates","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2016-07-07",108.449997,109.559998,107.459999,108.220001,1901000,99.444069
"2016-07-08",109.68,111.389999,109.279999,111.330002,1152900,102.301857
"2016-07-11",111.400002,112.349998,111.010002,111.889999,617600,102.816452
"2016-07-12",112.830002,113.470001,112,113.25,1054000,104.066154
"2016-07-13",113.839996,113.889999,112,113.080002,850300,103.909943
"2016-07-14",114.519997,114.669998,113.57,113.82,770200,104.589935
"2016-07-15",114.290001,114.559998,113.470001,113.68,653800,104.461288
"2016-07-18",113.330002,113.650002,112.260002,113.099998,569700,103.928322
"2016-07-19",112.519997,113.080002,112.160004,112.440002,649300,103.321838
"2016-07-20",112.550003,113.739998,112.080002,113.139999,454600,103.965073
"2016-07-21",112.910004,113.739998,111.809998,112.279999,452300,103.174797
"2016-07-22",112.029999,113.279999,111.360001,113.139999,678400,103.965073
"2016-07-25",112.919998,113.150002,112.089996,112.5,685600,103.376991
"2016-07-26",112.720001,114.779999,112.720001,114.769997,663700,105.462875
"2016-07-27",114.690002,115.400002,113.760002,114.93,762600,105.609917
"2016-07-28",114.489998,114.809998,113.419998,114.470001,399800,105.187218
"2016-07-29",114.089996,114.639999,113.410004,114.190002,697800,104.929932
"2016-08-01",113.919998,114.25,112.599998,113.25,1343500,104.066154
"2016-08-02",113.510002,114.209999,112.260002,113.029999,2001400,103.863991
"2016-08-03",112.650002,114.029999,112.400002,113.779999,2423900,104.553177
"2016-08-04",118.099998,120.989998,117.720001,118.959999,2414500,109.313118
"2016-08-05",119.75,121.169998,119.550003,121.110001,1964600,111.288757
"2016-08-08",121.43,122.93,121.260002,122.669998,1674700,112.722252
"2016-08-09",122.669998,123.150002,121.699997,121.93,875100,112.042259
"2016-08-10",122.470001,122.720001,121.830002,122.169998,560300,112.262802
"2016-08-11",122.889999,123.919998,122.629997,123.610001,662600,113.586021
"2016-08-12",123.470001,123.529999,122.32,122.809998,651500,112.850914
"2016-08-15",123.300003,124.489998,123.110001,124.120003,648200,114.05468
"2016-08-16",123.839996,124.599998,123.440002,124.110001,802200,114.045494
"2016-08-17",123.970001,124.849998,123.699997,124.360001,1185200,114.275223
"2016-08-18",124.559998,124.849998,123.519997,124.040001,1468400,113.981155
"2016-08-19",123.519997,124.550003,122.949997,124.370003,670500,114.284401
"2016-08-22",123.82,124.629997,123.57,124.07,646200,114.008728
"2016-08-23",124.599998,124.860001,124.040001,124.510002,551100,114.41304
"2016-08-24",124.18,124.260002,123.110001,123.32,863700,113.319534
"2016-08-25",122.559998,123.809998,121.980003,123.559998,725300,114.123085
"2016-08-26",123.959999,125,122.730003,123.239998,684300,113.82753
"2016-08-29",123.339996,124.300003,122.690002,123.739998,769200,114.289352
"2016-08-30",123.68,124.059998,122.75,123.199997,1118200,113.790604
"2016-08-31",122.75,123.080002,122.080002,122.529999,754400,113.171761
"2016-09-01",122.669998,123.160004,121.370003,122.860001,731900,113.47657
"2016-09-02",123.5,124.330002,123.080002,123.510002,913600,114.076912
"2016-09-06",123.589996,123.809998,122.230003,123.220001,794800,113.809059
"2016-09-07",123.07,124.32,122.949997,124.139999,912800,114.658813
"2016-09-08",124.029999,124.809998,123.370003,124.349998,863500,114.852753
"2016-09-09",123.059998,123.870003,120.769997,120.779999,1071000,111.555412
"2016-09-12",119.879997,123.260002,119.25,122.860001,958400,113.47657
"2016-09-13",121.279999,121.980003,120.5,120.839996,624500,111.610832
"2016-09-14",120.760002,121.830002,120.440002,120.849998,507700,111.620094
"2016-09-15",120.980003,123.029999,120.169998,122.559998,1048800,113.199455
"2016-09-16",121.599998,121.889999,120.860001,121.519997,979800,112.238907
"2016-09-19",122.220001,123.330002,121.949997,122.389999,603300,113.04245
"2016-09-20",123.099998,123.589996,122.019997,122.029999,667800,112.709938
"2016-09-21",122.830002,123.660004,122.279999,123.449997,702400,114.021484
"2016-09-22",124,124.870003,123.669998,123.959999,860900,114.492554
"2016-09-23",123.75,123.75,121.800003,121.93,715300,112.617584
"2016-09-26",121.169998,122.099998,120.57,121.349998,916500,112.081879
"2016-09-27",120.910004,122.93,120.599998,122.690002,734900,113.319542
"2016-09-28",123.25,124.919998,122.839996,124.779999,903400,115.249924
"2016-09-29",124.199997,125.669998,123.510002,123.989998,815200,114.520248
"2016-09-30",124.360001,126.589996,124.360001,125.529999,1438400,115.942627
"2016-10-03",125.349998,126.080002,124.190002,124.699997,1194900,115.176018
"2016-10-04",124.309998,124.769997,123.029999,123.650002,3124800,114.206223
"2016-10-05",125.559998,128.240005,124.480003,127.410004,2664700,117.67907
"2016-10-06",126.919998,127.099998,126.040001,126.919998,1918200,117.226479
"2016-10-07",125.989998,126.690002,123.239998,124.660004,1409400,115.139084
"2016-10-10",125.209999,125.910004,124.690002,125.089996,845400,115.53624
"2016-10-11",125.400002,125.400002,122.290001,123.07,1005800,113.670532
"2016-10-12",123.269997,124.540001,123,123.93,738800,114.464836
"2016-10-13",123.099998,123.760002,122.059998,123.419998,768600,113.993797
"2016-10-14",123.970001,125.209999,123.970001,124.540001,804000,115.028259
"2016-10-17",124.589996,125.089996,124.080002,124.389999,739900,114.889702
"2016-10-18",125.620003,125.620003,122.760002,122.82,1127600,113.439606
"2016-10-19",123.449997,123.959999,122.150002,123.730003,1294100,114.280113
"2016-10-20",123.089996,123.839996,122.519997,122.800003,1871300,113.421143
"2016-10-21",122.690002,124.800003,122.440002,123.199997,2081700,113.790604
"2016-10-24",123.949997,123.949997,120.5,120.790001,1442900,111.564674
"2016-10-25",120.440002,121.639999,120.099998,121.349998,1112700,112.081879
"2016-10-26",120.849998,122.529999,120.82,121.839996,1139000,112.534454
"2016-10-27",122.209999,122.440002,120.410004,121.709999,1126200,112.414391
"2016-10-28",121.900002,123.300003,121.639999,121.959999,1277700,112.645302
"2016-10-31",122.339996,123.18,121.839996,122.75,743400,113.374947
"2016-11-01",123.43,123.580002,120.150002,121.18,1067900,111.924866
"2016-11-02",121.019997,121.559998,119.43,119.879997,1034700,110.724152
"2016-11-03",120.339996,120.339996,118.769997,119.290001,900800,110.179222
"2016-11-04",119.129997,122.010002,119.129997,120.550003,1023900,111.342987
"2016-11-07",123.949997,126.279999,123.82,125.650002,1686800,116.053474
"2016-11-08",125.370003,126.720001,124.699997,126.410004,1134100,117.343788
"2016-11-09",125.800003,132.929993,125.769997,131.960007,2536700,122.49575
"2016-11-10",133.059998,137.320007,132.600006,136.970001,3409500,127.146416
"2016-11-11",136.110001,138.830002,135.75,138.740005,1844400,128.78949
"2016-11-14",138.229996,139.729996,138.229996,138.990005,1648300,129.021515
"2016-11-15",138.509995,140.070007,137.199997,140.020004,1351300,129.977676
"2016-11-16",139.130005,139.850006,137.330002,137.809998,1080700,127.926147
"2016-11-17",138.039993,138.630005,136.910004,137.100006,705800,127.26709
"2016-11-18",136.899994,137.080002,135.600006,136.080002,1006800,126.320221
"2016-11-21",136.899994,137.75,136.679993,137.229996,901100,127.387764
"2016-11-22",137.75,138.179993,136.639999,137.820007,744600,127.93544
"2016-11-23",137.190002,138.710007,137.089996,138.289993,825000,128.371735
"2016-11-25",138.050003,139.039993,137.990005,139.039993,254000,129.067947
"2016-11-28",138.289993,138.639999,136.630005,136.759995,676000,126.951469
"2016-11-29",135.970001,137.610001,134.029999,136.949997,623700,127.127846
"2016-11-30",138.119995,139.940002,137.229996,138.929993,1191700,128.965881
"2016-12-01",140.029999,144.050003,140.009995,143.470001,2575900,133.180237
"2016-12-02",144.350006,144.690002,141.380005,141.899994,1782600,131.722855
"2016-12-05",143.089996,143.600006,141.190002,142.460007,1127000,132.242661
