"dates","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2011-04-14",33.509998,34.080002,33.439999,33.970001,475800,32.563774
"2011-04-15",33.935001,34.290001,33.810001,34.075001,293200,32.664429
"2011-04-18",33.599998,33.634998,33.195,33.384998,851400,32.002975
"2011-04-19",33.625,34.735001,33.595001,34.685001,1030000,33.24918
"2011-04-20",35.095001,35.75,34.09,34.555,1073400,33.124554
"2011-04-21",34.700001,35.07,34.575001,34.825001,552400,33.383385
"2011-04-25",34.904999,34.91,34.195,34.834999,603600,33.392952
"2011-04-26",34.700001,35.724998,34.615002,35.41,960600,33.944149
"2011-04-27",35.349998,35.775002,34.849998,35.77,913800,34.289257
"2011-04-28",35.66,36.215,35.66,35.779999,531400,34.298832
"2011-04-29",35.865002,35.865002,35.365002,35.689999,906000,34.212563
"2011-05-02",35.849998,36.084999,35.465,35.695,630800,34.21735
"2011-05-03",35.564999,35.610001,35.185001,35.505001,764000,34.035221
"2011-05-04",35.419998,35.465,34.115002,34.299999,556000,32.880104
"2011-05-05",34.115002,34.665001,33.639999,34.174999,431800,32.760281
"2011-05-06",34.540001,34.900002,34.125,34.330002,450200,32.908863
"2011-05-09",34.349998,34.825001,34.330002,34.5,534000,33.071831
"2011-05-10",34.724998,35.07,34.619999,34.869999,638600,33.426521
"2011-05-11",34.834999,34.834999,33.919998,34.18,499000,32.765083
"2011-05-12",34.014999,34.345001,33.599998,34.220001,426000,32.80341
"2011-05-13",34.259998,34.345001,33.145,33.404999,588000,32.026825
"2011-05-16",33.240002,33.5,32.945,33.139999,383000,31.77277
"2011-05-17",33.02,33.099998,32.355,32.775002,593800,31.422825
"2011-05-18",32.785,33.610001,32.59,33.549999,401400,32.165848
"2011-05-19",33.724998,33.994999,33.330002,33.799999,331800,32.405544
"2011-05-20",33.615002,33.615002,32.919998,33.345001,3e+05,31.969316
"2011-05-23",32.779999,32.779999,32.285,32.470001,408200,31.130415
"2011-05-24",32.634998,32.665001,31.985001,32.330002,457200,30.996183
"2011-05-25",32.169998,32.935001,31.99,32.805,258800,31.451595
"2011-05-26",32.599998,33.169998,32.525002,33.095001,249400,31.72962
"2011-05-27",33.275002,33.445,33.09,33.240002,222000,31.868641
"2011-05-31",33.650002,33.799999,33.115002,33.794998,490000,32.400738
"2011-06-01",33.674999,33.825001,32.540001,32.599998,728400,31.255041
"2011-06-02",32.645,33.169998,32.345001,32.965,501000,31.604992
"2011-06-03",32.345001,32.764999,32.224998,32.375,446200,31.03933
"2011-06-06",32.255001,32.41,31.92,32.125,361200,30.799639
"2011-06-07",32.360001,32.549999,31.975,32.380001,405400,31.044121
"2011-06-08",32.25,32.580002,31.92,32.150002,552400,30.823618
"2011-06-09",32.264999,32.380001,32.07,32.25,314600,30.919487
"2011-06-10",32.005001,32.165001,31.360001,31.389999,399200,30.094967
"2011-06-13",31.504999,31.715,30.934999,31.190001,439200,29.903219
"2011-06-14",31.575001,32.27,31.530001,32.115002,310400,30.790062
"2011-06-15",31.705,32.134998,31.23,31.23,360600,29.941568
"2011-06-16",31.309999,31.485001,30.735001,31.18,449800,29.893623
"2011-06-17",31.469999,31.725,31.125,31.389999,552200,30.094967
"2011-06-20",31.254999,32.029999,31.235001,31.985001,422400,30.665424
"2011-06-21",32.255001,32.93,32.209999,32.805,215800,31.451595
"2011-06-22",32.645,32.945,32.389999,32.424999,380400,31.087267
"2011-06-23",31.99,32.91,31.555,32.59,843400,31.245453
"2011-06-24",32.555,32.595001,31.805,32.105,1338400,30.780472
"2011-06-27",32.060001,32.334999,31.620001,32.139999,272000,30.81402
"2011-06-28",32.215,32.834999,32.145,32.564999,344200,31.221497
"2011-06-29",32.634998,32.790001,32.27,32.610001,319800,31.264635
"2011-06-30",32.654999,33.169998,32.654999,32.860001,416000,31.504313
"2011-07-01",32.889999,33.759998,32.685001,33.654999,409400,32.266518
"2011-07-05",33.66,33.93,33.314999,33.52,505400,32.137089
"2011-07-06",33.544998,34.169998,33.365002,33.974998,645400,32.573311
"2011-07-07",34.419998,34.634998,34.174999,34.404999,713200,32.985577
"2011-07-08",33.865002,34.439999,33.830002,34.400002,546200,32.980789
"2011-07-11",33.830002,34.035,32.134998,32.625,1656600,31.279009
"2011-07-12",32.439999,32.645,32.259998,32.310001,535400,30.977022
"2011-07-13",32.419998,32.75,32.134998,32.220001,497600,30.890726
