"dates","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2013-02-22",79.547791,80.164436,79.467857,80.084503,1384131,53.321609
"2013-02-25",80.290054,80.507027,78.622818,78.622818,1194280,52.348419
"2013-02-26",78.976822,79.604889,78.874046,79.42218,1305406,52.880646
"2013-02-27",79.353661,80.644058,78.942558,80.278633,967736,53.450878
"2013-02-28",80.312897,81.226448,80.267212,80.826767,2575083,53.815834
"2013-03-01",80.255798,82.105743,79.93605,81.374901,1652446,54.180775
"2013-03-04",81.226448,82.334129,81.032318,81.774582,1334392,54.446907
"2013-03-05",82.162842,82.334129,81.55761,82.002968,1237364,54.598957
"2013-03-06",81.923035,81.923035,80.655479,80.963799,1016250,54.414749
"2013-03-07",80.9067,81.454834,80.803925,80.895287,1362939,54.36871
"2013-03-08",81.077995,81.077995,79.719086,80.32431,1477043,53.984978
"2013-03-11",80.427086,80.621216,80.061668,80.621216,816152,54.184513
"2013-03-12",80.849609,80.963799,80.175858,80.461342,928680,54.077057
"2013-03-13",80.51844,80.769669,80.00457,80.278633,871234,53.954273
"2013-03-14",80.449928,81.100838,80.335732,80.529861,967649,54.123123
"2013-03-15",80.095924,80.849609,79.719086,80.723991,1939150,54.253609
"2013-03-18",80.141602,80.461342,79.878952,80.175858,1385095,53.885216
"2013-03-19",80.095924,80.301476,79.582047,79.81044,944005,53.639614
"2013-03-20",80.164436,80.495605,79.867538,80.084503,1131580,53.823811
"2013-03-21",80.244377,80.758247,80.015984,80.221535,1080614,53.915897
"2013-03-22",80.232956,81.135094,80.187279,81.055153,867381,54.476162
"2013-03-25",81.317802,81.808838,81.100838,81.374901,1037967,54.691059
"2013-03-26",81.591866,82.448326,81.454834,82.208519,854858,55.251324
"2013-03-27",81.865936,82.391228,81.728905,82.345551,869132,55.343433
"2013-03-28",82.494003,83.613113,82.128586,83.590271,1747022,56.179993
"2013-04-01",83.590271,83.932854,83.179169,83.932854,875700,56.410233
"2013-04-02",84.35537,84.834991,84.126984,84.526665,980171,56.809319
"2013-04-03",84.743637,84.972023,83.807243,83.96711,890237,56.43325
"2013-04-04",84.16124,85.383125,84.092728,85.246086,1128952,57.29285
"2013-04-05",84.389633,85.417381,84.332535,85.348862,1130616,57.361927
"2013-04-08",85.565834,86.399452,85.177574,86.273834,879816,57.983582
"2013-04-09",86.273834,86.525063,85.657188,86.250999,1023868,57.968239
"2013-04-10",86.490807,87.164551,86.159645,86.959007,1289994,58.444077
"2013-04-11",87.10746,87.758362,86.856232,87.141716,1011609,58.566883
"2013-04-12",86.993263,88.135208,86.753456,88.135208,1051365,59.234589
"2013-04-15",87.587074,88.93457,87.358681,87.507133,2586292,58.812462
"2013-04-16",87.004684,88.843208,86.148224,88.808952,1929868,59.687382
"2013-04-17",88.260818,88.991661,87.290169,88.534889,2140911,59.503201
"2013-04-18",88.649078,88.991661,87.929657,88.751854,1565927,59.649025
"2013-04-19",89.151535,90.327736,88.39785,90.270638,1488340,60.669769
"2013-04-22",90.441933,90.510452,89.574059,90.350578,941815,60.723488
"2013-04-23",90.818771,90.898712,89.916641,90.658897,1034114,60.930717
"2013-04-24",90.316315,90.853035,89.870956,90.453354,947858,60.79258
"2013-04-25",90.521866,90.830193,89.551216,89.756767,1203650,60.324417
"2013-04-26",89.745346,90.636063,88.945984,89.539795,1020453,60.178585
"2013-04-29",89.928055,90.316315,89.368507,90.213547,699947,60.631409
"2013-04-30",90.202126,90.944389,90.042252,90.932968,982360,61.114906
"2013-05-01",90.978645,91.983559,90.556129,90.727417,1275982,60.97678
"2013-05-02",91.332649,91.812263,90.670319,91.65239,1086043,61.59845
"2013-05-03",92.166267,92.291878,91.275551,91.332649,1433171,61.383549
"2013-05-06",91.195618,92.017815,91.104256,91.778008,1309434,61.682854
"2013-05-07",91.789429,92.303299,91.115677,92.097748,1227118,61.897766
"2013-05-08",91.755165,91.755165,90.601807,90.967224,1616279,61.137959
"2013-05-09",90.910126,90.910126,89.574059,89.870956,1611200,60.401169
