"dates","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2015-03-31",93.690002,96.120003,93.690002,94.129997,1243600,89.623871
"2015-04-01",93.809998,94.18,92.599998,94.169998,1356700,89.661942
"2015-04-02",94.839996,98.309998,94.5,97.980003,2659200,93.289558
"2015-04-06",97.029999,100.089996,96.800003,98.580002,1908400,93.860809
"2015-04-07",98.620003,99.43,98.300003,98.470001,1027200,93.756104
"2015-04-08",98.949997,100.07,98.440002,98.650002,1470200,93.927475
"2015-04-09",98.970001,98.970001,97.269997,97.82,1214000,93.137199
"2015-04-10",98.330002,99.589996,98.260002,99.199997,1013400,94.451149
"2015-04-13",99.360001,99.82,98.599998,98.760002,756700,94.032211
"2015-04-14",98.720001,98.970001,97.639999,98.089996,827000,93.394279
"2015-04-15",98.660004,98.830002,97.769997,97.959999,1035700,93.270515
"2015-04-16",97.949997,98.540001,97.129997,97.169998,1288000,92.518311
"2015-04-17",96.18,96.5,95.290001,96.099998,1451300,91.499527
"2015-04-20",96.720001,97.730003,96.5,97.400002,761400,92.737305
"2015-04-21",96.970001,98.629997,96.919998,98.309998,1220500,93.603752
"2015-04-22",98.449997,99.779999,98.279999,99.470001,856800,94.708229
"2015-04-23",99.489998,99.690002,98.870003,98.919998,1012300,94.184547
"2015-04-24",98.949997,100.510002,98.470001,98.900002,1146400,94.165527
"2015-04-27",99.440002,100.209999,98.410004,98.82,1073500,94.089348
"2015-04-28",98.529999,98.620003,97.059998,97.800003,1030500,93.118172
"2015-04-29",97.699997,97.989998,95.739998,96.260002,1513800,91.651871
"2015-04-30",95.400002,96.25,92.959999,94.230003,4436100,89.71907
"2015-05-01",100.099998,102.690002,99.120003,101.690002,5730000,96.821938
"2015-05-04",101.349998,102.309998,100.220001,100.900002,1836400,96.069771
"2015-05-05",100.419998,101.019997,98.75,98.769997,1526200,94.041733
"2015-05-06",98.769997,99.5,97.650002,99.099998,1400800,94.355965
"2015-05-07",98.900002,101.160004,98.419998,100.970001,1619100,96.136414
"2015-05-08",101.459999,102.82,101.459999,102.760002,2094200,97.840744
"2015-05-11",102.400002,104,102.349998,103.809998,2077500,98.840454
"2015-05-12",102.699997,103.480003,101.599998,103.220001,1411200,98.278694
"2015-05-13",103.559998,103.82,101.870003,101.989998,972200,97.10759
"2015-05-14",103.360001,104.220001,102.279999,104.139999,1105100,99.154655
"2015-05-15",104.519997,104.900002,103.110001,103.410004,949700,98.459602
"2015-05-18",103.510002,104.18,102.940002,103.449997,1175400,98.497688
"2015-05-19",104.25,104.669998,103.639999,103.720001,1177800,98.754768
"2015-05-20",103.800003,105.580002,102.629997,105.5,1411200,100.449577
"2015-05-21",105.230003,105.959999,105.040001,105.889999,1000200,100.820877
"2015-05-22",111.209999,115,110,113,4853200,107.590508
"2015-05-26",113.379997,113.550003,110.559998,110.639999,2680800,105.511574
"2015-05-27",111.32,111.82,110.370003,110.93,2703000,105.788132
"2015-05-28",110.25,110.860001,108.769997,109.239998,2029000,104.176468
"2015-05-29",109.040001,109.449997,106.980003,107.260002,2813400,102.288246
"2015-06-01",107.419998,108.019997,106.230003,107.449997,1349300,102.469429
"2015-06-02",107.089996,108.18,106.029999,107.629997,1473600,102.64109
"2015-06-03",109.019997,109.559998,106.459999,106.610001,1686600,101.668373
"2015-06-04",105.800003,106.339996,104.980003,105.639999,2149400,100.743317
"2015-06-05",105.809998,106.93,105.300003,106.400002,1661400,101.468102
"2015-06-08",106,106.550003,104.720001,104.790001,949000,99.932732
"2015-06-09",104.919998,105.339996,103.459999,105.019997,1328500,100.152069
"2015-06-10",105.989998,108.370003,105.580002,108.169998,1429900,103.156044
"2015-06-11",108.239998,109.25,107.57,107.870003,903500,102.869957
"2015-06-12",107.120003,108.25,107.099998,107.690002,852500,102.698303
"2015-06-15",107.190002,107.970001,106.669998,107.220001,987400,102.250092
"2015-06-16",107.220001,108.419998,107.040001,107.949997,979000,102.946259
"2015-06-17",108.129997,109.040001,106.879997,107.889999,1710600,102.889038
"2015-06-18",107.989998,110.540001,107.599998,109.68,1168700,104.596039
"2015-06-19",110,110.510002,108.220001,108.68,1425200,103.64241
"2015-06-22",111.199997,111.330002,109.150002,109.5,1314400,104.424416
"2015-06-23",109.949997,110.139999,109.089996,109.830002,836500,104.739105
"2015-06-24",109.620003,110.5,108.940002,108.980003,1008000,103.92852
"2015-06-25",109.669998,109.830002,108.599998,109.269997,860700,104.205086
"2015-06-26",109.5,110.779999,109,110.709999,1301800,105.578308
"2015-06-29",109.220001,109.720001,106.510002,106.949997,1209000,101.992599
"2015-06-30",108.279999,110.699997,107.779999,109.349998,1442600,104.281357
"2015-07-01",109.199997,111,106.510002,107.190002,2062600,102.221489
"2015-07-02",107.529999,108.199997,105.779999,107.07,1176000,102.107056
"2015-07-06",106.309998,107.830002,105.839996,106.510002,1350000,101.573013
"2015-07-07",107.099998,107.150002,104.220001,107.059998,1390600,102.097511
"2015-07-08",105.790001,106.379997,104.32,104.870003,906700,100.009026
"2015-07-09",106.529999,107.050003,104.5,104.550003,990900,99.703857
"2015-07-10",106.07,108.160004,105.730003,107.970001,1024300,102.965332
"2015-07-13",108.970001,111.199997,108.800003,111.120003,1558200,105.969322
"2015-07-14",110.330002,110.330002,107.029999,107.260002,2553300,102.288246
"2015-07-15",107.080002,108.040001,106.25,107.449997,1148400,102.469429
"2015-07-16",108.389999,110.709999,108.209999,110.050003,1998900,104.948914
"2015-07-17",110.370003,111.800003,110.059998,110.790001,1952100,105.65461
"2015-07-20",110.139999,110.839996,109.339996,109.559998,891400,104.481636
"2015-07-21",109.5,110.269997,107.879997,110.089996,962600,104.987068
"2015-07-22",109.459999,110.93,109.459999,110.660004,826000,105.530647
"2015-07-23",111.239998,111.25,109.080002,109.519997,781700,104.443481
"2015-07-24",109,109,105.330002,105.699997,2592100,100.800568
"2015-07-27",105.510002,105.699997,104,104.919998,1491700,100.056709
"2015-07-28",105.800003,107.699997,104.720001,107.169998,1338900,102.202408
"2015-07-29",107.459999,107.57,105.82,106.870003,1213500,101.916328
"2015-07-30",107.75,112,107.230003,107.610001,4192900,102.622017
"2015-07-31",116.360001,122.190002,116,121.440002,7887000,115.810974
"2015-08-03",121.849998,123.75,120.739998,122.589996,3273800,116.907654
"2015-08-04",121.870003,125.980003,121.650002,124.559998,2368400,118.786354
"2015-08-05",126.239998,128.470001,126.209999,126.790001,1971600,120.912979
"2015-08-06",125.989998,125.989998,120.790001,121.599998,3194500,115.963531
"2015-08-07",121.199997,122.889999,120.160004,121.040001,1574600,115.429512
"2015-08-10",121.339996,122.489998,120.760002,121.489998,990900,115.85865
"2015-08-11",120.5,121.93,119.800003,121.129997,1019500,115.515335
"2015-08-12",119.889999,121.400002,117.889999,120.779999,1293400,115.181541
"2015-08-13",120.220001,122.330002,119.75,120.660004,783900,115.067116
"2015-08-14",120.559998,122.160004,119.660004,121.650002,907100,116.01123
"2015-08-17",121.489998,123.290001,120,123.010002,789100,117.308189
"2015-08-18",123.339996,124.029999,122.5,123.32,944100,117.603844
"2015-08-19",122.989998,123.989998,122.120003,123.139999,806900,117.432167
"2015-08-20",121.629997,122.629997,118.589996,118.699997,1205800,113.197968
"2015-08-21",117,118.669998,114.449997,114.510002,1988000,109.202171
"2015-08-24",107.5,112.720001,104.760002,108.339996,3173200,103.318161
"2015-08-25",112.150002,113.080002,108.309998,108.419998,1854500,103.624016
"2015-08-26",111.470001,115.550003,109.75,115.239998,1959800,110.142342
"2015-08-27",116.800003,117.699997,114.779999,117.449997,1528600,112.254585
"2015-08-28",116.550003,117.639999,115.389999,116.510002,850300,111.356155
"2015-08-31",115.339996,116.5,114.050003,114.989998,1026900,109.903397
"2015-09-01",111.25,113.589996,109.760002,110.370003,1842400,105.487778
"2015-09-02",112.480003,113.389999,110.879997,113.379997,919100,108.364609
"2015-09-03",113.610001,115.339996,112.629997,112.889999,817900,107.896278
"2015-09-04",111.279999,112.410004,110.269997,111.230003,1297400,106.309738
"2015-09-08",113.150002,114.690002,112.620003,114.459999,986800,109.396843
"2015-09-09",115.099998,116.400002,113.089996,113.349998,1495500,108.33596
"2015-09-10",112.989998,117.07,112.769997,115.940002,1249400,110.811378
"2015-09-11",115.739998,117.18,115.410004,116.610001,990800,111.451744
"2015-09-14",116.959999,117.419998,115.279999,115.75,967700,110.629791
"2015-09-15",116.120003,119.239998,115.010002,118.830002,1463900,113.573532
"2015-09-16",118.949997,129.100006,117.449997,124.68,5111400,119.164764
"2015-09-17",125.459999,130.75,125.309998,128.830002,3965600,123.131195
