"dates","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2011-02-08",44.195229,44.677872,43.860062,44.29578,1925453,35.762875
"2011-02-09",44.054459,44.376221,43.819839,44.302483,2345691,35.768295
"2011-02-10",44.141602,44.89238,44.04105,44.63765,2178461,36.038891
"2011-02-11",44.416439,44.919189,44.181824,44.671165,1996164,36.06596
"2011-02-14",44.684574,45.45546,44.557209,45.388428,2119983,36.645046
"2011-02-15",45.100182,45.354908,44.43655,44.557209,1829531,35.973957
"2011-02-16",44.758308,45.140404,44.335999,44.664463,1703475,36.060543
"2011-02-17",44.724792,45.31469,44.409737,45.140404,1701088,36.444805
"2011-02-18",45.495682,45.629745,44.986225,45.415237,1779556,36.666691
"2011-02-22",44.785126,44.805233,43.75951,43.90028,1209096,35.443577
"2011-02-23",43.913689,44.007534,42.170815,42.566315,2396561,34.366573
"2011-02-24",42.626644,43.323792,42.164112,42.566315,2026149,34.516045
"2011-02-25",42.894775,43.048954,42.754005,42.9417,1655738,34.820442
"2011-02-28",43.089176,43.504784,42.807632,43.069065,1556086,34.923729
"2011-03-01",43.136097,43.524895,42.51939,42.66016,1857577,34.59214
"2011-03-02",42.66016,43.927094,42.566315,43.330498,2107153,35.135704
"2011-03-03",43.61874,44.751606,43.61874,44.664463,2811129,36.217388
"2011-03-04",44.530396,44.664463,43.672367,43.994129,3812717,35.673828
"2011-03-07",43.960609,44.342701,42.586422,42.780819,3534051,34.689987
"2011-03-08",43.089176,43.893578,42.794228,43.518188,1399597,35.287903
"2011-03-09",43.370716,43.464561,42.841152,43.370716,1329782,35.168327
"2011-03-10",42.80093,42.834446,41.942902,42.331696,1394525,34.325802
"2011-03-11",42.284771,42.921593,41.902679,42.700378,1521924,34.624775
"2011-03-14",42.291473,42.794228,41.916088,42.311584,1718393,34.309494
"2011-03-15",40.850254,42.117188,40.508385,41.895977,2138630,33.972496
"2011-03-16",41.761909,42.324993,41.285973,41.674767,3445886,33.793106
"2011-03-17",42.552906,42.9417,42.224442,42.465763,1785076,34.434505
"2011-03-18",43.156208,43.236649,42.244553,42.459061,2413269,34.429077
"2011-03-21",43.270164,43.860062,43.102581,43.732697,3845238,35.461849
"2011-03-22",43.67907,43.719292,42.995327,43.129395,2359266,34.972641
"2011-03-23",43.08247,43.343903,42.539501,43.122692,2084627,34.967209
"2011-03-24",43.625443,43.960609,43.270164,43.732697,2623164,35.461849
"2011-03-25",43.893578,44.12149,43.625443,43.913689,1271005,35.608601
"2011-03-28",43.974018,44.054459,43.317089,43.330498,1451661,35.135704
"2011-03-29",43.290276,43.524895,42.901482,43.524895,1522670,35.293335
"2011-03-30",43.746105,43.793026,43.370716,43.598629,1544301,35.353142
"2011-03-31",43.565113,44.161713,43.484673,44.067863,1355739,35.733624
"2011-04-01",44.610836,45.187325,44.275669,45.073368,2234254,36.548965
"2011-04-04",44.919189,44.939301,43.994129,44.644352,1777020,36.201084
"2011-04-05",44.671165,44.744904,44.389626,44.630947,2309142,36.190208
"2011-04-06",44.811935,44.878971,44.329296,44.510284,1487464,36.092373
"2011-04-07",44.342701,44.490177,43.846653,44.208633,1329931,35.847763
"2011-04-08",44.188526,44.403034,43.343903,43.632149,1279508,35.380306
"2011-04-11",43.672367,43.853355,43.317089,43.571815,1438682,35.331398
"2011-04-12",43.243351,43.457859,42.80093,43.216537,1469115,35.043293
"2011-04-13",43.498077,43.705883,42.847855,43.203133,1446141,35.032425
"2011-04-14",43.002029,43.323792,42.485874,43.136097,1736742,34.978069
"2011-04-15",43.25676,44.000832,43.102581,43.786324,1859964,35.505318
"2011-04-18",43.062363,43.109283,42.43895,43.008736,2077914,34.874802
"2011-04-19",43.11599,44.503582,43.11599,44.470066,2399843,36.059753
"2011-04-20",45.113586,45.261063,44.63765,45.039852,2361504,36.52179
"2011-04-21",45.582825,46.420742,45.113586,45.448757,3116200,36.853367
"2011-04-25",45.522491,45.569416,44.29578,44.443253,2185174,36.03801
"2011-04-26",44.778419,45.482273,44.604134,45.227547,2237685,36.673996
"2011-04-27",45.334801,45.542603,44.825344,45.234249,2419087,36.679424
"2011-04-28",45.180622,45.656559,45.113586,45.59623,2011231,36.972946
"2011-04-29",45.623043,45.95821,45.334801,45.609638,1672446,36.983814
"2011-05-02",45.864365,46.011837,45.006336,45.126995,1906358,36.592461
"2011-05-03",45.086777,45.388428,44.369514,44.778419,2059267,36.309792
"2011-05-04",44.63765,44.758308,43.565113,43.672367,2510086,35.412926
"2011-05-05",43.431046,44.503582,43.069065,43.67907,4237131,35.418358
"2011-05-06",44.376221,44.885674,43.652256,43.853355,2239177,35.559677
"2011-05-09",43.947205,44.671165,43.839951,44.382923,1397211,35.989098
