"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2010-11-17",20.299999,20.545,20.1,20.360001,569400,18.162844
"2010-11-18",20.6,21.094999,20.434999,20.450001,982800,18.243135
"2010-11-19",20.465,20.754999,20.275,20.745001,812200,18.506302
"2010-11-22",20.6,21.08,20.4,20.98,715600,18.715937
"2010-11-23",20.73,20.950001,20.559999,20.92,607400,18.662416
"2010-11-24",21.084999,21.25,21.07,21.195,693200,18.907732
"2010-11-26",21.08,21.24,20.965,21.145,192600,18.863136
"2010-11-29",21.035,21.094999,20.629999,21,524800,18.733778
"2010-11-30",20.785,21.32,20.76,21.235001,1054000,18.943417
"2010-12-01",21.540001,21.985001,21.485001,21.895,1406000,19.532196
"2010-12-02",22.205,22.780001,21.915001,22.719999,2868200,20.268166
"2010-12-03",22.799999,23.08,22.450001,22.99,1588600,20.509033
"2010-12-06",22.91,23.065001,22.690001,23.01,1070800,20.526863
"2010-12-07",23.290001,23.5,23.08,23.184999,1116200,20.682987
"2010-12-08",23.18,23.209999,22.92,23.09,949400,20.598236
"2010-12-09",23.190001,23.48,23.01,23.405001,1214800,20.879246
"2010-12-10",23.41,23.834999,23.184999,23.834999,1111800,21.26284
"2010-12-13",23.945,24.059999,23.754999,23.790001,1580200,21.222694
"2010-12-14",23.870001,24.139999,23.775,23.875,1260200,21.298517
"2010-12-15",23.790001,24.040001,23.674999,23.764999,2004200,21.200397
"2010-12-16",23.745001,24.32,23.66,24.275,862200,21.655359
"2010-12-17",24.219999,24.25,23.785,24.235001,2551000,21.619675
"2010-12-20",24.235001,24.395,24.129999,24.200001,777800,21.588455
"2010-12-21",24.32,24.32,24.065001,24.08,663800,21.4814
"2010-12-22",24.09,24.26,24,24.094999,631400,21.494783
"2010-12-23",24.1,24.389999,24.1,24.200001,622800,21.588455
"2010-12-27",24.135,24.245001,24,24.219999,478600,21.606293
"2010-12-28",24.27,24.41,24.135,24.135,677800,21.530464
"2010-12-29",24.23,24.35,24.1,24.190001,601800,21.579533
"2010-12-30",24.530001,24.735001,24.215,24.465,590600,21.824856
"2010-12-31",24.415001,24.51,24.15,24.245001,849800,21.628595
"2011-01-03",24.535,24.82,24.525,24.6,930200,21.945284
"2011-01-04",24.73,24.75,23.504999,23.67,2003800,21.115644
"2011-01-05",23.715,24.17,23.655001,23.9,1406200,21.320822
"2011-01-06",23.945,23.945,22.625,23.495001,2834200,20.959532
"2011-01-07",23.49,23.65,23.07,23.545,1244000,21.004137
"2011-01-10",23.469999,23.940001,23.34,23.905001,1286200,21.325283
"2011-01-11",23.99,24.174999,23.4,23.469999,965000,20.937231
"2011-01-12",23.68,23.795,23.415001,23.49,980800,20.95507
"2011-01-13",23.52,23.545,23.15,23.174999,1356400,20.674061
"2011-01-14",23.125,23.375,23.025,23.325001,1378200,20.807875
"2011-01-18",23.385,23.415001,22.995001,23.355,1860400,20.834642
"2011-01-19",23.455,23.745001,23.305,23.485001,1129000,20.950609
"2011-01-20",23.52,24.145,23.5,23.530001,1672400,20.990757
"2011-01-21",23.68,23.68,23.139999,23.174999,1210200,20.674061
"2011-01-24",23.275,23.889999,23.27,23.809999,1115200,21.24054
"2011-01-25",23.799999,24.18,23.395,24.18,1263400,21.570601
"2011-01-26",24.225,24.52,23.92,24.275,2190800,21.655359
"2011-01-27",25.32,26.594999,25.155001,26.504999,4388600,23.644703
"2011-01-28",26.465,26.57,25.275,25.344999,2619600,22.609882
"2011-01-31",25.584999,25.889999,25.334999,25.655001,1336400,22.886436
"2011-02-01",25.665001,26.084999,25.610001,25.84,1059200,23.051472
"2011-02-02",25.75,25.825001,25.424999,25.43,1047400,22.685715
"2011-02-03",25.32,26.174999,25.32,26.004999,805000,23.198662
"2011-02-04",25.809999,26.355,25.635,26.215,736400,23.386002
"2011-02-07",26.219999,26.465,26.07,26.219999,1072600,23.390461
"2011-02-08",26.215,26.705,26,26.674999,943800,23.796362
"2011-02-09",26.674999,26.75,26.379999,26.455,715200,23.600101
"2011-02-10",26.360001,26.610001,26.17,26.58,742800,23.711607
"2011-02-11",26.43,26.875,26.309999,26.844999,584200,23.948009
"2011-02-14",26.945,26.975,26.485001,26.645,699800,23.769598
"2011-02-15",26.575001,26.625,26.23,26.415001,698400,23.564421
"2011-02-16",26.475,26.655001,26,26.485001,2723000,23.626865
"2011-02-17",26.42,26.65,26.17,26.459999,1926800,23.635788
"2011-02-18",26.475,26.700001,26.315001,26.575001,882400,23.738522
"2011-02-22",26.254999,26.77,25.635,25.745001,1291600,22.997112
"2011-02-23",25.65,25.719999,24.525,25.145,2033200,22.461155
"2011-02-24",25.049999,25.584999,24.905001,25.309999,1574800,22.60854
"2011-02-25",25.465,25.975,25.375,25.934999,1069600,23.166834
"2011-02-28",26.184999,26.440001,25.68,26.035,1158800,23.256163
"2011-03-01",26.055,26.139999,25.174999,25.305,1107800,22.604076
"2011-03-02",25.32,26.059999,25.25,25.934999,993200,23.166834
"2011-03-03",26.135,26.655001,26,26.545,817000,23.711727
"2011-03-04",26.6,27.365,26.555,26.975,1845200,24.095829
"2011-03-07",27.17,27.4,26.4,26.805,1198400,23.943975
"2011-03-08",26.77,27.495001,26.745001,27.115,1140800,24.220882
"2011-03-09",27.790001,27.924999,27.065001,27.49,1485200,24.555857
"2011-03-10",27.245001,27.365,27.049999,27.165001,989800,24.265553
"2011-03-11",27.184999,27.375,26.75,27.34,896600,24.421877
