"dates","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2010-09-09",33.459999,34.41,33.189999,34.029999,1428500,32.500191
"2010-09-10",33.959999,34.119999,33.650002,34,530100,32.471546
"2010-09-13",34.369999,34.369999,33.869999,34.049999,864600,32.519283
"2010-09-14",33.93,34.77,32.889999,34.389999,1923300,32.844013
"2010-09-15",34.259998,35.41,34.240002,35.299999,1643200,33.7131
"2010-09-16",35.09,35.630001,34.82,35.560001,651400,33.961411
"2010-09-17",35.630001,36.200001,35.509998,35.77,668400,34.16198
"2010-09-20",36.130001,37.330002,36.040001,36.900002,1260500,35.24118
"2010-09-21",36.799999,37.060001,36.529999,36.73,998200,35.078815
"2010-09-22",36.549999,37.68,36.549999,37.580002,1328600,35.890602
"2010-09-23",37.27,37.580002,36.919998,37.200001,962800,35.527687
"2010-09-24",37.560001,38.25,37.259998,38.060001,1129500,36.349018
"2010-09-27",38.060001,38.860001,37.560001,38.740002,1138200,36.998463
"2010-09-28",38.880001,39,38.27,38.82,765300,37.074875
"2010-09-29",38.59,39.459999,38.369999,39.150002,643500,37.39003
"2010-09-30",39.419998,40.290001,38.009998,38.860001,1468200,37.113064
"2010-10-01",39.029999,39.259998,38.09,38.689999,712300,36.95071
"2010-10-04",38.490002,39.080002,37.860001,38.110001,777100,36.396786
"2010-10-05",38.52,38.709999,37.619999,37.82,1398400,36.119831
"2010-10-06",37.860001,38,37.439999,37.619999,569000,35.928814
"2010-10-07",37.84,37.939999,37.220001,37.419998,743200,35.737797
"2010-10-08",37.490002,38.73,37.099998,38.540001,1234400,36.807442
"2010-10-11",38.630001,39.25,38.27,38.75,780300,37.008007
"2010-10-12",38.709999,38.990002,38.27,38.919998,620300,37.170361
"2010-10-13",39.049999,39.049999,38.25,38.459999,926200,36.731045
"2010-10-14",38.48,38.66,37.439999,37.700001,950800,36.005219
"2010-10-15",38.049999,38.41,37.43,37.970001,1242400,36.263058
"2010-10-18",37.990002,38.75,37.990002,38.560001,838800,36.82655
"2010-10-19",38.25,38.349998,36.939999,37.209999,1079600,35.537231
"2010-10-20",37.419998,39.110001,37.419998,38.450001,1897800,36.721497
"2010-10-21",38.549999,38.560001,37.669998,38.150002,804000,36.434982
"2010-10-22",38.349998,39.150002,38.23,38.939999,1605700,37.18948
"2010-10-25",39.009998,39.5,38.52,39.209999,1203400,37.447334
"2010-10-26",38.959999,39.610001,38.950001,39.490002,928500,37.714737
"2010-10-27",39.110001,39.68,38.02,38.77,1705700,37.027107
"2010-10-28",38.860001,41.689999,38.860001,40.57,3086300,38.746185
"2010-10-29",40.34,41.369999,40.330002,41.27,2260900,39.414734
"2010-11-01",41.34,41.990002,40.419998,40.950001,1126600,39.109116
"2010-11-02",41.110001,41.369999,40.889999,41.200001,860800,39.347874
"2010-11-03",41.279999,41.82,40.509998,41.349998,1049000,39.491142
"2010-11-04",41.740002,42.060001,41.439999,41.950001,1077700,40.064156
"2010-11-05",41.950001,42.200001,41.669998,41.93,615900,40.045059
"2010-11-08",42.240002,42.68,41.810001,41.950001,789000,40.064156
"2010-11-09",42.040001,42.200001,41.259998,41.400002,643500,39.538879
"2010-11-10",41.310001,41.82,41,41.709999,923700,39.834942
"2010-11-11",41.330002,41.720001,41.23,41.57,689600,39.701241
"2010-11-12",41.450001,41.709999,40.48,40.740002,906600,38.908543
"2010-11-15",40.98,41.200001,40.82,40.889999,638700,39.051804
"2010-11-16",40.759998,41.650002,40.5,40.849998,1117100,39.013607
"2010-11-17",41.040001,41.169998,40.619999,40.75,934100,38.918102
"2010-11-18",40.990002,41.389999,40.709999,40.77,1370000,38.937202
"2010-11-19",40.799999,41,40.220001,40.23,889900,38.42149
"2010-11-22",40.220001,40.470001,39.860001,40.110001,971700,38.306862
"2010-11-23",39.700001,40.349998,39.240002,40.299999,972400,38.488323
"2010-11-24",40.48,41.169998,40.18,41.009998,550400,39.166412
"2010-11-26",40.700001,41.060001,40.419998,40.950001,182700,39.109116
"2010-11-29",40.68,41.5,40.380001,41.299999,704600,39.4916
"2010-11-30",40.900002,41.439999,40.68,41.119999,693500,39.319473
"2010-12-01",41.509998,42.16,41.040001,41.139999,1088200,39.338612
"2010-12-02",41.09,42.07,41.09,42.060001,754800,40.218327
"2010-12-03",42.029999,42.029999,41.32,41.73,625200,39.902763
"2010-12-06",41.580002,41.619999,40.91,41.119999,473100,39.319473
"2010-12-07",41.150002,41.740002,41.130001,41.299999,715600,39.4916
"2010-12-08",41.279999,41.450001,40.959999,40.98,637600,39.185604
"2010-12-09",41.099998,41.310001,40.709999,41.200001,497700,39.395973
"2010-12-10",41.459999,42.900002,41.290001,41.740002,1548000,39.912338
"2010-12-13",41.880001,41.900002,40.290001,40.32,904400,38.554512
"2010-12-14",40.490002,41.869999,40.41,41.860001,1140700,40.027077
"2010-12-15",41.869999,42.73,41.580002,42.25,1870800,40.400017
"2010-12-16",42.330002,43.220001,42.07,43.169998,946800,41.279716
"2010-12-17",43.25,43.349998,42.880001,43.310001,1682400,41.413586
"2010-12-20",43.25,43.310001,42.93,43.150002,553000,41.260593
"2010-12-21",43.25,43.650002,43.060001,43.369999,344400,41.470963
"2010-12-22",43.349998,43.759998,43.240002,43.549999,601100,41.643063
"2010-12-23",43.439999,44.040001,42.889999,43.09,589800,41.20322
"2010-12-27",42.959999,43.009998,42.459999,42.880001,206300,41.002407
"2010-12-28",42.779999,42.959999,42.43,42.650002,423800,40.782475
"2010-12-29",42.650002,42.900002,42.369999,42.849998,277700,40.973709
"2010-12-30",42.75,43.970001,42.709999,43.740002,492800,41.824753
"2010-12-31",43.630001,43.950001,43.299999,43.419998,381900,41.518768
"2011-01-03",43.57,44.279999,43.18,43.43,1294600,41.528324
"2011-01-04",43.970001,45,43.860001,44.16,1719500,42.226379
"2011-01-05",44.150002,44.830002,44,44.009998,1064700,42.08292
"2011-01-06",44.189999,44.580002,44.060001,44.400002,1189100,42.455845
"2011-01-07",44.5,44.599998,43.869999,44.279999,782200,42.341103
"2011-01-10",43.849998,44.279999,43.619999,44.029999,822700,42.102051
"2011-01-11",44.389999,45.119999,44.119999,44.790001,594600,42.828777
"2011-01-12",45.080002,45.080002,44.209999,44.740002,355700,42.780972
"2011-01-13",44.709999,46.580002,44.66,46,1957100,43.985786
"2011-01-14",45.84,46,45.43,45.970001,579200,43.957115
"2011-01-18",45.939999,46.310001,45.619999,46.259998,1144800,44.234425
"2011-01-19",45.740002,45.75,42.849998,43.669998,3535700,41.75782
"2011-01-20",43.349998,44.290001,42.880001,43.48,1474400,41.576134
"2011-01-21",43.689999,44,42.029999,42.330002,2027300,40.476505
"2011-01-24",42.48,42.610001,41.77,42.299999,1650200,40.447803
"2011-01-25",42.330002,43.389999,42,42.880001,1131300,41.002407
"2011-01-26",43.029999,43.59,42.419998,43.5,1219300,41.595261
"2011-01-27",43.450001,43.689999,42.889999,42.970001,665600,41.088474
"2011-01-28",42.98,43.119999,41.950001,42.09,483800,40.246998
"2011-01-31",42.169998,42.369999,41.57,42.099998,1157400,40.256561
"2011-02-01",42.360001,43,42.18,42.599998,866400,40.734684
"2011-02-02",42.380001,43.029999,42.380001,42.599998,518900,40.734684
"2011-02-03",42.5,43.290001,41.830002,42.810001,547700,40.935478
"2011-02-04",42.889999,43.360001,42.5,42.619999,571900,40.753799
"2011-02-07",42.830002,43.509998,42.470001,43.110001,644000,41.222336
"2011-02-08",43.23,44.5,43.23,44.139999,956500,42.207233
"2011-02-09",43.93,44.009998,43.200001,43.369999,703500,41.470963
"2011-02-10",43.27,43.529999,41.75,42.060001,1808600,40.218327
"2011-02-11",42.09,43.23,41.43,42.790001,1546400,40.916359
"2011-02-14",42.830002,44,42.59,43.900002,732800,41.977757
"2011-02-15",43.740002,44.66,43.73,43.849998,1081300,41.929935
"2011-02-16",44,44.419998,43.689999,44.18,793500,42.245483
"2011-02-17",44.200001,44.27,43.459999,43.639999,820200,41.729126
"2011-02-18",43.68,43.759998,42.639999,42.919998,734900,41.040653
"2011-02-22",42.509998,42.77,41.700001,42.259998,1296000,40.40955
"2011-02-23",42.220001,43.759998,41.990002,43.57,1920400,41.662197
"2011-02-24",43.450001,44.18,42.98,43.73,998900,41.815182
"2011-02-25",43.709999,45.25,43.549999,45.220001,1187500,43.289452
"2011-02-28",45.25,46.720001,45.25,45.709999,1697900,43.758518
"2011-03-01",47,48.240002,47,47.48,3040800,45.452961
"2011-03-02",47.299999,48.09,47.049999,48.029999,1141200,45.979481
"2011-03-03",48.32,48.669998,47.900002,48.060001,1717300,46.008213
"2011-03-04",48.040001,48.330002,47.240002,47.66,1214600,45.625271
"2011-03-07",47.790001,47.950001,46.34,46.970001,1050700,44.964733
"2011-03-08",47.07,48.139999,46.919998,47.619999,753800,45.586979
"2011-03-09",47.720001,48.5,47.540001,48.48,1060600,46.410267
"2011-03-10",47.970001,48.02,47.16,47.310001,707300,45.290234
"2011-03-11",47,47.310001,46.189999,47.07,609300,45.060463
"2011-03-14",46.799999,47.509998,46.200001,46.68,775500,44.687115
"2011-03-15",45.849998,47.209999,45.540001,46.970001,780500,44.964733
"2011-03-16",48.400002,48.869999,47.400002,47.66,1466100,45.625271
"2011-03-17",48.139999,48.330002,46.880001,46.959999,794200,44.955166
"2011-03-18",47.310001,47.5,46.75,46.880001,747600,44.878571
"2011-03-21",47.290001,47.57,46.560001,46.830002,659800,44.830711
"2011-03-22",46.740002,47.209999,45.810001,46.139999,651000,44.170162
"2011-03-23",46.25,46.610001,45.84,46.110001,626300,44.141445
"2011-03-24",46.369999,46.689999,45.889999,46.66,577400,44.667973
"2011-03-25",46.650002,47.810001,46.650002,46.91,559600,44.907307
"2011-03-28",46.830002,47.049999,46.689999,46.75,663200,44.754124
"2011-03-29",46.799999,47.529999,46.459999,47.400002,844400,45.376373
"2011-03-30",47.610001,49.029999,47.599998,48.790001,1094600,46.707035
"2011-03-31",48.759998,49.75,48.560001,49.41,816600,47.300564
"2011-04-01",49.73,50.32,49.630001,49.799999,698900,47.673916
"2011-04-04",49.91,51.18,49.91,50.939999,1249100,48.765236
"2011-04-05",50.830002,51.130001,50.57,50.880001,881600,48.707802
"2011-04-06",50.98,51.040001,49.830002,50.07,1231600,47.9324
"2011-04-07",49.98,50.98,49.740002,49.91,635800,47.779209
"2011-04-08",50,50.150002,48.34,48.759998,767100,46.678326
"2011-04-11",48.720001,48.950001,46.919998,46.990002,2913400,44.983883
"2011-04-12",47.009998,48.450001,46.380001,46.799999,2088000,44.801991
"2011-04-13",47.080002,47.959999,46.68,47.200001,1914800,45.184921
"2011-04-14",46.889999,47.169998,45.369999,46.82,2578700,44.82114
"2011-04-15",46.830002,47.200001,46.130001,46.470001,1495300,44.486092
"2011-04-18",45.619999,46.299999,44.68,46.130001,1507700,44.160606
"2011-04-19",46.130001,47.130001,46.099998,46.610001,848200,44.620113
"2011-04-20",46.849998,47.919998,45.560001,47.43,1308100,45.40509
"2011-04-21",48.389999,49.970001,47.689999,47.740002,1286800,45.70187
"2011-04-25",47.75,48.080002,47.349998,47.950001,787800,45.902897
"2011-04-26",47.84,49.450001,47.82,49.169998,1300000,47.070805
"2011-04-27",54.43,56.310001,52.169998,54.740002,3372100,52.403019
"2011-04-28",54.73,55.220001,54.09,54.790001,1677500,52.450882
"2011-04-29",54.75,54.950001,54.139999,54.779999,1500000,52.441303
"2011-05-02",54.869999,54.91,53.610001,54.099998,1475000,51.79034
"2011-05-03",54.099998,54.27,52.599998,53.450001,1490300,51.168098
"2011-05-04",53.27,53.939999,52.740002,53.290001,1274700,51.014919
"2011-05-05",52.799999,54.790001,52.639999,53.389999,769400,51.110653
"2011-05-06",53.84,54.950001,53.290001,54.389999,1448500,52.067966
"2011-05-09",54.450001,56.060001,54.189999,55.41,1405100,53.044399
"2011-05-10",55.349998,56.459999,54.919998,56.41,1040100,54.00172
"2011-05-11",56.049999,56.299999,55.009998,55.470001,1013000,53.10186
"2011-05-12",55.349998,55.68,54.209999,55.200001,644000,52.843384
"2011-05-13",55.259998,55.259998,53.869999,53.990002,750000,51.685043
"2011-05-16",53.950001,54.5,53.560001,53.779999,753000,51.484005
"2011-05-17",53.549999,53.970001,52.950001,53.169998,1180600,50.90004
"2011-05-18",53.41,54.349998,53.23,54.290001,713900,51.972233
"2011-05-19",54.459999,54.459999,53.470001,53.759998,628500,51.464859
"2011-05-20",53.759998,53.860001,52.880001,53.5,598300,51.215946
"2011-05-23",52.860001,53.330002,52.57,52.959999,604600,50.698997
"2011-05-24",53.18,53.77,52.68,53.68,589500,51.388264
"2011-05-25",53.360001,54.040001,53.27,53.900002,602100,51.598877
"2011-05-26",53.560001,54.189999,53.259998,54.150002,640400,51.838211
"2011-05-27",54.139999,55.299999,54,54.98,886200,52.681416
"2011-05-31",55.259998,55.700001,54.18,54.490002,910400,52.211895
"2011-06-01",54.490002,54.549999,53.950001,54.389999,1216900,52.116074
"2011-06-02",54.25,55.41,54.009998,55.189999,1649600,52.882622
"2011-06-03",54.200001,54.549999,52.93,53.040001,656400,50.822514
"2011-06-06",53.02,53.09,50.810001,51.529999,1156900,49.375648
"2011-06-07",51.91,52.400002,51.450001,51.459999,896000,49.308567
"2011-06-08",51.310001,51.540001,50.82,51.18,666700,49.040295
"2011-06-09",51.459999,52.93,51.299999,52.709999,819900,50.506321
"2011-06-10",52.330002,52.470001,50.970001,52.040001,1183300,49.864323
"2011-06-13",52.970001,53.169998,51.599998,51.810001,807300,49.643948
"2011-06-14",52.27,53.330002,52.029999,52.889999,742400,50.678791
"2011-06-15",52.32,53.009998,51.740002,51.869999,558400,49.701431
"2011-06-16",51.810001,52.189999,50.939999,51.369999,778000,49.22234
"2011-06-17",51.869999,52.459999,51.630001,51.939999,798100,49.768505
"2011-06-20",51.91,52.869999,51.759998,52.560001,451900,50.362595
"2011-06-21",52.779999,53.98,52.779999,53.740002,586400,51.493248
"2011-06-22",53.470001,53.740002,53.040001,53.07,837600,50.851265
"2011-06-23",52.52,53.330002,51.48,53.220001,656600,50.994987
"2011-06-24",53.209999,53.23,50.759998,51.130001,2057900,48.992382
"2011-06-27",51.23,51.23,49.869999,50.529999,1647900,48.41745
"2011-06-28",50.77,51.549999,50.599998,51.509998,1168400,49.356476
"2011-06-29",51.73,51.830002,51.189999,51.23,968900,49.0882
"2011-06-30",51.41,52.189999,50.970001,51.529999,1117300,49.375648
"2011-07-01",51.639999,53.75,51.599998,53.490002,1135000,51.253708
"2011-07-05",53.43,53.450001,52.610001,53.130001,755500,50.908756
"2011-07-06",53.150002,54.48,52.869999,54.099998,685000,51.838207
"2011-07-07",54.580002,55.419998,54.34,54.639999,1052900,52.35564
"2011-07-08",53.93,54.09,52.939999,54.009998,829000,51.751961
"2011-07-11",53.57,54.439999,52.34,52.68,1049900,50.477562
"2011-07-12",52.41,53.689999,52.41,52.93,1153900,50.717113
"2011-07-13",53.07,54.16,52.91,53.029999,939400,50.812935
"2011-07-14",53.32,53.549999,52.009998,52.299999,1295500,50.113453
"2011-07-15",52.57,52.57,51.369999,52.48,1327000,50.285919
"2011-07-18",52.189999,52.5,51.5,51.810001,729700,49.643948
"2011-07-19",52.110001,53.07,51.830002,51.990002,1471600,49.816418
"2011-07-20",52.150002,52.150002,51.02,51.540001,1353900,49.385227
"2011-07-21",51.900002,53.279999,51.889999,52.849998,1230300,50.640465
"2011-07-22",52.919998,53.610001,52.23,53.560001,864700,51.320778
