"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2016-11-04",71.519997,73.290001,71.389999,72.43,11779500,62.015926
"2016-11-07",73.480003,74.709999,73.050003,74,9513500,63.36021
"2016-11-08",73.93,74.660004,73.290001,74.040001,7449600,63.394463
"2016-11-09",76.800003,80,76.75,78.470001,26693700,67.1875
"2016-11-10",79.660004,80,76.940002,77.839996,16651800,66.648071
"2016-11-11",77.480003,77.510002,75.290001,76.419998,12949600,65.432243
"2016-11-14",77.040001,77.129997,76.07,76.75,8832800,65.714798
"2016-11-15",77.029999,77.110001,75,76.349998,8560100,65.37233
"2016-11-16",76.080002,76.879997,75.57,76,8415000,65.072632
"2016-11-17",75.720001,76.019997,74.849998,75.580002,9413500,64.713043
"2016-11-18",75.589996,75.739998,74.25,74.620003,8194300,63.891064
"2016-11-21",74.660004,75.190002,74.449997,74.980003,6810600,64.19931
"2016-11-22",75.059998,75.440002,74.019997,74.459999,6019600,63.754074
"2016-11-23",73.849998,75.349998,73.760002,75.300003,6849200,64.473282
"2016-11-25",75.470001,75.550003,74.870003,75.440002,3068600,64.593147
"2016-11-28",75.300003,75.440002,74.220001,74.540001,9338900,63.822548
"2016-11-29",74.690002,75.400002,74.290001,74.870003,7160700,64.105118
"2016-11-30",75,75.080002,73.589996,73.699997,10627300,63.103329
"2016-12-01",73.970001,74.029999,72.720001,72.839996,8270200,62.366978
"2016-12-02",73.040001,73.599998,72.160004,72.419998,9227900,62.007362
"2016-12-05",72.790001,72.970001,71.93,72.360001,9985900,61.956013
"2016-12-06",72.669998,72.669998,71.949997,72.470001,8723900,62.050209
"2016-12-07",71.779999,72.900002,71.550003,72.779999,13061000,62.315617
"2016-12-08",72.459999,72.599998,70.830002,72.019997,12333500,61.664898
"2016-12-09",72.339996,73.129997,71.949997,72.699997,9936300,62.247135
"2016-12-12",72.559998,73.68,72.129997,73.470001,9475900,62.906406
"2016-12-13",73.410004,75.870003,73.400002,74.839996,12693000,64.491982
"2016-12-14",74.860001,76.32,74.860001,75.709999,11822800,65.241692
"2016-12-15",75.800003,75.989998,74.910004,75.550003,9448800,65.103828
"2016-12-16",74.43,74.959999,73.940002,74.099998,14437500,63.854321
"2016-12-19",73.610001,75.300003,73.550003,74.400002,8212200,64.112831
"2016-12-20",74.510002,74.629997,73.43,74.050003,8452000,63.811226
"2016-12-21",74.029999,74.830002,73.559998,73.959999,7018700,63.733669
"2016-12-22",73.68,73.75,72.919998,73.300003,8413800,63.164932
"2016-12-23",73.300003,73.889999,73.220001,73.639999,5307600,63.45792
"2016-12-27",73.519997,74.800003,73.510002,73.730003,6632900,63.535473
"2016-12-28",73.610001,73.699997,72.620003,72.769997,6387600,62.708214
"2016-12-29",72.769997,72.849998,71.940002,72.129997,7533600,62.156685
"2016-12-30",72.029999,72.260002,71.300003,71.610001,9220900,61.708599
"2017-01-03",72.339996,74.230003,72.18,74.160004,10953700,63.906006
"2017-01-04",74.529999,76.980003,74.379997,76.379997,14914200,65.819038
"2017-01-05",76.839996,76.849998,75.57,76.010002,9413100,65.500214
"2017-01-06",76.449997,76.5,75.410004,75.489998,8980000,65.052116
"2017-01-09",75.93,76.089996,75.269997,75.839996,10165300,65.353722
"2017-01-10",76.459999,76.5,74.93,75.010002,8869800,64.638496
"2017-01-11",75.519997,75.550003,73.010002,73.769997,14165700,63.569935
"2017-01-12",73.529999,73.68,72.93,73.360001,7057700,63.216629
"2017-01-13",73.629997,73.779999,73,73.07,8269100,62.966728
"2017-01-17",72.919998,72.919998,71.730003,71.910004,11706600,61.967133
"2017-01-18",72.239998,72.470001,71.5,72.129997,9910000,62.156685
"2017-01-19",71.82,72.25,71.230003,71.57,9810900,61.674129
"2017-01-20",71.970001,72,70.580002,71.010002,10270300,61.191563
"2017-01-23",70.870003,71.290001,70.300003,70.690002,9657600,60.915817
"2017-01-24",70.599998,70.980003,69.779999,70.25,10912800,60.536644
"2017-01-25",70.82,72.339996,70.720001,71.910004,14001600,61.967133
"2017-01-26",71.779999,71.849998,71.150002,71.220001,8580100,61.372524
"2017-01-27",71.43,72.169998,71.160004,71.260002,6939700,61.406998
"2017-01-30",71,71.669998,70.75,71.510002,7242500,61.622429
"2017-01-31",71.129997,72.580002,70.989998,72.449997,10365500,62.432468
"2017-02-01",72.720001,72.879997,72.059998,72.82,7441800,62.751286
"2017-02-02",72.610001,72.830002,71.779999,72.25,8814200,62.260109
"2017-02-03",72.739998,72.75,71.769997,72.339996,8034300,62.337658
"2017-02-06",72.019997,72.669998,71.440002,72.389999,7635000,62.380749
