"dates","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2016-01-04",21.488094,21.755953,21.101191,21.741072,3601248,20.324907
"2016-01-05",21.681547,21.778275,21.190475,21.436012,3135149,20.039722
"2016-01-06",20.803572,21.056547,19.910713,20.171131,6731290,18.857231
"2016-01-07",19.754463,20.401787,19.620537,19.962797,6912058,18.66247
"2016-01-08",20.245537,20.520832,19.330357,19.345238,4923206,18.085136
"2016-01-11",19.434525,19.471725,18.764881,18.928572,4460467,17.695608
"2016-01-12",19.494047,19.494047,18.392857,18.787203,5680282,17.56345
"2016-01-13",18.995537,19.159225,18.415178,18.415178,6136032,17.215658
"2016-01-14",18.563988,19.0625,18.266369,18.988094,5602464,17.751253
"2016-01-15",18.214287,18.444941,17.924107,18.102678,7015142,16.923513
"2016-01-19",18.221725,18.273809,17.537203,17.767857,5961178,16.6105
"2016-01-20",17.366072,17.767857,17.001488,17.544643,7411354,16.401829
"2016-01-21",17.380953,18.169643,17.306547,17.693453,5704742,16.540941
"2016-01-22",18.459822,18.586309,17.619047,18.087797,8209958,16.909601
"2016-01-25",17.566963,18.258928,17.388393,17.395832,6415450,16.262709
"2016-01-26",17.857143,18.043156,17.5,17.805059,4754669,16.645283
"2016-01-27",17.738094,18.229168,17.604168,17.797619,5679072,16.638323
"2016-01-28",18.578869,18.697918,17.819941,18.095238,6623635,16.916559
"2016-01-29",18.117559,18.712797,17.96875,18.712797,9835661,17.493891
"2016-02-01",18.638393,18.787203,18.020832,18.4375,7326413,17.236525
"2016-02-02",17.507441,18.005953,17.507441,17.581844,4369882,16.436605
"2016-02-03",17.8125,18.154762,17.046131,17.909225,8913542,16.742664
"2016-02-04",18.117559,18.936012,17.909225,18.065475,9051974,16.888735
"2016-02-05",17.730656,18.139881,17.514881,17.715775,7339450,16.561811
"2016-02-08",17.403275,17.648809,17.232143,17.574406,7500595,16.429649
"2016-02-09",17.291668,17.485119,16.755953,17.098213,6758438,15.984479
"2016-02-10",17.023809,17.566963,16.897322,17.232143,7814150,16.109682
"2016-02-11",16.919643,17.217262,16.592262,16.941963,6089664,15.838405
"2016-02-12",17.1875,17.641369,17.098213,17.202381,12309158,16.08186
"2016-02-16",17.507441,17.596725,17.142857,17.470238,11895610,16.332268
"2016-02-17",19.486607,19.962797,18.549107,18.705357,19752902,17.486935
"2016-02-18",18.90625,18.90625,18.184525,18.474703,9540384,17.271305
"2016-02-19",18.325893,18.727678,18.080357,18.727678,5713478,17.507803
"2016-02-22",19.53125,19.53125,18.794643,18.839287,6045850,17.612143
"2016-02-23",18.690475,18.824406,17.998512,18.005953,4289376,16.833088
"2016-02-24",17.700893,18.236607,17.5,18.214287,4883962,17.027851
"2016-02-25",18.199406,18.318453,17.313988,17.752975,5040403,16.596592
"2016-02-26",18.125,18.489582,17.946428,18.251488,3869914,17.062632
"2016-02-29",18.258928,18.511906,18.028275,18.251488,8807770,17.062632
"2016-03-01",18.467262,19.017857,18.355656,18.898809,4021114,17.667786
"2016-03-02",18.779762,19.174107,18.377975,19.174107,3965203,17.925152
"2016-03-03",19.136906,19.694941,19.0625,19.680059,4665965,18.398148
"2016-03-04",19.747025,19.836309,18.861607,19.107143,8290867,17.862551
"2016-03-07",19.047619,19.84375,18.928572,19.821428,8543270,18.53031
"2016-03-08",19.635418,19.635418,17.849703,18.110119,10007424,16.93047
"2016-03-09",18.333332,19.099703,17.619047,18.802082,6681158,17.577358
"2016-03-10",18.690475,19.002975,18.467262,18.869047,4678061,17.639965
"2016-03-11",19.427082,20.520832,19.427082,20.491072,7807699,19.156334
"2016-03-14",20.119047,20.483631,19.955357,20.215775,5407450,18.898966
"2016-03-15",19.918156,19.977678,19.508928,19.925594,3826234,18.627689
"2016-03-16",19.992559,20.230656,19.747025,20.141369,3380429,18.829407
"2016-03-17",20.357143,20.617559,20.141369,20.535713,3874349,19.198065
"2016-03-18",20.684525,20.744047,20.409225,20.491072,7737542,19.156334
"2016-03-21",20.3125,20.736607,20.186012,20.699406,3182861,19.351095
"2016-03-22",20.386906,20.788691,20.305059,20.424107,2997120,19.093731
