"dates","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2017-02-08",166.5,168.350006,166.320007,168.119995,3493400,148.92984
"2017-02-09",165.75,167.789993,165.5,167.470001,4281400,148.354019
"2017-02-10",167.800003,168.309998,167.029999,167.889999,2931200,148.726105
"2017-02-13",167.720001,168.259995,166.679993,167.660004,3602800,149.546707
"2017-02-14",167.070007,168.070007,165.570007,168.050003,3116700,149.894562
"2017-02-15",167.320007,172,167,171.789993,4058800,153.23053
"2017-02-16",171.559998,172.169998,170.300003,172.110001,2660600,153.515961
"2017-02-17",171.350006,173.360001,168.889999,173.289993,4154900,154.568466
"2017-02-21",172.850006,173.5,171.860001,173.139999,3941200,154.434677
"2017-02-22",172.330002,174.699997,171.889999,172.610001,2579800,153.961945
"2017-02-23",172.75,174.009995,171.889999,174.009995,2190800,155.210693
"2017-02-24",173.289993,174.720001,172.479996,174.559998,2677300,155.701263
"2017-02-27",174.210007,176.270004,173.710007,176.130005,2850700,157.101654
"2017-02-28",175.460007,178.25,175.419998,176.529999,3370400,157.458389
"2017-03-01",178,179.679993,175.759995,178.240005,3532300,158.983719
"2017-03-02",177.720001,178.860001,176.820007,178.070007,3493000,158.832047
"2017-03-03",178.460007,180.529999,177.550003,180.199997,2893800,160.731934
"2017-03-06",179.550003,180.339996,178.160004,179.460007,3280100,160.071899
"2017-03-07",177.399994,178.589996,176.279999,177.380005,3328900,158.216614
"2017-03-08",177.25,178.759995,177.139999,177.779999,2320800,158.573364
"2017-03-09",178.050003,179.119995,177.070007,178.919998,2505300,159.59021
"2017-03-10",179.470001,181.929993,179.110001,181.440002,4589000,161.837967
"2017-03-13",181.929993,182,180.320007,181.050003,2531000,161.490112
"2017-03-14",180.419998,181.559998,179.630005,180.119995,2746300,160.660553
"2017-03-15",180.309998,184.210007,180.309998,182.600006,4197300,162.87265
"2017-03-16",181.600006,181.839996,178.020004,180.110001,6014400,160.651672
"2017-03-17",167.369995,171.589996,165.949997,168.610001,23936800,150.394058
"2017-03-20",169.630005,169.710007,167.759995,169.240005,5831500,150.955994
"2017-03-21",170.050003,170.210007,166.490005,166.850006,4922700,148.824234
"2017-03-22",167.929993,167.979996,166.589996,167.449997,5070400,149.359406
"2017-03-23",167.479996,168.020004,165.570007,166.039993,4432200,148.101715
"2017-03-24",166.690002,166.929993,165.080002,165.740005,3175600,147.834122
"2017-03-27",164.770004,166.610001,163,164.910004,4734000,147.093826
"2017-03-28",164.110001,166.259995,163.729996,164.710007,6526400,146.91539
"2017-03-29",164.470001,165.220001,162.940002,163.059998,4070800,145.443665
"2017-03-30",164.070007,164.800003,163.210007,164.380005,2262300,146.621063
"2017-03-31",164.320007,165.479996,163.850006,164.070007,2811800,146.344543
"2017-04-03",164.630005,165.020004,163.520004,163.889999,3047800,146.18399
"2017-04-04",163.779999,164.490005,163.119995,164.360001,2239400,146.603226
"2017-04-05",163.270004,164.759995,161.679993,162.240005,3542300,144.712234
"2017-04-06",162.199997,163.449997,161.610001,162.25,3024200,144.721191
"2017-04-07",162.910004,164.240005,162.25,163.380005,2204400,145.72908
"2017-04-10",163.850006,164.240005,162.619995,162.789993,1772000,145.202835
"2017-04-11",162.889999,163.399994,161.559998,163.110001,1990300,145.488251
"2017-04-12",164.080002,164.100006,162.160004,163.050003,2248600,145.434753
