"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2012-01-24",75.54068,76.30278,74.737381,75.726059,653386,55.571339
"2012-01-25",75.674561,77.198761,75.45829,76.900101,736601,56.432888
"2012-01-26",77.06488,77.6931,75.829041,76.024719,682225,55.790501
"2012-01-27",75.3759,76.405769,75.3759,76.179199,945366,55.903862
"2012-01-30",75.30381,75.91143,74.716789,74.92276,723783,54.981838
"2012-01-31",75.77755,77.188461,74.953659,75.726059,1526509,55.571339
"2012-02-01",76.60144,77.07518,75.99382,76.786819,895068,56.349762
"2012-02-02",77.16787,78.22863,77.01339,78.125641,1072858,57.33226
"2012-02-03",78.444901,80.175079,78.444901,79.886719,1394065,58.624611
"2012-02-06",79.649849,79.84552,79.093719,79.52626,574638,58.3601
"2012-02-07",78.815651,79.196701,78.39341,78.867149,722715,57.876404
"2012-02-08",78.70237,79.649849,77.7034,78.094749,605807,57.309586
"2012-02-09",78.280121,78.54789,77.188461,77.806381,576968,57.097965
"2012-02-10",76.807411,77.90937,76.786819,77.06488,525894,56.553806
"2012-02-13",78.197731,78.52729,77.250259,77.868179,423550,57.143318
"2012-02-14",77.579819,77.971161,76.38517,76.85891,579978,56.402664
"2012-02-15",77.32235,78.269829,77.01339,77.77549,739125,57.075294
"2012-02-16",77.76519,78.743561,77.60041,78.187439,976146,57.37759
"2012-02-17",78.59938,78.59938,77.713699,77.950569,805542,57.20377
"2012-02-21",78.06385,78.15654,76.22039,76.982491,719705,56.493347
"2012-02-22",76.85891,77.569519,76.416069,77.00309,853121,56.508469
"2012-02-23",77.01339,78.69207,76.797119,78.01236,653969,57.249123
"2012-02-24",78.094749,78.16684,77.415039,77.785789,611245,57.082851
"2012-02-27",77.31205,78.14624,76.519051,77.940269,546090,57.19622
"2012-02-28",78.15654,78.589081,77.487129,78.06385,975855,57.286903
"2012-02-29",78.31102,78.743561,77.651901,78.32132,1104998,57.475838
"2012-03-01",78.815651,79.186409,78.094749,78.78476,852344,57.815929
"2012-03-02",78.743561,79.248199,78.032959,78.444901,455496,57.566536
"2012-03-05",78.269829,79.721939,77.971161,79.61895,631927,58.428104
"2012-03-06",78.805351,78.99073,78.269829,78.506691,672126,57.611885
"2012-03-07",78.877449,79.443871,78.053551,79.351181,627266,58.231598
"2012-03-08",79.732239,79.732239,78.331619,78.568489,714947,57.657238
"2012-03-09",78.76416,79.61895,78.424309,79.402679,995761,58.269421
"2012-03-12",79.485069,79.897011,79.2173,79.402679,428017,58.269421
"2012-03-13",79.711639,81.668381,79.711639,81.637489,659503,59.909405
"2012-03-14",81.441811,81.93615,80.638519,81.24614,408694,59.622215
"2012-03-15",81.204941,81.884659,80.53553,81.266731,665815,59.63731
"2012-03-16",81.122551,81.36972,80.62822,80.91658,1282011,59.380363
"2012-03-19",80.885689,81.61689,80.38105,80.62822,825544,59.168743
"2012-03-20",80.16478,81.338829,79.886719,80.968071,559976,59.418152
"2012-03-21",80.84449,81.22554,79.732239,79.732239,825156,58.511253
"2012-03-22",79.16581,79.16581,77.785789,78.78476,802532,57.815929
"2012-03-23",78.54789,79.433571,77.672501,78.92894,690672,57.921761
"2012-03-26",79.958801,80.175079,79.248199,79.948509,657950,58.669937
"2012-03-27",79.62925,80.07209,78.867149,79.32029,1005762,58.208931
