"dates","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2014-02-14",79.309998,80.550003,78.879997,80.389999,6641400,55.896084
"2014-02-18",80.209999,80.940002,80,80.010002,5987900,55.631859
"2014-02-19",79.769997,80.190002,79.5,79.599998,4469700,55.34679
"2014-02-20",79.629997,80.150002,79.25,79.709999,4545900,55.423264
"2014-02-21",79.639999,79.940002,78.900002,78.970001,5425100,54.90873
"2014-02-24",78.790001,79.639999,78.519997,79.169998,5043600,55.047794
"2014-02-25",79.400002,80.089996,79.330002,79.93,5361500,55.576229
"2014-02-26",80.050003,80.080002,78.919998,79.5,5278200,55.277256
"2014-02-27",79.5,81.139999,79.349998,80.779999,5974200,56.16724
"2014-02-28",81.160004,81.599998,80.510002,80.910004,4569000,56.257652
"2014-03-03",80.25,80.970001,79.769997,80.449997,5289900,55.937782
"2014-03-04",81,81.860001,80.989998,81.580002,5595700,56.723507
"2014-03-05",81.870003,81.879997,80.769997,81.07,3844300,56.368858
"2014-03-06",81.199997,81.5,80.790001,80.910004,5150000,56.257652
"2014-03-07",81.019997,81.040001,79.220001,80.339996,5384600,55.861305
"2014-03-10",80.32,80.57,80.040001,80.43,4571400,55.923885
"2014-03-11",80.620003,80.849998,79.150002,79.519997,5318200,55.291142
"2014-03-12",79.150002,79.449997,78.790001,79.169998,4363900,55.047794
"2014-03-13",79.410004,79.889999,79.059998,79.230003,4285700,55.089497
"2014-03-14",79.25,80.480003,79.18,79.889999,4814700,55.54842
"2014-03-17",80.010002,80.68,80,80.279999,4453800,55.819584
"2014-03-18",80.279999,80.910004,80.139999,80.470001,3698700,55.951687
"2014-03-19",80.470001,81.199997,79.410004,79.660004,4961100,55.388493
"2014-03-20",79.629997,80.459999,79.449997,80.43,4402700,55.923885
"2014-03-21",81.089996,81.449997,80.540001,81,10868500,56.320217
"2014-03-24",81.120003,81.190002,80.309998,80.419998,5277300,55.916943
"2014-03-25",79.68,80.360001,79.669998,80.199997,4736800,56.423477
"2014-03-26",80.18,81.040001,80.18,80.419998,4872200,56.578259
"2014-03-27",80.25,80.43,79.93,80.07,4652800,56.33202
"2014-03-28",80.209999,81.019997,80.150002,81.019997,4106000,57.000374
"2014-03-31",81.230003,81.949997,81.029999,81.870003,6300400,57.59837
"2014-04-01",81.739998,82.330002,81.699997,82.209999,5297200,57.837578
"2014-04-02",82.32,82.5,82.160004,82.459999,4265000,58.01347
"2014-04-03",82.529999,82.68,82,82.279999,3642600,57.886841
"2014-04-04",82.93,83.150002,82.519997,82.809998,5710300,58.259697
"2014-04-07",82.760002,83.32,82.730003,82.889999,5229900,58.315998
"2014-04-08",82.970001,84.239998,82.970001,83.82,5546700,58.970276
"2014-04-09",83.959999,84.019997,83.269997,83.879997,3845000,59.012489
"2014-04-10",84.080002,84.970001,83.360001,83.519997,6411300,58.75919
"2014-04-11",83.360001,83.989998,82.709999,83.139999,5563000,58.491871
"2014-04-14",83.650002,84.470001,83.360001,84.169998,4928000,59.216503
"2014-04-15",84.089996,84.480003,83.550003,84.379997,4872600,59.364258
"2014-04-16",84.75,84.82,84.099998,84.790001,5248400,59.652695
"2014-04-17",83.620003,84.050003,82.120003,83.150002,7858500,58.498901
"2014-04-21",82.980003,83.610001,82.5,83.5,3709400,58.745148
"2014-04-22",83.349998,83.889999,82.959999,83.540001,3728000,58.773281
"2014-04-23",83.489998,83.940002,83.25,83.349998,3745500,58.639606
"2014-04-24",83.199997,84.010002,83.010002,83.489998,3697000,58.738106
"2014-04-25",83.400002,84.199997,83.400002,84.110001,4375200,59.174313
"2014-04-28",84.580002,85.620003,84.470001,84.980003,7172000,59.786369
"2014-04-29",84.980003,85.830002,84.870003,85.190002,4488500,59.934124
"2014-04-30",85.010002,85.589996,84.790001,85.43,4974100,60.10297
"2014-05-01",85.489998,85.959999,85.209999,85.720001,3504500,60.306999
"2014-05-02",85.769997,85.769997,85.150002,85.379997,3596100,60.067787
"2014-05-05",85.019997,85.510002,84.82,85.339996,2328300,60.039639
"2014-05-06",85.18,85.550003,85,85.279999,3258100,59.997437
"2014-05-07",85.290001,85.93,85.110001,85.800003,3605000,60.363274
"2014-05-08",85.709999,86.379997,85.199997,86.209999,3510800,60.651722
"2014-05-09",86.029999,86.519997,85.940002,86.400002,2863700,60.785378
"2014-05-12",86.82,86.900002,85.889999,86.129997,3232800,60.595451
"2014-05-13",86.279999,86.32,85.629997,85.93,3710200,60.454716
"2014-05-14",85.910004,86.269997,85.589996,85.75,3195000,60.328091
"2014-05-15",85.800003,86.190002,85.150002,85.330002,4108200,60.0326
"2014-05-16",85.230003,85.980003,85.199997,85.769997,6359700,60.342163
"2014-05-19",85.720001,85.800003,85.339996,85.739998,2706100,60.32106
"2014-05-20",85.480003,85.5,85.019997,85.220001,3396700,59.955223
"2014-05-21",85.209999,86.5,84.93,86.150002,4995100,60.609516
"2014-05-22",86.18,86.730003,85.870003,86.290001,4631100,60.707985
"2014-05-23",86.139999,86.900002,86.120003,86.57,3790800,60.904999
"2014-05-27",86.529999,87.160004,86.220001,86.910004,4153800,61.144184
"2014-05-28",86.879997,87.5,86.480003,87.349998,4278900,61.453739
"2014-05-29",87.620003,88.699997,87.379997,88.370003,4782200,62.171356
"2014-05-30",88.25,88.800003,88.050003,88.540001,4173100,62.290974
"2014-06-02",88.330002,88.739998,88.050003,88.32,3233900,62.136173
"2014-06-03",88.25,88.489998,87.620003,87.889999,3073000,61.833649
"2014-06-04",87.769997,88.209999,87.57,87.970001,2517400,61.88995
"2014-06-05",88,88.160004,87.669998,87.900002,3347300,61.840691
"2014-06-06",88,88.559998,87.900002,88.330002,2543600,62.143215
"2014-06-09",88.010002,88.470001,87.809998,88.330002,2864400,62.143215
"2014-06-10",87.889999,88.57,87.809998,88.389999,3476500,62.18541
"2014-06-11",88.160004,88.739998,88.160004,88.440002,3261400,62.220604
"2014-06-12",88.209999,88.709999,88.07,88.239998,3950000,62.079887
"2014-06-13",88.169998,88.629997,87.879997,88.449997,3162800,62.227638
"2014-06-16",88.370003,89.360001,88.07,89.029999,4550100,62.635696
"2014-06-17",88.779999,89,88.410004,88.739998,4217400,62.431648
"2014-06-18",88.82,89.970001,88.440002,89.879997,4837600,63.233685
"2014-06-19",89.970001,91.470001,89.910004,91.339996,7145000,64.260864
"2014-06-20",91.389999,91.629997,90.779999,91.139999,9003100,64.12014
"2014-06-23",91.150002,91.239998,90.269997,90.43,5492400,63.620647
"2014-06-24",89.120003,89.940002,88.730003,89.370003,5337600,63.535313
"2014-06-25",89.300003,89.300003,88.279999,88.889999,4663400,63.194088
"2014-06-26",86.800003,86.910004,85.980003,86.489998,10749000,61.487869
"2014-06-27",86.169998,86.169998,84.050003,84.849998,16140800,60.321945
"2014-06-30",84.629997,84.900002,84.160004,84.309998,8020400,59.938046
"2014-07-01",84.349998,84.540001,83.870003,84.209999,6615400,59.86694
"2014-07-02",84.209999,85.099998,83.830002,84.860001,4335400,60.329056
"2014-07-03",84.760002,86.089996,84.730003,85.690002,3562500,60.919117
"2014-07-07",85.580002,86.449997,85.459999,86.080002,4229900,61.196362
"2014-07-08",86.129997,86.660004,85.940002,86.290001,3726100,61.345665
"2014-07-09",86.510002,86.849998,85.82,86.029999,3188000,61.160831
"2014-07-10",85.610001,86.040001,84.879997,84.900002,5465500,60.357494
"2014-07-11",85.599998,86.080002,84.839996,85.410004,4861300,60.72007
"2014-07-14",85.919998,86.260002,85.75,85.949997,3470200,61.103958
"2014-07-15",85.57,85.610001,84.480003,84.589996,5770400,60.137108
"2014-07-16",84.989998,85.550003,84.489998,84.699997,6244300,60.215305
"2014-07-17",84.580002,86.650002,84.519997,84.550003,5932700,60.108658
"2014-07-18",85.010002,86.150002,84.900002,86.019997,4563900,61.153725
"2014-07-21",85.290001,85.779999,85.199997,85.57,3273300,60.833801
"2014-07-22",85.660004,85.889999,85.260002,85.379997,2741900,60.698727
"2014-07-23",85.529999,85.730003,84.970001,85.080002,2750300,60.485455
"2014-07-24",85.290001,85.779999,85.25,85.540001,3703000,60.812485
"2014-07-25",85.32,85.529999,84.57,84.849998,2715100,60.321945
"2014-07-28",84.980003,84.980003,84.099998,84.480003,3053900,60.05891
"2014-07-29",84.5,85.379997,84.5,84.650002,2677200,60.179752
"2014-07-30",84.720001,85.07,83.139999,83.190002,4670900,59.141804
"2014-07-31",82.959999,82.989998,82,82.010002,4633400,58.302914
"2014-08-01",82,82.589996,81.720001,81.900002,3956500,58.224724
"2014-08-04",81.800003,82.330002,81.5,82.129997,3293400,58.388237
"2014-08-05",81.849998,82.260002,81.190002,81.580002,3710200,57.997227
"2014-08-06",81.589996,83.949997,81.589996,83.480003,5053700,59.347958
"2014-08-07",83.550003,83.900002,82.379997,82.709999,4445100,58.800556
"2014-08-08",82.800003,83.949997,82.599998,83.839996,3809400,59.603912
"2014-08-11",83.970001,84.959999,83.75,84.349998,3414500,59.966492
"2014-08-12",84.120003,84.260002,83.739998,84.18,2196300,59.845627
"2014-08-13",84.440002,84.82,84.230003,84.470001,2355600,60.051788
"2014-08-14",84.489998,84.989998,84.470001,84.93,1795900,60.378811
"2014-08-15",85.099998,85.169998,83.82,84.5,4226900,60.073132
"2014-08-18",84.709999,85.099998,84.629997,84.989998,3080800,60.421474
"2014-08-19",85.099998,85.470001,84.629997,85.379997,2272800,60.698727
"2014-08-20",85.209999,85.370003,84.599998,85.089996,2441400,60.492546
"2014-08-21",85.230003,85.690002,85.120003,85.150002,2183800,60.535221
"2014-08-22",84.82,85.230003,84.199997,84.339996,3774400,59.959381
"2014-08-25",84.93,85.540001,84.93,85.190002,2858700,60.563656
"2014-08-26",85.239998,85.459999,84.830002,85.260002,2466200,60.613438
