"dates","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2014-08-11",99.099998,100.32,99,99.57,3019400,85.839958
"2014-08-12",99.82,100.300003,99.269997,99.669998,2669400,85.926147
"2014-08-13",99.940002,100.690002,99.860001,100.57,2135600,86.702034
"2014-08-14",100.919998,101.730003,100.699997,101.730003,2664800,87.702087
"2014-08-15",102.160004,102.279999,101.160004,101.989998,2920800,87.926231
"2014-08-18",102.739998,104.07,102.349998,103.790001,3812900,89.478027
"2014-08-19",104.389999,104.75,104.139999,104.389999,2357800,89.995293
"2014-08-20",104.68,105.870003,104.400002,105.57,3478900,91.012581
"2014-08-21",106.110001,106.300003,105.410004,105.860001,2350800,91.262581
"2014-08-22",105.779999,106.339996,105.580002,105.769997,2306000,91.184998
"2014-08-25",106.199997,106.230003,105.470001,105.639999,2345000,91.072945
"2014-08-26",106.040001,106.080002,105.120003,105.559998,3195400,91.003975
"2014-08-27",105.480003,105.650002,104.839996,105.300003,1904700,91.211845
"2014-08-28",105.07,105.150002,104.540001,105.040001,1786300,90.986649
"2014-08-29",105.029999,105.360001,104.559998,105.269997,1936500,91.18586
"2014-09-02",105.699997,106.550003,105.489998,106.209999,3225100,92.000076
"2014-09-03",106.669998,107.379997,106.160004,106.599998,2842000,92.337914
"2014-09-04",106.769997,108.739998,106.650002,107.25,4582100,92.900963
"2014-09-05",107.220001,107.879997,106.809998,107.690002,3660500,93.28212
"2014-09-08",107.650002,107.900002,107.330002,107.459999,2052200,93.082863
"2014-09-09",107.610001,107.940002,107.199997,107.470001,1901700,93.091537
"2014-09-10",107.419998,107.779999,106.910004,107.379997,1696200,93.013573
"2014-09-11",106.980003,107.860001,106.75,107.709999,1640800,93.299416
"2014-09-12",107.019997,107.900002,106.790001,107.010002,2091900,92.693085
"2014-09-15",107.089996,107.300003,106.410004,107.040001,2925000,92.719048
"2014-09-16",107.160004,108,106.379997,107.919998,3591500,93.481331
"2014-09-17",108.349998,110.25,108.279999,109.580002,3439900,94.919243
"2014-09-18",109.739998,110.260002,109.32,109.400002,2913600,94.763306
"2014-09-19",109.970001,110.139999,109.019997,109.360001,4336300,94.728645
"2014-09-22",109.519997,109.690002,108.470001,108.5,2364200,93.983719
"2014-09-23",108.199997,108.580002,107.790001,107.800003,2660500,93.377357
"2014-09-24",107.900002,108.82,107.739998,108.690002,3121100,94.1483
"2014-09-25",108.599998,108.629997,106.970001,107.190002,2716700,92.849007
"2014-09-26",107.019997,108.889999,107.019997,108.580002,2036000,94.053032
"2014-09-29",107.949997,108.709999,107.169998,108.529999,1928600,94.009705
"2014-09-30",108.519997,109.769997,108.279999,108.419998,3339300,93.914421
"2014-10-01",107.480003,107.650002,105.410004,105.800003,4518000,91.644966
"2014-10-02",105.900002,106.510002,104.879997,106.099998,4719600,91.904816
"2014-10-03",107.010002,109.75,106.82,109.510002,4014200,94.858597
"2014-10-06",110.410004,110.839996,108.720001,109.290001,2650300,94.668022
"2014-10-07",108.5,108.639999,106.300003,106.370003,3151100,92.138687
