"dates","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"2010-12-20",15.8625,15.91,15.62,15.69,3575600,14.256533
"2010-12-21",15.71,15.85,15.6,15.7775,2565600,14.336042
"2010-12-22",15.775,15.87,15.6925,15.84,2627600,14.392832
"2010-12-23",15.8025,15.8925,15.7075,15.84,2909200,14.392832
"2010-12-27",15.8125,15.8475,15.6375,15.795,1481600,14.35194
"2010-12-28",15.815,15.92,15.775,15.82,1740800,14.374656
"2010-12-29",15.8275,15.995,15.8275,15.8775,2331600,14.426904
"2010-12-30",15.86,15.995,15.7875,15.9625,2701600,14.50414
"2010-12-31",15.925,15.9775,15.8025,15.8125,2251600,14.367844
"2011-01-03",16.004999,16.1875,15.9375,15.97,4328000,14.510953
"2011-01-04",16,16,15.53,15.55,6494800,14.129327
"2011-01-05",15.4825,15.665,15.0375,15.6625,7455600,14.231549
"2011-01-06",15.93,16.1875,15.8425,15.9425,12792800,14.485965
"2011-01-07",16.030001,16.174999,15.8125,15.9875,6890800,14.526855
"2011-01-10",15.8825,16.125,15.7675,16.067499,7120800,14.599543
"2011-01-11",16.102501,16.137501,15.9475,16.122499,4050000,14.649522
"2011-01-12",16.202499,16.315001,15.99,16.0175,4264000,14.554113
"2011-01-13",15.9825,16.0375,15.895,15.95,2676400,14.49278
"2011-01-14",15.905,15.9825,15.84,15.9625,3460400,14.50414
"2011-01-18",15.965,16.1,15.84,15.945,3622400,14.488237
"2011-01-19",15.9125,16.25,15.8925,16.184999,4504400,14.706311
"2011-01-20",16.139999,16.432501,16.125,16.264999,4756000,14.779002
"2011-01-21",16.2925,16.352501,16.16,16.23,3412800,14.7472
"2011-01-24",16.245001,16.4,16.219999,16.3825,2776800,14.885767
"2011-01-25",16.3325,16.525,16.16,16.514999,3865600,15.006156
"2011-01-26",16.5875,16.6675,16.389999,16.629999,4220400,15.110653
"2011-01-27",16.645,16.862499,16.545,16.747499,5496000,15.217421
"2011-01-28",16.77,16.8025,16.32,16.365,3719600,14.869867
"2011-01-31",16.355,16.424999,16.200001,16.299999,4788800,14.810808
"2011-02-01",16.360001,16.5,16.290001,16.4,5332800,14.90167
"2011-02-02",16.377501,16.422501,16.110001,16.2125,8386800,14.731298
"2011-02-03",16.852501,17.25,16.725,17.1525,9881200,15.585422
"2011-02-04",17.0425,17.504999,17.0425,17.4725,5564800,15.876187
"2011-02-07",17.4175,17.432501,17.139999,17.360001,6213600,15.773966
"2011-02-08",17.379999,17.535,17.3325,17.48,3900400,15.882998
"2011-02-09",17.407499,17.5625,17.33,17.3825,3519600,15.794408
"2011-02-10",17.2575,17.74,17.2575,17.727501,4383200,16.107891
"2011-02-11",17.672501,17.952499,17.6525,17.942499,4124000,16.30324
"2011-02-14",17.895,17.9825,17.637501,17.68,3500400,16.064722
"2011-02-15",17.655001,17.797501,17.615,17.665001,3302800,16.051096
"2011-02-16",17.684999,17.9175,17.672501,17.790001,3864000,16.215166
"2011-02-17",17.764999,17.9475,17.655001,17.785,2856800,16.210602
"2011-02-18",17.76,17.975,17.625,17.955,3722000,16.365553
"2011-02-22",17.885,18.174999,17.627501,17.6775,3475200,16.112617
"2011-02-23",17.5875,17.6675,17.275,17.565001,5816400,16.010082
"2011-02-24",17.559999,17.860001,17.43,17.715,3512000,16.146795
"2011-02-25",17.785,18.047501,17.745001,17.9175,3754800,16.331371
"2011-02-28",17.92,18.0425,17.762501,18.01,3426800,16.415682
"2011-03-01",18.137501,18.195,17.7675,17.877501,5336400,16.294912
"2011-03-02",17.817499,18.075001,17.702499,18.0075,4716800,16.413408
"2011-03-03",18.1525,18.215,17.795,18.102501,5564400,16.5
"2011-03-04",18.0425,18.1075,17.799999,17.977501,2622400,16.386066
"2011-03-07",18.0525,18.094999,17.575001,17.6675,3918400,16.103502
"2011-03-08",17.635,17.9375,17.469999,17.8325,3718800,16.253899
"2011-03-09",17.764999,17.9825,17.627501,17.8225,2401600,16.24478
"2011-03-10",17.6625,17.715,17.5275,17.639999,4072000,16.07844
"2011-03-11",17.575001,17.99,17.432501,17.924999,3358400,16.338211
"2011-03-14",17.817499,17.959999,17.4475,17.615,4076800,16.055658
"2011-03-15",17.299999,17.5825,17.2775,17.459999,3572800,15.914375
"2011-03-16",17.33,17.497499,17.172501,17.2875,5832800,15.757145
"2011-03-17",17.4025,17.635,17.125,17.450001,6264000,15.905263
"2011-03-18",17.565001,17.5825,17.219999,17.4,8428400,15.859687
"2011-03-21",17.51,17.51,17.067499,17.1525,7540000,15.634096
"2011-03-22",17.15,17.225,16.985001,16.997499,4928400,15.492818
"2011-03-23",16.924999,17.3025,16.862499,17.23,3842000,15.704737
"2011-03-24",17.309999,17.5275,17.18,17.432501,5669200,15.88931
"2011-03-25",17.497499,17.747499,17.372499,17.557501,3275600,16.003242
"2011-03-28",17.557501,17.785,17.51,17.522499,4870000,15.971337
"2011-03-29",17.477501,17.58,17.4175,17.545,3517600,15.991855
"2011-03-30",17.65,17.934999,17.58,17.9275,3793200,16.34049
"2011-03-31",17.889999,17.975,17.610001,17.780001,5388400,16.206047
"2011-04-01",17.834999,17.942499,17.7325,17.887501,3664000,16.304029
"2011-04-04",17.862499,17.934999,17.639999,17.8325,3631600,16.253899
"2011-04-05",17.797501,18.3125,17.797501,18.105,7356000,16.502274
"2011-04-06",18.1875,18.245001,17.9375,17.950001,5253600,16.360998
"2011-04-07",17.862499,18,17.5425,17.725,8400000,16.155914
"2011-04-08",17.764999,17.775,17.4725,17.65,3676000,16.087559
"2011-04-11",17.6675,17.870001,17.605,17.8125,3640400,16.235672
"2011-04-12",17.68,18,17.68,17.805,3271600,16.228832
"2011-04-13",17.84,17.922501,17.692499,17.870001,4690400,16.288073
"2011-04-14",17.737499,17.817499,17.5375,17.6875,5088800,16.121731
"2011-04-15",17.700001,17.82,17.487499,17.8025,3730400,16.226543
"2011-04-18",17.5975,17.715,17.407499,17.684999,3922000,16.119455
"2011-04-19",17.684999,17.74,17.5625,17.6425,2625200,16.080717
"2011-04-20",17.825001,18.1525,17.7925,18.115,5211600,16.511393
"2011-04-21",18.112499,18.16,18.022499,18.065001,2540800,16.46582
"2011-04-25",18.0275,18.137501,17.965,18.115,2241200,16.511393
"2011-04-26",18.1775,18.252501,18.0275,18.125,4800000,16.520504
"2011-04-27",18.190001,18.2575,18.045,18.24,3331200,16.625324
"2011-04-28",18.254999,18.545,18.184999,18.504999,3928400,16.866867
"2011-04-29",18.502501,18.559999,18.3825,18.422501,6400000,16.791662
"2011-05-02",18.5425,18.65,18.309999,18.35,3890800,16.725586
"2011-05-03",18.3475,18.450001,18.115,18.3375,5200000,16.71419
"2011-05-04",18.307501,18.512501,18.219999,18.362499,7042400,16.736982
"2011-05-05",18.77,19.84,18.702499,19.637501,15184400,17.899115
"2011-05-06",19.7775,19.907499,19.49,19.547501,5924400,17.817076
"2011-05-09",19.620001,19.772499,19.4925,19.645,3688000,17.905952
"2011-05-10",19.745001,20.145,19.6625,19.940001,4894000,18.174833
"2011-05-11",19.9,20.2875,19.83,20.27,6400000,18.475622
"2011-05-12",20.3325,20.7775,20.192499,20.610001,9600000,18.785522
"2011-05-13",20.674999,20.73,20.522499,20.66,4811600,18.831095
"2011-05-16",20.615,20.6675,20.372499,20.440001,5251600,18.630573
"2011-05-17",20.41,20.514999,20.18,20.25,5380400,18.457388
"2011-05-18",20.182501,20.475,19.945,20.465,5685200,18.653358
"2011-05-19",20.165001,20.422501,20,20.195,8408800,18.407263
"2011-05-20",20.09,20.26,19.815001,20.1975,6633200,18.409542
"2011-05-23",20.0175,20.245001,19.969999,20.1,4367200,18.320673
"2011-05-24",20.1875,20.24,19.889999,19.9,3620000,18.138374
"2011-05-25",19.905001,20.387501,19.772499,20.290001,6744800,18.493855
"2011-05-26",20.190001,20.5825,20.15,20.5525,6029200,18.733112
"2011-05-27",20.504999,20.602501,20.372499,20.4275,4637200,18.619181
"2011-05-31",20.504999,20.6,20.305,20.49,4804800,18.676146
"2011-06-01",20.485001,20.637501,20.1525,20.18,5620000,18.393591
"2011-06-02",20.075001,20.190001,19.92,20.025,3269600,18.252304
"2011-06-03",19.8025,19.977501,19.709999,19.7775,4292000,18.076368
"2011-06-06",19.785,19.844999,19.469999,19.4825,4024400,17.80674
"2011-06-07",19.475,19.785,19.475,19.555,2234800,17.873011
"2011-06-08",19.4475,19.5375,19.209999,19.405001,4330000,17.735907
"2011-06-09",19.342501,19.577499,19.252501,19.42,3356800,17.749617
"2011-06-10",19.315001,19.3325,19.049999,19.057501,3970400,17.418299
"2011-06-13",19.0625,19.209999,18.955,19.112499,5138000,17.468559
"2011-06-14",19.272499,19.379999,19.145,19.192499,4055200,17.541685
"2011-06-15",19.002501,19.15,18.799999,18.897499,4947200,17.272057
"2011-06-16",18.9,18.945,18.622499,18.772499,4754000,17.157814
"2011-06-17",18.9725,19.190001,18.790001,18.795,5428000,17.178375
"2011-06-20",18.747499,19.137501,18.657499,19.0275,4249200,17.390877
"2011-06-21",19.077499,19.577499,18.8475,19.559999,5442000,17.877573
"2011-06-22",19.452499,19.6875,19.342501,19.5625,4878800,17.879862
"2011-06-23",19.352501,19.8125,19.3225,19.772499,6182400,18.071796
"2011-06-24",19.7425,19.84,19.325001,19.4,8080400,17.731339
"2011-06-27",19.377501,19.5875,19.272499,19.545,3435200,17.863865
"2011-06-28",19.5975,20.110001,19.5975,20.077499,4694000,18.350561
"2011-06-29",20.08,20.122499,19.772499,19.834999,4157600,18.12892
"2011-06-30",19.942499,20.125,19.9025,20.030001,3771200,18.30715
"2011-07-01",20.092501,20.3375,19.942499,20.317499,3288800,18.569916
"2011-07-05",20.3125,20.43,20.205,20.299999,3796400,18.553926
"2011-07-06",20.2775,20.41,20.1425,20.2675,5063200,18.524221
"2011-07-07",20.299999,20.389999,20.040001,20.317499,9888400,18.569916
"2011-07-08",20.174999,20.290001,19.8125,20.02,6924400,18.298006
"2011-07-11",19.9,20.049999,19.6525,19.7425,5846400,18.044382
"2011-07-12",19.795,19.91,19.65,19.705,5152800,18.010103
"2011-07-13",19.8475,19.995001,19.5725,19.629999,3566400,17.941553
"2011-07-14",19.690001,19.797501,19.3675,19.442499,3994000,17.770191
"2011-07-15",19.469999,19.502501,19.23,19.4175,4511600,17.74733
"2011-07-18",19.334999,19.4175,19.254999,19.299999,2922400,17.639944
"2011-07-19",19.450001,19.594999,19.4125,19.432501,3473200,17.76104
"2011-07-20",19.385,19.4825,19.247499,19.307501,3323200,17.646795
"2011-07-21",19.41,19.795,19.41,19.455,3093200,17.78161
