"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2013-05-03",42.544998,42.744999,42.330002,42.654999,1099600,42.654999
"2013-05-06",42.794998,43,42.705002,42.900002,497400,42.900002
"2013-05-07",42.994999,43.165001,42.794998,42.950001,575400,42.950001
"2013-05-08",42.869999,43.755001,42.869999,43.68,510000,43.68
"2013-05-09",43.5,43.75,43.27,43.41,568000,43.41
"2013-05-10",43.470001,43.970001,43.294998,43.880001,491400,43.880001
"2013-05-13",43.860001,44.035,43.48,43.5,402800,43.5
"2013-05-14",43.77,44.52,43.564999,44.384998,630200,44.384998
"2013-05-15",44.25,44.474998,43.605,43.764999,924800,43.764999
"2013-05-16",43.790001,44.064999,43.25,43.299999,505000,43.299999
"2013-05-17",43.470001,43.470001,43.02,43.200001,686200,43.200001
"2013-05-20",43.075001,43.419998,42.75,42.825001,562800,42.825001
"2013-05-21",42.825001,43.084999,42.654999,42.779999,676400,42.779999
"2013-05-22",42.779999,43.125,41.669998,41.685001,948000,41.685001
"2013-05-23",41.535,42.485001,41.200001,42.240002,1193600,42.240002
"2013-05-24",42.119999,42.134998,41.744999,41.904999,503200,41.904999
"2013-05-28",42.224998,42.494999,42.185001,42.235001,1211600,42.235001
"2013-05-29",42,42.200001,41.540001,41.849998,1003800,41.849998
"2013-05-30",41.994999,41.994999,40.785,41.605,1266400,41.605
"2013-05-31",41.48,41.799999,41.005001,41.220001,932800,41.220001
"2013-06-03",41.389999,41.700001,41.110001,41.465,876000,41.465
"2013-06-04",41.580002,42.165001,41.48,41.845001,1044200,41.845001
"2013-06-05",41.884998,42.095001,41.695,41.790001,654800,41.790001
"2013-06-06",41.855,42.360001,41.810001,42.025002,959800,42.025002
"2013-06-07",42.330002,42.330002,41.810001,41.939999,808800,41.939999
"2013-06-10",42.064999,42.439999,41.75,41.990002,745000,41.990002
"2013-06-11",42.884998,42.889999,41.735001,42.529999,1268200,42.529999
"2013-06-12",42.814999,43.044998,42.389999,42.965,1013800,42.965
"2013-06-13",43.014999,44.82,42.755001,44.68,1378000,44.68
"2013-06-14",44.75,44.865002,44.535,44.639999,1039200,44.639999
"2013-06-17",45.044998,46.299999,45.044998,45.439999,2211800,45.439999
"2013-06-18",45.465,45.939999,45.064999,45.244999,1050000,45.244999
"2013-06-19",45.310001,45.474998,44.509998,44.525002,1424400,44.525002
"2013-06-20",44.125,44.435001,43.895,44.09,1098000,44.09
"2013-06-21",44.384998,45.52,44.119999,44.950001,1556400,44.950001
"2013-06-24",44.505001,45.16,44.205002,44.735001,848600,44.735001
"2013-06-25",44.970001,45.290001,44.404999,45.130001,547800,45.130001
"2013-06-26",45.540001,45.615002,45.215,45.355,734600,45.355
"2013-06-27",45.455002,45.970001,45.360001,45.360001,412000,45.360001
"2013-06-28",45.360001,45.630001,44.825001,44.845001,1122000,44.845001
"2013-07-01",45.220001,46.095001,44.755001,45.365002,844200,45.365002
"2013-07-02",45.424999,45.790001,44.82,44.924999,669400,44.924999
"2013-07-03",44.950001,44.950001,43.994999,44.365002,934000,44.365002
"2013-07-05",44.735001,45.695,44.5,45.529999,988200,45.529999
"2013-07-08",45.52,45.865002,45.154999,45.549999,721800,45.549999
"2013-07-09",45.799999,46.424999,45.595001,46.27,892200,46.27
"2013-07-10",46.130001,46.27,45.48,45.735001,959200,45.735001
"2013-07-11",46.330002,46.709999,45.865002,46.630001,905400,46.630001
"2013-07-12",46.630001,47,46.345001,46.945,500200,46.945
"2013-07-15",47.799999,48.485001,47.799999,48.040001,1284200,48.040001
"2013-07-16",48.205002,48.209999,47.695,47.779999,455800,47.779999
"2013-07-17",48,48.105,47.619999,48.025002,530800,48.025002
"2013-07-18",47.974998,48.240002,47.724998,47.799999,485800,47.799999
"2013-07-19",47.689999,48.25,47.599998,48.009998,490400,48.009998
"2013-07-22",47.895,48.900002,47.799999,48.709999,1441000,48.709999
"2013-07-23",48,48.52,45.514999,48.185001,3181800,48.185001
"2013-07-24",48.494999,49.349998,48.259998,48.395,988400,48.395
"2013-07-25",48.215,49.009998,48.215,48.685001,595400,48.685001
"2013-07-26",48.639999,48.700001,48.02,48.299999,480400,48.299999
"2013-07-29",48.009998,48.91,48.009998,48.865002,454400,48.865002
"2013-07-30",48.875,49.310001,48.654999,48.924999,589600,48.924999
"2013-07-31",49.055,49.450001,48.805,48.994999,637400,48.994999
"2013-08-01",49.145,50.185001,49.145,49.595001,946000,49.595001
"2013-08-02",49.439999,49.794998,49.205002,49.455002,448800,49.455002
"2013-08-05",49.345001,49.68,49.044998,49.325001,362200,49.325001
"2013-08-06",49.209999,49.43,48.59,48.744999,696400,48.744999
"2013-08-07",48.610001,48.830002,48.365002,48.384998,425000,48.384998
"2013-08-08",48.5,48.685001,48.395,48.5,543000,48.5
"2013-08-09",48.509998,48.654999,48.27,48.419998,533800,48.419998
"2013-08-12",48.279999,48.575001,48.154999,48.525002,456000,48.525002
"2013-08-13",48.5,48.57,48.095001,48.5,510000,48.5
"2013-08-14",48.555,48.595001,48.139999,48.264999,389200,48.264999
"2013-08-15",47.875,48.080002,47.43,47.830002,402200,47.830002
"2013-08-16",47.709999,48.009998,47.525002,47.880001,324200,47.880001
"2013-08-19",47.740002,48.220001,47.740002,48,265600,48
"2013-08-20",48.060001,48.465,47.77,48.255001,405400,48.255001
"2013-08-21",48.029999,48.365002,47.904999,47.935001,385800,47.935001
"2013-08-22",48.154999,48.985001,48.044998,48.57,195400,48.57
"2013-08-23",48.755001,48.865002,48.285,48.645,313200,48.645
"2013-08-26",48.595001,49.174999,48.595001,48.82,251200,48.82
"2013-08-27",48.41,48.450001,47.474998,47.77,422400,47.77
"2013-08-28",47.669998,48.130001,47.34,47.639999,265000,47.639999
"2013-08-29",47.650002,47.904999,47.25,47.584999,315400,47.584999
"2013-08-30",47.424999,47.740002,46.849998,46.91,427200,46.91
"2013-09-03",47.130001,47.450001,46.044998,46.595001,910000,46.595001
"2013-09-04",46.544998,47.805,46.419998,47.669998,644000,47.669998
"2013-09-05",47,47.860001,47,47.625,328400,47.625
"2013-09-06",47.810001,48.125,47.244999,47.700001,338200,47.700001
