"dates","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2011-02-02",29.38975,29.94743,29.38975,29.600428,7871607,24.784224
"2011-02-03",29.637608,29.637608,28.894033,29.228642,5209275,24.472933
"2011-02-04",29.241034,29.73675,29.036552,29.680983,4313439,24.851665
"2011-02-07",29.77393,30.20768,29.674786,30.102341,4340229,25.204473
"2011-02-08",30.164305,30.405966,29.780125,30.381182,6880717,25.437943
"2011-02-09",28.4293,29.228642,28.373531,28.658567,25559162,23.995607
"2011-02-10",28.385925,28.962194,28.280584,28.887836,9606311,24.187574
"2011-02-11",28.763908,29.482697,28.708139,29.426928,6114472,24.638954
"2011-02-14",29.426928,29.557053,29.104713,29.185266,4788873,24.436609
"2011-02-15",29.011766,29.35257,28.695747,29.346375,6809709,24.571508
"2011-02-16",29.383553,29.711964,28.999372,29.290606,4895063,24.524809
"2011-02-17",29.154284,29.228642,28.937408,28.993176,5764916,24.275774
"2011-02-18",29.030355,29.358767,29.017962,29.185266,5478623,24.436609
"2011-02-22",28.838264,29.117105,28.472675,28.571817,6429814,23.922976
"2011-02-23",28.485067,28.547031,27.245777,27.784868,9407488,23.264069
"2011-02-24",27.716707,28.051315,27.518421,27.722904,6987230,23.212187
"2011-02-25",27.791065,28.014137,27.592779,27.995548,4034893,23.440466
"2011-02-28",28.00794,28.311567,27.828243,28.069906,4114293,23.502729
"2011-03-01",28.193834,28.311567,27.481243,27.561796,7506721,23.077291
"2011-03-02",27.481243,27.853029,27.351118,27.580387,5329990,23.092855
"2011-03-03",27.890209,28.292978,27.66094,28.088495,5985527,23.518293
"2011-03-04",28.13187,28.162853,27.586582,27.803459,6881363,23.279634
"2011-03-07",27.95837,28.169048,27.543207,27.964565,6202102,23.414528
"2011-03-08",27.970762,28.751514,27.902601,28.503656,4487410,23.865904
"2011-03-09",28.361139,28.608997,27.95837,28.584211,4871663,23.969826
"2011-03-10",28.144262,28.7763,27.592779,28.354942,6946077,23.777571
"2011-03-11",28.274389,28.98698,28.224817,28.832069,3704058,24.177677
"2011-03-14",28.701942,28.856855,28.026531,28.410709,4270673,23.824335
"2011-03-15",27.605171,28.751514,27.332529,28.559425,5844801,23.949043
"2011-03-16",28.447889,28.757711,27.933584,28.181442,6188385,23.632078
"2011-03-17",28.615192,29.011766,28.435495,28.652372,3172624,24.026989
"2011-03-18",29.154284,29.185266,28.745319,28.881639,4673969,24.219246
"2011-03-21",29.216249,29.953627,29.135695,29.854483,3763770,25.035038
"2011-03-22",29.904055,29.941233,29.327785,29.414536,3440036,24.666111
"2011-03-23",29.377356,29.526072,29.017962,29.414536,2154945,24.666111
"2011-03-24",29.625214,29.780125,29.321589,29.742947,3517661,24.941502
"2011-03-25",29.842091,30.077555,29.656197,29.854483,3057074,25.035038
"2011-03-28",29.866877,29.959822,29.680983,29.68718,2598586,24.894743
"2011-03-29",29.581839,29.891661,29.302999,29.842091,1795545,25.024643
"2011-03-30",29.928841,30.282038,29.910252,30.238663,3103068,25.357199
"2011-03-31",30.040377,30.201485,29.922644,29.935036,4152218,25.102585
"2011-04-01",30.114733,30.251055,29.848286,29.941233,3881095,25.107777
"2011-04-04",29.94743,29.972216,29.526072,29.711964,3130342,24.915529
"2011-04-05",29.594233,29.835894,29.346375,29.680983,2960083,24.889544
"2011-04-06",29.755339,29.811108,29.408339,29.631411,2627473,24.847973
"2011-04-07",30.065163,30.554682,29.966019,30.003197,6924936,25.159737
"2011-04-08",30.15811,30.238663,29.594233,29.730555,3581730,24.93111
"2011-04-11",29.749144,30.089949,29.724358,29.8235,3425673,25.009056
"2011-04-12",29.606625,29.742947,29.129498,29.166677,3781683,24.458265
"2011-04-13",29.315392,29.426928,28.86305,29.327785,3590445,24.593361
"2011-04-14",29.129498,29.185266,28.794889,28.9498,2957017,24.276394
"2011-04-15",28.9498,29.117105,28.683353,28.98698,4316344,24.307579
"2011-04-18",28.677158,28.708139,28.274389,28.621389,3302860,24.001007
"2011-04-19",28.658567,29.086123,28.658567,29.048944,2664591,24.359537
"2011-04-20",29.557053,30.548485,29.26582,30.257252,7096486,25.372786
"2011-04-21",30.560879,31.49654,30.560879,31.106165,7384231,26.084656
"2011-04-25",30.951254,31.192915,30.76536,31.093773,3332878,26.074266
"2011-04-26",31.738203,31.955078,31.211506,31.403593,5492664,26.334078
"2011-04-27",31.459362,31.614273,30.938862,31.471754,4608609,26.391228
"2011-04-28",31.397398,31.719612,31.316845,31.415987,2411059,26.344465
"2011-04-29",31.527523,31.651451,31.261076,31.292059,3134861,26.240543
"2011-05-02",31.248684,31.570898,31.000826,31.261076,4670095,26.214558
"2011-05-03",31.124754,31.614273,30.907879,31.310648,4513231,26.256134
"2011-05-04",31.304451,31.490345,30.876896,30.920273,4280356,25.928778
"2011-05-05",30.783951,31.298256,30.412163,30.517502,5173448,25.591022
"2011-05-06",30.938862,31.70722,30.864504,31.031809,5158924,26.022303
"2011-05-09",31.056593,31.775381,31.025612,31.521326,3724392,26.432798
"2011-05-10",31.564701,32.426006,31.527523,32.271095,5184261,27.061533
"2011-05-11",32.116184,32.258705,31.000826,31.205309,4505646,26.167803
"2011-05-12",31.124754,31.521326,30.622843,31.471754,3197477,26.391228
"2011-05-13",31.428379,31.564701,30.721985,31.056593,3778133,26.043085
"2011-05-16",30.901682,31.298256,30.728182,30.814932,3247183,25.840439
"2011-05-17",30.585663,30.641432,29.848286,30.021788,5724571,25.175335
"2011-05-18",30.089949,30.622843,29.65,30.492718,5108895,25.57024
"2011-05-19",30.573271,31.18672,30.573271,31.019415,4427053,26.011911
"2011-05-20",30.957451,31.106165,30.430752,30.474127,3711643,25.554657
"2011-05-23",29.978413,30.046572,29.594233,29.842091,2890366,25.024643
"2011-05-24",29.984608,30.170502,29.680983,29.922644,3363056,25.092196
"2011-05-25",29.711964,30.50511,29.656197,30.344002,3675171,25.445532
"2011-05-26",30.238663,30.467932,29.928841,30.399771,2257423,25.492298
"2011-05-27",30.567074,30.728182,30.344002,30.691004,1965320,25.736517
"2011-05-31",30.97604,31.013218,30.474127,30.920273,2999138,25.928778
"2011-06-01",30.71579,30.808737,29.395947,29.414536,4909910,24.666111
"2011-06-02",29.526072,29.928841,29.302999,29.575644,3367414,24.801212
"2011-06-03",29.104713,29.35257,28.925016,29.036552,2899242,24.349146
"2011-06-06",28.937408,29.315392,28.491264,28.621389,3640635,24.001007
"2011-06-07",28.906425,28.918819,28.379728,28.398317,3996968,23.81395
"2011-06-08",28.404514,28.404514,27.722904,27.772476,5657597,23.289131
"2011-06-09",27.859226,27.964565,27.710512,27.840637,5558669,23.346287
"2011-06-10",27.729101,27.803459,27.183813,27.320135,6123670,22.909817
"2011-06-13",27.344921,27.444065,26.489813,26.526991,7213004,22.244703
"2011-06-14",26.781046,27.36351,26.681902,27.227188,5626773,22.831867
"2011-06-15",26.849207,27.097063,26.526991,26.644724,4680424,22.404623
"2011-06-16",26.700491,27.183813,26.526991,27.035099,6019740,22.732876
"2011-06-17",27.351118,27.475046,26.904974,27.047491,5328860,22.743298
"2011-06-20",26.985529,27.128046,26.762455,27.097063,4824216,22.784973
"2011-06-21",27.220993,27.753887,27.171421,27.685726,3798467,23.279968
"2011-06-22",27.518421,27.902601,27.45026,27.499832,5325632,23.123653
"2011-06-23",27.078474,27.667137,26.774849,27.598976,9433309,23.207022
"2011-06-24",27.57419,27.685726,26.681902,26.725277,8355594,22.472353
