"dates","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2010-09-28",16.318787,16.58444,16.195446,16.537003,45909816,11.216606
"2010-09-29",16.508539,16.603416,16.404175,16.508539,44578192,11.1973
"2010-09-30",16.58444,16.603416,16.280834,16.290323,41796686,11.049288
"2010-10-01",16.366224,16.404175,16.233397,16.29981,37438923,11.055723
"2010-10-04",16.223909,16.318787,15.996205,16.034157,42861753,10.875536
"2010-10-05",16.233397,16.366224,16.185959,16.347248,47107476,11.087902
"2010-10-06",16.356735,16.489565,16.290323,16.375711,37615468,11.107205
"2010-10-07",16.489565,16.612904,16.432638,16.489565,40638340,11.184424
"2010-10-08",16.537003,16.603416,16.489565,16.565466,29542461,11.235909
"2010-10-11",16.565466,16.603416,16.404175,16.489565,23553316,11.184424
"2010-10-12",16.593927,16.641365,16.385199,16.58444,48353304,11.248779
"2010-10-13",16.688805,16.935484,16.641365,16.821632,51835404,11.409659
"2010-10-14",16.83112,16.91651,16.669828,16.755219,37103962,11.364612
"2010-10-15",16.878557,16.935484,16.717268,16.840607,41940557,11.422533
"2010-10-18",16.821632,16.954458,16.717268,16.888046,45003587,11.45471
"2010-10-19",16.745731,16.83112,16.366224,16.49905,51294596,11.190863
"2010-10-20",16.565466,16.840607,16.413662,16.755219,44846014,11.364612
"2010-10-21",16.726755,16.982922,16.63188,16.726755,80476273,11.345309
"2010-10-22",16.707781,16.745731,16.555977,16.603416,86454772,11.261651
"2010-10-25",16.669828,16.821632,16.660341,16.717268,70927138,11.338874
"2010-10-26",16.669828,16.698292,16.489565,16.593927,37335737,11.255215
"2010-10-27",16.508539,16.593927,16.290323,16.394688,47944984,11.120075
"2010-10-28",16.518026,16.698292,16.470589,16.669828,35846435,11.306698
"2010-10-29",16.669828,16.669828,16.404175,16.527514,42398836,11.21017
"2010-11-01",16.726755,16.925997,16.603416,16.717268,44173456,11.338874
"2010-11-02",16.736242,16.897533,16.366224,16.555977,73684191,11.229475
"2010-11-03",16.612904,16.755219,16.555977,16.688805,53214774,11.31957
"2010-11-04",16.679317,16.679317,16.404175,16.489565,61236135,11.30006
"2010-11-05",16.508539,16.58444,16.176472,16.29981,60584552,11.17003
"2010-11-08",16.185959,16.242884,16.053131,16.176472,39832136,11.085505
"2010-11-09",16.195446,16.271347,16.081594,16.119545,49052949,11.046495
"2010-11-10",16.081594,16.091082,15.796964,15.967742,56851917,10.942468
"2010-11-11",15.768501,16.138519,15.759013,16.110058,46638657,11.039993
"2010-11-12",15.97723,16.100569,15.901328,15.986717,43016375,10.955471
"2010-11-15",16.100569,16.148008,15.863378,15.891841,38413241,10.890452
"2010-11-16",15.768501,15.891841,15.664137,15.749526,45513301,10.792923
"2010-11-17",15.654649,15.806452,15.626186,15.635674,39887681,10.714906
"2010-11-18",15.702087,16.024668,15.702087,15.967742,30895797,10.942468
"2010-11-19",15.85389,15.967742,15.815939,15.939279,34485510,10.922958
"2010-11-22",15.806452,15.872865,15.654649,15.777989,34328569,10.812432
"2010-11-23",15.673624,15.872865,15.588235,15.721063,41797108,10.773419
"2010-11-24",15.73055,15.844402,15.721063,15.834915,24701544,10.851442
"2010-11-26",15.721063,15.768501,15.616698,15.645161,17370025,10.721406
"2010-11-29",15.56926,15.768501,15.417457,15.711575,41191269,10.766919
"2010-11-30",15.597723,15.626186,15.436433,15.464896,46149706,10.597876
"2010-12-01",15.645161,15.891841,15.578748,15.844402,47275589,10.857942
"2010-12-02",15.929791,15.948767,15.768501,15.834915,35408919,10.851442
"2010-12-03",15.863378,15.872865,15.749526,15.863378,43788219,10.870948
"2010-12-06",15.844402,16.233397,15.825427,15.948767,56194537,10.929466
"2010-12-07",16.062618,16.100569,15.882353,15.910816,65821878,10.903457
"2010-12-08",15.891841,16.015181,15.796964,15.863378,45157681,10.870948
"2010-12-09",15.920304,15.939279,15.740038,15.901328,33414962,10.896955
"2010-12-10",15.901328,16.185959,15.796964,16.148008,45247798,11.066001
"2010-12-13",16.280834,16.461102,16.185959,16.309298,49822475,11.176529
"2010-12-14",16.385199,16.413662,16.185959,16.233397,55037456,11.124515
"2010-12-15",16.176472,16.404175,16.176472,16.204933,40819101,11.105013
"2010-12-16",16.195446,16.337761,16.148008,16.337761,37704215,11.196034
"2010-12-17",16.223909,16.252373,16.119545,16.157495,54946601,11.0725
"2010-12-20",16.138519,16.375711,16.110058,16.290323,41833049,11.163527
"2010-12-21",16.337761,16.54649,16.271347,16.489565,53286235,11.30006
"2010-12-22",16.480076,16.660341,16.413662,16.660341,37572465,11.417097
"2010-12-23",16.650854,16.745731,16.641365,16.707781,22874224,11.449606
"2010-12-27",16.612904,16.650854,16.537003,16.593927,20816816,11.371585
"2010-12-28",16.58444,16.793169,16.555977,16.688805,31563084,11.436598
"2010-12-29",16.783682,16.793169,16.650854,16.698292,25014582,11.443102
"2010-12-30",16.603416,16.660341,16.555977,16.593927,31459265,11.371585
"2010-12-31",16.54649,16.688805,16.537003,16.612904,25123776,11.384586
"2011-01-03",16.793169,16.925997,16.717268,16.774195,34091103,11.495119
"2011-01-04",16.878557,17.077799,16.736242,17.068312,44323019,11.696674
"2011-01-05",16.992411,17.305504,16.944971,17.182163,68371926,11.774692
"2011-01-06",17.352942,17.390892,17.039848,17.248577,123138820,11.820204
"2011-01-07",17.258064,17.43833,17.077799,17.400379,137753584,11.924233
"2011-01-10",17.286528,17.400379,17.229603,17.324478,118517241,11.872221
"2011-01-11",17.248577,17.381405,17.201139,17.286528,34342482,11.846212
"2011-01-12",17.352942,17.457306,17.286528,17.428843,28908690,11.943736
"2011-01-13",17.400379,17.533207,17.210627,17.286528,48375016,11.846212
"2011-01-14",17.258064,17.409866,17.220114,17.400379,31712857,11.924233
"2011-01-18",17.409866,17.495256,17.352942,17.43833,32992308,11.950239
"2011-01-19",17.485769,17.542694,17.220114,17.381405,40238558,11.91123
"2011-01-20",17.381405,17.428843,17.096773,17.305504,53150269,11.859217
"2011-01-21",17.314991,17.43833,17.239088,17.419355,41885117,11.937239
"2011-01-24",17.390892,17.590134,17.371918,17.504744,66197208,11.995755
"2011-01-25",17.656546,17.798861,17.466793,17.52372,74160705,12.008757
"2011-01-26",17.647058,17.656546,17.419355,17.419355,57341711,11.937239
"2011-01-27",17.428843,17.56167,17.333965,17.533207,45091069,12.015255
"2011-01-28",17.580645,17.609108,17.210627,17.220114,49325408,11.800699
"2011-01-31",17.258064,17.390892,17.229603,17.286528,44307103,11.846212
"2011-02-01",17.542694,18.396584,17.514231,18.235294,141769535,12.496389
"2011-02-02",18.111954,18.225805,17.855787,17.988615,77096200,12.456966
"2011-02-03",17.893738,18.263758,17.703985,18.187857,69004221,12.594942
"2011-02-04",18.111954,18.311195,17.969639,18.311195,46017851,12.680352
"2011-02-07",18.282732,18.311195,18.017078,18.064516,42916350,12.509532
"2011-02-08",18.026566,18.197344,18.026566,18.178368,26593052,12.588371
"2011-02-09",18.102467,18.149904,17.884251,18.074003,35920952,12.516098
"2011-02-10",18.036053,18.074003,17.922201,18.055029,41079650,12.502959
"2011-02-11",17.751423,17.979128,17.666035,17.865274,44159227,12.371558
"2011-02-14",17.855787,18.08349,17.760912,18.074003,37640237,12.516098
"2011-02-15",17.988615,18.074003,17.8463,18.074003,39293015,12.516098
"2011-02-16",18.102467,18.320683,18.026566,18.292219,39449744,12.66721
"2011-02-17",18.235294,18.396584,18.045542,18.377609,45039317,12.726344
"2011-02-18",18.377609,18.377609,18.102467,18.206831,42730636,12.608082
"2011-02-22",17.912712,18.149904,17.760912,17.922201,65314483,12.410976
"2011-02-23",17.817837,17.903227,17.713472,17.798861,45480943,12.325561
"2011-02-24",17.8463,17.988615,17.713472,17.931688,43008048,12.417544
"2011-02-25",17.941175,17.988615,17.760912,17.893738,32831468,12.391265
"2011-02-28",17.979128,18.330172,17.931688,18.254269,52547170,12.640932
"2011-03-01",18.358635,18.491461,18.149904,18.159393,54639992,12.575231
"2011-03-02",18.197344,18.216318,17.998102,18.206831,48976745,12.608082
"2011-03-03",18.396584,18.823528,18.320683,18.757116,61992802,12.989145
"2011-03-04",18.709677,18.880455,18.529411,18.652752,53721221,12.916878
"2011-03-07",18.633776,18.652752,18.358635,18.605312,48172965,12.884026
"2011-03-08",18.624289,18.73814,18.481974,18.671726,39723047,12.930017
"2011-03-09",18.605312,18.690702,18.50095,18.652752,30742334,12.916878
"2011-03-10",18.548388,18.576851,18.349146,18.36812,45151463,12.719771
"2011-03-11",18.349146,18.548388,18.311195,18.472486,42162846,12.792043
"2011-03-14",18.45351,19.222012,18.45351,18.795067,178653000,13.015431
"2011-03-15",18.377609,18.842505,18.282732,18.747627,83471530,12.982577
"2011-03-16",18.633776,18.690702,18.16888,18.311195,73658685,12.680352
"2011-03-17",18.529411,18.918406,18.481974,18.861481,62159861,13.061421
"2011-03-18",19.165085,19.250475,18.946869,19.146111,84152730,13.258527
"2011-03-21",19.278936,19.335863,18.908918,18.956356,50203390,13.127121
"2011-03-22",18.927895,19.06072,18.804554,18.918406,48384186,13.100842
"2011-03-23",18.861481,18.965843,18.728653,18.899431,36327480,13.087698
"2011-03-24",18.975332,19.316889,18.795067,19.259962,52057692,13.337364
"2011-03-25",19.3074,19.449715,19.259962,19.3074,40498474,13.370214
"2011-03-28",19.373814,19.411764,19.165085,19.231499,30095494,13.317654
"2011-03-29",19.079697,19.354839,19.079697,19.335863,35652393,13.389925
"2011-03-30",19.440228,19.516129,19.269449,19.297913,40616944,13.36364
"2011-03-31",19.231499,19.468691,19.184061,19.269449,43272602,13.343938
"2011-04-01",19.3074,19.39279,19.212524,19.335863,29555741,13.389925
"2011-04-04",19.497154,19.554079,19.39279,19.487665,44705832,13.495047
"2011-04-05",19.440228,19.506641,19.335863,19.402277,33540810,13.435914
"2011-04-06",19.440228,19.478178,19.231499,19.250475,47601591,13.330791
"2011-04-07",19.240988,19.297913,19.117647,19.288425,46451783,13.357078
"2011-04-08",19.297913,19.497154,19.269449,19.411764,37154976,13.442492
"2011-04-11",19.497154,19.667933,19.43074,19.611006,39499809,13.580459
"2011-04-12",19.535105,19.686907,19.383303,19.411764,46458001,13.442492
"2011-04-13",19.487665,19.516129,19.288425,19.411764,31479818,13.442492
"2011-04-14",19.39279,19.554079,19.354839,19.440228,51137234,13.462195
"2011-04-15",19.497154,19.582542,19.297913,19.478178,52141907,13.488478
"2011-04-18",19.278936,19.411764,19.174574,19.354839,47891441,13.403067
"2011-04-19",19.269449,19.525618,19.203035,19.478178,34810458,13.488478
"2011-04-20",19.620493,19.810247,19.335863,19.34535,68271164,13.396499
"2011-04-21",19.421251,19.497154,18.121443,18.776091,146497146,13.00229
"2011-04-25",18.927895,19.136621,18.880455,19.108158,47490500,13.232239
"2011-04-26",19.127134,19.288425,18.975332,19.155598,38681800,13.265092
"2011-04-27",19.222012,19.686907,19.174574,19.573055,48427084,13.554177
"2011-04-28",19.59203,19.791271,19.573055,19.762808,36359206,13.685577
"2011-04-29",19.781784,19.981026,19.696396,19.895636,45849000,13.777565
"2011-05-02",20.056927,20.113852,19.886148,19.943073,40254473,13.810413
"2011-05-03",19.895636,19.924099,19.041746,19.39279,114748453,13.429348
"2011-05-04",19.383303,19.611006,19.297913,19.582542,53470579,13.560749
"2011-05-05",19.554079,19.611006,19.240988,19.34535,44522119,13.396499
"2011-05-06",19.440228,19.573055,19.354839,19.497154,35665990,13.50162
"2011-05-09",19.478178,19.67742,19.402277,19.544592,32666622,13.534465
"2011-05-10",19.62998,19.886148,19.601519,19.791271,35154694,13.705292
"2011-05-11",19.705881,19.772297,19.468691,19.554079,45363633,13.672123
"2011-05-12",19.620493,19.905123,19.525618,19.819735,37957386,13.857867
"2011-05-13",19.876659,19.914612,19.71537,19.848198,38654712,13.877769
"2011-05-16",19.772297,20.047438,19.71537,19.905123,48333594,13.917567
"2011-05-17",20,20.123341,19.905123,20.056927,61324355,14.023716
"2011-05-18",20.028463,20.104364,19.943073,20.094877,47371187,14.050249
"2011-05-19",20.151802,20.189753,19.848198,19.952562,49121354,13.950739
"2011-05-20",19.895636,19.962049,19.620493,19.62998,56460988,13.72519
"2011-05-23",19.440228,19.582542,19.354839,19.535105,41118753,13.658859
"2011-05-24",19.449715,19.62998,19.402277,19.468691,45292593,13.61242
"2011-05-25",19.3074,19.791271,19.3074,19.71537,44282124,13.784896
"2011-05-26",19.573055,19.905123,19.525618,19.829222,40595126,13.8645
"2011-05-27",19.886148,19.971537,19.71537,19.857685,29362121,13.884405
"2011-05-31",19.924099,20.351044,19.914612,20.351044,58351653,14.229354
"2011-06-01",20.246679,20.351044,19.905123,19.971537,48653694,13.964005
"2011-06-02",19.952562,20.047438,19.791271,19.924099,33254649,13.93084
"2011-06-03",19.601519,19.981026,19.601519,19.772297,37880655,13.824701
