"dates","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2015-07-31",152.529999,152.809998,151.029999,151.339996,1619600,128.035431
"2015-08-03",150.789993,151.779999,148.940002,150.119995,2355100,127.003311
"2015-08-04",150.929993,151.539993,150.110001,150.399994,1811900,127.240211
"2015-08-05",151.850006,153.240005,150.919998,151.009995,1765600,127.756241
"2015-08-06",150.889999,151.220001,148.899994,149.259995,1764800,126.275764
"2015-08-07",148.479996,150,148.160004,148.889999,1668700,125.962738
"2015-08-10",150,151.399994,149.889999,151.240005,1571800,127.950829
"2015-08-11",150,150,148.259995,148.479996,1810800,125.615852
"2015-08-12",147.240005,148.710007,146.070007,148.520004,2036700,125.649696
"2015-08-13",148,148.559998,147.080002,147.399994,1793100,124.702171
"2015-08-14",147.660004,148.509995,147.320007,148.279999,1401900,125.446655
"2015-08-17",147.429993,149.309998,146.360001,149.240005,1648900,126.258812
"2015-08-18",148.630005,148.919998,147.880005,148.309998,1705500,125.472054
"2015-08-19",146.199997,147.550003,145.279999,145.869995,2525700,124.266602
"2015-08-20",144.509995,144.869995,143.339996,143.350006,3281700,122.119812
"2015-08-21",143.520004,145.320007,141.919998,142.089996,5442000,121.046425
"2015-08-24",137.119995,142.089996,134,138.580002,7359500,118.056282
"2015-08-25",141.860001,142.059998,137.389999,137.639999,5435900,117.255447
"2015-08-26",140,142.789993,138.529999,142.720001,4562200,121.583107
"2015-08-27",143.75,144.949997,141.330002,143.899994,4104600,122.588394
"2015-08-28",143.020004,144.320007,142.800003,144.210007,2664100,122.852455
"2015-08-31",143,143.830002,142.020004,142.139999,2514900,121.089005
"2015-09-01",139.479996,140.490005,137.940002,138.5,3671400,117.988052
"2015-09-02",140.539993,141.240005,139.240005,141.240005,3312700,120.322304
"2015-09-03",141.940002,142.899994,141.309998,141.740005,2606200,120.748253
"2015-09-04",139.940002,140.669998,139.160004,139.839996,3195800,119.129631
"2015-09-08",142.050003,143.550003,141.520004,143.429993,2432900,122.187973
"2015-09-09",144.860001,145.350006,140.570007,140.860001,2642800,119.998589
"2015-09-10",141,141.910004,140.149994,140.779999,2031200,119.930435
"2015-09-11",140.610001,141.330002,139.770004,141.259995,2505200,120.339333
"2015-09-14",141.520004,141.580002,140.029999,140.809998,2277200,119.955986
"2015-09-15",141.559998,143.839996,141.039993,143.600006,2690800,122.332787
"2015-09-16",143.509995,144.460007,143.210007,144.199997,2060300,122.843964
"2015-09-17",143.809998,145.550003,142.520004,142.949997,2855100,121.779045
"2015-09-18",141.169998,141.300003,139.210007,139.619995,6526000,118.942261
"2015-09-21",140.5,141.080002,139.350006,140.039993,2492600,119.300034
"2015-09-22",138.270004,138.509995,137.25,138.020004,2775300,117.579201
"2015-09-23",138.529999,138.899994,136.860001,137.660004,2684500,117.272514
"2015-09-24",136.630005,138.029999,135.389999,137.580002,2690300,117.204361
"2015-09-25",139.619995,140.119995,138.570007,139.559998,3767200,118.891113
"2015-09-28",138.300003,139.699997,138.300003,138.380005,3468900,117.88588
"2015-09-29",138.619995,142.160004,138.429993,141.550003,4946000,120.586403
"2015-09-30",142.520004,143.229996,140.5,141.770004,3619300,120.773811
"2015-10-01",142.210007,142.5,139.580002,140.800003,2486300,119.947464
"2015-10-02",139.080002,143.300003,138.570007,143.199997,3064400,121.992043
"2015-10-05",144.300003,146.600006,143.630005,146.320007,2987200,124.649956
"2015-10-06",145.990005,146.639999,145.399994,145.789993,2256800,124.198456
"2015-10-07",146.740005,148.539993,146.130005,147.539993,1954000,125.689255
"2015-10-08",146.649994,149.559998,146.589996,149.479996,2008800,127.341934
"2015-10-09",149.559998,150.649994,149.300003,149.899994,2294000,127.699768
"2015-10-12",150.259995,150.559998,149.539993,150.059998,1429300,127.836052
"2015-10-13",148.910004,150,148.729996,149.110001,2027600,127.026764
"2015-10-14",149,149.660004,148.179993,148.320007,2260300,126.35376
"2015-10-15",149.639999,149.880005,148.020004,149.190002,2588500,127.094925
"2015-10-16",149.770004,149.779999,147.479996,148.699997,2490300,126.67746
"2015-10-19",147.970001,148.419998,147.229996,148,2004200,126.081161
"2015-10-20",147.449997,149.669998,147.130005,149.110001,2409300,127.026764
"2015-10-21",149.5,151.389999,148.899994,149.820007,3009900,127.631615
"2015-10-22",151.339996,157.039993,150.649994,156,5111900,132.896362
"2015-10-23",156.539993,157.190002,154.5,155.789993,2997400,132.717453
"2015-10-26",156.059998,156.759995,155.639999,156.539993,2136100,133.356415
"2015-10-27",156,157,155.080002,156.729996,1970100,133.518234
"2015-10-28",156.490005,158.330002,156.199997,158.080002,2724700,134.668304
"2015-10-29",157.75,157.910004,156.880005,157.610001,1484600,134.267929
"2015-10-30",157.800003,158.679993,157.210007,157.210007,2672100,133.927155
"2015-11-02",157.509995,160.089996,157.339996,159.919998,2701800,136.235809
"2015-11-03",159.479996,159.800003,158.669998,158.75,2972800,135.239044
"2015-11-04",159,159.479996,158.610001,158.910004,2254000,135.375397
"2015-11-05",159.380005,159.580002,158.270004,158.990005,2023900,135.443512
"2015-11-06",158.020004,159.259995,157.729996,159.259995,1860000,135.673553
"2015-11-09",158.669998,158.669998,156.75,157.470001,2421000,134.148636
"2015-11-10",157.229996,157.639999,156.429993,157.589996,1962900,134.250854
