"dates","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2011-03-01",173.050003,174.360001,169.5,171.210007,214200,171.210007
"2011-03-02",171.139999,173.639999,169.779999,170.559998,142600,170.559998
"2011-03-03",172.520004,176.160004,172.110001,175.539993,159200,175.539993
"2011-03-04",174.880005,177.389999,174.369995,177.070007,149800,177.070007
"2011-03-07",175.300003,177,171.029999,171.770004,173900,171.770004
"2011-03-08",172.639999,177.160004,172,174.729996,154800,174.729996
"2011-03-09",174.550003,175.75,172.309998,174.720001,114300,174.720001
"2011-03-10",172.320007,172.720001,169.210007,171.050003,105500,171.050003
"2011-03-11",169.960007,171.690002,169.149994,170.380005,83300,170.380005
"2011-03-14",168.910004,170.199997,166.729996,168.350006,118500,168.350006
"2011-03-15",165.589996,167.160004,161.729996,165.830002,241100,165.830002
"2011-03-16",164.5,167.699997,163.080002,163.880005,187300,163.880005
"2011-03-17",165.679993,166.990005,164,164.789993,101800,164.789993
"2011-03-18",166.529999,168.559998,162.979996,165.550003,171400,165.550003
"2011-03-21",168.029999,172.910004,168.029999,172.25,154200,172.25
"2011-03-22",172.240005,173.350006,170.050003,171.960007,100300,171.960007
"2011-03-23",171.190002,172.889999,170.059998,171.710007,90100,171.710007
"2011-03-24",172.740005,173.289993,166.990005,170.169998,246800,170.169998
"2011-03-25",170.789993,175.350006,169.979996,172.059998,158700,172.059998
"2011-03-28",172.639999,173.179993,169.350006,169.380005,164600,169.380005
"2011-03-29",170.080002,171.139999,168.639999,170.809998,141800,170.809998
"2011-03-30",171.270004,172.339996,170.520004,170.929993,165200,170.929993
"2011-03-31",170.470001,172.240005,170.470001,172,115200,172
"2011-04-01",172,172.720001,169.570007,172.169998,154600,172.169998
"2011-04-04",173,173.539993,170.889999,172.559998,90500,172.559998
"2011-04-05",171.949997,176.929993,171,175.490005,141400,175.490005
"2011-04-06",176.220001,176.990005,174.399994,175.669998,105500,175.669998
"2011-04-07",175.869995,176.619995,174.149994,174.839996,81600,174.839996
"2011-04-08",175.919998,175.919998,172.789993,173.880005,71600,173.880005
"2011-04-11",174.309998,175.220001,172.289993,173.399994,46700,173.399994
"2011-04-12",172.529999,173.320007,169.490005,170.440002,121300,170.440002
"2011-04-13",170.869995,172.910004,169.660004,172.600006,103700,172.600006
"2011-04-14",171.360001,172.550003,169.509995,169.809998,109200,169.809998
"2011-04-15",169.740005,171.059998,169.199997,170.710007,143900,170.710007
"2011-04-18",168,168.149994,164.220001,167.160004,132400,167.160004
"2011-04-19",167.149994,169.210007,166.309998,167.270004,117500,167.270004
"2011-04-20",169.949997,174.979996,169.860001,174.199997,131700,174.199997
"2011-04-21",174.669998,177.460007,174.259995,176.559998,86300,176.559998
"2011-04-25",175.869995,176.679993,172.369995,174.600006,70900,174.600006
"2011-04-26",176.169998,182.320007,175.229996,180.889999,249400,180.889999
"2011-04-27",181.360001,183.759995,180.190002,183.740005,247200,183.740005
"2011-04-28",183.589996,184.559998,183.419998,183.869995,120400,183.869995
"2011-04-29",184,188.380005,182.830002,187.399994,219000,187.399994
"2011-05-02",188.639999,193.559998,186.979996,191.949997,353100,191.949997
"2011-05-03",191.699997,192.580002,187.899994,189.169998,395800,189.169998
"2011-05-04",187.960007,190.130005,185.020004,187.639999,361800,187.639999
"2011-05-05",185.5,186.830002,172.009995,173.460007,872500,173.460007
"2011-05-06",182.539993,182.570007,172.589996,173.300003,262300,173.300003
"2011-05-09",172.600006,175.800003,172.070007,174.850006,156000,174.850006
"2011-05-10",175.160004,179.070007,175.020004,178.660004,207000,178.660004
"2011-05-11",177.529999,179.080002,174.570007,176.350006,138200,176.350006
"2011-05-12",175.5,176.619995,174.130005,175.800003,132000,175.800003
"2011-05-13",176.419998,176.479996,172.899994,173.789993,105600,173.789993
"2011-05-16",173.369995,175.009995,172.009995,173.199997,121100,173.199997
"2011-05-17",171.539993,172.070007,168,169.289993,172900,169.289993
"2011-05-18",169.729996,171.869995,169.729996,170.75,195800,170.75
"2011-05-19",172.229996,172.979996,168.240005,171.529999,175300,171.529999
"2011-05-20",170.690002,171.300003,167.479996,167.979996,179000,167.979996
"2011-05-23",164.889999,166.619995,161.309998,164.839996,226800,164.839996
"2011-05-24",165.419998,165.699997,161.880005,162.660004,148800,162.660004
"2011-05-25",161.440002,163.639999,161.119995,163.289993,142500,163.289993
"2011-05-26",162.309998,164.919998,162.199997,164.619995,62300,164.619995
"2011-05-27",165.440002,166.429993,163.929993,166.100006,93100,166.100006
"2011-05-31",167.520004,168.839996,165.910004,167.369995,151800,167.369995
"2011-06-01",167.580002,167.75,161.050003,161.440002,223200,161.440002
"2011-06-02",161.929993,163.070007,161.229996,161.860001,150600,161.860001
"2011-06-03",159.080002,160.729996,158.619995,158.970001,144600,158.970001
"2011-06-06",158.389999,159.5,156.860001,157.130005,98600,157.130005
"2011-06-07",157.860001,159.100006,155.839996,158.070007,152000,158.070007
"2011-06-08",157.240005,159.330002,156.550003,158.710007,160200,158.710007
"2011-06-09",160,161.630005,159.990005,160.850006,265600,160.850006
"2011-06-10",159.770004,161.240005,158.110001,158.660004,202400,158.660004
"2011-06-13",159.039993,160.179993,157.300003,157.639999,226300,157.639999
"2011-06-14",160.179993,161.470001,160.149994,160.429993,180800,160.429993
"2011-06-15",158.619995,160.440002,156.869995,158.550003,158600,158.550003
"2011-06-16",160.009995,161.600006,158.289993,159.929993,350100,159.929993
"2011-06-17",161.509995,161.509995,158.240005,158.759995,197600,158.759995
"2011-06-20",157.889999,160.330002,157.889999,160.070007,141200,160.070007
"2011-06-21",161,164.399994,160.820007,163.360001,104400,163.360001
"2011-06-22",163.410004,163.860001,161.929993,162.009995,95700,162.009995
