"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2013-05-21",32.400002,32.400002,31.23,31.709999,295800,30.117731
"2013-05-22",32.25,34.84,31.870001,32.540001,876400,30.906054
"2013-05-23",31.98,34.299999,31.52,33.27,609700,31.599398
"2013-05-24",33.389999,34.669998,32.77,34.32,792300,32.596672
"2013-05-28",34.77,35.91,34.310001,34.950001,383300,33.195038
"2013-05-29",34.810001,35.310001,34.310001,34.959999,230000,33.204533
"2013-05-30",34.779999,35.650002,34.400002,34.950001,355500,33.195038
"2013-05-31",34.630001,35.23,33.669998,33.77,596800,32.074291
"2013-06-03",33.66,34.75,32.880001,34.599998,338800,32.86261
"2013-06-04",34.619999,35.43,33.599998,34.080002,175200,32.368721
"2013-06-05",34.27,34.68,33.82,33.939999,165100,32.235752
"2013-06-06",33.880001,35.869999,33.610001,34.580002,110100,32.843616
"2013-06-07",34.849998,35.639999,34.150002,35.450001,135000,33.669926
"2013-06-10",34.560001,35.560001,33.5,34.740002,234400,32.995586
"2013-06-11",34.560001,35.240002,34.18,34.459999,123300,32.729645
"2013-06-12",34.75,35.040001,34.189999,34.43,65700,32.701145
"2013-06-13",34.540001,35.299999,33.419998,34.970001,282100,33.214031
"2013-06-14",34.959999,35.630001,34.599998,34.889999,145900,33.138046
"2013-06-17",35.240002,35.279999,33.790001,34.450001,186800,32.72015
"2013-06-18",33.849998,35.470001,33.200001,35.009998,611200,33.252026
"2013-06-19",35.240002,35.48,34.150002,34.610001,3342600,32.872112
"2013-06-20",34.310001,34.310001,32.470001,32.639999,642000,31.001028
"2013-06-21",32.799999,33.509998,31.6,33.150002,1297800,31.485424
"2013-06-24",32.91,32.91,30.76,32.02,797600,30.412163
"2013-06-25",32.59,33.349998,31.49,32.919998,406000,31.266972
"2013-06-26",33.240002,33.73,32.990002,33.650002,325100,31.960321
"2013-06-27",33.709999,33.77,32.959999,33.060001,290800,31.399944
"2013-06-28",33.150002,33.68,32.610001,33.32,902100,31.646885
"2013-07-01",33.490002,34.650002,33.419998,34.27,245100,32.549183
"2013-07-02",34.110001,34.68,33.509998,34.560001,119600,32.824623
"2013-07-03",34.529999,36.240002,34.200001,35.200001,192200,33.432484
"2013-07-05",35.740002,36.220001,34.75,35.889999,224700,34.087837
"2013-07-08",36.07,37.799999,35.639999,36.099998,498600,34.287292
"2013-07-09",36.450001,36.93,35.790001,36.5,280100,34.66721
"2013-07-10",36.540001,37.25,35.82,37.16,284000,35.294067
"2013-07-11",38.130001,38.130001,37.330002,37.599998,320000,35.711971
"2013-07-12",37.389999,37.669998,36.23,37.25,117800,35.379547
"2013-07-15",37.200001,37.830002,36.23,37.27,243200,35.39854
"2013-07-16",37.18,37.91,36.619999,37.709999,213300,35.816448
"2013-07-17",37.189999,38.869999,37.189999,37.66,207500,35.768963
"2013-07-18",37.549999,39.450001,37.459999,38.080002,294500,36.16787
"2013-07-19",38.150002,39.799999,37.369999,39.360001,348100,37.383602
"2013-07-22",39.110001,39.610001,38.549999,39.470001,150900,37.488071
"2013-07-23",39.900002,40,38.669998,38.790001,182500,36.84222
"2013-07-24",38.919998,39.009998,37.07,37.41,252800,35.531506
"2013-07-25",37.259998,38.240002,37.099998,37.75,222700,35.854446
"2013-07-26",37.5,39.139999,37.150002,37.470001,244100,35.588509
"2013-07-29",37.5,37.82,36.950001,37.669998,82200,35.778454
"2013-07-30",37.77,37.889999,36.779999,37.830002,137400,35.930424
"2013-07-31",37.959999,39.299999,37.299999,38.18,149800,36.262848
"2013-08-01",39.279999,43.400002,39.279999,42.610001,973200,40.470406
"2013-08-02",42.439999,43.52,41.599998,42.650002,509800,40.508396
"2013-08-05",42.57,44.110001,42.41,43.099998,419500,40.935802
"2013-08-06",42.98,43.09,40.919998,42.200001,308400,40.080986
"2013-08-07",43.77,43.84,41.32,42.240002,421900,40.118984
"2013-08-08",42.279999,43.549999,41.799999,42.09,324700,39.976517
"2013-08-09",42.099998,42.689999,41.93,42.240002,219000,40.118984
"2013-08-12",42.02,42.5,41,42.080002,250300,39.967018
"2013-08-13",42.049999,43.48,41.700001,42.09,366000,39.976517
"2013-08-14",41.900002,42.029999,40.330002,40.450001,974100,38.418865
"2013-08-15",40.25,40.700001,39.5,39.790001,2670400,37.792004
"2013-08-16",39.880001,40.970001,39.5,40.5,547800,38.466351
"2013-08-19",40.5,40.599998,39.34,39.349998,194700,37.374104
"2013-08-20",39.27,39.720001,38.450001,39.279999,254900,37.307613
"2013-08-21",39.200001,40.310001,38.099998,39.220001,228600,37.250629
"2013-08-22",39.32,39.919998,38.860001,39.349998,233800,37.374104
"2013-08-23",39.509998,40.450001,38.790001,40.119999,689700,38.105434
"2013-08-26",40.330002,41.25,39.549999,40,352200,37.991455
"2013-08-27",39.57,40.91,39.169998,39.889999,276200,37.886982
"2013-08-28",40.139999,41.75,40.099998,41.5,389600,39.416138
"2013-08-29",41.279999,41.459999,40.139999,40.439999,476200,38.409367
"2013-08-30",40.5,41.009998,39.419998,40.240002,397100,38.219414
"2013-09-03",40.810001,41.810001,40.810001,41.66,338000,39.568111
"2013-09-04",42.709999,44.380001,42.060001,43.349998,1078600,41.173241
"2013-09-05",43.630001,44.299999,43.27,43.619999,268500,41.429684
"2013-09-06",43.939999,43.990002,42.919998,43.419998,403800,41.239723
"2013-09-09",43.599998,44.490002,43.509998,44.32,284600,42.094532
"2013-09-10",44.509998,45,43.73,44.380001,270300,42.151524
"2013-09-11",44.380001,45.799999,44.150002,45.529999,322800,43.243778
"2013-09-12",45.68,46.900002,45.299999,46.630001,451900,44.288551
"2013-09-13",46.82,47.220001,45.880001,46,591000,43.690182
"2013-09-16",46.470001,46.509998,44.380001,44.82,492400,42.569427
"2013-09-17",44.849998,45.450001,44.07,44.59,583900,42.350975
"2013-09-18",45.049999,45.380001,43.740002,44.669998,441400,42.426964
"2013-09-19",44.700001,45.09,43.360001,44.02,264600,41.809601
"2013-09-20",43.970001,44.509998,41.880001,42.779999,1209100,40.631863
"2013-09-23",42.509998,43.75,42.32,43.549999,562300,41.363201
"2013-09-24",44.25,44.639999,43.5,43.630001,449400,41.43919
"2013-09-25",43.84,44.119999,43.349998,43.759998,245900,41.562653
"2013-09-26",42.810001,44.060001,42.810001,43.98,331100,41.771606
"2013-09-27",43.560001,43.759998,42.860001,43.150002,283100,40.983288
"2013-09-30",42.470001,43.18,42.040001,42.639999,307800,40.498901
"2013-10-01",42.610001,43.790001,42.610001,43.419998,332100,41.239723
"2013-10-02",43.099998,43.860001,42.18,43.220001,491400,41.04977
"2013-10-03",43.25,44.080002,42.25,43.830002,359300,41.629147
"2013-10-04",43.82,47.360001,43.68,46.009998,646600,43.699677
"2013-10-07",45.450001,46.709999,45.150002,45.759998,353800,43.462227
"2013-10-08",45.740002,45.970001,43.450001,44.560001,830300,42.322483
"2013-10-09",44.669998,44.93,43.02,43.380001,427500,41.20174
"2013-10-10",43.939999,44.919998,43.470001,43.68,350100,41.486671
"2013-10-11",43.419998,45.310001,43.23,44.700001,475300,42.45546
"2013-10-14",44.5,46.650002,43.919998,46.52,474000,44.184071
"2013-10-15",46.470001,48.32,45.470001,46.849998,619400,44.497498
"2013-10-16",47.18,50.48,47.18,49.52,795200,47.033428
"2013-10-17",49.450001,50.380001,48.549999,50.18,460600,47.660286
"2013-10-18",50.639999,52.389999,50.25,52.18,800100,49.55986
"2013-10-21",51.790001,54.169998,51.049999,52.75,863800,50.101242
"2013-10-22",53.369999,53.959999,50.169998,50.32,643500,47.793255
"2013-10-23",50.049999,50.060001,46.279999,49.099998,1767500,46.634518
"2013-10-24",49.439999,54.07,49.119999,54,1302500,51.288464
"2013-10-25",54.73,56.16,53.009998,53.32,772000,50.642609
"2013-10-28",53.73,54.810001,52.759998,53.52,505500,50.832577
"2013-10-29",54.200001,54.790001,52.939999,54.07,488200,51.35495
"2013-10-30",54,54.669998,53.25,53.709999,733800,51.013027
"2013-10-31",53.5,53.5,49.509998,51.650002,1503800,49.056477
"2013-11-01",51.419998,51.950001,48.189999,50.639999,910200,48.097187
"2013-11-04",50.919998,53.48,49.880001,53.16,1067700,50.490654
