"dates","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2011-06-07",142.300003,143,136.070007,136.089996,3236200,97.26973
"2011-06-08",136.190002,137.770004,134.139999,134.600006,2777300,96.204765
"2011-06-09",134.580002,135.699997,133.699997,135.199997,2180900,96.633621
"2011-06-10",134.419998,134.839996,131.289993,131.990005,2271700,94.339279
"2011-06-13",132.130005,133.440002,128.559998,129.779999,2352600,92.759682
"2011-06-14",132.5,133.839996,131.429993,133.059998,1423900,95.10405
"2011-06-15",131.309998,133.169998,129.520004,130.369995,1533200,93.181389
"2011-06-16",129.839996,131.460007,128.149994,129.949997,1940000,92.881172
"2011-06-17",132.720001,133.479996,129.279999,129.399994,2120900,92.488098
"2011-06-20",129.25,133,128.410004,132.270004,1789700,94.539413
"2011-06-21",132.639999,136.809998,132.149994,135.429993,1675400,96.798004
"2011-06-22",134.580002,136.419998,132.940002,133.070007,1153900,95.111221
"2011-06-23",131.399994,132.910004,128.910004,132.850006,1931400,94.953972
"2011-06-24",132.899994,133.199997,130.220001,131.330002,1330600,93.867531
"2011-06-27",130.820007,135.199997,130.289993,134.300003,1539400,95.990349
"2011-06-28",135,139.949997,135,139.429993,1965300,99.65699
"2011-06-29",141.179993,142,138.910004,140.210007,1772900,100.214478
"2011-06-30",141,145.880005,140.449997,143.539993,2006900,102.594597
"2011-07-01",144.520004,150.529999,143.539993,149.570007,2573700,106.904518
"2011-07-05",149.869995,151.440002,148.410004,151.160004,1548900,108.040955
"2011-07-06",150.990005,154.149994,150.199997,153.289993,1790500,109.563377
"2011-07-07",155.139999,159.169998,155.130005,157.490005,1929200,112.565308
"2011-07-08",155.440002,161.740005,154.660004,161.149994,2194200,115.181267
"2011-07-11",159.169998,160.610001,155.960007,156.809998,2006100,112.079254
