"dates","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2011-05-12",169.649994,172.770004,168.649994,172.240005,5138500,123.663986
"2011-05-13",171.699997,172.149994,169.440002,169.919998,5167400,121.998245
"2011-05-16",169.809998,170.639999,168.309998,168.860001,4662200,121.237221
"2011-05-17",167.850006,171.410004,166.529999,170.5,8773200,122.414711
"2011-05-18",170.100006,171.190002,169.460007,170.440002,4154300,122.371605
"2011-05-19",170.860001,171.399994,169.320007,170.589996,3538300,122.479301
"2011-05-20",170.399994,171.149994,169.380005,170.160004,4869900,122.170601
"2011-05-23",168.580002,168.690002,167.070007,168.259995,5144000,120.806458
"2011-05-24",168.5,168.669998,167.509995,167.990005,4643600,120.612579
"2011-05-25",167.630005,168.399994,167.509995,167.75,3882100,120.440247
"2011-05-26",167.460007,167.5,165.899994,167.179993,5771300,120.031021
"2011-05-27",167.910004,168.470001,167,167.5,3277600,120.260796
"2011-05-31",168.440002,169.889999,167.820007,168.929993,9123400,121.287491
"2011-06-01",168.899994,169.580002,166.5,166.559998,5134600,119.585884
"2011-06-02",166.440002,167.100006,165.710007,166.089996,3854100,119.248413
"2011-06-03",164.300003,165.889999,164.130005,165.050003,5230500,118.501732
"2011-06-06",164.759995,165.580002,164.270004,164.75,3619700,118.286316
"2011-06-07",165.110001,165.240005,163.610001,163.690002,4187000,117.525299
"2011-06-08",163.270004,164.850006,163.259995,164.339996,3850800,117.991982
"2011-06-09",165.009995,165.960007,164.759995,164.839996,4299800,118.350945
"2011-06-10",164.570007,164.839996,162.869995,163.179993,4683300,117.159134
"2011-06-13",164.440002,164.460007,162.729996,163.169998,5099200,117.151939
"2011-06-14",163.869995,164.570007,163.649994,164.119995,7050000,117.834015
"2011-06-15",162.75,163.410004,161.520004,162.330002,5225600,116.548828
"2011-06-16",162.059998,163.630005,161.779999,162.669998,4861100,116.792946
"2011-06-17",164.240005,165.100006,163.580002,164.440002,7149700,118.063812
"2011-06-20",163.699997,165.610001,163.589996,165.020004,3956100,118.480225
"2011-06-21",165.199997,166.75,164,166.220001,5387300,119.341751
"2011-06-22",165.589996,166.809998,165.100006,165.679993,3960500,118.954063
"2011-06-23",164.059998,166.729996,163.800003,166.119995,5271500,119.269974
"2011-06-24",165.850006,165.940002,164.570007,165.070007,4402600,118.516098
"2011-06-27",165.740005,168.240005,165.210007,167.619995,4446700,120.346947
"2011-06-28",168.330002,170.699997,168.009995,170.009995,4850000,122.062874
"2011-06-29",170.610001,170.860001,169.820007,170.539993,3817100,122.443474
"2011-06-30",171.110001,172.449997,170.75,171.550003,5105200,123.168564
"2011-07-01",171.610001,174.649994,171.490005,174.539993,5181700,125.315315
