"dates","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2012-08-27",16.645,16.758333,16.533333,16.709999,2731200,16.709999
"2012-08-28",16.666668,16.911667,16.478333,16.846666,5703000,16.846666
"2012-08-29",16.85,17.193333,16.775,16.969999,4996200,16.969999
"2012-08-30",16.933332,17.096666,16.764999,17,4263600,17
"2012-08-31",17.111668,17.165001,16.876667,17.018333,3054600,17.018333
"2012-09-04",16.946667,17.495001,16.946667,17.373333,4312800,17.373333
"2012-09-05",17.356667,17.486668,17.176666,17.325001,3407400,17.325001
"2012-09-06",17.511667,17.908333,17.461666,17.803333,6316800,17.803333
"2012-09-07",17.83,18.173332,17.643333,18.136667,10404000,18.136667
"2012-09-10",18.223333,18.313334,17.879999,17.886667,2511600,17.886667
"2012-09-11",17.918333,17.998333,17.65,17.665001,3990600,17.665001
"2012-09-12",17.684999,17.786667,17.606667,17.608334,7287600,17.608334
"2012-09-13",17.6,17.73,17.533333,17.540001,7831800,17.540001
"2012-09-14",17.66,17.700001,17.466667,17.516666,4086000,17.516666
"2012-09-17",17.426666,17.491667,17.288334,17.333332,9656400,17.333332
"2012-09-18",17.225,17.530001,17.225,17.333332,5849400,17.333332
"2012-09-19",17.35,17.469999,17.306667,17.331667,6604800,17.331667
"2012-09-20",17.283333,17.333332,17.088333,17.248333,4044000,17.248333
"2012-09-21",17.405001,17.709999,17.365,17.641666,6719400,17.641666
"2012-09-24",17.551666,17.59,17.318333,17.398333,2751000,17.398333
"2012-09-25",17.478333,17.625,17.385,17.403334,2607000,17.403334
"2012-09-26",17.351667,17.415001,17.135,17.146667,2970600,17.146667
"2012-09-27",17.129999,17.684999,17.081667,17.586666,3757800,17.586666
"2012-09-28",17.566668,17.985001,17.475,17.895,7179000,17.895
"2012-10-01",17.888332,18.218332,17.809999,17.961666,4104600,17.961666
"2012-10-02",17.991667,18.25,17.931667,18.004999,2697000,18.004999
"2012-10-03",18.088333,18.243334,17.924999,18.228333,3548400,18.228333
"2012-10-04",18.286667,18.465,18.196667,18.291668,2273400,18.291668
"2012-10-05",18.313334,18.328333,18.040001,18.075001,2641200,18.075001
"2012-10-08",18.055,18.068333,17.790001,17.901667,4595400,17.901667
"2012-10-09",14.926667,14.931667,14.095,14.1,53204400,14.1
"2012-10-10",13.885,14.706667,13.836667,14.635,22683000,14.635
"2012-10-11",14.676667,14.803333,14.315,14.363333,8347200,14.363333
"2012-10-12",14.38,14.645,14.36,14.516667,8302200,14.516667
"2012-10-15",14.608333,14.658333,14.361667,14.548333,6338400,14.548333
"2012-10-16",14.645,14.793333,14.556667,14.791667,5152200,14.791667
"2012-10-17",14.895,14.895,14.563333,14.633333,5392200,14.633333
"2012-10-18",14.595,14.628333,14.44,14.456667,5866200,14.456667
"2012-10-19",14.43,14.77,14.203333,14.356667,17517600,14.356667
"2012-10-22",14.228333,14.42,13.548333,14.418333,12990600,14.418333
"2012-10-23",14.295,14.315,13.668333,14.176667,8959800,14.176667
"2012-10-24",14.283333,14.416667,14.123333,14.37,6318600,14.37
"2012-10-25",14.6,14.6,14.301667,14.498333,5670600,14.498333
"2012-10-26",14.47,14.575,14.363333,14.525,4627200,14.525
"2012-10-31",14.501667,14.591667,14.298333,14.471667,6672600,14.471667
"2012-11-01",14.513333,14.598333,14.323333,14.595,3658800,14.595
"2012-11-02",14.561667,14.785,14.543333,14.638333,5591400,14.638333
"2012-11-05",14.453333,14.901667,14.443333,14.9,4417200,14.9
"2012-11-06",14.906667,15.113333,14.831667,15.008333,4459200,15.008333
"2012-11-07",14.96,15.065,14.675,14.848333,5201400,14.848333
"2012-11-08",14.886667,14.9,14.381667,14.438333,3549600,14.438333
"2012-11-09",14.435,14.73,14.408333,14.616667,2672400,14.616667
"2012-11-12",14.643333,14.646667,14.346667,14.443333,2494200,14.443333
"2012-11-13",14.398333,14.743333,14.305,14.625,4794600,14.625
"2012-11-14",14.371667,14.558333,14.203333,14.265,6409800,14.265
"2012-11-15",14.228333,14.406667,14.143333,14.378333,7598400,14.378333
"2012-11-16",14.435,14.541667,14.25,14.29,7618800,14.29
"2012-11-19",14.361667,14.398333,14.073333,14.171667,9713400,14.171667
"2012-11-20",14.195,14.338333,14.096667,14.196667,8901000,14.196667
"2012-11-21",14.15,14.195,13.9,13.95,6051600,13.95
"2012-11-23",14.068333,14.366667,14.055,14.266667,3732000,14.266667
"2012-11-26",14.215,14.238333,14.04,14.093333,3637800,14.093333
