"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2010-11-05",15.884615,16.211538,15.875,16.086538,72620496,12.144051
"2010-11-08",15.980769,16.192308,15.980769,16.067308,49730824,12.129533
"2010-11-09",16.173077,16.173077,15.903846,15.980769,51924808,12.064204
"2010-11-10",16,16.028847,15.740385,15.913462,51685608,12.013393
"2010-11-11",15.807692,15.884615,15.596154,15.721154,48482304,11.868214
"2010-11-12",15.625,15.759615,15.490385,15.625,50251760,11.795626
"2010-11-15",15.605769,15.798077,15.557692,15.576923,40753336,11.759331
"2010-11-16",15.519231,15.538462,15.153846,15.25,76907064,11.51253
"2010-11-17",15.259615,15.307692,15.153846,15.201923,37748360,11.476238
"2010-11-18",15.384615,15.576923,15.384615,15.423077,52094120,11.64319
"2010-11-19",15.442308,15.605769,15.336538,15.596154,51233000,11.77385
"2010-11-22",15.519231,15.519231,15.173077,15.413462,68334968,11.635933
"2010-11-23",15.221154,15.278846,15.028846,15.153846,58186960,11.43994
"2010-11-24",15.201923,15.365385,15.173077,15.326923,44100264,11.570599
"2010-11-26",15.173077,15.269231,15.144231,15.192308,18137704,11.468977
"2010-11-29",15.125,15.432692,15.076923,15.355769,58768112,11.592376
"2010-11-30",15.144231,15.336538,15.115385,15.221154,56040192,11.490754
"2010-12-01",15.413462,15.673077,15.413462,15.673077,71703008,11.83192
"2010-12-02",15.663462,16.038462,15.653846,16.038462,84019624,12.107756
"2010-12-03",15.855769,16.153847,15.826923,16.134615,52269776,12.180345
"2010-12-06",16.057692,16.211538,15.990385,16.057692,61127456,12.122272
"2010-12-07",16.269232,16.615385,16.230768,16.375,100318296,12.361817
"2010-12-08",16.355768,16.471153,16.211538,16.384615,49453248,12.369075
"2010-12-09",16.548077,16.567308,16.403847,16.471153,40653288,12.434402
"2010-12-10",16.557692,17.192308,16.538462,17.038462,130926328,12.862677
"2010-12-13",17.201923,17.211538,16.875,16.942308,70590624,12.790087
"2010-12-14",16.980768,17.211538,16.903847,17.009615,79421264,12.840901
"2010-12-15",16.961538,17.028847,16.701923,16.817308,73579584,12.695724
"2010-12-16",16.855768,17.182692,16.798077,17.086538,56071912,12.898968
"2010-12-17",17.048077,17.086538,16.894232,17.019232,67860624,12.848157
"2010-12-20",17.086538,17.115385,16.971153,17.019232,42170544,12.848157
"2010-12-21",17.096153,17.307692,17.057692,17.211538,43510480,12.993333
"2010-12-22",17.144232,17.384615,17.134615,17.365385,44696288,13.212814
"2010-12-23",17.307692,17.451923,17.288462,17.346153,32197256,13.198186
"2010-12-27",17.230768,17.528847,17.230768,17.490385,34650720,13.307922
"2010-12-28",17.509615,17.701923,17.461538,17.615385,49632960,13.403037
"2010-12-29",17.663462,17.778847,17.557692,17.567308,35952072,13.366455
"2010-12-30",17.576923,17.644232,17.461538,17.490385,30050072,13.307922
"2010-12-31",17.451923,17.644232,17.432692,17.586538,28157064,13.381087
"2011-01-03",17.778847,17.788462,17.519232,17.576923,54941328,13.37377
"2011-01-04",17.634615,17.894232,17.423077,17.894232,82180280,13.615206
"2011-01-05",17.807692,18,17.711538,17.923077,53375296,13.63715
"2011-01-06",17.971153,18,17.711538,17.846153,41225704,13.578619
"2011-01-07",17.865385,17.942308,17.5,17.721153,59629960,13.483513
"2011-01-10",17.894232,18.028847,17.75,17.798077,65516360,13.542043
"2011-01-11",17.990385,18.086538,17.865385,17.913462,48457032,13.629832
"2011-01-12",17.855768,18.009615,17.769232,17.951923,63661832,13.659094
"2011-01-13",18.009615,18.076923,17.846153,17.884615,46595016,13.607882
"2011-01-14",17.894232,18.115385,17.836538,18.096153,43925128,13.768837
"2011-01-18",18.25,18.259615,17.846153,17.884615,73326136,13.607882
"2011-01-19",17.894232,17.923077,17.490385,17.625,85477704,13.410355
"2011-01-20",17.75,17.875,17.471153,17.721153,70442112,13.483513
"2011-01-21",18.567308,19.201923,18.509615,18.980768,238243408,14.441913
"2011-01-24",19.163462,19.346153,18.980768,19.269232,102489192,14.661397
"2011-01-25",19.211538,19.5,19.038462,19.211538,105026584,14.617507
"2011-01-26",19.403847,19.423077,19.153847,19.153847,70463744,14.573606
"2011-01-27",19.192308,19.548077,19.134615,19.5,70554224,14.836982
"2011-01-28",19.605768,19.942308,19.346153,19.423077,106277288,14.778456
"2011-01-31",19.355768,19.509615,19.326923,19.365385,53792336,14.734557
"2011-02-01",19.596153,20.096153,19.519232,20,71036472,15.217419
"2011-02-02",20.038462,20.153847,19.855768,19.913462,43967352,15.151578
"2011-02-03",19.855768,19.971153,19.634615,19.951923,42762408,15.180839
"2011-02-04",19.990385,20,19.615385,19.769232,44832424,15.041831
"2011-02-07",19.971153,20.192308,19.932692,20.067308,47202376,15.268635
"2011-02-08",20.153847,20.490385,20.105768,20.461538,57137912,15.568597
"2011-02-09",20.480768,20.605768,20.25,20.490385,63498864,15.590541
"2011-02-10",20.355768,20.490385,20.134615,20.451923,52224016,15.561278
"2011-02-11",20.230768,20.615385,20.221153,20.509615,42281616,15.605172
"2011-02-14",20.682692,20.817308,20.625,20.673077,45139328,15.729548
"2011-02-15",20.625,20.663462,20.423077,20.634615,41203760,15.700277
"2011-02-16",20.596153,20.663462,20.432692,20.615385,40569880,15.685652
"2011-02-17",20.461538,20.75,20.442308,20.692308,38124216,15.744181
"2011-02-18",20.711538,20.769232,20.480768,20.615385,47303568,15.685652
"2011-02-22",20.076923,20.394232,19.865385,20.019232,75421112,15.232055
"2011-02-23",19.730768,19.894232,19.307692,19.586538,88337912,14.902832
"2011-02-24",19.346153,19.855768,19.326923,19.788462,67943408,15.160666
"2011-02-25",19.913462,20.076923,19.711538,20.019232,47514688,15.337466
"2011-02-28",20.144232,20.259615,20.019232,20.115385,44358808,15.411132
"2011-03-01",20.307692,20.355768,19.461538,19.471153,64472824,14.91756
"2011-03-02",19.403847,19.846153,19.384615,19.538462,51069200,14.969127
"2011-03-03",20.076923,20.125,19.903847,19.951923,48066096,15.285896
"2011-03-04",20.048077,20.057692,19.413462,19.586538,63590176,15.005965
"2011-03-07",19.615385,19.798077,19.240385,19.596153,69031872,15.013329
"2011-03-08",19.644232,19.990385,19.480768,19.836538,52355264,15.197495
"2011-03-09",19.788462,19.913462,19.519232,19.836538,51708592,15.197495
"2011-03-10",19.480768,19.740385,19.259615,19.326923,83993104,14.80706
"2011-03-11",19.182692,19.692308,19.173077,19.576923,58382584,14.998596
"2011-03-14",19.192308,19.317308,18.701923,19.153847,94821376,14.674461
"2011-03-15",18.115385,19,17.884615,18.855768,138859864,14.446093
"2011-03-16",18.634615,18.759615,17.990385,18.221153,137330648,13.959889
"2011-03-17",18.528847,18.875,18.326923,18.480768,86892624,14.158791
"2011-03-18",18.884615,18.990385,18.480768,18.509615,83164744,14.180893
"2011-03-21",18.923077,19.038462,18.798077,18.961538,55128736,14.527124
"2011-03-22",19.009615,19.009615,18.721153,18.740385,48356984,14.357697
"2011-03-23",18.701923,18.807692,18.509615,18.778847,46055256,14.387156
"2011-03-24",18.923077,19.038462,18.730768,19.019232,45544408,14.571328
"2011-03-25",19.086538,19.163462,18.932692,18.990385,41674360,14.549223
"2011-03-28",19.048077,19.115385,18.903847,18.990385,36864152,14.549223
