"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2011-03-25",39.059895,39.423805,38.862774,39.355572,3409483,25.704449
"2011-03-28",39.378319,39.704323,39.037148,39.075058,2233067,25.521233
"2011-03-29",38.938591,39.370735,38.58984,39.370735,2969729,25.714355
"2011-03-30",39.476875,39.605762,39.272175,39.393478,2546066,25.729212
"2011-03-31",39.279758,39.560272,39.112965,39.347992,3142649,25.69949
"2011-04-01",39.628506,40.189537,39.476875,39.855949,3368067,26.031269
"2011-04-04",39.855949,39.95451,39.507202,39.651253,3694783,25.897568
"2011-04-05",39.507202,39.886276,39.363155,39.628506,2775440,25.882708
"2011-04-06",39.734646,39.78772,39.143291,39.552692,2857614,25.833197
"2011-04-07",39.461712,39.658833,39.105385,39.461712,2412055,25.773773
"2011-04-08",39.605762,39.681576,38.885517,39.082638,2361538,25.526188
"2011-04-11",39.029568,39.219105,38.968918,39.219105,3592165,25.615311
"2011-04-12",39.029568,39.188778,38.832451,39.120544,3460792,25.550943
"2011-04-13",39.097801,39.734646,39.097801,39.545109,4092066,25.828251
"2011-04-14",39.272175,39.514786,38.900681,39.363155,2401503,25.709402
"2011-04-15",39.492039,40.113724,39.431389,39.962093,4057376,26.100592
"2011-04-18",39.522366,39.727066,38.809704,39.431389,4443183,25.753967
"2011-04-19",39.408642,39.969673,39.325245,39.909023,3262547,26.065924
"2011-04-20",40.712662,40.712662,40.272934,40.606522,5170216,26.521484
"2011-04-21",41.455647,41.599697,39.855949,40.318424,6165006,26.333323
"2011-04-25",40.386658,40.644428,39.681576,39.757393,3837894,25.966892
"2011-04-26",39.878696,41.334343,39.863533,41.137226,5407900,26.868107
"2011-04-27",41.304016,42.183472,41.068993,41.902958,8286090,27.368229
"2011-04-28",41.751328,42.410915,41.62244,42.282032,6524434,27.615822
"2011-04-29",42.335102,42.524639,41.827141,41.880211,4461518,27.353369
"2011-05-02",42.160728,42.319939,41.637604,41.880211,3319923,27.353369
"2011-05-03",41.811977,41.925701,41.326763,41.902958,3415287,27.368229
"2011-05-04",41.918121,42.137981,41.3116,41.690674,5524895,27.229586
"2011-05-05",41.485973,41.67551,40.849129,41.046246,4583921,26.808676
"2011-05-06",41.432903,41.645187,40.697498,41.106899,4452021,26.848295
"2011-05-09",41.076572,41.546627,40.924942,41.425323,2047748,27.056271
"2011-05-10",41.546627,41.804398,41.349506,41.751328,3124975,27.26919
"2011-05-11",41.614861,41.834724,40.811222,40.947689,4214865,26.74431
"2011-05-12",40.917362,41.25095,40.432144,41.197876,4247312,26.907721
"2011-05-13",41.228203,41.501137,40.788475,40.833965,3465804,26.670029
"2011-05-16",40.720242,41.175133,40.629265,40.932526,4555167,26.734419
"2011-05-17",40.796059,40.849129,40.21228,40.598938,5442985,26.516539
"2011-05-18",40.674755,41.645187,40.561031,41.614861,4946910,27.180065
"2011-05-19",41.827141,42.251705,41.614861,41.865047,4678889,27.343468
"2011-05-20",41.842304,41.842304,41.25095,41.440483,3018400,27.066172
"2011-05-23",40.947689,41.000759,40.515541,40.727825,2873310,26.600719
"2011-05-24",40.788475,41.023502,40.265354,40.371494,3376376,26.367985
"2011-05-25",40.09856,41.053829,40.04549,40.871872,4345973,26.694796
"2011-05-26",40.833965,40.833965,40.386658,40.667171,3678295,26.5611
"2011-05-27",40.924942,41.448067,40.833965,41.273693,3016949,26.957245
"2011-05-31",41.592113,41.721001,40.765732,41.341927,4608190,27.001804
"2011-06-01",41.213039,41.288857,39.711903,39.757393,4936358,25.966892
"2011-06-02",39.719482,40.242607,39.507202,40.09856,4540262,26.189714
"2011-06-03",39.423805,39.673996,39.257011,39.340408,4482753,25.694546
"2011-06-06",39.188778,39.438969,39.021984,39.135708,2806568,25.56085
"2011-06-07",39.287338,39.673996,39.234268,39.378319,3628701,25.719299
"2011-06-08",39.196362,39.484459,38.953754,39.234268,3152938,25.625214
"2011-06-09",39.294922,39.757393,39.173615,39.681576,3481105,25.917374
"2011-06-10",39.552692,39.605762,38.953754,39.021984,5367802,25.486568
"2011-06-13",39.075058,39.234268,38.817287,38.915844,3546923,25.417246
"2011-06-14",38.64291,39.90144,38.53677,39.696739,8705136,25.927271
"2011-06-15",39.264595,39.552692,38.915844,39.211525,17942093,25.610367
"2011-06-16",39.158455,39.408642,38.74147,39.128128,6675459,25.555906
"2011-06-17",39.416225,39.689159,39.158455,39.302502,7227988,25.66979
"2011-06-20",39.203941,39.529945,39.006824,39.416225,5786981,25.744059
"2011-06-21",39.719482,40.280518,39.378319,40.235027,6838487,26.278845
"2011-06-22",40.15163,40.530704,39.95451,40.060654,5252786,26.174822
"2011-06-23",39.332829,39.598179,38.885517,39.560272,6462704,25.847887
"2011-06-24",39.560272,39.575436,38.711143,38.900681,6821077,25.416922
"2011-06-27",38.756634,39.006824,38.476116,38.771797,4875947,25.332714
"2011-06-28",38.885517,39.537529,38.764214,39.529945,5502209,25.828077
"2011-06-29",39.636089,39.833206,39.257011,39.529945,4101035,25.828077
"2011-06-30",39.727066,40.576195,39.689159,40.174374,5102815,26.24913
"2011-07-01",40.15163,41.887794,40.121304,41.334343,5887357,27.007025
"2011-07-05",41.182713,41.387417,40.849129,41.228203,3850029,26.937679
"2011-07-06",41.197876,41.607277,40.985596,41.455647,3992613,27.08629
"2011-07-07",41.895374,42.198635,41.67551,41.736164,4415353,27.269577
"2011-07-08",41.122063,41.402576,40.932526,41.349506,3227857,27.016939
"2011-07-11",40.803638,41.122063,40.447308,40.561031,3064828,26.501753
"2011-07-12",40.394238,40.841545,40.2047,40.401821,3760205,26.397734
"2011-07-13",40.583775,40.993176,40.363911,40.485214,3265580,26.452221
"2011-07-14",40.553452,40.788475,39.696739,39.78772,5108487,25.99649
"2011-07-15",39.7953,39.977257,39.203941,39.89386,6232803,26.065853
"2011-07-18",39.689159,39.916603,39.454132,39.78772,4707247,25.99649
"2011-07-19",39.939346,40.371494,39.84079,40.189537,3331530,26.259035
"2011-07-20",40.470055,40.591358,39.924187,40.265354,4499241,26.308573
"2011-07-21",39.264595,39.84837,38.786961,39.749809,10664379,25.971725
"2011-07-22",39.764973,39.802879,38.938591,39.188778,4968805,25.60516
"2011-07-25",38.779377,39.340408,38.68082,39.067474,4186506,25.525904
"2011-07-26",38.923428,38.999241,38.089462,38.210766,7035678,24.966145
