"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2015-06-24",74.1492,74.417435,73.10981,73.696564,3239830,69.73288
"2015-06-25",74.383904,75.129929,73.931267,74.383904,2296167,70.38324
"2015-06-26",74.375526,74.476112,73.679802,74.27494,14590390,70.280144
"2015-06-29",73.101425,73.621124,70.528084,70.854988,4486396,67.044136
"2015-06-30",71.265717,71.68483,70.637047,71.324394,3695795,67.488312
"2015-07-01",71.651299,72.137466,71.466888,72.087173,2190229,68.210037
"2015-07-02",72.145851,72.347023,71.399834,72.078796,2398527,68.202126
"2015-07-06",71.374687,72.179382,70.62867,71.089691,2979040,67.266212
"2015-07-07",71.173515,71.173515,69.002518,70.44426,3917216,66.655495
"2015-07-08",68.994133,69.094719,65.448448,65.574181,7352459,62.047363
"2015-07-09",68.466049,68.466049,65.213745,65.3311,4989842,61.817356
"2015-07-10",66.429169,66.689018,66.051971,66.38726,4891777,62.8167
"2015-07-13",67.082985,67.585915,66.521378,67.049454,3296140,63.443291
"2015-07-14",66.923721,67.44342,66.856667,67.242249,2204306,63.625698
"2015-07-15",67.25901,67.661362,66.990784,67.661362,2438492,64.022278
"2015-07-16",67.233864,67.275772,64.341995,64.375526,5741432,60.913162
"2015-07-17",64.417435,65.389771,63.63789,65.3311,3843488,61.817356
"2015-07-20",65.104774,65.582565,64.518021,65.440063,4421855,61.920456
"2015-07-21",65.389771,65.783737,65.163452,65.699913,2760483,62.166332
"2015-07-22",65.507126,65.691536,64.744339,64.96228,2085841,61.468376
"2015-07-23",65.381393,66.060349,65.020958,65.230515,3648552,61.722172
"2015-07-24",65.934616,66.345345,64.660522,64.844933,2346035,61.35733
"2015-07-27",64.182732,64.325233,62.816429,63.176865,2957328,59.778973
"2015-07-28",63.101425,65.171837,63.093044,64.836548,3162285,61.349388
"2015-07-29",64.937134,65.808884,64.836548,65.716682,2901615,62.182198
"2015-07-30",64.191116,65.599327,63.621124,64.96228,3620159,61.468376
"2015-07-31",66.227997,66.378876,64.643753,65.448448,3937854,61.928371
"2015-08-03",65.708298,65.842415,64.417435,64.677284,2165892,61.198696
"2015-08-04",64.702431,65.750214,64.652138,65.230515,2394590,61.722172
"2015-08-05",65.632858,65.892708,64.735962,64.953896,2270637,61.46043
"2015-08-06",65.138306,65.498741,64.266556,64.85331,2479889,61.365253
"2015-08-07",65.129929,67.057838,64.911987,66.378876,3194138,62.808762
"2015-08-10",67.70327,68.424141,66.90696,68.030174,2966275,64.575119
"2015-08-11",66.621964,66.739311,64.811401,65.138306,3525912,61.830132
"2015-08-12",64.392288,64.392288,62.590111,63.98156,3543807,60.732121
"2015-08-13",63.713329,65.272423,63.61274,64.568314,3618727,61.289066
"2015-08-14",64.677284,64.702431,63.688183,63.889355,2945636,60.6446
"2015-08-17",63.780388,65.171837,63.562447,65.14669,1879691,61.838062
"2015-08-18",65.373009,65.674767,64.987427,65.255661,2036690,61.941505
"2015-08-19",65.012573,65.230515,64.115677,64.543167,2146088,61.265198
"2015-08-20",63.704945,64.367142,62.48114,62.539818,2255009,59.363602
"2015-08-21",61.743504,62.523052,60.326908,60.410728,3727171,57.342644
"2015-08-24",57.510479,61.165131,55.549034,59.111485,4671192,56.109383
"2015-08-25",61.290863,61.852474,58.818108,58.868401,3072929,55.878639
"2015-08-26",60.628666,61.642918,59.631184,61.58424,3000634,58.456551
"2015-08-27",62.271584,63.679798,61.626152,62.891869,3878682,59.697765
"2015-08-28",62.690697,63.528919,62.56496,63.160103,2326469,59.952381
"2015-08-31",63.202011,64.492874,63.042747,63.302597,2425966,60.087639
"2015-09-01",61.68483,62.330261,59.974854,60.377201,2867614,57.310818
"2015-09-02",61.106453,61.265717,59.958088,61.005867,2017721,57.907551
"2015-09-03",61.441746,62.464375,61.047779,61.408215,1702411,58.289471
"2015-09-04",60.217937,60.779549,59.513832,60.360435,2001615,57.294907
"2015-09-08",65.666389,65.666389,60.779549,63.327744,2582249,60.111507
"2015-09-09",64.065384,65.674767,63.277451,63.428333,2214089,60.206985
"2015-09-10",63.227158,63.419949,61.877621,63.067898,2947903,59.864864
"2015-09-11",62.984074,64.048615,62.120705,64.040237,2555525,60.787819
"2015-09-14",64.031853,64.291702,63.696564,63.98156,1660895,60.732121
"2015-09-15",63.90612,64.987427,63.872589,64.702431,2456029,61.416382
"2015-09-16",64.96228,66.915337,64.870071,66.756081,2440401,63.365738
"2015-09-17",66.596817,67.351212,66.102264,66.395638,2699401,63.023575
"2015-09-18",65.398155,65.808884,64.652138,65.088013,3948591,61.782387
"2015-09-21",65.532272,65.532272,64.015091,64.735962,2042893,61.448204
"2015-09-22",64.006706,64.015091,61.248951,62.39732,4194707,59.22834
"2015-09-23",62.875107,62.875107,61.332775,62.112324,1725913,58.957806
"2015-09-24",60.78793,61.601006,59.572506,61.089691,2865586,57.987118
"2015-09-25",61.886002,62.120705,61.131599,61.408215,2210033,58.289471
"2015-09-28",60.71249,60.762783,58.826488,58.985748,2172811,55.990036
"2015-09-29",59.145012,61.282482,58.323555,61.139984,3626839,58.034855
"2015-09-30",62.531433,63.813915,62.355408,63.738476,3125899,60.501377
"2015-10-01",64.098907,65.012573,63.017605,64.911987,3352449,61.61528
"2015-10-02",63.730091,65.414917,63.503773,65.364624,2235801,62.044949
"2015-10-05",65.901093,66.219612,65.138306,65.90947,2155035,62.562119
"2015-10-06",66.077118,66.20285,65.188599,65.431686,2079638,62.108604
"2015-10-07",65.901093,67.024307,65.8508,66.839897,2243079,63.445286
"2015-10-08",66.638725,68.357086,66.521378,67.812241,2876204,64.368248
"2015-10-09",68.14753,69.086334,67.896057,68.642082,2357010,65.155945
"2015-10-12",68.122383,69.136627,67.979881,68.549873,1401775,65.068428
"2015-10-13",68.457672,68.625313,66.814751,66.923721,2574494,63.524857
"2015-10-14",66.898575,67.627831,66.378876,67.191956,1858933,63.779457
"2015-10-15",67.745178,67.870911,66.781227,67.745178,1722931,64.304565
"2015-10-16",67.904442,68.005028,66.689018,67.979881,2378126,64.527374
"2015-10-19",67.720032,68.398994,67.393127,68.373848,1934688,64.901337
