"dates","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2013-09-30",46.410076,46.958569,46.377117,46.857346,2429431,39.668728
"2013-10-01",46.986816,47.080978,46.49482,46.807911,2249741,39.626869
"2013-10-02",47.177494,47.372883,45.619114,46.092278,3523291,39.021027
"2013-10-03",46.042843,46.650188,45.517891,45.79567,2349144,38.769917
"2013-10-04",45.9016,46.391243,45.830978,46.259415,2102335,39.162529
"2013-10-07",45.936913,46.221752,45.626179,45.63324,2142266,38.63242
"2013-10-08",45.65678,45.776836,44.576271,44.670433,3260765,37.817314
"2013-10-09",44.830509,45.541431,44.566856,45.296612,2453645,38.347424
"2013-10-10",45.96516,46.059322,45.689735,45.840397,1394194,38.807785
"2013-10-11",45.840397,46.174671,45.529659,46.162899,2194092,39.080807
"2013-10-14",45.527306,46.657249,45.527306,46.511299,2054758,39.375767
"2013-10-15",46.464218,46.765537,46.092278,46.155838,4872456,39.074833
"2013-10-16",46.386536,47.412899,46.386536,47.39407,3564922,40.1231
"2013-10-17",47.219868,47.881355,47.13512,47.525894,2775218,40.234703
"2013-10-18",47.775425,48.09322,47.412899,48.09322,2569190,40.714993
"2013-10-21",50.117702,50.47081,49.500942,49.724575,5586970,42.096066
"2013-10-22",49.967045,50.138889,49.508003,49.77401,3391178,42.137928
"2013-10-23",49.759888,50.065914,49.439735,50.009415,1779912,42.337212
"2013-10-24",50.24482,50.24482,49.599812,49.611584,2080246,42.000416
"2013-10-25",50.150658,50.190678,49.578625,49.95998,2366136,42.295361
"2013-10-28",49.952919,50.991055,49.865818,50.976929,3644359,43.156303
"2013-10-29",51.082863,51.245293,50.729755,50.847458,3525840,43.04668
"2013-10-30",50.915726,51.045197,50.230698,50.602638,1945584,42.839428
"2013-10-31",50.637947,50.903954,50.181263,50.612053,2613370,42.847404
"2013-11-01",50.612053,51.000469,50.569679,50.729755,1201334,42.947037
"2013-11-04",51.012241,51.537193,50.878059,51.466572,2468938,43.570808
"2013-11-05",51.478344,51.878532,51.111111,51.730225,2596802,43.794006
"2013-11-06",52.410545,53.102638,52.019775,52.368172,3888619,44.334095
"2013-11-07",52.368172,52.504707,51.019302,51.094631,2640982,43.255943
"2013-11-08",51.094631,51.504238,50.908665,51.492466,2891614,43.592743
"2013-11-11",51.553673,51.732578,51.478344,51.565441,1434125,43.654526
"2013-11-12",51.360641,51.610168,51.118172,51.278248,2678364,43.411392
"2013-11-13",51.188793,52.509415,51.141712,52.497646,2641406,44.443718
"2013-11-14",52.495293,52.890774,52.109226,52.850754,1830888,44.742645
"2013-11-15",52.761299,53.104992,52.535313,53.097927,1879740,44.951904
"2013-11-18",53.083805,53.4016,52.714218,52.834274,1946009,44.728699
"2013-11-19",52.763653,53.036724,52.518833,52.791901,1491048,44.692818
"2013-11-20",52.966103,53.323917,52.730698,52.904896,1349165,44.788494
"2013-11-21",53.069679,53.069679,52.565914,52.855461,1530979,44.746624
"2013-11-22",53.17326,54.710453,52.869587,54.637478,3669847,46.25526
"2013-11-25",54.870525,55.209511,54.73164,54.943504,3336804,46.514343
"2013-11-26",54.846989,55.473164,54.771656,55.178909,1818144,46.713623
"2013-11-27",55.409603,55.696796,55.112995,55.303673,1711094,46.819248
"2013-11-29",55.320152,55.833332,55.134182,55.221279,1050106,46.7495
"2013-12-02",55.600281,56.085217,55.251884,55.49435,2423059,46.980663
"2013-12-03",55.477871,55.548492,54.924671,55.094162,2371234,46.64188
"2013-12-04",55.035313,55.20245,54.508003,54.978813,1772266,46.544231
"2013-12-05",54.964687,55.428436,54.696327,54.849342,2396297,46.434628
"2013-12-06",57.269302,57.269302,54.752827,54.983521,1673287,46.758934
"2013-12-09",55,55.150658,54.628059,54.835217,1968098,46.632805
"2013-12-10",54.781075,54.882298,53.804142,54.437382,2777767,46.294491
"2013-12-11",54.56921,54.776363,53.832394,53.954803,2497824,45.884094
"2013-12-12",54.025425,54.870525,53.893597,54.670433,3115483,46.492668
"2013-12-13",55.084747,55.298965,54.425613,55.197739,3238250,46.941109
"2013-12-16",55.313087,55.484936,55.004707,55.247173,1995286,46.983147
"2013-12-17",55.381355,55.553204,55.051788,55.336628,1551794,47.059219
"2013-12-18",55.515537,56.410076,55,56.341808,1912025,47.91404
"2013-12-19",56.29002,56.5984,56.031075,56.139359,1843207,47.741879
"2013-12-20",56.332394,57.860168,56.02401,57.860168,24428974,49.20528
"2013-12-23",58.145008,58.286251,56.610168,57.401131,3386718,48.814903
"2013-12-24",57.485874,57.76836,57.193974,57.627117,1277905,49.007092
"2013-12-26",57.909603,58.559322,57.740112,58.455746,1471826,49.711765
"2013-12-27",58.700565,58.832394,57.410545,57.984936,1787983,49.311394
"2013-12-30",58.097927,58.653484,58.003765,58.446327,1158323,49.703762
"2013-12-31",58.625237,58.851223,58.455746,58.700565,1183280,49.919975
"2014-01-02",59.340866,59.745762,58.380413,58.738232,1879315,49.952003
"2014-01-03",58.512241,58.841808,58.135593,58.483994,1881333,49.735783
"2014-01-06",58.58757,58.775894,57.82486,58.107346,2320045,49.415485
"2014-01-07",58.380413,58.653484,58.013184,58.229755,1918078,49.519577
"2014-01-08",58.145008,58.192089,57.514126,58.069679,2254201,49.383453
"2014-01-09",58.314503,58.728813,57.871941,58.653484,1709926,49.879925
"2014-01-10",58.662899,58.832394,58.192089,58.822975,1248275,50.024075
"2014-01-13",58.427494,58.568737,56.468925,56.713749,3098066,48.230347
"2014-01-14",56.892654,57.485874,56.525425,56.911488,2179436,48.398514
"2014-01-15",56.967983,57.325802,56.647835,56.70433,1937938,48.222336
