"dates","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2010-09-28",13.7175,13.77,13.575,13.7525,5213200,10.047824
"2010-09-29",13.6875,13.7125,13.5575,13.6675,4554000,9.985724
"2010-09-30",13.785,13.86,13.5825,13.5975,7683200,9.93458
"2010-10-01",13.52,13.6275,13.485,13.6025,8942000,9.938235
"2010-10-04",13.6025,13.645,13.4325,13.4975,7527600,9.861522
"2010-10-05",13.5475,13.6375,13.4975,13.6,9846400,9.936407
"2010-10-06",13.52,13.725,13.52,13.695,10651600,10.005817
"2010-10-07",13.7075,13.76,13.6875,13.725,5231600,10.027738
"2010-10-08",13.765,13.765,13.68,13.73,4442000,10.031386
"2010-10-11",13.705,13.7575,13.63,13.7475,2865600,10.044175
"2010-10-12",13.73,13.8375,13.65,13.81,9194800,10.089838
"2010-10-13",13.8775,13.925,13.8425,13.8675,9900400,10.131848
"2010-10-14",13.8675,13.8875,13.77,13.835,8374800,10.108101
"2010-10-15",13.9175,13.9175,13.74,13.83,8058400,10.104448
"2010-10-18",13.83,13.9625,13.79,13.955,4014800,10.195778
"2010-10-19",13.855,13.95,13.83,13.8775,7008000,10.139154
"2010-10-20",13.935,14.055,13.8325,14.0075,5877200,10.234135
"2010-10-21",14.0425,14.065,13.82,13.8975,7402000,10.153769
"2010-10-22",13.925,13.9575,13.795,13.8625,6115600,10.128193
"2010-10-25",13.9525,13.9575,13.7,13.7125,7438800,10.018601
"2010-10-26",13.68,13.8125,13.635,13.81,8103200,10.089838
"2010-10-27",13.7425,13.7425,13.515,13.675,9583200,9.991205
"2010-10-28",13.75,13.84,13.645,13.7625,8458400,10.055131
"2010-10-29",13.56,13.775,13.25,13.76,17064000,10.053306
"2010-11-01",13.8075,13.8075,13.335,13.48,10630400,9.848733
"2010-11-02",13.5475,13.62,13.495,13.6,4948800,9.936407
"2010-11-03",13.6425,13.705,13.5125,13.6575,6230000,9.978418
"2010-11-04",13.775,13.7825,13.6525,13.7525,6210400,10.047824
"2010-11-05",13.6825,13.76,13.59,13.6825,5324800,9.996684
"2010-11-08",13.645,13.68,13.5825,13.6125,5032000,9.94554
"2010-11-09",13.6175,13.67,13.545,13.6075,5710000,9.941887
"2010-11-10",13.575,13.5875,13.4325,13.5325,4767600,9.887093
"2010-11-11",13.4775,13.6075,13.435,13.4725,6392000,9.843254
"2010-11-12",13.4575,13.4875,13.3275,13.4075,6144800,9.795765
"2010-11-15",13.4525,13.46,13.325,13.3925,5531200,9.784806
"2010-11-16",13.3325,13.3625,13.08,13.14,10520000,9.600324
"2010-11-17",13.175,13.2175,13.0275,13.0525,7732000,9.536393
"2010-11-18",13.1,13.1925,12.985,13.085,8751600,9.560135
"2010-11-19",13.025,13.1,12.955,12.9925,7889600,9.492556
"2010-11-22",12.93,13.045,12.8425,13.0225,8243600,9.514473
"2010-11-23",12.8325,12.8325,12.75,12.7925,10493200,9.437016
"2010-11-24",12.8075,12.9075,12.77,12.8725,5842800,9.496035
"2010-11-26",12.7875,12.8125,12.675,12.695,4518800,9.365092
"2010-11-29",12.675,12.7175,12.5525,12.675,8281600,9.350338
"2010-11-30",12.64,12.705,12.5,12.655,9350400,9.335585
"2010-12-01",12.805,12.8325,12.675,12.7325,10866000,9.392756
"2010-12-02",12.7275,12.8075,12.6525,12.8075,6643600,9.448082
"2010-12-03",12.745,12.7925,12.665,12.775,7959200,9.424108
"2010-12-06",12.75,12.7975,12.695,12.7275,6218000,9.38907
"2010-12-07",12.8125,12.85,12.68,12.71,7030000,9.376155
"2010-12-08",12.6825,12.74,12.5625,12.72,9520800,9.383532
"2010-12-09",12.77,12.7875,12.66,12.77,7474800,9.420422
"2010-12-10",12.8025,13.1125,12.7925,13,9619200,9.590092
"2010-12-13",13.0575,13.115,12.9875,13.0225,7850800,9.606688
"2010-12-14",13.0475,13.09,12.8,12.8575,13703600,9.484966
"2010-12-15",12.8625,12.88,12.6975,12.71,10566400,9.376155
"2010-12-16",12.7275,12.8125,12.6475,12.805,10984800,9.44624
"2010-12-17",12.7,12.9225,12.6925,12.9175,13584800,9.52923
"2010-12-20",12.9,12.965,12.8075,12.8825,8326400,9.503411
"2010-12-21",12.8875,12.945,12.7775,12.78,8867200,9.427795
"2010-12-22",12.81,13.055,12.7525,13.0175,9490000,9.603
"2010-12-23",13.0125,13.1225,13,13.0425,5278400,9.621444
"2010-12-27",13.005,13.1,12.9375,13.0375,3581200,9.617754
"2010-12-28",13.03,13.095,12.96,13.0725,3331600,9.643571
"2010-12-29",13.0125,13.095,12.9375,13.0175,5491200,9.603
"2010-12-30",13.025,13.075,12.97,12.9925,3507600,9.584558
"2010-12-31",12.9675,13.075,12.95,12.9975,3526000,9.588247
"2011-01-03",13.045,13.1,12.9525,13.0575,6060800,9.632509
"2011-01-04",13.07,13.235,12.985,13.1875,6944000,9.728413
"2011-01-05",13.16,13.19,13.025,13.085,10962800,9.652795
"2011-01-06",13.0825,13.1175,12.95,13.0275,7158000,9.610378
"2011-01-07",13.05,13.065,12.885,13.055,5495600,9.630665
"2011-01-10",13.0125,13.275,12.9575,13.23,11806000,9.759761
"2011-01-11",13.34,13.34,13.1475,13.19,7346000,9.730251
"2011-01-12",13.275,13.4925,13.275,13.4075,8480400,9.890702
"2011-01-13",13.42,13.48,13.3475,13.44,6484400,9.914678
"2011-01-14",13.415,13.5625,13.355,13.5375,6422000,9.9866
"2011-01-18",13.5525,13.61,13.52,13.575,5172400,10.014266
"2011-01-19",13.5625,13.625,13.49,13.515,5126400,9.970005
"2011-01-20",13.54,13.6825,13.515,13.5625,10452000,10.005045
"2011-01-21",13.615,13.6375,13.5275,13.605,10110400,10.036396
"2011-01-24",13.575,13.6575,13.5225,13.535,10245200,9.984759
"2011-01-25",13.48,13.6425,13.36,13.6425,13060800,10.064062
"2011-01-26",13.6475,13.6775,13.4175,13.5525,8645600,9.99767
"2011-01-27",13.5,13.6725,13.455,13.6025,5785200,10.034551
"2011-01-28",13.5825,13.67,13.49,13.5075,8268800,9.964472
"2011-01-31",13.5025,13.6075,13.3625,13.365,8734400,9.85935
"2011-02-01",13.4475,13.6575,13.425,13.6325,6874000,10.056684
"2011-02-02",13.71,13.86,13.5875,13.715,7090400,10.117544
"2011-02-03",13.67,13.7875,13.56,13.7475,10762800,10.141521
"2011-02-04",13.705,13.7425,13.5525,13.685,8266800,10.095414
"2011-02-07",13.6825,13.8125,13.64,13.7975,9871200,10.178403
"2011-02-08",13.7675,13.86,13.7325,13.8575,4446000,10.222669
"2011-02-09",13.7975,13.83,13.7375,13.81,3734400,10.187626
"2011-02-10",13.77,13.8225,13.7175,13.805,4948000,10.183937
"2011-02-11",13.7825,13.8225,13.71,13.765,4757600,10.154432
"2011-02-14",13.7475,13.7625,13.6025,13.675,4281200,10.088037
"2011-02-15",13.63,13.71,13.575,13.6925,5381600,10.100946
"2011-02-16",13.6925,13.72,13.4675,13.59,6988800,10.025331
"2011-02-17",13.545,13.66,13.5375,13.56,5642400,10.003202
"2011-02-18",13.59,13.655,13.54,13.6475,7485200,10.067753
"2011-02-22",13.53,13.685,13.53,13.6625,7270000,10.078815
"2011-02-23",13.4675,13.7075,13.4675,13.5925,7502800,10.027179
"2011-02-24",13.56,13.6975,13.545,13.6025,7466800,10.034551
"2011-02-25",13.605,13.7075,13.605,13.6725,4550800,10.086194
"2011-02-28",13.6575,13.8875,13.6575,13.8675,8805600,10.230047
"2011-03-01",13.865,13.89,13.5325,13.5325,12267600,9.982915
"2011-03-02",13.405,13.46,13.33,13.45,7938800,10.023906
"2011-03-03",13.52,13.6875,13.5125,13.61,8676400,10.143148
"2011-03-04",13.6075,13.69,13.4725,13.6875,9450400,10.200911
"2011-03-07",13.69,13.75,13.5875,13.655,6344000,10.176684
"2011-03-08",13.68,13.865,13.675,13.825,6094000,10.303384
"2011-03-09",13.8325,13.9525,13.6975,13.9425,6565600,10.390953
"2011-03-10",13.8375,13.965,13.75,13.8375,8384800,10.312696
"2011-03-11",13.775,13.965,13.775,13.9225,8680400,10.376041
"2011-03-14",13.8,13.8375,13.6575,13.77,9777600,10.262391
"2011-03-15",13.755,13.755,13.4425,13.4425,13087200,10.018316
"2011-03-16",13.445,13.4575,13.01,13.15,12608000,9.800321
"2011-03-17",13.28,13.3275,13.0975,13.205,8145600,9.841313
"2011-03-18",13.3,13.4,13.1425,13.19,9970400,9.830132
"2011-03-21",13.31,13.5775,13.2925,13.44,5876400,10.016453
"2011-03-22",13.4775,13.5175,13.3825,13.4725,5500800,10.040673
"2011-03-23",13.43,13.48,13.3575,13.4225,3445200,10.003411
"2011-03-24",13.4975,13.5275,13.3875,13.505,7410800,10.064896
"2011-03-25",13.555,13.575,13.4725,13.525,4746400,10.079799
"2011-03-28",13.5625,13.6225,13.44,13.4425,5922400,10.018316
"2011-03-29",13.4575,13.6775,13.4125,13.67,5367600,10.187868
"2011-03-30",13.7275,13.765,13.66,13.745,7840400,10.243761
"2011-03-31",13.7125,13.8025,13.6925,13.78,6730400,10.269843
"2011-04-01",13.8125,13.9825,13.8,13.9825,8676000,10.420764
"2011-04-04",13.955,14.0475,13.9375,14.0475,8148400,10.469204
"2011-04-05",13.975,14.085,13.96,14.0775,7602000,10.491562
"2011-04-06",14.0925,14.1525,14.025,14.1425,6323600,10.540007
"2011-04-07",14.085,14.1025,13.94,14.0125,11005600,10.44312
"2011-04-08",14.0175,14.0775,13.8775,14,6597200,10.433807
"2011-04-11",14.0025,14.03,13.765,13.7925,9895200,10.279161
"2011-04-12",13.7475,13.85,13.705,13.78,7766400,10.269843
"2011-04-13",13.815,13.89,13.725,13.7425,6659200,10.241897
"2011-04-14",13.71,13.84,13.6475,13.79,4881600,10.277298
"2011-04-15",13.84,13.915,13.7525,13.78,11047200,10.269843
"2011-04-18",13.67,13.7425,13.57,13.7325,7557600,10.234445
"2011-04-19",13.72,13.77,13.6775,13.7225,5361200,10.226992
"2011-04-20",13.83,13.9375,13.7775,13.92,5227200,10.374183
"2011-04-21",13.935,13.9525,13.8275,13.8775,4564800,10.342508
"2011-04-25",13.8725,13.9225,13.83,13.865,3613600,10.333193
"2011-04-26",13.8875,14.0225,13.8875,14.01,5600000,10.441256
"2011-04-27",14.035,14.0725,13.9275,14.05,6113200,10.471071
"2011-04-28",14,14.25,14,14.2075,7140400,10.588446
"2011-04-29",14.14,14.2225,14.03,14.1425,7054400,10.540007
"2011-05-02",14.1925,14.2375,14.085,14.15,7722000,10.545594
"2011-05-03",14.155,14.3625,14.115,14.3425,9061200,10.689058
"2011-05-04",14.3225,14.415,14.215,14.3575,7962000,10.700239
"2011-05-05",14.33,14.3525,14.2025,14.2625,7164800,10.629438
"2011-05-06",14.3625,14.475,14.26,14.3475,5758000,10.692783
"2011-05-09",14.3275,14.425,14.2075,14.4125,4968400,10.741228
"2011-05-10",14.45,14.6425,14.43,14.5875,5796400,10.871652
"2011-05-11",14.5725,14.615,14.4525,14.555,5010800,10.847431
"2011-05-12",14.5,14.735,14.4875,14.72,6e+06,10.970399
"2011-05-13",14.7225,14.74,14.56,14.66,5672000,10.925684
"2011-05-16",14.6075,14.745,14.495,14.5175,7944000,10.819483
"2011-05-17",14.4925,14.675,14.475,14.65,6322000,10.918231
"2011-05-18",14.655,14.655,14.55,14.625,6137200,10.8996
"2011-05-19",14.69,14.71,14.55,14.5975,7034000,10.879106
"2011-05-20",14.6225,14.6275,14.42,14.445,9370400,10.765447
"2011-05-23",14.3525,14.475,14.2975,14.3975,6980400,10.730052
"2011-05-24",14.3975,14.43,14.32,14.345,5944400,10.690923
"2011-05-25",14.2975,14.34,14.1325,14.2525,7880000,10.621984
"2011-05-26",14.2025,14.3,14.1225,14.275,5626000,10.638758
"2011-05-27",14.325,14.37,14.275,14.3375,4581200,10.685334
"2011-05-31",14.4075,14.49,14.405,14.4875,7274400,10.797126
"2011-06-01",14.365,14.375,14.1825,14.19,6678400,10.676739
"2011-06-02",14.19,14.19,13.98,14.0525,5822800,10.573282
"2011-06-03",13.595,13.9425,13.54,13.92,13460000,10.473587
"2011-06-06",13.8575,13.95,13.7825,13.8525,7831600,10.422799
"2011-06-07",13.89,14.0225,13.85,13.8525,7749600,10.422799
"2011-06-08",13.8425,13.9275,13.8175,13.875,5769600,10.439731
"2011-06-09",13.915,13.985,13.865,13.9075,4399600,10.464183
"2011-06-10",13.9,14.005,13.835,13.8725,10028800,10.437848
"2011-06-13",13.9125,14.0075,13.835,13.975,5240800,10.51497
"2011-06-14",14.0725,14.09,13.9225,13.9725,5716400,10.51309
"2011-06-15",13.9175,14.06,13.8125,13.8675,6592400,10.434089
"2011-06-16",13.9025,14.0725,13.9,14.0375,7690400,10.561996
"2011-06-17",14.135,14.25,14.125,14.1575,7714000,10.652286
"2011-06-20",14.1425,14.265,14.0325,14.2625,6325600,10.731289
"2011-06-21",14.3025,14.315,14.175,14.2425,5384800,10.716242
"2011-06-22",14.2075,14.2425,14.1,14.18,7025600,10.669216
"2011-06-23",14.0775,14.1375,13.9525,14.095,5972400,10.60526
"2011-06-24",14.1275,14.25,14.07,14.1525,7324800,10.648525
"2011-06-27",14.16,14.26,14.16,14.245,5920000,10.718121
"2011-06-28",14.2625,14.31,14.1775,14.2725,4052800,10.738815
"2011-06-29",14.315,14.345,14.24,14.3075,6011200,10.765146
"2011-06-30",14.345,14.3675,14.2175,14.365,6626000,10.808411
"2011-07-01",14.3675,14.5625,14.345,14.545,5607200,10.943844
"2011-07-05",14.4925,14.52,14.37,14.4225,5803200,10.851676
"2011-07-06",14.425,14.505,14.3575,14.44,4794800,10.864841
"2011-07-07",14.5375,14.5375,14.4075,14.5125,5130800,10.919392
"2011-07-08",14.4125,14.4625,14.3475,14.425,4081200,10.853556
"2011-07-11",14.3,14.3325,14.2075,14.29,4928800,10.751981
"2011-07-12",14.245,14.415,14.2125,14.3225,6297200,10.776436
"2011-07-13",14.3675,14.4125,14.2825,14.3,6560400,10.759505
"2011-07-14",14.3125,14.3875,14.2275,14.2475,5922800,10.720004
"2011-07-15",14.27,14.28,14.1475,14.2,8170800,10.684262
"2011-07-18",14.155,14.195,14.0275,14.09,5146800,10.601497
"2011-07-19",14.115,14.2275,14.0125,14.1925,5190000,10.678617
"2011-07-20",14.1975,14.2975,14.12,14.235,4886800,10.710595
"2011-07-21",14.3075,14.525,14.3075,14.4725,5189200,10.889297
"2011-07-22",14.48,14.5,14.3375,14.365,3900000,10.808411
"2011-07-25",14.26,14.46,14.26,14.385,4091200,10.823457
"2011-07-26",14.3825,14.45,14.32,14.34,7266400,10.789598
"2011-07-27",14.32,14.3375,14.0925,14.1625,9958800,10.656047
