"dates","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2014-05-23",29.775,29.950001,29.625,29.915001,1382600,29.915001
"2014-05-27",29.860001,30.209999,29.860001,30.094999,1289600,30.094999
"2014-05-28",30.075001,30.135,29.9,29.945,1584800,29.945
"2014-05-29",29.985001,30.184999,29.93,30.145,1016400,30.145
"2014-05-30",30.25,30.32,29.924999,30.055,1429800,30.055
"2014-06-02",30.045,30.254999,29.924999,30.215,1077800,30.215
"2014-06-03",30.145,30.504999,30.055,30.475,2212600,30.475
"2014-06-04",30.355,30.465,30.290001,30.389999,1393400,30.389999
"2014-06-05",30.41,30.594999,30.129999,30.535,1371200,30.535
"2014-06-06",30.674999,30.745001,30.385,30.6,1657600,30.6
"2014-06-09",30.535,30.75,30.495001,30.620001,1250800,30.620001
"2014-06-10",30.459999,30.684999,30.264999,30.42,1407800,30.42
"2014-06-11",30.389999,30.445,30.115,30.225,1468000,30.225
"2014-06-12",30.184999,30.25,29.68,29.77,1903600,29.77
"2014-06-13",29.855,30.07,29.75,29.955,1205400,29.955
"2014-06-16",29.91,30.02,29.68,29.76,1390000,29.76
"2014-06-17",29.73,29.915001,29.594999,29.834999,1865800,29.834999
"2014-06-18",29.83,30.165001,29.66,30.09,1616000,30.09
"2014-06-19",30.059999,30.110001,29.83,30.1,1858800,30.1
"2014-06-20",30.219999,30.290001,30.049999,30.205,4919800,30.205
"2014-06-23",30.145,30.205,29.92,30.155001,968600,30.155001
"2014-06-24",30.030001,30.285,29.955,29.98,1093000,29.98
"2014-06-25",29.975,30.365,29.905001,30.305,1425400,30.305
"2014-06-26",30.434999,30.434999,30.205,30.309999,1379400,30.309999
"2014-06-27",30.190001,30.24,30.049999,30.190001,1722600,30.190001
"2014-06-30",30.105,30.174999,29.924999,30.16,1700400,30.16
"2014-07-01",30.309999,30.76,30.285,30.605,1899800,30.605
"2014-07-02",30.59,30.605,30.25,30.35,2151800,30.35
"2014-07-03",30.385,30.545,30.25,30.540001,983000,30.540001
"2014-07-07",30.370001,30.475,30.23,30.42,2272200,30.42
"2014-07-08",30.455,30.5,30.34,30.43,1627600,30.43
"2014-07-09",30.5,30.565001,30.360001,30.48,1408400,30.48
"2014-07-10",30.315001,30.504999,30.174999,30.455,1524600,30.455
"2014-07-11",30.495001,30.620001,29.84,30.610001,1257800,30.610001
"2014-07-14",30.709999,30.764999,30.58,30.754999,1512200,30.754999
"2014-07-15",30.629999,30.965,30.629999,30.950001,1738000,30.950001
"2014-07-16",31,31.094999,30.93,31.02,1658000,31.02
"2014-07-17",30.924999,31.184999,30.85,30.975,1741400,30.975
"2014-07-18",31.139999,31.504999,30.915001,31.434999,2203200,31.434999
"2014-07-21",31.34,31.549999,31.25,31.325001,2043200,31.325001
"2014-07-22",31.424999,31.48,31.18,31.33,1694800,31.33
"2014-07-23",31.235001,31.35,31.135,31.190001,1195400,31.190001
"2014-07-24",31.275,31.475,31.275,31.389999,1576400,31.389999
"2014-07-25",31.33,31.440001,31.23,31.334999,1080800,31.334999
"2014-07-28",31.23,31.344999,31.01,31.174999,1805400,31.174999
"2014-07-29",31.115,31.370001,31.014999,31.18,1939600,31.18
"2014-07-30",30.73,31.34,30.655001,31.275,2861200,31.275
"2014-07-31",31.370001,31.370001,30.799999,30.834999,2427400,30.834999
"2014-08-01",30.780001,30.985001,30.655001,30.719999,2975000,30.719999
"2014-08-04",30.719999,30.795,30.469999,30.705,2619000,30.705
"2014-08-05",30.555,30.674999,30.35,30.424999,2423200,30.424999
"2014-08-06",30.360001,30.76,30.27,30.635,3211400,30.635
"2014-08-07",30.705,30.799999,30.35,30.41,1968000,30.41
"2014-08-08",30.41,30.745001,30.4,30.695,2112600,30.695
"2014-08-11",30.695,30.924999,30.684999,30.834999,1359400,30.834999
"2014-08-12",30.745001,30.895,30.65,30.76,1305000,30.76
"2014-08-13",30.895,31.065001,30.82,31,1710200,31
"2014-08-14",31.045,31.235001,31,31.184999,1396600,31.184999
"2014-08-15",31.415001,31.584999,31.07,31.360001,5344400,31.360001
"2014-08-18",31.5,31.785,31.389999,31.76,1508800,31.76
