"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2010-12-10",17.305801,17.522123,17.010817,17.394297,4145801,16.513996
"2010-12-13",17.54179,17.649952,17.345133,17.413963,3369118,16.532671
"2010-12-14",17.47296,17.492624,16.932154,16.961653,4205397,16.103251
"2010-12-15",16.932154,17.354965,16.774828,16.78466,5269280,15.935212
"2010-12-16",16.853491,16.981318,16.656834,16.912489,3610248,16.056572
"2010-12-17",16.873156,17.138643,16.823992,17.030481,4667725,16.168602
"2010-12-20",17.236971,18.003933,17.187807,17.935102,4766679,17.027433
"2010-12-21",18.072763,18.239922,17.708948,18.210423,6140239,17.288822
"2010-12-22",18.279253,18.741396,17.876106,18.643068,5270704,17.69957
"2010-12-23",18.515242,18.702065,17.758112,17.866274,6112984,16.96209
"2010-12-27",17.866274,18.416912,17.699116,18.269421,3214737,17.344835
"2010-12-28",18.249754,18.30875,17.994101,18.092428,2546568,17.176798
"2010-12-29",18.180923,18.328417,18.092428,18.210423,2273809,17.288822
"2010-12-30",18.220257,18.47591,18.141594,18.298918,2642573,17.372839
"2010-12-31",18.298918,18.495575,18.279253,18.436579,2434088,17.503527
"2011-01-03",18.574238,18.908554,18.525074,18.731564,4351438,17.78359
"2011-01-04",18.829891,18.849558,18.121927,18.30875,4144173,17.382172
"2011-01-05",18.279253,18.780727,18.249754,18.780727,3291317,17.830257
"2011-01-06",18.40708,19.006884,18.377581,18.820059,6291264,17.867609
"2011-01-07",19.13471,19.469027,18.820059,19.085546,6199022,18.119659
"2011-01-10",18.987217,19.085546,18.436579,18.58407,6017284,17.643562
"2011-01-11",19.744347,20.353983,19.469027,19.901672,15679903,18.894478
"2011-01-12",20.108162,20.176991,19.764011,20.117994,5521496,19.099857
"2011-01-13",20.147493,20.147493,19.705015,19.832842,4777052,18.829132
"2011-01-14",19.79351,20.314651,19.72468,20.285152,4054779,19.258554
"2011-01-18",20.294985,20.304817,19.773846,20.147493,3732899,19.127861
"2011-01-19",20.167158,20.186825,19.331367,19.459194,4551889,18.474396
"2011-01-20",19.449362,19.921337,19.223206,19.547689,4944146,18.558411
"2011-01-21",19.803343,19.823009,19.085546,19.144543,4501445,18.212305
"2011-01-24",19.213373,19.646017,19.144543,19.547689,3255214,18.595827
"2011-01-25",19.577188,19.960669,19.075712,19.439528,4415712,18.492933
"2011-01-26",19.596853,20.226154,19.400196,20.039331,5869209,19.063524
"2011-01-27",19.921337,20.353983,19.321533,19.832842,5412677,18.867088
"2011-01-28",19.832842,19.93117,19.223206,19.331367,3381118,18.390032
"2011-01-31",19.390364,19.528025,18.967552,19.036383,2932316,18.109419
"2011-02-01",19.183874,19.695183,19.183874,19.606686,3232738,18.651949
"2011-02-02",19.478859,19.665684,19.124878,19.301868,3309623,18.361975
"2011-02-03",19.223206,19.360865,18.947886,19.3412,2986319,18.399382
"2011-02-04",19.24287,19.3412,18.977385,19.193707,1988947,18.259081
"2011-02-07",19.292034,19.941004,19.233038,19.528025,3158192,18.57712
"2011-02-08",19.488691,20.353983,19.488691,20.324484,5450103,19.334793
"2011-02-09",20.324484,20.914454,20.265488,20.501474,4998352,19.50317
"2011-02-10",20.324484,20.609636,20.226154,20.48181,3011235,19.484463
"2011-02-11",20.304817,20.698132,20.009832,20.560472,3212703,19.559292
"2011-02-14",20.353983,20.442478,19.901672,20.255653,3335862,19.269312
"2011-02-15",20.029499,20.373648,19.891838,20.127827,6125188,19.147713
"2011-02-16",20.412979,20.825958,20.373648,20.501474,3038898,19.50317
"2011-02-17",20.442478,21.091446,20.353983,21.022615,3973521,19.99893
"2011-02-18",21.081614,21.179941,20.648968,20.698132,3098697,19.690254
"2011-02-22",20.412979,20.432646,19.537855,19.61652,5484986,18.661301
"2011-02-23",19.675516,20.245821,18.623402,19.478859,8337468,18.530348
"2011-02-24",19.439528,19.891838,19.233038,19.606686,5587398,18.651949
"2011-02-25",19.714848,20.009832,19.459194,19.980333,3378983,19.007401
"2011-02-28",20.157326,20.245821,19.61652,19.823009,5029167,18.857738
"2011-03-01",19.970501,19.970501,19.174042,19.390364,6018504,18.446169
"2011-03-02",19.301868,20.039331,19.301868,19.79351,6034268,18.829676
"2011-03-03",20.039331,20.255653,19.636185,19.980333,3398102,19.007401
"2011-03-04",19.970501,19.980333,19.370699,19.459194,3891652,18.511641
"2011-03-07",19.547689,19.646017,18.987217,19.085546,3425459,18.156181
"2011-03-08",19.174042,19.960669,19.095379,19.823009,4191667,18.857738
"2011-03-09",19.813175,20.088495,19.577188,20.039331,2903332,19.063524
"2011-03-10",19.72468,19.852507,19.449362,19.508358,2424731,18.558411
"2011-03-11",19.311701,19.557522,19.282204,19.439528,2545856,18.492933
"2011-03-14",19.203541,19.498526,18.829891,19.006884,4399135,18.081354
