"dates","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2010-09-10",82.699997,82.699997,81.860001,82.120003,145600,65.90358
"2010-09-13",82.809998,83.279999,82.349998,83.239998,276700,66.802391
"2010-09-14",83.110001,83.709999,82.709999,83.389999,244200,66.92276
"2010-09-15",83.160004,84.209999,82.980003,84.019997,188000,67.428391
"2010-09-16",83.889999,84.769997,83.589996,84.68,267000,67.958046
"2010-09-17",84.769997,85.489998,84.519997,85.050003,672500,68.254967
"2010-09-20",85.07,85.190002,84.029999,84.809998,414200,68.062347
"2010-09-21",84.940002,85.129997,84.239998,84.379997,221400,67.717285
"2010-09-22",84.279999,84.900002,84.110001,84.110001,211900,67.500626
"2010-09-23",83.760002,84.529999,83.480003,83.510002,238800,67.019081
"2010-09-24",84.459999,85.160004,84.139999,84.660004,254900,67.941994
"2010-09-27",84.860001,85.779999,84.120003,85.160004,267100,68.343262
"2010-09-28",85.389999,86.360001,84.18,86.129997,299100,69.121681
"2010-09-29",85.779999,86.25,85.199997,86.010002,233400,69.025398
"2010-09-30",86.599998,87.059998,86.040001,86.470001,440600,69.394569
"2010-10-01",87.089996,87.150002,84.650002,85.190002,329900,68.36731
"2010-10-04",85.160004,85.790001,84.379997,85.18,217200,68.359283
"2010-10-05",85.989998,86.720001,84.629997,86.650002,356700,69.539001
"2010-10-06",86.440002,86.709999,85.089996,85.32,228500,68.47168
"2010-10-07",85.470001,86.449997,85.470001,86,282600,69.01738
"2010-10-08",86.230003,86.330002,85.470001,86,151000,69.01738
"2010-10-11",86.18,87.110001,81.110001,81.610001,3034100,65.494278
"2010-10-12",81.519997,82.989998,80.760002,82.720001,1412600,66.385086
"2010-10-13",82.790001,85.010002,82.550003,83.970001,875300,67.38826
"2010-10-14",83.760002,84.790001,82.82,84.760002,607200,68.02224
"2010-10-15",84.949997,85.18,84.18,84.220001,372000,67.588875
"2010-10-18",84.349998,84.730003,83.849998,84.709999,264600,67.982117
"2010-10-19",83.860001,84.580002,82.660004,82.980003,342200,66.593742
"2010-10-20",83.230003,84.629997,83.230003,84.43,366000,67.757393
"2010-10-21",84.529999,85.050003,83.849998,84.239998,368100,67.604919
"2010-10-22",84.089996,84.599998,84,84.059998,212800,67.460464
"2010-10-25",84.480003,85.110001,84.400002,84.529999,245300,67.837677
"2010-10-26",84.470001,85.550003,84.379997,84.809998,275500,68.062347
"2010-10-27",84.120003,84.589996,83.779999,84.150002,220300,67.532707
"2010-10-28",84.540001,84.540001,83.290001,83.559998,224800,67.059189
"2010-10-29",83.400002,84.470001,83.099998,84.279999,434300,67.637032
"2010-11-01",84.870003,85.940002,84.160004,84.559998,429100,67.861748
"2010-11-02",85.279999,85.720001,85.040001,85.470001,231600,68.592049
"2010-11-03",85.519997,86.559998,85.449997,86.129997,411900,69.121681
"2010-11-04",86.599998,88.419998,86.389999,88.330002,353000,70.88726
"2010-11-05",88.410004,88.940002,88.129997,88.82,236000,71.280502
"2010-11-08",88.370003,88.489998,87.559998,87.980003,238800,70.606377
"2010-11-09",88.260002,89.110001,87.5,87.690002,388900,70.37365
"2010-11-10",87.589996,88.620003,87.360001,88.379997,423700,70.927383
"2010-11-11",87.650002,88.18,87.089996,87.949997,253100,70.582321
"2010-11-12",87.660004,88.279999,86.529999,86.559998,305900,69.466789
"2010-11-15",86.800003,87.610001,85.989998,86.309998,382600,69.266159
"2010-11-16",85.910004,86.220001,84.970001,85.599998,347800,68.69635
"2010-11-17",85.760002,85.800003,84.919998,85.010002,203900,68.22287
"2010-11-18",85.830002,86.199997,85.190002,85.82,242500,68.872948
"2010-11-19",85.580002,85.580002,84.650002,84.809998,244500,68.062347
"2010-11-22",84.120003,85.150002,84,84.5,379600,67.813553
"2010-11-23",83.809998,84.870003,83.669998,84.199997,293900,67.572823
"2010-11-24",84.849998,85.970001,84.470001,85.580002,327300,68.680344
"2010-11-26",84.82,85.410004,83.940002,84.690002,180900,67.966049
"2010-11-29",84.110001,84.199997,82.190002,84.120003,604800,67.893417
"2010-11-30",83.419998,83.830002,82.720001,83.489998,537300,67.384926
"2010-12-01",84.18,84.650002,83.889999,84.029999,339100,67.82077
"2010-12-02",84.099998,84.660004,83.949997,84.190002,405600,67.949913
"2010-12-03",83.82,84.559998,83.720001,84.309998,437200,68.046768
"2010-12-06",84.07,84.669998,83.839996,84.349998,180600,68.079056
"2010-12-07",85.019997,85.849998,84.790001,84.849998,251600,68.482643
"2010-12-08",84.839996,85.220001,84.43,84.790001,323200,68.434166
"2010-12-09",85.230003,85.230003,84.339996,85.029999,241600,68.627884
"2010-12-10",85.190002,86.110001,85.019997,85.809998,318500,69.257439
"2010-12-13",85.970001,86.779999,85.870003,86.199997,186200,69.572197
"2010-12-14",86.339996,87.099998,85.870003,86.029999,259700,69.43499
"2010-12-15",85.769997,86.940002,84.849998,84.879997,354300,68.506836
"2010-12-16",84.970001,85.32,84.230003,85,329800,68.603668
"2010-12-17",84.900002,85,84.510002,84.68,471400,68.345398
"2010-12-20",84.720001,84.970001,84.120003,84.360001,270400,68.087135
"2010-12-21",84.379997,84.860001,84.269997,84.389999,281200,68.111328
"2010-12-22",84.360001,85.790001,84.199997,85.269997,190700,68.821617
"2010-12-23",84.709999,85.68,84.690002,85.099998,208900,68.684402
"2010-12-27",84.940002,85.580002,84.510002,85.540001,245600,69.039513
"2010-12-28",85.599998,85.830002,85.139999,85.25,122300,68.80545
"2010-12-29",85.32,85.440002,84.730003,85.050003,114800,68.644028
"2010-12-30",84.940002,85.709999,84.93,85.209999,188800,68.77317
"2010-12-31",84.970001,85.459999,84.800003,84.82,204300,68.458412
"2011-01-03",85.910004,85.910004,84.839996,85.199997,239900,68.765076
"2011-01-04",85.410004,85.779999,83.790001,84.029999,456400,67.82077
"2011-01-05",83.599998,83.720001,83.010002,83.25,504400,67.191254
"2011-01-06",83.220001,84.059998,82.839996,83.290001,340400,67.223534
"2011-01-07",83.309998,83.449997,82.139999,82.610001,314600,66.674698
"2011-01-10",82.169998,82.919998,82.169998,82.550003,370200,66.626282
"2011-01-11",82.889999,83.529999,82.589996,83.370003,161200,67.288124
"2011-01-12",83.629997,84.349998,83.529999,84.290001,219700,68.030632
"2011-01-13",84.150002,84.25,83.18,83.309998,396800,67.239677
"2011-01-14",83.269997,83.790001,83.089996,83.400002,397700,67.312286
"2011-01-18",83.489998,83.779999,82.940002,83.779999,503000,67.619026
"2011-01-19",83.550003,83.870003,83.089996,83.190002,240900,67.14283
"2011-01-20",82.949997,83.629997,82.860001,83.480003,224200,67.3769
"2011-01-21",83.800003,83.800003,82.699997,83.269997,261400,67.20739
"2011-01-24",83.440002,84.839996,83.349998,84.690002,252200,68.353455
"2011-01-25",84.330002,85.970001,84.330002,85.75,614900,69.208984
"2011-01-26",85.849998,86.059998,85.470001,85.790001,351000,69.241302
"2011-01-27",85.599998,86.540001,85.599998,86.309998,339700,69.66098
"2011-01-28",85.809998,86.279999,84.839996,84.879997,349100,68.506836
"2011-01-31",84.839996,85.349998,84.279999,84.279999,207600,68.022598
"2011-02-01",84.82,85.699997,84.57,85.230003,252500,68.789307
"2011-02-02",84.949997,85.260002,84.550003,84.910004,336200,68.531052
"2011-02-03",84.949997,85.300003,84.760002,84.980003,391300,68.587547
"2011-02-04",85.07,85.519997,85.07,85.389999,161400,68.918449
"2011-02-07",85.5,86.290001,85.470001,86.120003,226400,69.507637
"2011-02-08",86.230003,86.699997,86.230003,86.580002,201200,69.878891
"2011-02-09",86.629997,86.629997,85.650002,85.720001,310000,69.184814
"2011-02-10",84.139999,86.459999,83.470001,86.410004,599400,69.741669
"2011-02-11",86.43,89.120003,86.43,88.599998,707000,71.509254
"2011-02-14",88.610001,88.690002,87.410004,87.790001,360300,70.855507
"2011-02-15",87.480003,88.349998,87.379997,88.18,332500,71.170258
"2011-02-16",88.260002,89.089996,88.099998,88.449997,322700,71.388206
"2011-02-17",88.260002,89.410004,88.029999,89.099998,269400,71.912796
"2011-02-18",88.919998,90.690002,88.610001,90.580002,362700,73.107307
"2011-02-22",89.43,89.43,87.400002,87.870003,532600,70.920074
"2011-02-23",87.769997,88.209999,86.959999,86.959999,352600,70.185593
"2011-02-24",87.019997,87.449997,85.790001,86.379997,458600,69.717476
"2011-02-25",86.940002,88.57,86.699997,88.230003,355100,71.210602
"2011-02-28",88.07,89.360001,87.93,88.650002,362200,71.549591
"2011-03-01",88.980003,89.139999,87.559998,87.580002,233900,70.686005
"2011-03-02",87.720001,88.209999,87.260002,87.400002,313600,70.54071
"2011-03-03",87.690002,88.68,87.400002,88.279999,410000,71.250969
"2011-03-04",88.260002,88.279999,87.129997,87.199997,328300,70.379295
"2011-03-07",87.300003,87.650002,86.480003,86.580002,334800,70.265671
"2011-03-08",86.82,88.32,86.510002,88,206800,71.418114
"2011-03-09",87.839996,88.260002,86.93,87.690002,248200,71.166496
"2011-03-10",86.699997,86.889999,85.779999,85.870003,189900,69.689461
"2011-03-11",83.330002,84.849998,80.620003,83.519997,687800,67.782272
"2011-03-14",81.870003,82.959999,81.279999,82.300003,567300,66.79216
"2011-03-15",80.75,82.709999,80.32,82.080002,522300,66.613625
"2011-03-16",81.919998,82.730003,81.610001,81.610001,443800,66.232178
"2011-03-17",82.209999,82.230003,81.050003,81.830002,379100,66.410728
"2011-03-18",82.230003,82.870003,81.739998,81.739998,444500,66.337685
"2011-03-21",82.709999,83.07,82.419998,82.980003,241300,67.344032
"2011-03-22",82.779999,83.529999,81.650002,81.68,461900,66.288979
"2011-03-23",81.43,82.510002,80.699997,82.029999,502900,66.573067
"2011-03-24",82.290001,82.910004,82.220001,82.589996,281700,67.027519
"2011-03-25",82.690002,83.410004,82.160004,82.949997,167200,67.319679
"2011-03-28",83.029999,83.129997,82.610001,82.610001,462100,67.043739
"2011-03-29",82.449997,83.120003,82.370003,83,399700,67.360268
"2011-03-30",83.139999,83.639999,82.400002,83.43,1245800,67.709244
"2011-03-31",83.459999,88.330002,83.459999,88.18,1336600,71.564186
"2011-04-01",88.43,90.660004,88.349998,90.459999,974400,73.414558
"2011-04-04",92.669998,93.790001,91.860001,92.449997,1120400,75.029602
"2011-04-05",92.099998,93.199997,91.010002,92.139999,942700,74.778
"2011-04-06",92.75,93.830002,92.300003,93.760002,713000,76.092751
"2011-04-07",93.5,94.019997,92.739998,93.620003,613700,75.979134
"2011-04-08",94.029999,94.139999,92.25,92.580002,374800,75.135094
"2011-04-11",92.459999,93.089996,91.980003,92.230003,400200,74.851036
"2011-04-12",91.910004,92.559998,90.940002,91.139999,471700,73.966431
"2011-04-13",91.879997,92.330002,91.120003,91.690002,483500,74.412811
"2011-04-14",91.459999,92.470001,91.080002,91.209999,399300,74.023239
"2011-04-15",91.220001,92.550003,90.790001,91.139999,458700,73.966431
"2011-04-18",90.529999,90.529999,88.940002,89.919998,353500,72.976334
"2011-04-19",90.459999,90.470001,88.940002,89.279999,323900,72.456932
"2011-04-20",90.129997,90.389999,89.400002,89.529999,229200,72.659821
"2011-04-21",89.93,90.339996,89.400002,89.769997,180100,72.854607
"2011-04-25",89.720001,90.309998,89.389999,90.160004,132800,73.171089
"2011-04-26",90.18,91.32,90.18,90.529999,272200,73.47139
"2011-04-27",90.529999,91.720001,90.290001,91.720001,311200,74.437172
"2011-04-28",91.800003,92.769997,91.559998,92.050003,481400,74.704971
"2011-04-29",91.720001,92.660004,91.059998,91.120003,442000,73.950211
"2011-05-02",91.510002,91.730003,89.82,89.919998,398400,72.976334
"2011-05-03",90.209999,91.830002,89.949997,91.830002,415000,74.526451
"2011-05-04",91.889999,91.93,90.18,90.82,284000,73.706749
