"dates","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2010-07-30",30.795,31.575001,30.5,31.32,5773000,23.920204
"2010-08-02",31.834999,31.945,31.16,31.9,3926600,24.363169
"2010-08-03",31.639999,31.889999,31.34,31.780001,2747400,24.271524
"2010-08-04",31.76,32.055,31.475,31.975,2454600,24.420448
"2010-08-05",31.629999,31.915001,31.35,31.84,2568600,24.317345
"2010-08-06",31.485001,32.009998,31.280001,31.84,1847800,24.317345
"2010-08-09",32.029999,32.165001,31.77,32.035,1044400,24.466272
"2010-08-10",31.625,31.76,31.1,31.59,2044600,24.126413
"2010-08-11",31,31,30.32,30.459999,1953200,23.263386
"2010-08-12",30,30.584999,29.889999,30.325001,1761600,23.160288
"2010-08-13",30.135,30.379999,30.040001,30.065001,1174400,22.961712
"2010-08-16",29.875,30.424999,29.635,30.290001,1429800,23.133553
"2010-08-17",30.674999,31.450001,30.66,31.18,1937000,23.813288
"2010-08-18",31.219999,31.264999,30.799999,31.120001,1188800,23.767456
"2010-08-19",30.9,30.99,29.99,30.315001,1260000,23.152647
"2010-08-20",30.014999,30.52,29.844999,30.469999,1961800,23.271029
"2010-08-23",30.6,30.885,30.135,30.174999,1157600,23.045725
"2010-08-24",29.754999,29.934999,29.254999,29.48,2048400,22.514929
"2010-08-25",29.280001,29.615,28.74,29.535,1607000,22.556932
"2010-08-26",29.719999,30.34,29.66,29.834999,1562400,22.786049
"2010-08-27",30.110001,30.66,29.559999,30.559999,1458400,23.33976
"2010-08-30",30.455,30.705,30.030001,30.084999,2037800,22.976992
"2010-08-31",29.965,31.02,29.889999,30.775,2810400,23.503967
"2010-09-01",31.26,32.189999,31.235001,32.125,2217800,24.535006
"2010-09-02",32.255001,32.330002,31.959999,32.075001,1998800,24.496824
"2010-09-03",32.305,33.139999,32.305,32.959999,2297200,25.172726
"2010-09-07",32.895,32.895,32.224998,32.305,1467600,24.672482
"2010-09-08",32.330002,32.790001,32.330002,32.529999,1470600,24.844326
"2010-09-09",32.955002,32.974998,32.384998,32.759998,2427000,25.190344
"2010-09-10",32.805,32.939999,32.5,32.575001,1406200,25.048098
"2010-09-13",32.970001,33.830002,32.970001,33.75,2081400,25.95159
"2010-09-14",33.544998,33.650002,33.125,33.535,2168600,25.786272
"2010-09-15",33.380001,33.59,33.07,33.465,1566400,25.732439
"2010-09-16",34.645,35.384998,34.200001,34.700001,3255400,26.682087
"2010-09-17",34.91,35.145,34.525002,35.035,2697200,26.939665
"2010-09-20",35.185001,35.814999,35.07,35.674999,2341600,27.431793
"2010-09-21",35.82,35.945,35.419998,35.580002,1509400,27.358753
"2010-09-22",35.494999,35.91,35.384998,35.669998,1446600,27.427942
"2010-09-23",35.424999,35.855,34.974998,35.529999,1730400,27.320292
"2010-09-24",36.25,36.369999,35.869999,36.369999,1532600,27.966204
"2010-09-27",36.48,36.5,35.880001,36.23,1460600,27.858557
"2010-09-28",36.299999,36.825001,35.849998,36.735001,1518800,28.246862
"2010-09-29",36.564999,37.174999,36.43,36.764999,2996400,28.269926
"2010-09-30",37.014999,37.424999,36.595001,37,2505600,28.450634
"2010-10-01",37.380001,37.450001,36.974998,37.285,1563200,28.669777
"2010-10-04",37.240002,37.389999,36.814999,37.040001,1820000,28.481392
"2010-10-05",37.43,38.150002,37.285,38.084999,2113800,29.284929
"2010-10-06",38.064999,38.195,37.884998,38.009998,1447800,29.227262
"2010-10-07",38.150002,38.5,37.849998,38.389999,2548800,29.519442
"2010-10-08",38.435001,39.064999,38.375,38.955002,1763200,29.953903
"2010-10-11",38.965,39.334999,38.84,39.18,1678200,30.126928
"2010-10-12",39.169998,39.169998,38.625,38.935001,2137400,29.938528
"2010-10-13",39.349998,39.625,39.080002,39.334999,1428000,30.246098
"2010-10-14",39.32,39.424999,38.790001,39.035,1361200,30.015421
"2010-10-15",39.325001,39.52,38.759998,39.25,1345800,30.180735
"2010-10-18",39.215,39.605,39.080002,39.435001,1144400,30.322996
"2010-10-19",38.845001,39.264999,38.314999,38.584999,1776600,29.669394
"2010-10-20",38.634998,39.884998,38.584999,39.535,1776800,30.399885
"2010-10-21",39.595001,40.110001,39.310001,39.685001,1236400,30.515236
"2010-10-22",39.700001,39.845001,39.169998,39.299999,1320000,30.219177
"2010-10-25",40.580002,41.709999,40.5,41.294998,4336200,31.753216
"2010-10-26",41.044998,41.185001,40.625,40.75,2655600,31.334139
"2010-10-27",40.305,40.720001,39.895,40.150002,2093800,30.872787
"2010-10-28",40.509998,40.689999,39.435001,39.525002,2283600,30.392206
"2010-10-29",39.189999,39.66,38.919998,39.285,2833600,30.207661
"2010-11-01",39.66,40.134998,39.400002,39.584999,1676000,30.438339
"2010-11-02",39.880001,40.375,39.695,39.84,2035600,30.634417
