"dates","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2015-02-25",45.579323,45.846703,45.276291,45.597149,3865402,36.696228
"2015-02-26",45.632797,45.828876,45.26738,45.481281,4754138,36.602985
"2015-02-27",45.329769,45.757576,45.303028,45.303028,7333616,36.459522
"2015-03-02",45.303028,46.194298,45.106953,46.185383,6864733,37.169643
"2015-03-03",45.837791,46.274509,45.632797,46.221035,6180313,37.198318
"2015-03-04",45.846703,46.024956,45.570412,45.819965,7519756,36.875546
"2015-03-05",46.00713,46.310162,45.73975,46.114082,6534191,37.112255
"2015-03-06",46.408199,47.540108,46.310162,46.916222,12973237,37.757805
"2015-03-09",46.737968,47.005348,46.488415,46.639931,6058912,37.535454
"2015-03-10",45.935829,45.998219,45.044563,45.044563,9264915,36.251511
"2015-03-11",45.098038,45.659538,45.035652,45.320854,5936165,36.473873
"2015-03-12",45.552586,46.221035,45.418896,46.203209,5779310,37.183983
"2015-03-13",46.060604,46.319073,45.347595,45.766487,8470651,36.832512
"2015-03-16",46.087345,46.34581,45.793224,46.274509,6630347,37.241364
"2015-03-17",45.980392,46.256683,45.73975,45.989304,5214495,37.011845
"2015-03-18",45.721924,46.541889,45.543671,46.042782,9595681,37.054878
"2015-03-19",45.891266,46.051693,44.857399,45.106953,7539616,36.301731
"2015-03-20",45.347595,46.00713,45.053474,46.00713,11477611,37.02618
"2015-03-23",45.882355,46.4795,45.81105,45.819965,5158732,36.875546
"2015-03-24",45.713013,45.784313,45.329769,45.356506,8992942,36.502567
"2015-03-25",45.374332,45.508022,44.821747,44.839573,5025662,36.086536
"2015-03-26",44.607841,45.374332,44.545456,45.080215,7006778,36.280209
"2015-03-27",44.910873,45.080215,44.652405,44.803921,5234467,36.057854
"2015-03-30",45.222816,45.704102,45.115864,45.392159,5222012,36.531258
"2015-03-31",45.071301,45.187164,44.848484,45.053474,6047580,36.258682
"2015-04-01",44.786095,45.062389,44.607841,44.803921,4714420,36.057854
"2015-04-02",44.848484,45.632797,44.625668,45.543671,5597658,36.653198
"2015-04-06",44.991089,45.677361,44.750446,45.60606,7883957,36.7034
"2015-04-07",45.793224,45.793224,45.258469,45.276291,3575926,36.438007
"2015-04-08",45.47237,45.757576,45.258469,45.543671,5879280,36.653198
"2015-04-09",45.40107,46.00713,45.285206,45.855614,5234691,36.904236
"2015-04-10",45.730839,45.846703,45.26738,45.294117,5185211,36.452354
"2015-04-13",45.409981,45.828876,45.151516,45.695187,5919223,36.775135
"2015-04-14",45,45.311943,44.652405,44.964348,8135173,36.186962
"2015-04-15",45.080215,45.588234,45.080215,45.320854,6827033,36.473873
"2015-04-16",45.311943,45.686275,45.026737,45.454544,5428460,36.581463
"2015-04-17",45.098038,45.26738,44.759357,45.008911,6473379,36.222813
"2015-04-20",45.285206,45.614971,45.151516,45.196079,4923224,36.373451
"2015-04-21",45.365417,45.614971,44.66132,44.910873,7241837,36.143913
"2015-04-22",44.893047,45.552586,44.491978,45.499107,7529742,36.617336
"2015-04-23",45.320854,45.855614,45.294117,45.570412,7033930,36.674706
"2015-04-24",45.499107,45.704102,45.017826,45.151516,4216588,36.337585
"2015-04-27",45.249554,45.392159,44.714794,44.786095,6048478,36.043495
"2015-04-28",44.875221,45.374332,44.500893,45.320854,6562690,36.473873
"2015-04-29",45.508022,46.773621,45.454544,46.470589,11089624,37.399162
"2015-04-30",46.381462,46.524063,45.641712,45.713013,7570134,36.789478
"2015-05-01",46.122993,46.631016,45.926914,46.336899,7408566,37.29158
"2015-05-04",46.5508,46.853832,46.363636,46.74688,4586175,37.621529
"2015-05-05",46.524063,47.067738,46.34581,46.443851,5175225,37.37764
"2015-05-06",46.720142,46.782532,45.793224,46.149734,7344275,37.140945
"2015-05-07",46.256683,46.978611,45.187164,46.408199,10946793,37.621422
"2015-05-08",46.283421,46.737968,45.713013,46.568626,8607647,37.751469
"2015-05-11",46.61319,47.602497,46.452763,47.504456,10609856,38.510109
"2015-05-12",47.459892,47.727272,47.049911,47.335117,8485686,38.372845
"2015-05-13",47.058823,47.486629,46.969696,47.326202,6762406,38.36562
"2015-05-14",47.486629,47.664883,47.147949,47.370766,5164005,38.40173
"2015-05-15",47.415329,47.415329,46.604279,46.862743,5520689,37.989899
"2015-05-18",46.996433,47.513371,46.907307,47.290554,4691643,38.336708
"2015-05-19",47.718361,47.718361,47.308376,47.629234,5752382,38.611259
"2015-05-20",47.57576,47.762924,46.996433,47.495544,6742883,38.502892
"2015-05-21",47.299465,47.843136,47.237076,47.762924,7927154,38.719643
"2015-05-22",47.531193,48.012478,47.433155,47.442066,4833239,38.45953
"2015-05-26",47.361855,47.415329,46.595364,46.773621,5642987,37.917648
"2015-05-27",47.014259,47.21925,46.693405,47.032085,5171522,38.127171
"2015-05-28",47.032085,47.210339,46.532978,47.139038,4716551,38.213886
"2015-05-29",47.049911,47.076649,46.229946,46.577541,5796701,37.758701
"2015-06-01",46.426025,46.791443,46.256683,46.586452,5075479,37.76593
"2015-06-02",46.622105,47.388592,46.488415,47.094475,5683267,38.177757
"2015-06-03",47.477718,48.244205,47.21925,48.119431,7951053,39.00864
"2015-06-04",47.593582,48.217468,47.593582,47.959003,6783388,38.878609
"2015-06-05",48.957218,49.696972,48.431374,48.529411,11541116,39.341007
"2015-06-08",48.556149,48.85918,48.31551,48.431374,7334402,39.261532
"2015-06-09",48.609627,48.975044,48.306595,48.716579,6973006,39.492741
"2015-06-10",49.474152,50.151516,49.117645,50.115864,9891103,40.627087
"2015-06-11",50.151516,50.418896,49.884136,49.973263,7547133,40.511482
"2015-06-12",49.884136,50.098038,49.46524,49.705883,5848425,40.294727
"2015-06-15",49.331551,49.768272,49.064171,49.52763,6279497,40.150227
"2015-06-16",49.295898,50.508022,49.295898,50.20499,9207581,40.699333
"2015-06-17",50.320854,50.668449,49.857399,49.928699,9209713,40.475368
"2015-06-18",50.285206,50.793224,49.893047,50.570412,6697891,40.995571
"2015-06-19",50.365417,50.543671,50.008911,50.115864,8601701,40.627087
"2015-06-22",50.516933,51.265598,50.445633,51.105167,9147105,41.429081
"2015-06-23",51.372547,51.898396,51.301247,51.426025,9329206,41.68919
"2015-06-24",51.319073,51.604279,50.935829,50.953655,7273814,41.306248
"2015-06-25",51.319073,51.34581,50.650623,50.677361,4039761,41.082272
"2015-06-26",50.94474,51.247772,50.837791,51.131908,4671447,41.45076
"2015-06-29",50.303028,50.454544,49.358288,49.438503,7757620,40.077976
